Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
Organismal Systems	MAPPED	0.1089	0.107	0.07324	0.06314
-Immune System	MAPPED	0.07086	0.07877	0.0281	0.02745
-Endocrine System	MAPPED	0.008823	0.007875	0.01799	0.008334
-Circulatory System	MAPPED	0.003457	0.003464	0.007872	0.007463
-Digestive System	MAPPED	0.007315	0.004383	0.00308	0.003276
-Excretory System	MAPPED	0.009657	0.008261	0.009094	0.008697
-Nervous System	MAPPED	0.01524	0.01133	0.01783	0.01659
-Sensory System	MAPPED	0.001035	0.001009	0.0004619	0.0002446
-Development	MAPPED	0.006635	0.005098	0.003767	0.00275
-Environmental Adaptation	MAPPED	0.002034	0.002271	0.002311	0.001911
Human Diseases	MAPPED	0.1207	0.1204	0.1435	0.1369
-Cancers	MAPPED	0.01485	0.01252	0.009015	0.008966
-Immune System Diseases	MAPPED	0.005799	0.005516	0.005644	0.005233
-Neurodegenerative Diseases	MAPPED	0.04662	0.05805	0.08073	0.07992
-Cardiovascular Diseases	MAPPED	0.004196	0.002729	0.008363	0.006049
-Metabolic Diseases	MAPPED	0.001346	0.001096	0.009369	0.01429
-Infectious Diseases	MAPPED	0.04937	0.0472	0.0506	0.04509
Not Mapped	MAPPED	0.3842	0.3643	0.262	0.256
-Not Mapped	MAPPED	0.3842	0.3643	0.262	0.256
TOTAL	Genetic Information Processing	3.55	3.172	3.258	3.269
MAPPED	Genetic Information Processing	2.565	2.325	2.582	2.603
Genetic Information Processing	Genetic Information Processing	1	1	1	1
-Transcription	Genetic Information Processing	0.1194	0.1058	0.1267	0.1164
-Translation	Genetic Information Processing	0.4741	0.5765	0.3589	0.3669
-Folding, Sorting and Degradation	Genetic Information Processing	0.3145	0.2467	0.4374	0.432
-DNA Maintenance	Genetic Information Processing	0.1254	0.1053	0.142	0.1378
-RNA Family	Genetic Information Processing	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.2306	0.1787	0.07719	0.07708
-Signal Transduction	Genetic Information Processing	0.03743	0.02813	0.02326	0.02701
-Signaling Molecules and Interaction	Genetic Information Processing	0.209	0.1612	0.06181	0.05423
Cellular Processes	Genetic Information Processing	0.2944	0.2558	0.2837	0.2603
-Cell structure	Genetic Information Processing	0	0	0	0
-Crystallins	Genetic Information Processing	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.1255	0.1209	0.06669	0.07746
-Cytoskeleton	Genetic Information Processing	0.1388	0.1088	0.1725	0.1374
-Cell Motility	Genetic Information Processing	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.03725	0.02546	0.04769	0.04572
-Cell Communication	Genetic Information Processing	0.01956	0.01446	0.01858	0.01893
Metabolism	Genetic Information Processing	0.6484	0.5646	0.8641	0.9587
-Membrane Transport	Genetic Information Processing	0.01501	0.01201	0.009749	0.008991
-Central Carbon Metabolism	Genetic Information Processing	0.1166	0.1266	0.237	0.2629
-Energy Metabolism	Genetic Information Processing	0.03835	0.0307	0.06964	0.07343
-Biosynthesis	Genetic Information Processing	0.1785	0.1616	0.1795	0.1812
-Other Enzymes	Genetic Information Processing	0.3379	0.3024	0.409	0.453
Organismal Systems	Genetic Information Processing	0.274	0.2443	0.1787	0.1518
-Immune System	Genetic Information Processing	0.1754	0.1799	0.06817	0.06713
-Endocrine System	Genetic Information Processing	0.02248	0.01831	0.04472	0.02175
-Circulatory System	Genetic Information Processing	0.008667	0.007809	0.01935	0.01846
-Digestive System	Genetic Information Processing	0.01877	0.009987	0.007362	0.007915
-Excretory System	Genetic Information Processing	0.02391	0.01863	0.02254	0.02092
-Nervous System	Genetic Information Processing	0.03909	0.02633	0.04464	0.04238
-Sensory System	Genetic Information Processing	0.002563	0.002275	0.001117	0.0006102
-Development	Genetic Information Processing	0.01663	0.01161	0.009433	0.007025
-Environmental Adaptation	Genetic Information Processing	0.005218	0.005171	0.005617	0.004653
Human Diseases	Genetic Information Processing	0.3025	0.2754	0.3594	0.3334
-Cancers	Genetic Information Processing	0.03811	0.0288	0.0234	0.02341
-Immune System Diseases	Genetic Information Processing	0.0146	0.01261	0.01349	0.01264
-Neurodegenerative Diseases	Genetic Information Processing	0.1196	0.1334	0.2021	0.2042
-Cardiovascular Diseases	Genetic Information Processing	0.01051	0.006275	0.02028	0.01439
-Metabolic Diseases	Genetic Information Processing	0.003388	0.00252	0.0224	0.03401
-Infectious Diseases	Genetic Information Processing	0.1238	0.1075	0.1258	0.1098
Not Mapped	Genetic Information Processing	0.9854	0.847	0.6765	0.6663
-Not Mapped	Genetic Information Processing	0.9854	0.847	0.6765	0.6663
TOTAL	-Transcription	30.82	32.12	30.37	31.23
MAPPED	-Transcription	22.26	23.54	24.07	24.86
Genetic Information Processing	-Transcription	8.805	10.34	9.835	10.29
-Transcription	-Transcription	1	1	1	1
-Translation	-Transcription	4.114	5.782	3.294	3.521
-Folding, Sorting and Degradation	-Transcription	2.742	2.454	4.251	4.387
-DNA Maintenance	-Transcription	1.063	1.005	1.375	1.362
-RNA Family	-Transcription	0	0	0	0
Environmental Information Processing	-Transcription	2.026	1.768	0.7124	0.721
-Signal Transduction	-Transcription	0.3248	0.2772	0.2156	0.2462
-Signaling Molecules and Interaction	-Transcription	1.836	1.595	0.5079	0.4929
Cellular Processes	-Transcription	2.541	2.452	2.488	2.405
-Cell structure	-Transcription	0	0	0	0
-Crystallins	-Transcription	0	0	0	0
-Stress Response	-Transcription	0	0	0	0
-Vesicular Transport	-Transcription	1.063	1.143	0.5594	0.7069
-Cytoskeleton	-Transcription	1.207	1.082	1.544	1.217
-Cell Motility	-Transcription	0	0	0	0
-Cell Growth and Death	-Transcription	0.3278	0.2654	0.4371	0.4402
-Cell Communication	-Transcription	0.1689	0.1409	0.1493	0.1616
Metabolism	-Transcription	5.558	5.66	7.59	8.664
-Membrane Transport	-Transcription	0.1248	0.1193	0.07665	0.08384
-Central Carbon Metabolism	-Transcription	0.9885	1.214	2.143	2.42
-Energy Metabolism	-Transcription	0.33	0.3054	0.5596	0.7056
-Biosynthesis	-Transcription	1.571	1.636	1.779	1.945
-Other Enzymes	-Transcription	2.945	3.008	3.939	4.489
Organismal Systems	-Transcription	2.368	2.346	1.72	1.471
-Immune System	-Transcription	1.529	1.701	0.6402	0.6395
-Endocrine System	-Transcription	0.1984	0.1804	0.4225	0.2002
-Circulatory System	-Transcription	0.07488	0.07768	0.1623	0.1693
-Digestive System	-Transcription	0.1629	0.09867	0.07035	0.0803
-Excretory System	-Transcription	0.2084	0.1853	0.1999	0.2026
-Nervous System	-Transcription	0.3249	0.2481	0.3587	0.358
-Sensory System	-Transcription	0.02234	0.02264	0.00923	0.005829
-Development	-Transcription	0.1437	0.12	0.0758	0.05935
-Environmental Adaptation	-Transcription	0.04528	0.05347	0.05858	0.04944
Human Diseases	-Transcription	2.614	2.8	3.13	3.297
-Cancers	-Transcription	0.3307	0.276	0.195	0.2155
-Immune System Diseases	-Transcription	0.1281	0.1229	0.1327	0.1301
-Neurodegenerative Diseases	-Transcription	0.9938	1.295	1.935	1.958
-Cardiovascular Diseases	-Transcription	0.08802	0.06043	0.1722	0.1386
-Metabolic Diseases	-Transcription	0.02973	0.02442	0.1894	0.3274
-Infectious Diseases	-Transcription	1.11	1.111	1.005	0.9838
Not Mapped	-Transcription	8.554	8.577	6.306	6.366
-Not Mapped	-Transcription	8.554	8.577	6.306	6.366
TOTAL	-Translation	7.61	5.554	9.237	8.964
MAPPED	-Translation	5.498	4.071	7.319	7.137
Genetic Information Processing	-Translation	2.212	1.803	3.033	2.968
-Transcription	-Translation	0.2538	0.1843	0.3661	0.329
-Translation	-Translation	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.6957	0.4455	1.323	1.282
-DNA Maintenance	-Translation	0.2712	0.1868	0.414	0.3928
-RNA Family	-Translation	0	0	0	0
Environmental Information Processing	-Translation	0.5015	0.3184	0.2163	0.2107
-Signal Transduction	-Translation	0.07869	0.04857	0.06546	0.07361
-Signaling Molecules and Interaction	-Translation	0.4545	0.2872	0.1759	0.1575
Cellular Processes	-Translation	0.6464	0.4519	0.8232	0.7287
-Cell structure	-Translation	0	0	0	0
-Crystallins	-Translation	0	0	0	0
-Stress Response	-Translation	0	0	0	0
-Vesicular Transport	-Translation	0.2694	0.2134	0.1923	0.2158
-Cytoskeleton	-Translation	0.3025	0.1923	0.4807	0.3694
-Cell Motility	-Translation	0	0	0	0
-Cell Growth and Death	-Translation	0.08223	0.0459	0.1454	0.1355
-Cell Communication	-Translation	0.04254	0.02566	0.05172	0.05159
Metabolism	-Translation	1.41	1.002	2.432	2.621
-Membrane Transport	-Translation	0.03219	0.02122	0.02716	0.02628
-Central Carbon Metabolism	-Translation	0.2504	0.2234	0.669	0.7241
-Energy Metabolism	-Translation	0.0834	0.05544	0.1938	0.2146
-Biosynthesis	-Translation	0.382	0.2832	0.5486	0.5401
-Other Enzymes	-Translation	0.7472	0.546	1.252	1.325
Organismal Systems	-Translation	0.5875	0.4311	0.5204	0.4408
-Immune System	-Translation	0.3845	0.3175	0.2026	0.1917
-Endocrine System	-Translation	0.04913	0.03162	0.1311	0.05948
-Circulatory System	-Translation	0.01885	0.0141	0.0546	0.05168
-Digestive System	-Translation	0.03946	0.01772	0.02233	0.02314
-Excretory System	-Translation	0.05288	0.03363	0.06557	0.06072
-Nervous System	-Translation	0.08244	0.04568	0.1243	0.1155
-Sensory System	-Translation	0.005669	0.004109	0.003379	0.00174
-Development	-Translation	0.03619	0.02034	0.02626	0.01915
-Environmental Adaptation	-Translation	0.01097	0.009062	0.01663	0.01333
Human Diseases	-Translation	0.6565	0.485	1.051	0.9553
-Cancers	-Translation	0.08062	0.05087	0.06586	0.06399
-Immune System Diseases	-Translation	0.03134	0.02222	0.04092	0.03696
-Neurodegenerative Diseases	-Translation	0.2522	0.2342	0.5627	0.5565
-Cardiovascular Diseases	-Translation	0.02307	0.01108	0.06016	0.04303
-Metabolic Diseases	-Translation	0.0074	0.00445	0.06857	0.1017
-Infectious Diseases	-Translation	0.2723	0.1883	0.3706	0.3146
Not Mapped	-Translation	2.112	1.483	1.918	1.827
-Not Mapped	-Translation	2.112	1.483	1.918	1.827
TOTAL	-Folding, Sorting and Degradation	12.22	14.19	8.296	8.351
MAPPED	-Folding, Sorting and Degradation	8.825	10.4	6.573	6.649
Genetic Information Processing	-Folding, Sorting and Degradation	3.439	4.511	2.558	2.59
-Transcription	-Folding, Sorting and Degradation	0.4056	0.4772	0.3176	0.3063
-Translation	-Folding, Sorting and Degradation	1.636	2.59	0.9065	0.9502
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.4236	0.4534	0.3469	0.3605
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.7701	0.7695	0.2023	0.2037
-Signal Transduction	-Folding, Sorting and Degradation	0.1288	0.1258	0.05862	0.06944
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.6979	0.6942	0.1478	0.137
Cellular Processes	-Folding, Sorting and Degradation	0.9758	1.118	0.7183	0.6714
-Cell structure	-Folding, Sorting and Degradation	0	0	0	0
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0.4313	0.5455	0.1706	0.1988
-Cytoskeleton	-Folding, Sorting and Degradation	0.4728	0.4896	0.4217	0.329
-Cell Motility	-Folding, Sorting and Degradation	0	0	0	0
-Cell Growth and Death	-Folding, Sorting and Degradation	0.1219	0.1058	0.1087	0.1113
-Cell Communication	-Folding, Sorting and Degradation	0.06488	0.06375	0.04678	0.04902
Metabolism	-Folding, Sorting and Degradation	2.187	2.525	2.188	2.441
-Membrane Transport	-Folding, Sorting and Degradation	0.0486	0.05426	0.02547	0.02322
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.401	0.571	0.6064	0.6695
-Energy Metabolism	-Folding, Sorting and Degradation	0.1281	0.1305	0.1753	0.1811
-Biosynthesis	-Folding, Sorting and Degradation	0.5923	0.7109	0.4184	0.4287
-Other Enzymes	-Folding, Sorting and Degradation	1.116	1.226	1.007	1.154
Organismal Systems	-Folding, Sorting and Degradation	0.8979	1.019	0.4529	0.3857
-Immune System	-Folding, Sorting and Degradation	0.5743	0.7359	0.163	0.1739
-Endocrine System	-Folding, Sorting and Degradation	0.07338	0.07459	0.1124	0.0554
-Circulatory System	-Folding, Sorting and Degradation	0.0284	0.03165	0.0495	0.04761
-Digestive System	-Folding, Sorting and Degradation	0.06456	0.04218	0.01703	0.01857
-Excretory System	-Folding, Sorting and Degradation	0.07871	0.0806	0.05906	0.05552
-Nervous System	-Folding, Sorting and Degradation	0.1352	0.1189	0.1056	0.09897
-Sensory System	-Folding, Sorting and Degradation	0.00815	0.009802	0.002553	0.00162
-Development	-Folding, Sorting and Degradation	0.0545	0.0493	0.02375	0.01819
-Environmental Adaptation	-Folding, Sorting and Degradation	0.01743	0.02196	0.01302	0.0108
Human Diseases	-Folding, Sorting and Degradation	0.9912	1.184	0.8333	0.7806
-Cancers	-Folding, Sorting and Degradation	0.1311	0.1238	0.05926	0.05961
-Immune System Diseases	-Folding, Sorting and Degradation	0.04817	0.05424	0.03121	0.02966
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.3997	0.5734	0.495	0.5062
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0.03483	0.02741	0.04966	0.03554
-Metabolic Diseases	-Folding, Sorting and Degradation	0.01118	0.01101	0.051	0.078
-Infectious Diseases	-Folding, Sorting and Degradation	0.3868	0.4399	0.2916	0.2547
Not Mapped	-Folding, Sorting and Degradation	3.391	3.788	1.722	1.702
-Not Mapped	-Folding, Sorting and Degradation	3.391	3.788	1.722	1.702
TOTAL	-DNA Maintenance	30.03	33.06	26.53	24.96
MAPPED	-DNA Maintenance	21.69	24.23	21.02	19.87
Genetic Information Processing	-DNA Maintenance	8.587	10.42	8.634	7.956
-Transcription	-DNA Maintenance	0.9806	1.058	1.045	0.9206
-Translation	-DNA Maintenance	4.034	6.009	2.977	2.854
-Folding, Sorting and Degradation	-DNA Maintenance	2.653	2.493	3.792	3.469
-DNA Maintenance	-DNA Maintenance	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0
Environmental Information Processing	-DNA Maintenance	1.818	1.697	0.6065	0.5803
-Signal Transduction	-DNA Maintenance	0.3165	0.2933	0.1871	0.2101
-Signaling Molecules and Interaction	-DNA Maintenance	1.648	1.531	0.4371	0.4044
Cellular Processes	-DNA Maintenance	2.47	2.543	2.292	1.97
-Cell structure	-DNA Maintenance	0	0	0	0
-Crystallins	-DNA Maintenance	0	0	0	0
-Stress Response	-DNA Maintenance	0	0	0	0
-Vesicular Transport	-DNA Maintenance	1	1.177	0.4956	0.5764
-Cytoskeleton	-DNA Maintenance	1.176	1.107	1.423	1.052
-Cell Motility	-DNA Maintenance	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	0.3151	0.2644	0.3638	0.3638
-Cell Communication	-DNA Maintenance	0.1638	0.1491	0.156	0.1472
Metabolism	-DNA Maintenance	5.372	5.871	6.503	7.217
-Membrane Transport	-DNA Maintenance	0.1289	0.1237	0.07368	0.06974
-Central Carbon Metabolism	-DNA Maintenance	0.9301	1.209	1.858	1.979
-Energy Metabolism	-DNA Maintenance	0.3024	0.3102	0.5374	0.5579
-Biosynthesis	-DNA Maintenance	1.541	1.663	1.325	1.435
-Other Enzymes	-DNA Maintenance	2.85	3.055	3.531	3.526
Organismal Systems	-DNA Maintenance	2.296	2.482	1.366	1.132
-Immune System	-DNA Maintenance	1.48	1.734	0.5476	0.5108
-Endocrine System	-DNA Maintenance	0.19	0.185	0.3698	0.1717
-Circulatory System	-DNA Maintenance	0.07261	0.0789	0.1427	0.1263
-Digestive System	-DNA Maintenance	0.1587	0.103	0.05395	0.0589
-Excretory System	-DNA Maintenance	0.2017	0.1882	0.1703	0.1559
-Nervous System	-DNA Maintenance	0.3356	0.2745	0.3371	0.3296
-Sensory System	-DNA Maintenance	0.02162	0.023	0.01006	0.004629
-Development	-DNA Maintenance	0.1394	0.1194	0.07919	0.05464
-Environmental Adaptation	-DNA Maintenance	0.04412	0.05321	0.04156	0.03666
Human Diseases	-DNA Maintenance	2.534	2.838	2.659	2.519
-Cancers	-DNA Maintenance	0.3222	0.2863	0.1648	0.1762
-Immune System Diseases	-DNA Maintenance	0.1245	0.13	0.09886	0.09569
-Neurodegenerative Diseases	-DNA Maintenance	1.027	1.374	1.568	1.588
-Cardiovascular Diseases	-DNA Maintenance	0.08508	0.06238	0.1632	0.1145
-Metabolic Diseases	-DNA Maintenance	0.02889	0.02582	0.1934	0.2705
-Infectious Diseases	-DNA Maintenance	1.05	1.106	0.9306	0.8316
Not Mapped	-DNA Maintenance	8.335	8.83	5.508	5.087
-Not Mapped	-DNA Maintenance	8.335	8.83	5.508	5.087
TOTAL	-RNA Family	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf	Inf
-Cell structure	-RNA Family	NaN	NaN	NaN	NaN
-Crystallins	-RNA Family	NaN	NaN	NaN	NaN
-Stress Response	-RNA Family	NaN	NaN	NaN	NaN
-Vesicular Transport	-RNA Family	Inf	Inf	Inf	Inf
-Cytoskeleton	-RNA Family	Inf	Inf	Inf	Inf
-Cell Motility	-RNA Family	NaN	NaN	NaN	NaN
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	Inf
-Cell Communication	-RNA Family	Inf	Inf	Inf	Inf
Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	Inf
Organismal Systems	-RNA Family	Inf	Inf	Inf	Inf
-Immune System	-RNA Family	Inf	Inf	Inf	Inf
-Endocrine System	-RNA Family	Inf	Inf	Inf	Inf
-Circulatory System	-RNA Family	Inf	Inf	Inf	Inf
-Digestive System	-RNA Family	Inf	Inf	Inf	Inf
-Excretory System	-RNA Family	Inf	Inf	Inf	Inf
-Nervous System	-RNA Family	Inf	Inf	Inf	Inf
-Sensory System	-RNA Family	NaN	NaN	NaN	NaN
-Development	-RNA Family	Inf	Inf	Inf	Inf
-Environmental Adaptation	-RNA Family	Inf	Inf	Inf	Inf
Human Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cancers	-RNA Family	Inf	Inf	Inf	Inf
-Immune System Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Metabolic Diseases	-RNA Family	NaN	NaN	NaN	NaN
-Infectious Diseases	-RNA Family	Inf	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	22.22	26.94	50.82	53.1
MAPPED	Environmental Information Processing	16.05	19.75	40.27	42.27
Genetic Information Processing	Environmental Information Processing	6.482	8.758	16.38	17.09
-Transcription	Environmental Information Processing	0.7437	0.8804	1.953	1.864
-Translation	Environmental Information Processing	2.931	4.85	5.805	6.105
-Folding, Sorting and Degradation	Environmental Information Processing	1.995	2.159	6.829	7.157
-DNA Maintenance	Environmental Information Processing	0.7686	0.8668	2.221	2.499
-RNA Family	Environmental Information Processing	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.2219	0.2166	0.3095	0.3605
-Signaling Molecules and Interaction	Environmental Information Processing	0.8897	0.9021	0.8486	0.805
Cellular Processes	Environmental Information Processing	1.853	2.134	4.433	4.112
-Cell structure	Environmental Information Processing	0	0	0	0
-Crystallins	Environmental Information Processing	0	0	0	0
-Stress Response	Environmental Information Processing	0	0	0	0
-Vesicular Transport	Environmental Information Processing	0.8603	1.022	0.9489	1.192
-Cytoskeleton	Environmental Information Processing	0.8866	0.9525	2.546	2.092
-Cell Motility	Environmental Information Processing	0	0	0	0
-Cell Growth and Death	Environmental Information Processing	0.2386	0.217	0.6903	0.7378
-Cell Communication	Environmental Information Processing	0.1294	0.1275	0.2712	0.3011
Metabolism	Environmental Information Processing	3.816	4.461	12.36	14.33
-Membrane Transport	Environmental Information Processing	0.0839	0.08889	0.1263	0.1384
-Central Carbon Metabolism	Environmental Information Processing	0.6621	0.9923	3.883	4.421
-Energy Metabolism	Environmental Information Processing	0.2176	0.2271	0.9212	1.052
-Biosynthesis	Environmental Information Processing	1.067	1.285	2.707	2.968
-Other Enzymes	Environmental Information Processing	2.19	2.204	6.753	7.398
Organismal Systems	Environmental Information Processing	1.704	2.202	2.9	2.556
-Immune System	Environmental Information Processing	1.137	1.59	0.991	1.016
-Endocrine System	Environmental Information Processing	0.1422	0.1469	0.6693	0.3154
-Circulatory System	Environmental Information Processing	0.05383	0.06839	0.2566	0.2561
-Digestive System	Environmental Information Processing	0.1063	0.08191	0.1102	0.1218
-Excretory System	Environmental Information Processing	0.155	0.1612	0.3186	0.3119
-Nervous System	Environmental Information Processing	0.1931	0.1775	0.6551	0.6092
-Sensory System	Environmental Information Processing	0.01662	0.01993	0.01474	0.009579
-Development	Environmental Information Processing	0.1033	0.0881	0.1097	0.08231
-Environmental Adaptation	Environmental Information Processing	0.02955	0.03925	0.08075	0.06646
Human Diseases	Environmental Information Processing	1.873	2.332	5.167	4.931
-Cancers	Environmental Information Processing	0.2158	0.1879	0.3444	0.3037
-Immune System Diseases	Environmental Information Processing	0.0894	0.1068	0.2019	0.1946
-Neurodegenerative Diseases	Environmental Information Processing	0.6632	0.951	3.128	3.321
-Cardiovascular Diseases	Environmental Information Processing	0.05718	0.04436	0.2797	0.2102
-Metabolic Diseases	Environmental Information Processing	0.02075	0.02122	0.35	0.5598
-Infectious Diseases	Environmental Information Processing	0.7628	0.8557	1.808	1.568
Not Mapped	Environmental Information Processing	6.166	7.194	10.55	10.82
