Category	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
--DNA replication	0.00045390266	0.00043871577	0.0018519659	0.0014620619
--DNA replication complex	0.0060258882	0.0050657245	0.0077770764	0.0063941148
--DNA replication control	0.0049355038	0.0042138065	0.00315072	0.0039613236
--Chromosome-related	0.024217433	0.021620154	0.023435099	0.026384711
--Base excision repair	0.00099210814	0.0015018922	0.00030943833	0.00041482679
--Nucleotide excision repair	0.00010217219	0.00012028106	2.4963001e-06	2.2695128e-06
--Mismatch repair	0.00055042835	0.0004403665	0.00062026386	0.0007386456
--Homologous recombination	3.2047167e-05	1.9164027e-05	8.0698731e-06	6.9669157e-06
--Non-homologous end-joining	0.0010621429	0.00098821381	0.0042164161	0.0040739043
--DNA repair and recombination proteins	0.0020532307	0.0017727442	0.0013373919	0.0016328162
Environmental Information Processing	0.10281807	0.09438463	0.039548609	0.037429983
-Signal Transduction	0.026141384	0.022291509	0.016079173	0.016495757
--Ras signaling pathway	0	0	0	0
--Rap1 signaling pathway	0	0	0	0
--Hippo signaling pathway	0	0	0	0
--NF-kappa B signaling pathway	0	0	0	0
--TNF signaling pathway	0	0	0	0
--HIF-1 signaling pathway	0	0	0	0
--PI3K-Akt signaling pathway	0	0	0	0
--FoxO signaling pathway	0	0	0	0
--Other signaling pathways	0.0001715295	0.00013782507	5.3536403e-05	5.5240026e-05
--Two-component system	0.00074789384	0.00056940342	0.00098377974	0.0011219053
--MAPK signaling pathway	0.0096135409	0.0080171119	0.0059936499	0.0056599877
--ErbB signaling pathway	0.0018005893	0.0011515558	0.0010806004	0.00078791866
--Wnt signaling pathway	0.0038714143	0.0035074648	0.0028206082	0.0030767187
--Notch signaling pathway	0.00075539677	0.00054806356	7.5171462e-05	6.6038623e-05
--Hedgehog signaling pathway	3.1765914e-05	1.3941431e-05	1.287121e-05	8.6708774e-06
--TGF-beta signaling pathway	0	0	0	0
--VEGF signaling pathway	0	0	0	0
--Jak-STAT signaling pathway	0.0018934866	0.0023409089	0.001106176	0.0015801329
--Calcium signaling pathway	0.0046366428	0.0038063867	0.0027107648	0.0027248523
--Phosphatidylinositol signaling system	0.0020140276	0.0016855395	0.00083725224	0.00099171118
--mTOR signaling pathway	0.00060509665	0.00051330754	0.00040476229	0.00042258061
--Plant hormone signal transduction	0	0	0	0
-Signaling Molecules and Interaction	0.07667669	0.072093122	0.023469436	0.020934226
--Insulin secretion	0	0	0	0
--G protein-coupled receptors	0.0032039803	0.00090132527	1.4175229e-05	1.4498826e-05
--Enzyme-linked receptors	0	0	0	0
--Cytokine receptors	0.00084829912	0.00063181215	0.00014119479	8.6648447e-05
--Ion channels	0.0017185829	0.0015224572	0.00083818937	0.0010775268
--Neuroactive ligand-receptor interaction	0.00059320027	0.00043924081	0.00053667887	0.00053064493
--Cytokine-cytokine receptor interaction	0.0014112683	0.0010588807	5.5508888e-05	5.1413408e-05
--Cytokines	0	0	0	0
--ECM-receptor interaction	0.0020080843	0.0013233717	0.00058163999	0.00026893028
--Cell adhesion molecules (CAMs)	0.021175868	0.017811331	0.0036091952	0.0031598071
--CAM ligands	0.010967413	0.0084018111	0.0026826813	0.0021312945
--Cellular antigens	0.020260376	0.028591208	0.0039709133	0.0041035593
--GTP-binding signaling proteins	0.013995983	0.010826358	0.010735422	0.0092598306
--Glycan binding proteins	0.00049363491	0.00058532657	0.00030383751	0.00025007162
--Bacterial toxins	0	0	0	0
Cellular Processes	0.093384562	0.089103742	0.1073028	0.099040876
-Vesicular Transport	0.036159029	0.039929626	0.024471093	0.029742689
--Endocytosis	0.017513482	0.020348112	0.009468525	0.0094680775
--Phagosome	0.0061795611	0.007238936	0.0029390952	0.0035219037
--Lysosome	0.003813113	0.0039338388	0.0015800938	0.0016985086
--Peroxisome	0.0083682724	0.008220071	0.010441917	0.014997034
--Regulation of autophagy	0.00028460074	0.00018866857	4.146179e-05	5.716565e-05
-Cytoskeleton	0.045860933	0.040318637	0.06552758	0.052241256
--Regulation of actin cytoskeleton	0.025919862	0.026094241	0.038476889	0.033165317
--Cytoskeleton proteins	0.019941071	0.014224397	0.027050691	0.019075939
-Cell Motility	0	0	0	0
--Bacterial chemotaxis	0	0	0	0
--Bacterial motility proteins	0	0	0	0
-Cell Growth and Death	0.0069459921	0.0050419093	0.012735676	0.011887826
--Cell cycle	0.0055940071	0.0040156262	0.0095235084	0.0089258166
--Meiosis	0	0	0	0
--Oocyte meiosis	8.3485018e-05	6.1133264e-05	2.4776209e-05	2.6789751e-05
--Apoptosis	0.0012685	0.00096514981	0.003187391	0.00293522
--p53 signaling pathway	0	0	0	0
-Cell Communication	0.0044186078	0.0038135695	0.0045684468	0.0051691044
--Focal adhesion	0.0020132046	0.0013487622	0.0024059255	0.0020177565
--Adherens junction	0.00027007911	0.00025818002	0.00024241866	0.00049263644
--Tight junction	0.0021353241	0.0022066273	0.0019201027	0.0026587114
--Gap junction	0	0	0	0
Metabolism	0.13098774	0.12818538	0.21780575	0.23673987
-Membrane Transport	0.0016631561	0.0012891706	0.0002231946	0.00030507107
--Transport	0.0012563034	0.00086474046	8.0053939e-05	0.0001407333
--Secretion system	0.0004068527	0.00042443012	0.00014314066	0.00016433777
-Central Carbon Metabolism	0.050607801	0.054545971	0.11623028	0.13375215
--Glycolysis	0.032734697	0.038988916	0.079770207	0.094607477
--TCA cycle and anaplerotic enzymes	0.0056163952	0.0044883064	0.014917734	0.0164343
--Pentose phosphate metabolism	0.002918844	0.0026629399	0.0059020756	0.0058802917
--Carbohydrate metabolism	0.0025956324	0.0020279922	0.0056804654	0.004032198
--Pyruvate metabolism	5.4213765e-05	3.7313606e-05	1.4145947e-05	1.6354079e-05
--Butanoate metabolism	0.0011424355	0.0012129874	0.0038283731	0.0043711498
--C5-Branched dibasic acid metabolism	0	0	0	0
--Other central metabolism enzymes	0.0055455831	0.0051275152	0.0061172802	0.0084103782
-Energy Metabolism	0.019039865	0.018941016	0.040498496	0.038553544
--Oxidative phosphorylation	0.018340828	0.018149408	0.03942743	0.037278388
--Photosynthesis	0	0	0	0
--Photosynthesis - antenna proteins	0	0	0	0
--Carbon fixation in photosynthetic organisms	0	0	0	0
--Carbon fixation pathways in prokaryotes	0	0	0	0
--Methane metabolism	0.00069903643	0.00079160729	0.0010710664	0.0012751561
-Biosynthesis	0.037321647	0.03175957	0.046018907	0.047989266
--Lipid and steroid metabolism	0.0072235358	0.0056243516	0.0082982634	0.0084801894
--Purine metabolism	0.0065279911	0.005905501	0.0096169957	0.010555752
--Pyrimidine metabolism	0.0034426715	0.0023816774	0.0048316317	0.0022975028
--Amino acid metabolism	0.008062439	0.0082477515	0.012361024	0.013463698
--Glycan metabolism	0.0022874864	0.0022762425	0.0019875373	0.0023183158
--Cofactor biosynthesis	0.0097775227	0.0073240461	0.0089234547	0.010873808
--Biosynthesis of other secondary metabolites	0	0	0	0
-Other Enzymes	0.02235527	0.021649658	0.014834874	0.016139844
--Other enzymes	0.021755462	0.021239288	0.0144566	0.015824343
--Protein kinases	0.00058216268	0.00039010428	0.00035646754	0.00029501638
--Cytochrome P450	1.7645292e-05	2.026526e-05	2.1807071e-05	2.0484351e-05
Organismal Systems	0.030237224	0.033329431	0.024591683	0.016442767
-Immune System	0.022481411	0.026545848	0.0069671508	0.006709187
--Response to viral infection	0.00028580539	0.0013053538	0.00025034305	0.00072495804
--Complement and coagulation cascades	0	0	0	0
--Toll-like receptor signaling pathway	8.1098334e-05	7.9463067e-05	5.80253e-05	6.7008308e-05
--NOD-like receptor signaling pathway	0.00018186297	0.00027403993	0.00042271633	0.00042153471
--RIG-I-like receptor signaling pathway	0.00013388808	8.7810469e-05	6.2728968e-05	7.4468614e-05
--Cytosolic DNA-sensing pathway	0	0	0	0
--Natural killer cell mediated cytotoxicity	0	0	0	0
--Antigen processing and presentation	0.017284858	0.019861131	0.0049582039	0.0039691626
--T cell receptor signaling pathway	0.00024103533	0.00019650167	6.8976807e-05	7.2486903e-05
--B cell receptor signaling pathway	0.00088008544	0.00091720656	0.00019495413	0.00014964941
--Fc gamma R-mediated phagocytosis	0.0023941934	0.0028993072	0.00066252818	0.00080648258
--Leukocyte transendothelial migration	0.00060301128	0.00049303854	7.5103166e-05	0.00012823228
--Intestinal immune network for IgA production	0	0	0	0
--Chemokine signaling pathway	0.00039557269	0.00043199605	0.0002135709	0.00029520358
-Endocrine System	0.0018090812	0.0018085459	0.010896272	0.0033803095
--Insulin signaling pathway	0.00091440431	0.00074534853	0.00035998824	0.00040286426
--Adipocytokine signaling pathway	0	0	0	0
--PPAR signaling pathway	0.00089467689	0.0010631974	0.010536284	0.0029774452
--Renin-angiotensin system	0	0	0	0
-Circulatory System	0.0001482448	8.6759825e-05	0.0017056441	0.0014796917
--Hemoglobin	0	0	0	0
--Cardiac muscle contraction	0.0001482448	8.6759825e-05	0.0017056441	0.0014796917
--Vascular smooth muscle contraction	0	0	0	0
-Digestive System	0.00048294549	0.00045021769	0.00011579469	0.00010014661
--Salivary secretion	0	0	0	0
--Pancreatic secretion	0	0	0	0
--Bile secretion	0	0	0	0
--Protein digestion and absorption	0.00040291942	0.00038267897	1.5483837e-05	1.031937e-05
--Fat digestion and absorption	0	0	0	0
--Vitamin digestion and absorption	0	0	0	0
--Mineral absorption	8.0026072e-05	6.7538719e-05	0.00010031086	8.9827238e-05
-Excretory System	0.004218537	0.0036541894	0.0044390054	0.0042614118
--Vasopressin-regulated water reabsorption	0.0039705791	0.0033715941	0.0041486693	0.003865572
--Aldosterone-regulated sodium reabsorption	0	0	0	0
--Endocrine and other factor-regulated calcium reabsorption	0	0	0	0
--Proximal tubule bicarbonate reclamation	0.00024795783	0.00028259535	0.00029033604	0.00039583978
--Collecting duct acid secretion	0	0	0	0
-Nervous System	0.0004785914	0.00035071152	0.00014117772	0.00021284636
--Synaptic vesicle cycle	0.00029606452	0.00015715634	7.0041713e-05	5.5317689e-05
--GABAergic synapse	0	0	0	0
--Glutamatergic synapse	0.00011570649	0.00014017731	4.8132292e-05	0.00013874681
--Long-term potentiation	0	0	0	0
--Neurotrophin signaling pathway	6.6820399e-05	5.3377874e-05	2.3003712e-05	1.878186e-05
-Sensory System	0	0	0	0
--Phototransduction	0	0	0	0
--Olfactory transduction	0	0	0	0
-Development	0.00061841277	0.00043315836	0.00032663848	0.00029917362
--Axon guidance	0.00013632589	8.2576972e-05	0.00017498423	0.00018007437
--Osteoclast differentiation	0.00048208688	0.00035058138	0.00015165426	0.00011909925
-Environmental Adaptation	0	0	0	0
--Circadian rhythm	0	0	0	0
--Plant-pathogen interaction	0	0	0	0
Human Diseases	0.0040634621	0.0035938436	0.0042625841	0.0042971274
-Cancers	0.0017505102	0.0013359058	0.00089862782	0.00095786796
--Proteoglycans in cancer	0	0	0	0
--MicroRNAs in cancer	0	0	0	0
--Transcriptional misregulation in cancer	0.00010994997	0.00010406752	3.3853698e-05	5.1167402e-05
--Viral carcinogenesis	5.5729631e-05	5.4572463e-05	0.00013523103	0.0002678232
--Pathways in cancer	0.0015848306	0.0011772658	0.00072954309	0.00063887736
--Non-small cell lung cancer	0	0	0	0
-Immune System Diseases	0.00030275058	0.00021305087	0.0015112433	0.0012455385
--Systemic lupus erythematosus	0.00030275058	0.00021305087	0.0015112433	0.0012455385
-Neurodegenerative Diseases	0.00073041286	0.00067140028	0.00086626416	0.001168935
--Alzheimer's disease	0	0	0	0
--Parkinson's disease	0	0	0	0
--Amyotrophic lateral sclerosis (ALS)	0.0001935888	0.00012166253	0.00049578561	0.00069514928
--Huntington's disease	0.00053682406	0.00054973775	0.00037047855	0.00047378573
-Cardiovascular Diseases	0.0002778347	0.00023402962	0.00024507832	0.00021443484
--Hypertrophic cardiomyopathy (HCM)	0.0002778347	0.00023402962	0.00024507832	0.00021443484
--Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0	0
-Infectious Diseases	0.0010019538	0.001139457	0.00074137047	0.00071035105
--HTLV-I infection	0	0	0	0
--Epstein-Barr virus infection	0	0	0	0
--Legionellosis	0	0	0	0
--Herpes simplex infection	0	0	0	0
--Salmonella infection	0	0	0	0
--Vibrio cholerae infection	0	0	0	0
--Pathogenic Escherichia coli infection	0.00022051451	0.0001474387	0.00012423467	0.00012692851
--Tuberculosis	0	0	0	0
--Bacterial invasion of epithelial cells	0.00059198051	0.00057050424	0.00042109464	0.00036481419
--Measles	0	0	0	0
--Influenza A	0.00016033442	0.00017623916	6.2146315e-05	8.0678803e-05
--Hepatitis C	2.9124352e-05	0.00024527492	0.00013389484	0.00013792955
Not Mapped	0.2775676	0.26704748	0.20762873	0.20383382
-Not Mapped	0.2775676	0.26704748	0.20762873	0.20383382
--Not mapped	0.2775676	0.26704748	0.20762873	0.20383382
