Category	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
--Homologous recombination	2.8134214e-05	1.8343252e-05	7.5383896e-06	6.4383394e-06
--Non-homologous end-joining	0.0017086136	0.0017278184	0.0067887902	0.0064707114
--DNA repair and recombination proteins	0.0032208544	0.00271929	0.0024676525	0.0027195586
Environmental Information Processing	0.091639308	0.086984299	0.035886491	0.033934637
-Signal Transduction	0.034669161	0.031310521	0.017357592	0.017955074
--Ras signaling pathway	0	0	0	0
--Rap1 signaling pathway	0	0	0	0
--Hippo signaling pathway	0	0	0	0
--NF-kappa B signaling pathway	0	0	0	0
--TNF signaling pathway	0	0	0	0
--HIF-1 signaling pathway	0	0	0	0
--PI3K-Akt signaling pathway	0	0	0	0
--FoxO signaling pathway	0	0	0	0
--Other signaling pathways	0.00013725267	0.00012024156	4.5582473e-05	4.6529028e-05
--Two-component system	0.00085545015	0.00070582506	0.0012836684	0.0014554219
--MAPK signaling pathway	0.010115563	0.0095402906	0.0051939497	0.0051848747
--ErbB signaling pathway	0.0041364777	0.0030487925	0.0024389435	0.0020009548
--Wnt signaling pathway	0.00298784	0.0026994641	0.0018387367	0.0019750211
--Notch signaling pathway	0.0015937615	0.0016191397	0.00011477856	9.4370895e-05
--Hedgehog signaling pathway	1.7211695e-05	8.2359559e-06	7.42076e-06	4.9455372e-06
--TGF-beta signaling pathway	0	0	0	0
--VEGF signaling pathway	0	0	0	0
--Jak-STAT signaling pathway	0.0035799002	0.0040918372	0.0016362478	0.0024067903
--Calcium signaling pathway	0.0065483342	0.0052471049	0.0029175163	0.0029186359
--Phosphatidylinositol signaling system	0.0039112431	0.0035275666	0.001500515	0.0014977767
--mTOR signaling pathway	0.00078612695	0.00070202296	0.0003802332	0.00036975345
--Plant hormone signal transduction	0	0	0	0
-Signaling Molecules and Interaction	0.056970146	0.055673778	0.018528899	0.015979562
--Insulin secretion	0	0	0	0
--G protein-coupled receptors	0.0031138898	0.0011466624	2.8494536e-05	2.9467143e-05
--Enzyme-linked receptors	0	0	0	0
--Cytokine receptors	0.00053720832	0.00043624059	9.5143489e-05	5.7762054e-05
--Ion channels	0.0010027512	0.0010089145	0.00051541678	0.0006877296
--Neuroactive ligand-receptor interaction	0.0012514258	0.00098174793	0.0015227191	0.0013615404
--Cytokine-cytokine receptor interaction	0.00067109942	0.00054899541	2.8087075e-05	2.5736045e-05
--Cytokines	0	0	0	0
--ECM-receptor interaction	0.003402461	0.0023669913	0.0011099292	0.00048847511
--Cell adhesion molecules (CAMs)	0.017471093	0.01508346	0.0038172245	0.00297977
--CAM ligands	0.0052618915	0.0049959079	0.0013755279	0.0013494406
--Cellular antigens	0.016210133	0.021946951	0.0036960899	0.0036144371
--GTP-binding signaling proteins	0.0077107186	0.0066897293	0.0061277518	0.005204086
--Glycan binding proteins	0.00033747491	0.00046817829	0.0002125145	0.00018111837
--Bacterial toxins	0	0	0	0
Cellular Processes	0.11304361	0.10671916	0.12003668	0.11089983
-Vesicular Transport	0.041226607	0.046715236	0.028607382	0.031595927
--Endocytosis	0.022547521	0.025469584	0.014246528	0.01319299
--Phagosome	0.0067599283	0.0084536673	0.003376284	0.0039007145
--Lysosome	0.0052002363	0.0058231359	0.0023273233	0.0026342875
--Peroxisome	0.0062549346	0.0066385413	0.0085559222	0.011717004
--Regulation of autophagy	0.00046398687	0.00033030765	0.00010132424	0.00015093157
-Cytoskeleton	0.058022588	0.048912579	0.073204073	0.061583938
--Regulation of actin cytoskeleton	0.017957482	0.017805697	0.024072992	0.021195966
--Cytoskeleton proteins	0.040065106	0.031106882	0.049131081	0.040387972
-Cell Motility	0	0	0	0
--Bacterial chemotaxis	0	0	0	0
--Bacterial motility proteins	0	0	0	0
-Cell Growth and Death	0.0046845921	0.003611942	0.0084094788	0.00751739
--Cell cycle	0.0032297938	0.0025587172	0.0058401898	0.0054388155
--Meiosis	0	0	0	0
--Oocyte meiosis	0.00023571621	0.00018819274	7.4435905e-05	7.9622849e-05
--Apoptosis	0.0012190822	0.00086503201	0.0024948532	0.0019989517
--p53 signaling pathway	0	0	0	0
-Cell Communication	0.0091098235	0.0074794049	0.0098157473	0.01020257
--Focal adhesion	0.0056282717	0.0039263769	0.006993933	0.0061907943
--Adherens junction	0.00046780498	0.00041882701	0.00039568188	0.00079682057
--Tight junction	0.0030137468	0.003134201	0.0024261324	0.0032149551
--Gap junction	0	0	0	0
Metabolism	0.13203867	0.13615486	0.22185457	0.24104376
-Membrane Transport	0.0020858433	0.0016179663	0.00021320584	0.00032437499
--Transport	0.0019202773	0.0014296515	0.00015122411	0.00025397712
--Secretion system	0.000165566	0.00018831483	6.1981725e-05	7.0397866e-05
-Central Carbon Metabolism	0.049108047	0.055185143	0.12236001	0.14056945
--Glycolysis	0.028638278	0.036210367	0.07776251	0.091837732
--TCA cycle and anaplerotic enzymes	0.0067455276	0.005529977	0.017584471	0.019668041
--Pentose phosphate metabolism	0.0032753487	0.0032413388	0.0068365243	0.0063348831
--Carbohydrate metabolism	0.0026619581	0.0023308608	0.0052021483	0.0043983523
--Pyruvate metabolism	0.00029077129	0.0002181994	8.0731065e-05	9.2332838e-05
--Butanoate metabolism	0.0014942969	0.0018069068	0.0064375681	0.0072340736
--C5-Branched dibasic acid metabolism	0	0	0	0
--Other central metabolism enzymes	0.0060018664	0.0058474936	0.0084560625	0.011004035
-Energy Metabolism	0.013247495	0.012771681	0.034303264	0.031418622
--Oxidative phosphorylation	0.01270126	0.012096074	0.033172934	0.030160043
--Photosynthesis	0	0	0	0
--Photosynthesis - antenna proteins	0	0	0	0
--Carbon fixation in photosynthetic organisms	0	0	0	0
--Carbon fixation pathways in prokaryotes	0	0	0	0
--Methane metabolism	0.00054623499	0.00067560698	0.0011303304	0.0012585791
-Biosynthesis	0.034452671	0.032246017	0.044688832	0.04778711
--Lipid and steroid metabolism	0.0084996281	0.007195695	0.0094384719	0.010461203
--Purine metabolism	0.0051727311	0.0048976943	0.0077219193	0.0084507947
--Pyrimidine metabolism	0.00256278	0.0017783749	0.0043225117	0.0020147817
--Amino acid metabolism	0.0080768065	0.0089870042	0.012656125	0.013712078
--Glycan metabolism	0.0032831883	0.0036023544	0.0032308519	0.0041149039
--Cofactor biosynthesis	0.0068575369	0.0057848947	0.0073189527	0.0090333492
--Biosynthesis of other secondary metabolites	0	0	0	0
-Other Enzymes	0.033144618	0.034334049	0.020289258	0.020944203
--Other enzymes	0.032363108	0.033793911	0.019878554	0.020585314
--Protein kinases	0.00076254992	0.00051639623	0.00038577092	0.00033571852
--Cytochrome P450	1.8960101e-05	2.3741511e-05	2.4933075e-05	2.3169793e-05
Organismal Systems	0.017467769	0.021305192	0.014902069	0.013546353
-Immune System	0.012066978	0.016285156	0.0066578753	0.0079406285
--Response to viral infection	0.00057582732	0.0027186751	0.00050851222	0.0015132604
--Complement and coagulation cascades	0	0	0	0
--Toll-like receptor signaling pathway	5.0801488e-05	5.4271798e-05	3.8676628e-05	4.4185656e-05
--NOD-like receptor signaling pathway	0.00011088048	0.0001628583	0.00036080771	0.00033624946
--RIG-I-like receptor signaling pathway	0.00022665392	0.00016241423	9.1812307e-05	0.00010152488
--Cytosolic DNA-sensing pathway	0	0	0	0
--Natural killer cell mediated cytotoxicity	0	0	0	0
--Antigen processing and presentation	0.0054544926	0.007137241	0.0030340188	0.0029761426
--T cell receptor signaling pathway	0.00026729234	0.00021987034	6.6009737e-05	6.154277e-05
--B cell receptor signaling pathway	0.0012239987	0.0011488034	0.00031401182	0.0001912527
--Fc gamma R-mediated phagocytosis	0.0021542837	0.0025208338	0.0016408627	0.001803302
--Leukocyte transendothelial migration	0.00090405896	0.00080714257	0.00017008664	0.00027046389
--Intestinal immune network for IgA production	0	0	0	0
--Chemokine signaling pathway	0.0010986885	0.0013530457	0.00043307676	0.00064270423
-Endocrine System	0.0013157595	0.0013421854	0.0039433202	0.0015092112
--Insulin signaling pathway	0.0010138376	0.0009502271	0.0004107337	0.00048078782
--Adipocytokine signaling pathway	0	0	0	0
--PPAR signaling pathway	0.00030192188	0.00039195827	0.0035325865	0.0010284233
--Renin-angiotensin system	0	0	0	0
-Circulatory System	9.625244e-05	6.1417953e-05	0.0011783856	0.0010113271
--Hemoglobin	0	0	0	0
--Cardiac muscle contraction	9.625244e-05	6.1417953e-05	0.0011783856	0.0010113271
--Vascular smooth muscle contraction	0	0	0	0
-Digestive System	0.00056237863	0.00057497034	0.00010578538	8.9097523e-05
--Salivary secretion	0	0	0	0
--Pancreatic secretion	0	0	0	0
--Bile secretion	0	0	0	0
--Protein digestion and absorption	0.0004983442	0.00051604811	2.0377763e-05	1.3435459e-05
--Fat digestion and absorption	0	0	0	0
--Vitamin digestion and absorption	0	0	0	0
--Mineral absorption	6.4034421e-05	5.8922232e-05	8.540762e-05	7.5662063e-05
-Excretory System	0.00208936	0.0020098637	0.0023609141	0.002305397
--Vasopressin-regulated water reabsorption	0.0018387986	0.001698516	0.0020487349	0.0018843372
--Aldosterone-regulated sodium reabsorption	0	0	0	0
--Endocrine and other factor-regulated calcium reabsorption	0	0	0	0
--Proximal tubule bicarbonate reclamation	0.00025056134	0.00031134767	0.00031217913	0.00042105982
--Collecting duct acid secretion	0	0	0	0
-Nervous System	0.00060003288	0.00049503438	0.00019972219	0.0002435114
--Synaptic vesicle cycle	0.00023690179	0.00013710657	5.9635582e-05	4.6594447e-05
--GABAergic synapse	0	0	0	0
--Glutamatergic synapse	9.2584799e-05	0.0001222937	4.0981254e-05	0.00011686733
--Long-term potentiation	0	0	0	0
--Neurotrophin signaling pathway	0.00027054629	0.00023563411	9.9105355e-05	8.0049616e-05
-Sensory System	0	0	0	0
--Phototransduction	0	0	0	0
--Olfactory transduction	0	0	0	0
-Development	0.00073700766	0.00053656449	0.00045606609	0.00044718047
--Axon guidance	0.00025206328	0.00015206139	0.00029374015	0.00032106633
--Osteoclast differentiation	0.00048494438	0.00038450311	0.00016232594	0.00012611414
-Environmental Adaptation	0	0	0	0
--Circadian rhythm	0	0	0	0
--Plant-pathogen interaction	0	0	0	0
Human Diseases	0.0052222906	0.0051371225	0.005258903	0.0054955636
-Cancers	0.0021311337	0.0017355824	0.0010837578	0.0010995903
--Proteoglycans in cancer	0	0	0	0
--MicroRNAs in cancer	0	0	0	0
--Transcriptional misregulation in cancer	0.00039290228	0.00037639049	0.00013079413	0.00017467921
--Viral carcinogenesis	0.00015856353	0.00012110038	0.00015136856	0.00024817618
--Pathways in cancer	0.0015796679	0.0012380916	0.00080159508	0.00067673495
--Non-small cell lung cancer	0	0	0	0
-Immune System Diseases	0.00033110515	0.00024539874	0.0015791872	0.001293837
--Systemic lupus erythematosus	0.00033110515	0.00024539874	0.0015791872	0.001293837
-Neurodegenerative Diseases	0.0010268077	0.0012363329	0.0010943777	0.0015139853
--Alzheimer's disease	0	0	0	0
--Parkinson's disease	0	0	0	0
--Amyotrophic lateral sclerosis (ALS)	0.00013705992	9.4055194e-05	0.00042547547	0.00057501516
--Huntington's disease	0.00088974776	0.0011422777	0.00066890223	0.00093897015
-Cardiovascular Diseases	0.00016133706	0.00014817088	0.00015143256	0.0001310784
--Hypertrophic cardiomyopathy (HCM)	0.00016133706	0.00014817088	0.00015143256	0.0001310784
--Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0	0
-Infectious Diseases	0.001571907	0.0017716375	0.0013501477	0.0014570726
--HTLV-I infection	0	0	0	0
--Epstein-Barr virus infection	0	0	0	0
--Legionellosis	0	0	0	0
--Herpes simplex infection	0.00015516585	0.00016534366	0.00026032476	0.00035191669
--Salmonella infection	0	0	0	0
--Vibrio cholerae infection	0	0	0	0
--Pathogenic Escherichia coli infection	0.00051926415	0.00037853588	0.00031128679	0.0003146288
--Tuberculosis	0	0	0	0
--Bacterial invasion of epithelial cells	0.00058961871	0.00062295077	0.00046743103	0.00041758813
--Measles	0.00011714089	0.00012880437	0.00010042272	0.00014564986
--Influenza A	0.00015889022	0.00018376304	5.4988215e-05	6.8621857e-05
--Hepatitis C	3.1827176e-05	0.0002922398	0.00015569419	0.00015866725
Not Mapped	0.22040993	0.23148909	0.17280246	0.1675788
-Not Mapped	0.22040993	0.23148909	0.17280246	0.1675788
--Not mapped	0.22040993	0.23148909	0.17280246	0.1675788
