Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
Genetic Information Processing	Genetic Information Processing	1	1	1	1
-Transcription	Genetic Information Processing	0.1274	0.1244	0.1259	0.1222
-Translation	Genetic Information Processing	0.3366	0.4137	0.284	0.2854
-Folding, Sorting and Degradation	Genetic Information Processing	0.3295	0.2762	0.4348	0.4343
-DNA Maintenance	Genetic Information Processing	0.2002	0.1757	0.1505	0.1542
-RNA Family	Genetic Information Processing	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.1394	0.1163	0.05386	0.0531
-Signal Transduction	Genetic Information Processing	0.03902	0.03291	0.0191	0.02049
-Signaling Molecules and Interaction	Genetic Information Processing	0.09705	0.08335	0.03822	0.03565
Cellular Processes	Genetic Information Processing	0.3267	0.2975	0.2898	0.2709
-Cell structure	Genetic Information Processing	0	0	0	0
-Crystallins	Genetic Information Processing	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.1045	0.1179	0.05688	0.0612
-Cytoskeleton	Genetic Information Processing	0.1554	0.1278	0.1586	0.1358
-Cell Motility	Genetic Information Processing	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.03476	0.02922	0.03489	0.0362
-Cell Communication	Genetic Information Processing	0.03007	0.02363	0.03069	0.02992
Metabolism	Genetic Information Processing	0.6194	0.5989	0.7618	0.8227
-Membrane Transport	Genetic Information Processing	0.0103	0.008547	0.004749	0.004662
-Central Carbon Metabolism	Genetic Information Processing	0.07455	0.06645	0.1377	0.17
-Energy Metabolism	Genetic Information Processing	0.0236	0.0227	0.05204	0.06027
-Biosynthesis	Genetic Information Processing	0.1437	0.1503	0.1575	0.1842
-Other Enzymes	Genetic Information Processing	0.3577	0.3273	0.3725	0.4102
Organismal Systems	Genetic Information Processing	0.2063	0.2103	0.1362	0.1398
-Immune System	Genetic Information Processing	0.1159	0.1227	0.0614	0.06658
-Endocrine System	Genetic Information Processing	0.02282	0.01875	0.02446	0.01825
-Circulatory System	Genetic Information Processing	0.003841	0.003601	0.007364	0.006386
-Digestive System	Genetic Information Processing	0.01263	0.01292	0.003586	0.002999
-Excretory System	Genetic Information Processing	0.01437	0.01177	0.01486	0.01401
-Nervous System	Genetic Information Processing	0.01704	0.01345	0.01054	0.01083
-Sensory System	Genetic Information Processing	0.001724	0.001883	0.0004116	0.0004815
-Development	Genetic Information Processing	0.01112	0.01008	0.004142	0.004024
-Environmental Adaptation	Genetic Information Processing	0.0007585	0.0006159	0.001189	0.001049
Human Diseases	Genetic Information Processing	0.2038	0.1933	0.2421	0.2566
-Cancers	Genetic Information Processing	0.03898	0.0301	0.02145	0.02262
-Immune System Diseases	Genetic Information Processing	0.007489	0.006533	0.008658	0.007187
-Neurodegenerative Diseases	Genetic Information Processing	0.04666	0.04586	0.08908	0.08093
-Cardiovascular Diseases	Genetic Information Processing	0.01636	0.01129	0.02126	0.01233
-Metabolic Diseases	Genetic Information Processing	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0.07486	0.07958	0.05629	0.05978
Not Mapped	Genetic Information Processing	0.7114	0.7333	0.5207	0.5112
-Not Mapped	Genetic Information Processing	0.7114	0.7333	0.5207	0.5112
TOTAL	-Transcription	25.25	25.23	23.95	25.3
MAPPED	-Transcription	19.69	19.39	19.81	21.06
Genetic Information Processing	-Transcription	7.789	7.949	7.886	8.179
-Transcription	-Transcription	1	1	1	1
-Translation	-Transcription	2.663	3.295	2.278	2.379
-Folding, Sorting and Degradation	-Transcription	2.567	2.178	3.44	3.565
-DNA Maintenance	-Transcription	1.556	1.41	1.182	1.257
-RNA Family	-Transcription	0	0	0	0
Environmental Information Processing	-Transcription	1.084	0.9967	0.4293	0.4498
-Signal Transduction	-Transcription	0.2823	0.2614	0.1541	0.1728
-Signaling Molecules and Interaction	-Transcription	0.7798	0.689	0.3007	0.2884
Cellular Processes	-Transcription	2.631	2.309	2.302	2.207
-Cell structure	-Transcription	0	0	0	0
-Crystallins	-Transcription	0	0	0	0
-Stress Response	-Transcription	0	0	0	0
-Vesicular Transport	-Transcription	0.8154	0.9201	0.4684	0.4981
-Cytoskeleton	-Transcription	1.211	1.008	1.236	1.117
-Cell Motility	-Transcription	0	0	0	0
-Cell Growth and Death	-Transcription	0.2751	0.2363	0.277	0.2961
-Cell Communication	-Transcription	0.2374	0.189	0.2473	0.2437
Metabolism	-Transcription	4.86	4.696	5.965	6.885
-Membrane Transport	-Transcription	0.0813	0.06873	0.03737	0.03794
-Central Carbon Metabolism	-Transcription	0.5882	0.5366	1.094	1.391
-Energy Metabolism	-Transcription	0.1858	0.1753	0.4149	0.5017
-Biosynthesis	-Transcription	1.194	1.149	1.252	1.492
-Other Enzymes	-Transcription	2.807	2.572	2.925	3.355
Organismal Systems	-Transcription	1.571	1.658	1.086	1.153
-Immune System	-Transcription	0.8826	0.9754	0.4875	0.5419
-Endocrine System	-Transcription	0.1859	0.1438	0.1859	0.1464
-Circulatory System	-Transcription	0.02926	0.02849	0.06024	0.0541
-Digestive System	-Transcription	0.09621	0.1076	0.02859	0.02472
-Excretory System	-Transcription	0.1193	0.1029	0.1163	0.1146
-Nervous System	-Transcription	0.1298	0.1023	0.08252	0.0907
-Sensory System	-Transcription	0.0127	0.01462	0.003223	0.003877
-Development	-Transcription	0.08474	0.0767	0.03348	0.03208
-Environmental Adaptation	-Transcription	0.005908	0.004857	0.009447	0.008582
Human Diseases	-Transcription	1.66	1.703	1.909	2.12
-Cancers	-Transcription	0.282	0.2431	0.1656	0.1841
-Immune System Diseases	-Transcription	0.05418	0.04971	0.06779	0.05774
-Neurodegenerative Diseases	-Transcription	0.3553	0.3518	0.6975	0.6671
-Cardiovascular Diseases	-Transcription	0.1246	0.08593	0.1718	0.1005
-Metabolic Diseases	-Transcription	0	0	0	0
-Infectious Diseases	-Transcription	0.5701	0.6055	0.4636	0.5062
Not Mapped	-Transcription	5.566	5.84	4.139	4.239
-Not Mapped	-Transcription	5.566	5.84	4.139	4.239
TOTAL	-Translation	9.349	7.564	10.51	10.6
MAPPED	-Translation	7.289	5.813	8.696	8.827
Genetic Information Processing	-Translation	2.911	2.417	3.453	3.419
-Transcription	-Translation	0.3686	0.2979	0.4386	0.4195
-Translation	-Translation	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.9401	0.6617	1.537	1.533
-DNA Maintenance	-Translation	0.5737	0.4198	0.5183	0.5404
-RNA Family	-Translation	0	0	0	0
Environmental Information Processing	-Translation	0.3995	0.286	0.1907	0.1879
-Signal Transduction	-Translation	0.1117	0.08052	0.0689	0.0722
-Signaling Molecules and Interaction	-Translation	0.2825	0.2038	0.1297	0.121
Cellular Processes	-Translation	0.9478	0.7192	0.9742	0.9255
-Cell structure	-Translation	0	0	0	0
-Crystallins	-Translation	0	0	0	0
-Stress Response	-Translation	0	0	0	0
-Vesicular Transport	-Translation	0.3089	0.2863	0.201	0.2088
-Cytoskeleton	-Translation	0.4402	0.3031	0.542	0.4628
-Cell Motility	-Translation	0	0	0	0
-Cell Growth and Death	-Translation	0.09857	0.06871	0.1199	0.125
-Cell Communication	-Translation	0.08976	0.0577	0.1081	0.1048
Metabolism	-Translation	1.82	1.461	2.715	2.929
-Membrane Transport	-Translation	0.0308	0.02099	0.01726	0.01593
-Central Carbon Metabolism	-Translation	0.2228	0.1628	0.4602	0.5729
-Energy Metabolism	-Translation	0.06976	0.05564	0.1855	0.2146
-Biosynthesis	-Translation	0.4313	0.3669	0.5265	0.64
-Other Enzymes	-Translation	1.05	0.7698	1.283	1.456
Organismal Systems	-Translation	0.59	0.4941	0.4853	0.4834
-Immune System	-Translation	0.3314	0.2886	0.2111	0.2302
-Endocrine System	-Translation	0.06643	0.04476	0.08444	0.06142
-Circulatory System	-Translation	0.01141	0.00848	0.02662	0.0226
-Digestive System	-Translation	0.03752	0.03038	0.01278	0.01022
-Excretory System	-Translation	0.04313	0.02872	0.05005	0.04917
-Nervous System	-Translation	0.04873	0.03283	0.03506	0.03789
-Sensory System	-Translation	0.005018	0.004552	0.001421	0.001621
-Development	-Translation	0.03305	0.02461	0.01459	0.01376
-Environmental Adaptation	-Translation	0.002152	0.001456	0.003974	0.003535
Human Diseases	-Translation	0.603	0.4754	0.8586	0.9202
-Cancers	-Translation	0.1164	0.0739	0.07377	0.07869
-Immune System Diseases	-Translation	0.02235	0.01595	0.0288	0.02506
-Neurodegenerative Diseases	-Translation	0.1334	0.1095	0.2964	0.2758
-Cardiovascular Diseases	-Translation	0.04861	0.02758	0.07487	0.04321
-Metabolic Diseases	-Translation	0	0	0	0
-Infectious Diseases	-Translation	0.214	0.1943	0.2035	0.2128
Not Mapped	-Translation	2.061	1.751	1.817	1.777
-Not Mapped	-Translation	2.061	1.751	1.817	1.777
TOTAL	-Folding, Sorting and Degradation	9.6	10.97	6.841	6.915
MAPPED	-Folding, Sorting and Degradation	7.484	8.429	5.659	5.756
Genetic Information Processing	-Folding, Sorting and Degradation	2.981	3.475	2.291	2.285
-Transcription	-Folding, Sorting and Degradation	0.379	0.4301	0.2835	0.2772
-Translation	-Folding, Sorting and Degradation	1.051	1.477	0.6501	0.6476
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.5899	0.6198	0.3436	0.3525
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.4055	0.3884	0.1217	0.1208
-Signal Transduction	-Folding, Sorting and Degradation	0.1172	0.1146	0.04263	0.04641
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.2883	0.2857	0.09091	0.08084
Cellular Processes	-Folding, Sorting and Degradation	0.9864	1.03	0.6691	0.6366
-Cell structure	-Folding, Sorting and Degradation	0	0	0	0
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0.3171	0.4091	0.127	0.1352
-Cytoskeleton	-Folding, Sorting and Degradation	0.4716	0.4437	0.3765	0.3206
-Cell Motility	-Folding, Sorting and Degradation	0	0	0	0
-Cell Growth and Death	-Folding, Sorting and Degradation	0.1036	0.1015	0.07843	0.08097
-Cell Communication	-Folding, Sorting and Degradation	0.09548	0.0872	0.07033	0.06849
Metabolism	-Folding, Sorting and Degradation	1.842	2.071	1.718	1.884
-Membrane Transport	-Folding, Sorting and Degradation	0.0306	0.02956	0.01092	0.01073
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.221	0.2272	0.318	0.3966
-Energy Metabolism	-Folding, Sorting and Degradation	0.07135	0.07764	0.1141	0.139
-Biosynthesis	-Folding, Sorting and Degradation	0.4523	0.4992	0.3696	0.4247
-Other Enzymes	-Folding, Sorting and Degradation	1.084	1.181	0.8479	0.9299
Organismal Systems	-Folding, Sorting and Degradation	0.6321	0.7179	0.3166	0.3131
-Immune System	-Folding, Sorting and Degradation	0.3429	0.434	0.1392	0.1471
-Endocrine System	-Folding, Sorting and Degradation	0.06715	0.06821	0.05709	0.04466
-Circulatory System	-Folding, Sorting and Degradation	0.01218	0.01304	0.01644	0.01457
-Digestive System	-Folding, Sorting and Degradation	0.04004	0.04488	0.00796	0.007159
-Excretory System	-Folding, Sorting and Degradation	0.04163	0.04282	0.03574	0.03169
-Nervous System	-Folding, Sorting and Degradation	0.05221	0.04961	0.02535	0.02591
-Sensory System	-Folding, Sorting and Degradation	0.005073	0.006504	0.000996	0.001178
-Development	-Folding, Sorting and Degradation	0.03527	0.0372	0.009492	0.009265
-Environmental Adaptation	-Folding, Sorting and Degradation	0.002302	0.002218	0.002746	0.002429
Human Diseases	-Folding, Sorting and Degradation	0.5905	0.6417	0.5405	0.5877
-Cancers	-Folding, Sorting and Degradation	0.1199	0.1034	0.04796	0.05025
-Immune System Diseases	-Folding, Sorting and Degradation	0.02378	0.02411	0.01998	0.01655
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.1429	0.1668	0.2143	0.1937
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0.04952	0.04084	0.04871	0.02819
-Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0.2293	0.2833	0.1257	0.132
Not Mapped	-Folding, Sorting and Degradation	2.116	2.539	1.182	1.159
-Not Mapped	-Folding, Sorting and Degradation	2.116	2.539	1.182	1.159
TOTAL	-DNA Maintenance	16.18	17.89	19.15	19.4
MAPPED	-DNA Maintenance	12.61	13.75	15.84	16.15
Genetic Information Processing	-DNA Maintenance	4.984	5.654	6.497	6.452
-Transcription	-DNA Maintenance	0.6352	0.7078	0.8189	0.7888
-Translation	-DNA Maintenance	1.673	2.322	1.927	1.817
-Folding, Sorting and Degradation	-DNA Maintenance	1.676	1.611	2.87	2.814
-DNA Maintenance	-DNA Maintenance	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0
Environmental Information Processing	-DNA Maintenance	0.6892	0.6505	0.35	0.3357
-Signal Transduction	-DNA Maintenance	0.1843	0.1846	0.1241	0.1276
-Signaling Molecules and Interaction	-DNA Maintenance	0.4899	0.4663	0.2375	0.2145
Cellular Processes	-DNA Maintenance	1.674	1.668	1.904	1.761
-Cell structure	-DNA Maintenance	0	0	0	0
-Crystallins	-DNA Maintenance	0	0	0	0
-Stress Response	-DNA Maintenance	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0.5346	0.6487	0.3776	0.4057
-Cytoskeleton	-DNA Maintenance	0.7741	0.7183	1.046	0.8902
-Cell Motility	-DNA Maintenance	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	0.1769	0.1691	0.2411	0.2336
-Cell Communication	-DNA Maintenance	0.1528	0.1359	0.1994	0.2053
Metabolism	-DNA Maintenance	3.173	3.343	5.118	5.431
-Membrane Transport	-DNA Maintenance	0.05116	0.04769	0.03135	0.03154
-Central Carbon Metabolism	-DNA Maintenance	0.3701	0.3781	0.9705	1.116
-Energy Metabolism	-DNA Maintenance	0.1172	0.1225	0.3768	0.4007
-Biosynthesis	-DNA Maintenance	0.7075	0.7993	1.06	1.13
-Other Enzymes	-DNA Maintenance	1.842	1.903	2.374	2.496
Organismal Systems	-DNA Maintenance	1.072	1.198	0.8901	0.8772
-Immune System	-DNA Maintenance	0.5828	0.6938	0.408	0.448
-Endocrine System	-DNA Maintenance	0.1176	0.1068	0.1477	0.1076
-Circulatory System	-DNA Maintenance	0.01772	0.02101	0.04784	0.03995
-Digestive System	-DNA Maintenance	0.06236	0.07623	0.02385	0.01877
-Excretory System	-DNA Maintenance	0.07075	0.06704	0.1017	0.09016
-Nervous System	-DNA Maintenance	0.08851	0.07151	0.06757	0.06698
-Sensory System	-DNA Maintenance	0.008287	0.01035	0.002543	0.002863
-Development	-DNA Maintenance	0.05284	0.05362	0.02657	0.02756
-Environmental Adaptation	-DNA Maintenance	0.003908	0.003473	0.008322	0.006784
Human Diseases	-DNA Maintenance	1.003	1.081	1.569	1.512
-Cancers	-DNA Maintenance	0.1856	0.1724	0.139	0.1631
-Immune System Diseases	-DNA Maintenance	0.03536	0.03475	0.05527	0.04592
-Neurodegenerative Diseases	-DNA Maintenance	0.2423	0.2611	0.5712	0.4836
-Cardiovascular Diseases	-DNA Maintenance	0.07549	0.06007	0.1364	0.07996
-Metabolic Diseases	-DNA Maintenance	0	0	0	0
-Infectious Diseases	-DNA Maintenance	0.3745	0.4338	0.3657	0.3824
Not Mapped	-DNA Maintenance	3.566	4.141	3.309	3.251
-Not Mapped	-DNA Maintenance	3.566	4.141	3.309	3.251
TOTAL	-RNA Family	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf	Inf
-Cell structure	-RNA Family	NaN	NaN	NaN	NaN
-Crystallins	-RNA Family	NaN	NaN	NaN	NaN
-Stress Response	-RNA Family	NaN	NaN	NaN	NaN
-Vesicular Transport	-RNA Family	Inf	Inf	Inf	Inf
-Cytoskeleton	-RNA Family	Inf	Inf	Inf	Inf
-Cell Motility	-RNA Family	NaN	NaN	NaN	NaN
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	Inf
-Cell Communication	-RNA Family	Inf	Inf	Inf	Inf
Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	Inf
Organismal Systems	-RNA Family	Inf	Inf	Inf	Inf
-Immune System	-RNA Family	Inf	Inf	Inf	Inf
-Endocrine System	-RNA Family	Inf	Inf	Inf	Inf
-Circulatory System	-RNA Family	Inf	Inf	Inf	Inf
-Digestive System	-RNA Family	Inf	Inf	Inf	Inf
-Excretory System	-RNA Family	Inf	Inf	Inf	Inf
-Nervous System	-RNA Family	Inf	Inf	Inf	Inf
-Sensory System	-RNA Family	Inf	Inf	Inf	Inf
-Development	-RNA Family	Inf	Inf	Inf	Inf
-Environmental Adaptation	-RNA Family	Inf	Inf	Inf	Inf
Human Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cancers	-RNA Family	Inf	Inf	Inf	Inf
-Immune System Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Metabolic Diseases	-RNA Family	NaN	NaN	NaN	NaN
-Infectious Diseases	-RNA Family	Inf	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	23.4	25.65	54	55.36
MAPPED	Environmental Information Processing	18.25	19.71	44.67	46.08
Genetic Information Processing	Environmental Information Processing	7.146	7.976	18.11	17.56
-Transcription	Environmental Information Processing	0.9081	0.9765	2.254	2.189
-Translation	Environmental Information Processing	2.454	3.391	5.136	5.218
-Folding, Sorting and Degradation	Environmental Information Processing	2.335	2.22	7.483	7.266
-DNA Maintenance	Environmental Information Processing	1.436	1.411	2.649	2.96
-RNA Family	Environmental Information Processing	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.2564	0.2533	0.3266	0.3809
-Signaling Molecules and Interaction	Environmental Information Processing	0.7371	0.7169	0.6525	0.6158
Cellular Processes	Environmental Information Processing	2.313	2.261	5.109	4.724
-Cell structure	Environmental Information Processing	0	0	0	0
-Crystallins	Environmental Information Processing	0	0	0	0
-Stress Response	Environmental Information Processing	0	0	0	0
-Vesicular Transport	Environmental Information Processing	0.7461	0.922	1.056	1.099
-Cytoskeleton	Environmental Information Processing	1.057	0.963	2.707	2.444
-Cell Motility	Environmental Information Processing	0	0	0	0
-Cell Growth and Death	Environmental Information Processing	0.2419	0.2315	0.5869	0.5965
-Cell Communication	Environmental Information Processing	0.2213	0.1944	0.5122	0.5044
Metabolism	Environmental Information Processing	4.548	4.865	13.37	14.76
-Membrane Transport	Environmental Information Processing	0.08021	0.06902	0.08367	0.09082
-Central Carbon Metabolism	Environmental Information Processing	0.5409	0.5435	2.684	3.487
-Energy Metabolism	Environmental Information Processing	0.1705	0.178	0.9631	1.154
-Biosynthesis	Environmental Information Processing	1.044	1.164	3.054	2.9
-Other Enzymes	Environmental Information Processing	2.474	2.576	6.044	6.757
Organismal Systems	Environmental Information Processing	1.41	1.689	2.378	2.353
-Immune System	Environmental Information Processing	0.7294	0.9786	1.047	1.166
-Endocrine System	Environmental Information Processing	0.1733	0.1894	0.4429	0.3068
-Circulatory System	Environmental Information Processing	0.02506	0.02866	0.1318	0.1203
-Digestive System	Environmental Information Processing	0.09556	0.1121	0.06126	0.05557
-Excretory System	Environmental Information Processing	0.1027	0.1004	0.2695	0.2302
-Nervous System	Environmental Information Processing	0.1223	0.1005	0.2213	0.234
-Sensory System	Environmental Information Processing	0.01153	0.01416	0.007453	0.008456
-Development	Environmental Information Processing	0.07312	0.07379	0.07731	0.06235
-Environmental Adaptation	Environmental Information Processing	0.005449	0.005329	0.0193	0.01732
Human Diseases	Environmental Information Processing	1.571	1.663	3.98	4.282
-Cancers	Environmental Information Processing	0.2876	0.2662	0.3446	0.3652
-Immune System Diseases	Environmental Information Processing	0.0492	0.04803	0.1641	0.1363
-Neurodegenerative Diseases	Environmental Information Processing	0.4406	0.4688	1.839	1.713
-Cardiovascular Diseases	Environmental Information Processing	0.1039	0.07927	0.3967	0.2469
-Metabolic Diseases	Environmental Information Processing	0	0	0	0
-Infectious Diseases	Environmental Information Processing	0.5526	0.7133	0.9605	1.067
Not Mapped	Environmental Information Processing	5.158	5.938	9.331	9.278
-Not Mapped	Environmental Information Processing	5.158	5.938	9.331	9.278
