Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
-Translation	Genetic Information Processing	0.3331	0.4066	0.2752	0.2765
-Folding, Sorting and Degradation	Genetic Information Processing	0.315	0.2675	0.4132	0.4086
-DNA Maintenance	Genetic Information Processing	0.1855	0.1669	0.1359	0.1315
-RNA Family	Genetic Information Processing	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.1059	0.09784	0.04544	0.04118
-Signal Transduction	Genetic Information Processing	0.019	0.01929	0.007213	0.008651
-Signaling Molecules and Interaction	Genetic Information Processing	0.07748	0.06898	0.03154	0.02907
Cellular Processes	Genetic Information Processing	0.3062	0.2718	0.2569	0.2413
-Cell structure	Genetic Information Processing	0	0	0	0
-Crystallins	Genetic Information Processing	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.0899	0.09479	0.04836	0.04969
-Cytoskeleton	Genetic Information Processing	0.1345	0.1068	0.123	0.1026
-Cell Motility	Genetic Information Processing	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.02668	0.02366	0.02215	0.0244
-Cell Communication	Genetic Information Processing	0.02767	0.02079	0.02434	0.02305
Metabolism	Genetic Information Processing	0.5491	0.5158	0.6325	0.7223
-Membrane Transport	Genetic Information Processing	0.008495	0.006753	0.004057	0.004251
-Central Carbon Metabolism	Genetic Information Processing	0.04153	0.03301	0.08604	0.09314
-Energy Metabolism	Genetic Information Processing	0.01304	0.01277	0.04408	0.0581
-Biosynthesis	Genetic Information Processing	0.1134	0.1089	0.1456	0.1423
-Other Enzymes	Genetic Information Processing	0.2907	0.2648	0.2624	0.296
Organismal Systems	Genetic Information Processing	0.1706	0.1756	0.1231	0.112
-Immune System	Genetic Information Processing	0.08747	0.09993	0.05055	0.05058
-Endocrine System	Genetic Information Processing	0.007438	0.008697	0.01482	0.008464
-Circulatory System	Genetic Information Processing	0.001201	0.001414	0.004682	0.004214
-Digestive System	Genetic Information Processing	0.007513	0.005743	0.002383	0.001997
-Excretory System	Genetic Information Processing	0.01014	0.009028	0.01224	0.009937
-Nervous System	Genetic Information Processing	0.004636	0.003708	0.003512	0.002572
-Sensory System	Genetic Information Processing	0	0	0	0
-Development	Genetic Information Processing	0.005092	0.004016	0.001776	0.001813
-Environmental Adaptation	Genetic Information Processing	0	0	0	0
Human Diseases	Genetic Information Processing	0.1638	0.1536	0.1725	0.1573
-Cancers	Genetic Information Processing	0.02956	0.02292	0.01006	0.01129
-Immune System Diseases	Genetic Information Processing	0.001382	0.001056	0.004858	0.004268
-Neurodegenerative Diseases	Genetic Information Processing	0.02509	0.0252	0.03163	0.03312
-Cardiovascular Diseases	Genetic Information Processing	0.005126	0.002648	0.01802	0.009822
-Metabolic Diseases	Genetic Information Processing	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0.06121	0.0589	0.03682	0.03917
Not Mapped	Genetic Information Processing	0.6956	0.7191	0.5026	0.5015
-Not Mapped	Genetic Information Processing	0.6956	0.7191	0.5026	0.5015
TOTAL	-Transcription	23.25	24.1	23.11	24.38
MAPPED	-Transcription	18.12	18.52	19.12	20.29
Genetic Information Processing	-Transcription	7.235	7.57	7.602	7.973
-Transcription	-Transcription	1	1	1	1
-Translation	-Transcription	2.424	3.116	2.165	2.301
-Folding, Sorting and Degradation	-Transcription	2.279	2.025	3.141	3.279
-DNA Maintenance	-Transcription	1.466	1.347	1.079	1.07
-RNA Family	-Transcription	0	0	0	0
Environmental Information Processing	-Transcription	0.8065	0.7504	0.3575	0.3428
-Signal Transduction	-Transcription	0.1447	0.148	0.05678	0.072
-Signaling Molecules and Interaction	-Transcription	0.6079	0.5547	0.2504	0.2366
Cellular Processes	-Transcription	2.297	2.161	2.04	1.972
-Cell structure	-Transcription	0	0	0	0
-Crystallins	-Transcription	0	0	0	0
-Stress Response	-Transcription	0	0	0	0
-Vesicular Transport	-Transcription	0.6989	0.7535	0.3814	0.3961
-Cytoskeleton	-Transcription	1.062	0.8624	0.9677	0.8538
-Cell Motility	-Transcription	0	0	0	0
-Cell Growth and Death	-Transcription	0.1936	0.1821	0.176	0.1996
-Cell Communication	-Transcription	0.2171	0.1671	0.2005	0.1953
Metabolism	-Transcription	4.474	4.189	5.209	6.119
-Membrane Transport	-Transcription	0.06469	0.05179	0.03186	0.0358
-Central Carbon Metabolism	-Transcription	0.3287	0.2749	0.6832	0.7581
-Energy Metabolism	-Transcription	0.1032	0.1064	0.35	0.4721
-Biosynthesis	-Transcription	0.8637	0.8354	1.149	1.159
-Other Enzymes	-Transcription	2.369	2.151	2.161	2.508
Organismal Systems	-Transcription	1.235	1.329	0.9362	0.8987
-Immune System	-Transcription	0.6596	0.7603	0.397	0.4033
-Endocrine System	-Transcription	0.05887	0.07243	0.1176	0.06925
-Circulatory System	-Transcription	0.009338	0.01085	0.03733	0.03433
-Digestive System	-Transcription	0.05436	0.04347	0.01826	0.01634
-Excretory System	-Transcription	0.08265	0.07331	0.09633	0.08087
-Nervous System	-Transcription	0.03638	0.02981	0.028	0.02178
-Sensory System	-Transcription	0	0	0	0
-Development	-Transcription	0.0429	0.0304	0.0135	0.01455
-Environmental Adaptation	-Transcription	0	0	0	0
Human Diseases	-Transcription	1.185	1.163	1.311	1.281
-Cancers	-Transcription	0.2252	0.1744	0.0799	0.0924
-Immune System Diseases	-Transcription	0.01084	0.008488	0.03873	0.03614
-Neurodegenerative Diseases	-Transcription	0.1815	0.1908	0.2405	0.2657
-Cardiovascular Diseases	-Transcription	0.03904	0.02031	0.1418	0.08175
-Metabolic Diseases	-Transcription	0	0	0	0
-Infectious Diseases	-Transcription	0.4803	0.4736	0.2883	0.3228
Not Mapped	-Transcription	5.124	5.578	3.994	4.085
-Not Mapped	-Transcription	5.124	5.578	3.994	4.085
TOTAL	-Translation	9.047	7.423	9.821	10.24
MAPPED	-Translation	7.053	5.705	8.124	8.522
Genetic Information Processing	-Translation	2.83	2.35	3.327	3.366
-Transcription	-Translation	0.3562	0.2792	0.4206	0.4119
-Translation	-Translation	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.9233	0.64	1.383	1.375
-DNA Maintenance	-Translation	0.5261	0.3926	0.4672	0.4486
-RNA Family	-Translation	0	0	0	0
Environmental Information Processing	-Translation	0.3028	0.2335	0.1585	0.1489
-Signal Transduction	-Translation	0.05433	0.04604	0.0254	0.03129
-Signaling Molecules and Interaction	-Translation	0.2308	0.1694	0.1084	0.09919
Cellular Processes	-Translation	0.8773	0.6393	0.8834	0.8266
-Cell structure	-Translation	0	0	0	0
-Crystallins	-Translation	0	0	0	0
-Stress Response	-Translation	0	0	0	0
-Vesicular Transport	-Translation	0.2576	0.2229	0.1715	0.1699
-Cytoskeleton	-Translation	0.4021	0.2544	0.447	0.371
-Cell Motility	-Translation	0	0	0	0
-Cell Growth and Death	-Translation	0.0755	0.05559	0.07402	0.08222
-Cell Communication	-Translation	0.08037	0.05104	0.08799	0.08158
Metabolism	-Translation	1.599	1.247	2.286	2.556
-Membrane Transport	-Translation	0.02429	0.01612	0.01397	0.0148
-Central Carbon Metabolism	-Translation	0.1178	0.07763	0.2958	0.3178
-Energy Metabolism	-Translation	0.03697	0.03004	0.1516	0.198
-Biosynthesis	-Translation	0.3243	0.2599	0.5113	0.4986
-Other Enzymes	-Translation	0.8464	0.6402	0.9485	1.048
Organismal Systems	-Translation	0.4973	0.4245	0.4252	0.377
-Immune System	-Translation	0.2598	0.2377	0.1741	0.1729
-Endocrine System	-Translation	0.02109	0.02045	0.05094	0.02852
-Circulatory System	-Translation	0.003442	0.003375	0.01669	0.01476
-Digestive System	-Translation	0.02176	0.01388	0.007963	0.006731
-Excretory System	-Translation	0.02953	0.02182	0.04449	0.0339
-Nervous System	-Translation	0.01381	0.009104	0.01252	0.009157
-Sensory System	-Translation	0	0	0	0
-Development	-Translation	0.01528	0.009707	0.006131	0.006103
-Environmental Adaptation	-Translation	0	0	0	0
Human Diseases	-Translation	0.489	0.3713	0.5956	0.5511
-Cancers	-Translation	0.08782	0.05596	0.03361	0.03805
-Immune System Diseases	-Translation	0.004117	0.002592	0.01732	0.01519
-Neurodegenerative Diseases	-Translation	0.07488	0.06092	0.1092	0.1115
-Cardiovascular Diseases	-Translation	0.01466	0.006321	0.06229	0.03552
-Metabolic Diseases	-Translation	0	0	0	0
-Infectious Diseases	-Translation	0.1823	0.1446	0.1225	0.1335
Not Mapped	-Translation	1.994	1.718	1.697	1.716
-Not Mapped	-Translation	1.994	1.718	1.697	1.716
TOTAL	-Folding, Sorting and Degradation	9.288	10.68	6.493	6.736
MAPPED	-Folding, Sorting and Degradation	7.241	8.209	5.371	5.607
Genetic Information Processing	-Folding, Sorting and Degradation	2.898	3.32	2.193	2.208
-Transcription	-Folding, Sorting and Degradation	0.3439	0.3769	0.2711	0.2608
-Translation	-Folding, Sorting and Degradation	0.9653	1.35	0.6153	0.6203
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.5531	0.5801	0.3029	0.2905
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.3244	0.3558	0.1045	0.09498
-Signal Transduction	-Folding, Sorting and Degradation	0.0582	0.07016	0.01653	0.01995
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.2304	0.2386	0.0705	0.06424
Cellular Processes	-Folding, Sorting and Degradation	0.9237	0.953	0.5743	0.5354
-Cell structure	-Folding, Sorting and Degradation	0	0	0	0
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0.279	0.3468	0.108	0.1144
-Cytoskeleton	-Folding, Sorting and Degradation	0.3989	0.3652	0.2829	0.2366
-Cell Motility	-Folding, Sorting and Degradation	0	0	0	0
-Cell Growth and Death	-Folding, Sorting and Degradation	0.08095	0.08567	0.05115	0.05692
-Cell Communication	-Folding, Sorting and Degradation	0.0823	0.07188	0.05434	0.05244
Metabolism	-Folding, Sorting and Degradation	1.616	1.782	1.412	1.643
-Membrane Transport	-Folding, Sorting and Degradation	0.02576	0.02363	0.009142	0.009386
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.1238	0.1147	0.1923	0.2058
-Energy Metabolism	-Folding, Sorting and Degradation	0.03886	0.04438	0.09854	0.1331
-Biosynthesis	-Folding, Sorting and Degradation	0.3474	0.3961	0.3252	0.3252
-Other Enzymes	-Folding, Sorting and Degradation	0.8556	0.9148	0.5858	0.6734
Organismal Systems	-Folding, Sorting and Degradation	0.5227	0.6339	0.2909	0.2664
-Immune System	-Folding, Sorting and Degradation	0.2731	0.3511	0.117	0.1165
-Endocrine System	-Folding, Sorting and Degradation	0.02217	0.03022	0.03312	0.01975
-Circulatory System	-Folding, Sorting and Degradation	0.003728	0.005143	0.01027	0.009631
-Digestive System	-Folding, Sorting and Degradation	0.02333	0.02147	0.005503	0.00466
-Excretory System	-Folding, Sorting and Degradation	0.02985	0.03118	0.02749	0.02196
-Nervous System	-Folding, Sorting and Degradation	0.01379	0.01282	0.007704	0.00568
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0
-Development	-Folding, Sorting and Degradation	0.01475	0.01501	0.004297	0.004437
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0.5202	0.5742	0.3987	0.3595
-Cancers	-Folding, Sorting and Degradation	0.09372	0.08457	0.02322	0.02635
-Immune System Diseases	-Folding, Sorting and Degradation	0.00411	0.00365	0.01065	0.009425
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.07965	0.0942	0.07655	0.08104
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0.01569	0.009632	0.04064	0.02265
-Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0.182	0.2037	0.08857	0.09373
Not Mapped	-Folding, Sorting and Degradation	2.047	2.473	1.122	1.129
-Not Mapped	-Folding, Sorting and Degradation	2.047	2.473	1.122	1.129
TOTAL	-DNA Maintenance	15.01	16.84	18.19	17.67
MAPPED	-DNA Maintenance	11.7	12.95	15.05	14.71
Genetic Information Processing	-DNA Maintenance	4.614	5.319	6.038	5.892
-Transcription	-DNA Maintenance	0.5844	0.6352	0.7799	0.708
-Translation	-DNA Maintenance	1.553	2.178	1.689	1.629
-Folding, Sorting and Degradation	-DNA Maintenance	1.455	1.433	2.495	2.409
-DNA Maintenance	-DNA Maintenance	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0
Environmental Information Processing	-DNA Maintenance	0.55	0.557	0.2788	0.2427
-Signal Transduction	-DNA Maintenance	0.09867	0.1098	0.04428	0.05098
-Signaling Molecules and Interaction	-DNA Maintenance	0.3861	0.3849	0.2259	0.1917
Cellular Processes	-DNA Maintenance	1.499	1.537	1.592	1.422
-Cell structure	-DNA Maintenance	0	0	0	0
-Crystallins	-DNA Maintenance	0	0	0	0
-Stress Response	-DNA Maintenance	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0.4491	0.5359	0.3328	0.3145
-Cytoskeleton	-DNA Maintenance	0.668	0.6077	0.7548	0.6045
-Cell Motility	-DNA Maintenance	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	0.1264	0.1289	0.1516	0.1549
-Cell Communication	-DNA Maintenance	0.1327	0.116	0.1582	0.1442
Metabolism	-DNA Maintenance	2.83	2.97	4.109	4.519
-Membrane Transport	-DNA Maintenance	0.04369	0.03845	0.02661	0.02596
-Central Carbon Metabolism	-DNA Maintenance	0.2238	0.1977	0.6332	0.6698
-Energy Metabolism	-DNA Maintenance	0.07026	0.07651	0.2971	0.347
-Biosynthesis	-DNA Maintenance	0.589	0.6201	0.9147	0.9227
-Other Enzymes	-DNA Maintenance	1.499	1.525	1.705	1.852
Organismal Systems	-DNA Maintenance	0.8058	0.941	0.7436	0.6603
-Immune System	-DNA Maintenance	0.4036	0.5315	0.3359	0.3423
-Endocrine System	-DNA Maintenance	0.04009	0.0521	0.109	0.05556
-Circulatory System	-DNA Maintenance	0.006	0.008051	0.03153	0.02732
-Digestive System	-DNA Maintenance	0.03548	0.03077	0.01451	0.01213
-Excretory System	-DNA Maintenance	0.05229	0.05198	0.07513	0.06675
-Nervous System	-DNA Maintenance	0.02311	0.02069	0.02543	0.01737
-Sensory System	-DNA Maintenance	0	0	0	0
-Development	-DNA Maintenance	0.02507	0.02152	0.01072	0.01069
-Environmental Adaptation	-DNA Maintenance	0	0	0	0
Human Diseases	-DNA Maintenance	0.7737	0.8231	1.042	0.994
-Cancers	-DNA Maintenance	0.1364	0.1219	0.07088	0.07413
-Immune System Diseases	-DNA Maintenance	0.006887	0.00589	0.03518	0.02882
-Neurodegenerative Diseases	-DNA Maintenance	0.1185	0.135	0.191	0.1952
-Cardiovascular Diseases	-DNA Maintenance	0.02627	0.01508	0.1106	0.05788
-Metabolic Diseases	-DNA Maintenance	0	0	0	0
-Infectious Diseases	-DNA Maintenance	0.305	0.3286	0.2361	0.2341
Not Mapped	-DNA Maintenance	3.309	3.899	3.144	2.961
-Not Mapped	-DNA Maintenance	3.309	3.899	3.144	2.961
TOTAL	-RNA Family	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf	Inf
-Cell structure	-RNA Family	NaN	NaN	NaN	NaN
-Crystallins	-RNA Family	NaN	NaN	NaN	NaN
-Stress Response	-RNA Family	NaN	NaN	NaN	NaN
-Vesicular Transport	-RNA Family	Inf	Inf	Inf	Inf
-Cytoskeleton	-RNA Family	Inf	Inf	Inf	Inf
-Cell Motility	-RNA Family	NaN	NaN	NaN	NaN
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	Inf
-Cell Communication	-RNA Family	Inf	Inf	Inf	Inf
Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	Inf
Organismal Systems	-RNA Family	Inf	Inf	Inf	Inf
-Immune System	-RNA Family	Inf	Inf	Inf	Inf
-Endocrine System	-RNA Family	Inf	Inf	Inf	Inf
-Circulatory System	-RNA Family	Inf	Inf	Inf	Inf
-Digestive System	-RNA Family	Inf	Inf	Inf	Inf
-Excretory System	-RNA Family	Inf	Inf	Inf	Inf
-Nervous System	-RNA Family	Inf	Inf	Inf	Inf
-Sensory System	-RNA Family	Inf	Inf	Inf	Inf
-Development	-RNA Family	Inf	Inf	Inf	Inf
-Environmental Adaptation	-RNA Family	Inf	Inf	Inf	Inf
Human Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cancers	-RNA Family	Inf	Inf	Inf	Inf
-Immune System Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Metabolic Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Infectious Diseases	-RNA Family	Inf	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	16.97	17.69	45.02	45.48
MAPPED	Environmental Information Processing	13.23	13.6	37.24	37.85
Genetic Information Processing	Environmental Information Processing	5.193	5.532	14.94	14.65
-Transcription	Environmental Information Processing	0.6667	0.7014	1.881	1.79
-Translation	Environmental Information Processing	1.835	2.354	4.471	4.347
-Folding, Sorting and Degradation	Environmental Information Processing	1.711	1.528	6.47	6.279
-DNA Maintenance	Environmental Information Processing	0.9802	0.9484	2.12	1.979
-RNA Family	Environmental Information Processing	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.1522	0.1589	0.1358	0.1898
-Signaling Molecules and Interaction	Environmental Information Processing	0.5799	0.5913	0.5066	0.4376
Cellular Processes	Environmental Information Processing	1.688	1.619	4.127	3.647
-Cell structure	Environmental Information Processing	0	0	0	0
-Crystallins	Environmental Information Processing	0	0	0	0
-Stress Response	Environmental Information Processing	0	0	0	0
-Vesicular Transport	Environmental Information Processing	0.5426	0.6152	0.7696	0.7699
-Cytoskeleton	Environmental Information Processing	0.807	0.7069	2.236	1.768
-Cell Motility	Environmental Information Processing	0	0	0	0
-Cell Growth and Death	Environmental Information Processing	0.1385	0.1309	0.3309	0.3574
-Cell Communication	Environmental Information Processing	0.1826	0.1637	0.4352	0.4064
Metabolism	Environmental Information Processing	3.134	2.994	10.53	11.71
-Membrane Transport	Environmental Information Processing	0.06128	0.05559	0.06394	0.07017
-Central Carbon Metabolism	Environmental Information Processing	0.289	0.2547	1.382	1.402
-Energy Metabolism	Environmental Information Processing	0.09072	0.09854	0.7081	0.9175
-Biosynthesis	Environmental Information Processing	0.6444	0.6536	2.318	2.436
-Other Enzymes	Environmental Information Processing	1.926	1.804	4.872	5.358
Organismal Systems	Environmental Information Processing	1.106	1.163	2.076	1.793
-Immune System	Environmental Information Processing	0.5554	0.7014	0.7968	0.7838
-Endocrine System	Environmental Information Processing	0.05176	0.05841	0.238	0.124
-Circulatory System	Environmental Information Processing	0.008616	0.01445	0.08982	0.08358
-Digestive System	Environmental Information Processing	0.03993	0.03316	0.0356	0.02926
-Excretory System	Environmental Information Processing	0.07705	0.07181	0.2134	0.1496
-Nervous System	Environmental Information Processing	0.03715	0.03467	0.06738	0.05141
-Sensory System	Environmental Information Processing	0	0	0	0
-Development	Environmental Information Processing	0.03638	0.02945	0.03215	0.03184
-Environmental Adaptation	Environmental Information Processing	0	0	0	0
Human Diseases	Environmental Information Processing	1.076	1.105	3.124	3.149
-Cancers	Environmental Information Processing	0.1749	0.155	0.1503	0.1654
-Immune System Diseases	Environmental Information Processing	0.01107	0.00987	0.09319	0.08107
-Neurodegenerative Diseases	Environmental Information Processing	0.1648	0.1848	0.5729	0.5816
-Cardiovascular Diseases	Environmental Information Processing	0.03235	0.02188	0.2839	0.1579
-Metabolic Diseases	Environmental Information Processing	0	0	0	0
-Infectious Diseases	Environmental Information Processing	0.3671	0.4088	0.7731	0.8466
Not Mapped	Environmental Information Processing	3.74	4.096	7.78	7.621
-Not Mapped	Environmental Information Processing	3.74	4.096	7.78	7.621
TOTAL	-Signal Transduction	52.84	59.59	98.93	82.6
MAPPED	-Signal Transduction	41.2	45.79	81.83	68.76
Genetic Information Processing	-Signal Transduction	16.56	18.88	32.56	26.76
-Transcription	-Signal Transduction	2.093	2.267	4.1	3.288
-Translation	-Signal Transduction	5.841	8.027	9.469	7.844
