Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
-Other Enzymes	TOTAL	0.09211	0.1112	0.1279	0.08525	0.1037	0.1184	0.09023	0.1184	0.1383	0.0988	0.1318	0.1477
Organismal Systems	TOTAL	0.0531	0.06365	0.06912	0.05512	0.06574	0.07155	0.04026	0.045	0.04892	0.03553	0.0459	0.04828
-Immune System	TOTAL	0.02688	0.03575	0.03882	0.03155	0.03815	0.04595	0.01607	0.02021	0.02359	0.01576	0.02157	0.02587
-Endocrine System	TOTAL	0.002331	0.007229	0.009373	0.002755	0.005921	0.008247	0.004876	0.007996	0.01012	0.002726	0.005789	0.007993
-Circulatory System	TOTAL	0.0003682	0.001181	0.001966	0.0004464	0.001129	0.001868	0.001547	0.002532	0.003218	0.001408	0.002131	0.002952
-Digestive System	TOTAL	0.002338	0.003882	0.005542	0.001803	0.004092	0.004964	0.0007855	0.001185	0.00326	0.0006434	0.0009685	0.003475
-Excretory System	TOTAL	0.003214	0.004374	0.007185	0.002906	0.003717	0.00556	0.00413	0.005033	0.006196	0.003219	0.004514	0.005674
-Nervous System	TOTAL	0.001436	0.005258	0.007744	0.00117	0.004245	0.007036	0.001161	0.00357	0.00927	0.0008434	0.003604	0.008194
-Sensory System	TOTAL	0	0.0005461	0.0009344	0	0.0006061	0.0007047	0	0.0001346	0.0004492	0	0.0001527	0.0001864
-Development	TOTAL	0.00155	0.003419	0.006551	0.00126	0.003183	0.004978	0.0005805	0.001388	0.002705	0.0005752	0.001253	0.002317
-Environmental Adaptation	TOTAL	0	0.0002321	0.002156	0	0.0001926	0.002826	0	0.0003946	0.003379	0	0.0003379	0.00278
Human Diseases	TOTAL	0.05099	0.06203	0.07639	0.04821	0.06008	0.08317	0.0564	0.07877	0.1018	0.05257	0.0833	0.09791
-Cancers	TOTAL	0.009086	0.01213	0.01389	0.007237	0.009598	0.01149	0.003337	0.007061	0.01036	0.003638	0.00733	0.0093
-Immune System Diseases	TOTAL	0.0004281	0.00233	0.005742	0.0003332	0.002063	0.005461	0.001606	0.00292	0.003985	0.001399	0.002275	0.003567
-Neurodegenerative Diseases	TOTAL	0.007807	0.01439	0.02992	0.00791	0.01448	0.03766	0.01034	0.03018	0.06025	0.0105	0.02694	0.05904
-Cardiovascular Diseases	TOTAL	0.001581	0.005029	0.007045	0.0008361	0.003566	0.005487	0.006079	0.007121	0.01551	0.003276	0.004122	0.01302
-Metabolic Diseases	TOTAL	0	0	0.001274	0	0	0.001147	0	0	0.00959	0	0	0.01454
-Infectious Diseases	TOTAL	0.01896	0.02309	0.0301	0.01859	0.02513	0.03325	0.01248	0.01935	0.02408	0.01304	0.0196	0.02622
Not Mapped	TOTAL	0.2204	0.2204	0.2204	0.2315	0.2315	0.2315	0.1728	0.1728	0.1728	0.1676	0.1676	0.1676
-Not Mapped	TOTAL	0.2204	0.2204	0.2204	0.2315	0.2315	0.2315	0.1728	0.1728	0.1728	0.1676	0.1676	0.1676
TOTAL	MAPPED	1.283	1.283	1.283	1.301	1.301	1.301	1.209	1.209	1.209	1.201	1.201	1.201
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.3905	0.3957	0.4047	0.4045	0.4107	0.4158	0.3842	0.3995	0.4095	0.3742	0.3892	0.401
-Transcription	MAPPED	0.04634	0.05065	0.05196	0.04591	0.05149	0.05395	0.04892	0.05011	0.05199	0.04651	0.04733	0.04851
-Translation	MAPPED	0.1301	0.1354	0.1396	0.1644	0.1696	0.1733	0.1109	0.1145	0.1201	0.1088	0.1132	0.1148
-Folding, Sorting and Degradation	MAPPED	0.1244	0.1294	0.1365	0.1093	0.113	0.1216	0.1633	0.1762	0.1822	0.1557	0.1703	0.1763
-DNA Maintenance	MAPPED	0.0741	0.07884	0.08453	0.06882	0.07229	0.07622	0.05406	0.05782	0.06546	0.05117	0.05984	0.06691
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.04191	0.05465	0.06209	0.04019	0.0471	0.05854	0.01853	0.02183	0.02477	0.0165	0.02129	0.02586
-Signal Transduction	MAPPED	0.007518	0.01549	0.01881	0.007925	0.01331	0.01566	0.002921	0.007723	0.008851	0.003466	0.008069	0.01006
-Signaling Molecules and Interaction	MAPPED	0.03079	0.03885	0.05264	0.02833	0.03371	0.04924	0.01255	0.01553	0.01808	0.01131	0.01369	0.01625
Cellular Processes	MAPPED	0.1204	0.1328	0.1403	0.11	0.1208	0.1308	0.1022	0.1162	0.1293	0.0943	0.1063	0.1207
-Cell structure	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Crystallins	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0.03535	0.04182	0.04794	0.03835	0.04844	0.05482	0.01902	0.02364	0.0278	0.01859	0.02382	0.0282
-Cytoskeleton	MAPPED	0.05445	0.06101	0.06615	0.0444	0.05199	0.05549	0.05015	0.06277	0.0733	0.0411	0.05303	0.06303
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.01047	0.01392	0.0161	0.009625	0.01204	0.01385	0.008886	0.01388	0.01687	0.009442	0.01398	0.01748
-Cell Communication	MAPPED	0.011	0.012	0.01688	0.008537	0.009709	0.01437	0.01012	0.0121	0.0223	0.009243	0.01201	0.02209
Metabolism	MAPPED	0.2232	0.2461	0.2647	0.2161	0.246	0.2676	0.2629	0.3065	0.3259	0.2896	0.325	0.3564
-Membrane Transport	MAPPED	0.003361	0.00417	0.006691	0.002774	0.00351	0.005823	0.001559	0.001936	0.003278	0.001674	0.001821	0.002375
-Central Carbon Metabolism	MAPPED	0.0167	0.03017	0.03946	0.01361	0.02763	0.04981	0.03423	0.05525	0.08873	0.03625	0.06579	0.1009
-Energy Metabolism	MAPPED	0.005242	0.009552	0.01068	0.005265	0.009438	0.01009	0.01754	0.02079	0.02586	0.02216	0.02375	0.03049
-Biosynthesis	MAPPED	0.04488	0.05687	0.0668	0.04474	0.06081	0.07006	0.0573	0.0632	0.07807	0.05709	0.07004	0.0815
-Other Enzymes	MAPPED	0.1182	0.1426	0.1641	0.1109	0.1349	0.1541	0.1091	0.1431	0.1672	0.1187	0.1584	0.1775
Organismal Systems	MAPPED	0.06812	0.08165	0.08867	0.07172	0.08555	0.09311	0.04867	0.0544	0.05914	0.04268	0.05514	0.058
-Immune System	MAPPED	0.03449	0.04586	0.0498	0.04106	0.04964	0.05979	0.01942	0.02443	0.02852	0.01893	0.02591	0.03108
-Endocrine System	MAPPED	0.00299	0.009273	0.01202	0.003585	0.007704	0.01073	0.005894	0.009666	0.01223	0.003275	0.006955	0.009602
-Circulatory System	MAPPED	0.0004723	0.001514	0.002522	0.0005809	0.001469	0.002431	0.001871	0.003061	0.00389	0.001692	0.00256	0.003547
-Digestive System	MAPPED	0.002999	0.004979	0.007109	0.002346	0.005325	0.006459	0.0009496	0.001433	0.003942	0.0007729	0.001164	0.004175
-Excretory System	MAPPED	0.004123	0.00561	0.009217	0.003781	0.004837	0.007235	0.004992	0.006085	0.007491	0.003867	0.005422	0.006816
-Nervous System	MAPPED	0.001843	0.006744	0.009933	0.001523	0.005524	0.009155	0.001403	0.004316	0.01121	0.001013	0.004329	0.009844
-Sensory System	MAPPED	0	0.0007005	0.001199	0	0.0007887	0.0009169	0	0.0001627	0.0005431	0	0.0001835	0.000224
-Development	MAPPED	0.001988	0.004386	0.008403	0.00164	0.004142	0.006477	0.0007018	0.001677	0.00327	0.000691	0.001506	0.002783
-Environmental Adaptation	MAPPED	0	0.0002978	0.002765	0	0.0002506	0.003677	0	0.000477	0.004085	0	0.0004059	0.00334
Human Diseases	MAPPED	0.0654	0.07957	0.09798	0.06274	0.07817	0.1082	0.06818	0.09523	0.123	0.06315	0.1001	0.1176
-Cancers	MAPPED	0.01165	0.01556	0.01782	0.009417	0.01249	0.01495	0.004035	0.008536	0.01253	0.00437	0.008805	0.01117
-Immune System Diseases	MAPPED	0.0005492	0.002989	0.007365	0.0004335	0.002684	0.007107	0.001941	0.00353	0.004818	0.001681	0.002733	0.004285
-Neurodegenerative Diseases	MAPPED	0.01001	0.01846	0.03838	0.01029	0.01884	0.04901	0.0125	0.03648	0.07284	0.01262	0.03236	0.07092
-Cardiovascular Diseases	MAPPED	0.002028	0.006451	0.009036	0.001088	0.00464	0.00714	0.007349	0.008609	0.01876	0.003935	0.004951	0.01564
-Metabolic Diseases	MAPPED	0	0	0.001634	0	0	0.001493	0	0	0.01159	0	0	0.01747
-Infectious Diseases	MAPPED	0.02432	0.02962	0.03861	0.02419	0.0327	0.04327	0.01508	0.0234	0.02911	0.01566	0.02354	0.0315
Not Mapped	MAPPED	0.2827	0.2827	0.2827	0.3012	0.3012	0.3012	0.2089	0.2089	0.2089	0.2013	0.2013	0.2013
-Not Mapped	MAPPED	0.2827	0.2827	0.2827	0.3012	0.3012	0.3012	0.2089	0.2089	0.2089	0.2013	0.2013	0.2013
TOTAL	Genetic Information Processing	3.156	3.228	3.267	3.107	3.168	3.216	2.908	3.013	3.073	2.992	3.05	3.153
MAPPED	Genetic Information Processing	2.46	2.516	2.547	2.387	2.434	2.472	2.406	2.492	2.542	2.491	2.539	2.624
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1187	0.1274	0.1313	0.1135	0.1244	0.1314	0.1214	0.1259	0.1277	0.118	0.1222	0.1246
-Translation	Genetic Information Processing	0.3331	0.3366	0.3526	0.4066	0.4137	0.4252	0.2752	0.284	0.2992	0.2765	0.2854	0.2968
-Folding, Sorting and Degradation	Genetic Information Processing	0.315	0.3295	0.3398	0.2675	0.2762	0.2924	0.4132	0.4348	0.448	0.4086	0.4343	0.4526
-DNA Maintenance	Genetic Information Processing	0.1855	0.2002	0.2118	0.1669	0.1757	0.1866	0.1359	0.1505	0.163	0.1315	0.1542	0.1696
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.1059	0.1394	0.1575	0.09784	0.1163	0.1425	0.04544	0.05386	0.06344	0.04118	0.0531	0.06644
-Signal Transduction	Genetic Information Processing	0.019	0.03902	0.04732	0.01929	0.03291	0.03871	0.007213	0.0191	0.02304	0.008651	0.02049	0.026
-Signaling Molecules and Interaction	Genetic Information Processing	0.07748	0.09705	0.1335	0.06898	0.08335	0.1198	0.03154	0.03822	0.04507	0.02907	0.03565	0.04047
Cellular Processes	Genetic Information Processing	0.3062	0.3267	0.3529	0.2718	0.2975	0.3185	0.2569	0.2898	0.3157	0.2413	0.2709	0.3019
-Cell structure	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Crystallins	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.0899	0.1045	0.1211	0.09479	0.1179	0.133	0.04836	0.05688	0.06787	0.04969	0.0612	0.07161
-Cytoskeleton	Genetic Information Processing	0.1345	0.1554	0.1678	0.1068	0.1278	0.135	0.123	0.1586	0.181	0.1026	0.1358	0.157
-Cell Motility	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.02668	0.03476	0.04123	0.02366	0.02922	0.03424	0.02215	0.03489	0.04391	0.0244	0.0362	0.04671
-Cell Communication	Genetic Information Processing	0.02767	0.03007	0.04267	0.02079	0.02363	0.03498	0.02434	0.03069	0.05558	0.02305	0.02992	0.05708
Metabolism	Genetic Information Processing	0.5491	0.6194	0.6713	0.5158	0.5989	0.6512	0.6325	0.7618	0.8481	0.7223	0.8227	0.9523
-Membrane Transport	Genetic Information Processing	0.008495	0.0103	0.01664	0.006753	0.008547	0.01413	0.004057	0.004749	0.008171	0.004251	0.004662	0.006151
-Central Carbon Metabolism	Genetic Information Processing	0.04153	0.07455	0.09972	0.03301	0.06645	0.1212	0.08604	0.1377	0.2309	0.09314	0.17	0.2698
-Energy Metabolism	Genetic Information Processing	0.01304	0.0236	0.0271	0.01277	0.0227	0.02457	0.04408	0.05204	0.06446	0.0581	0.06027	0.07866
-Biosynthesis	Genetic Information Processing	0.1134	0.1437	0.1656	0.1089	0.1503	0.1694	0.1456	0.1575	0.1962	0.1423	0.1842	0.2083
-Other Enzymes	Genetic Information Processing	0.2907	0.3577	0.4147	0.2648	0.3273	0.3752	0.2624	0.3725	0.4186	0.296	0.4102	0.4506
Organismal Systems	Genetic Information Processing	0.1706	0.2063	0.2231	0.1756	0.2103	0.2239	0.1231	0.1362	0.1494	0.112	0.1398	0.1445
-Immune System	Genetic Information Processing	0.08747	0.1159	0.1267	0.09993	0.1227	0.1454	0.05055	0.0614	0.07139	0.05058	0.06658	0.07791
-Endocrine System	Genetic Information Processing	0.007438	0.02282	0.03025	0.008697	0.01875	0.02613	0.01482	0.02446	0.03024	0.008464	0.01825	0.02487
-Circulatory System	Genetic Information Processing	0.001201	0.003841	0.006272	0.001414	0.003601	0.005846	0.004682	0.007364	0.009779	0.004214	0.006386	0.009113
-Digestive System	Genetic Information Processing	0.007513	0.01263	0.01808	0.005743	0.01292	0.01544	0.002383	0.003586	0.009483	0.001997	0.002999	0.01041
-Excretory System	Genetic Information Processing	0.01014	0.01437	0.02348	0.009028	0.01177	0.01779	0.01224	0.01486	0.0195	0.009937	0.01401	0.01723
-Nervous System	Genetic Information Processing	0.004636	0.01704	0.02544	0.003708	0.01345	0.02264	0.003512	0.01054	0.0277	0.002572	0.01083	0.02457
-Sensory System	Genetic Information Processing	0	0.001724	0.003029	0	0.001883	0.002266	0	0.0004116	0.00138	0	0.0004815	0.0005985
-Development	Genetic Information Processing	0.005092	0.01112	0.02068	0.004016	0.01008	0.01577	0.001776	0.004142	0.008151	0.001813	0.004024	0.007067
-Environmental Adaptation	Genetic Information Processing	0	0.0007585	0.006877	0	0.0006159	0.00892	0	0.001189	0.01027	0	0.001049	0.008581
Human Diseases	Genetic Information Processing	0.1638	0.2038	0.2437	0.1536	0.1933	0.2621	0.1725	0.2421	0.296	0.1573	0.2566	0.2985
-Cancers	Genetic Information Processing	0.02956	0.03898	0.04503	0.02292	0.0301	0.03662	0.01006	0.02145	0.03073	0.01129	0.02262	0.02965
-Immune System Diseases	Genetic Information Processing	0.001382	0.007489	0.01832	0.001056	0.006533	0.01724	0.004858	0.008658	0.01196	0.004268	0.007187	0.01075
-Neurodegenerative Diseases	Genetic Information Processing	0.02509	0.04666	0.09444	0.0252	0.04586	0.117	0.03163	0.08908	0.1816	0.03312	0.08093	0.1833
-Cardiovascular Diseases	Genetic Information Processing	0.005126	0.01636	0.02247	0.002648	0.01129	0.01732	0.01802	0.02126	0.04745	0.009822	0.01233	0.04103
-Metabolic Diseases	Genetic Information Processing	0	0	0.004093	0	0	0.003655	0	0	0.02901	0	0	0.04436
-Infectious Diseases	Genetic Information Processing	0.06121	0.07486	0.09821	0.0589	0.07958	0.107	0.03682	0.05629	0.07316	0.03917	0.05978	0.0814
Not Mapped	Genetic Information Processing	0.6956	0.7114	0.7202	0.7191	0.7333	0.7445	0.5026	0.5207	0.531	0.5015	0.5112	0.5283
-Not Mapped	Genetic Information Processing	0.6956	0.7114	0.7202	0.7191	0.7333	0.7445	0.5026	0.5207	0.531	0.5015	0.5112	0.5283
TOTAL	-Transcription	23.25	25.25	25.71	24.1	25.23	26.29	23.11	23.95	24.23	24.38	25.3	25.59
MAPPED	-Transcription	18.12	19.69	20.05	18.52	19.39	20.2	19.12	19.81	20.05	20.29	21.06	21.31
Genetic Information Processing	-Transcription	7.235	7.789	8.148	7.57	7.949	8.328	7.602	7.886	8.082	7.973	8.179	8.468
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	2.424	2.663	2.799	3.116	3.295	3.541	2.165	2.278	2.354	2.301	2.379	2.419
-Folding, Sorting and Degradation	-Transcription	2.279	2.567	2.768	2.025	2.178	2.397	3.141	3.44	3.635	3.279	3.565	3.724
-DNA Maintenance	-Transcription	1.466	1.556	1.651	1.347	1.41	1.441	1.079	1.182	1.268	1.07	1.257	1.379
-RNA Family	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Transcription	0.8065	1.084	1.2	0.7504	0.9967	1.084	0.3575	0.4293	0.4983	0.3428	0.4498	0.5407
-Signal Transduction	-Transcription	0.1447	0.2823	0.3713	0.148	0.2614	0.3077	0.05678	0.1541	0.1809	0.072	0.1728	0.2127
-Signaling Molecules and Interaction	-Transcription	0.6079	0.7798	1.017	0.5547	0.689	0.9118	0.2504	0.3007	0.3581	0.2366	0.2884	0.3297
Cellular Processes	-Transcription	2.297	2.631	2.793	2.161	2.309	2.562	2.04	2.302	2.472	1.972	2.207	2.488
-Cell structure	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Crystallins	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Transcription	0.6989	0.8154	0.9226	0.7535	0.9201	1.024	0.3814	0.4684	0.5314	0.3961	0.4981	0.5906
-Cytoskeleton	-Transcription	1.062	1.211	1.317	0.8624	1.008	1.119	0.9677	1.236	1.463	0.8538	1.117	1.279
-Cell Motility	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Transcription	0.1936	0.2751	0.3281	0.1821	0.2363	0.2833	0.176	0.277	0.3448	0.1996	0.2961	0.3724
-Cell Communication	-Transcription	0.2171	0.2374	0.3249	0.1671	0.189	0.2683	0.2005	0.2473	0.4416	0.1953	0.2437	0.467
Metabolism	-Transcription	4.474	4.86	5.114	4.189	4.696	5.188	5.209	5.965	6.661	6.119	6.885	7.592
-Membrane Transport	-Transcription	0.06469	0.0813	0.1317	0.05179	0.06873	0.1176	0.03186	0.03737	0.06492	0.0358	0.03794	0.05031
-Central Carbon Metabolism	-Transcription	0.3287	0.5882	0.7889	0.2749	0.5366	1.008	0.6832	1.094	1.814	0.7581	1.391	2.151
-Energy Metabolism	-Transcription	0.1032	0.1858	0.228	0.1064	0.1753	0.2125	0.35	0.4149	0.5121	0.4721	0.5017	0.6446
-Biosynthesis	-Transcription	0.8637	1.194	1.315	0.8354	1.149	1.358	1.149	1.252	1.558	1.159	1.492	1.714
-Other Enzymes	-Transcription	2.369	2.807	3.158	2.151	2.572	3.022	2.161	2.925	3.337	2.508	3.355	3.816
Organismal Systems	-Transcription	1.235	1.571	1.754	1.329	1.658	1.892	0.9362	1.086	1.178	0.8987	1.153	1.188
-Immune System	-Transcription	0.6596	0.8826	0.9973	0.7603	0.9754	1.161	0.397	0.4875	0.566	0.4033	0.5419	0.6597
-Endocrine System	-Transcription	0.05887	0.1859	0.2511	0.07243	0.1438	0.2101	0.1176	0.1859	0.2444	0.06925	0.1464	0.2034
-Circulatory System	-Transcription	0.009338	0.02926	0.04964	0.01085	0.02849	0.04721	0.03733	0.06024	0.07765	0.03433	0.0541	0.07417
-Digestive System	-Transcription	0.05436	0.09621	0.1504	0.04347	0.1076	0.1252	0.01826	0.02859	0.07809	0.01634	0.02472	0.08821
-Excretory System	-Transcription	0.08265	0.1193	0.1829	0.07331	0.1029	0.1403	0.09633	0.1163	0.1531	0.08087	0.1146	0.1403
-Nervous System	-Transcription	0.03638	0.1298	0.2143	0.02981	0.1023	0.1949	0.028	0.08252	0.2179	0.02178	0.0907	0.2045
-Sensory System	-Transcription	0	0.0127	0.0237	0	0.01462	0.01802	0	0.003223	0.01089	0	0.003877	0.004771
-Development	-Transcription	0.0429	0.08474	0.166	0.0304	0.0767	0.1268	0.0135	0.03348	0.06476	0.01455	0.03208	0.05984
-Environmental Adaptation	-Transcription	0	0.005908	0.05443	0	0.004857	0.07429	0	0.009447	0.08153	0	0.008582	0.06984
Human Diseases	-Transcription	1.185	1.66	1.929	1.163	1.703	2.128	1.311	1.909	2.438	1.281	2.12	2.46
-Cancers	-Transcription	0.2252	0.282	0.3557	0.1744	0.2431	0.2772	0.0799	0.1656	0.2418	0.0924	0.1841	0.2364
-Immune System Diseases	-Transcription	0.01084	0.05418	0.145	0.008488	0.04971	0.1436	0.03873	0.06779	0.09616	0.03614	0.05774	0.08948
-Neurodegenerative Diseases	-Transcription	0.1815	0.3553	0.7662	0.1908	0.3518	0.9501	0.2405	0.6975	1.442	0.2657	0.6671	1.499
-Cardiovascular Diseases	-Transcription	0.03904	0.1246	0.1779	0.02031	0.08593	0.1442	0.1418	0.1718	0.3607	0.08175	0.1005	0.3292
-Metabolic Diseases	-Transcription	0	0	0.03276	0	0	0.02894	0	0	0.2313	0	0	0.3757
-Infectious Diseases	-Transcription	0.4803	0.5701	0.8239	0.4736	0.6055	0.8666	0.2883	0.4636	0.581	0.3228	0.5062	0.666
Not Mapped	-Transcription	5.124	5.566	5.668	5.578	5.84	6.085	3.994	4.139	4.188	4.085	4.239	4.289
-Not Mapped	-Transcription	5.124	5.566	5.668	5.578	5.84	6.085	3.994	4.139	4.188	4.085	4.239	4.289
TOTAL	-Translation	9.047	9.349	9.666	7.423	7.564	7.779	9.821	10.51	10.84	10.24	10.6	10.98
MAPPED	-Translation	7.053	7.289	7.535	5.705	5.813	5.979	8.124	8.696	8.965	8.522	8.827	9.137
Genetic Information Processing	-Translation	2.83	2.911	2.989	2.35	2.417	2.455	3.327	3.453	3.614	3.366	3.419	3.56
-Transcription	-Translation	0.3562	0.3686	0.39	0.2792	0.2979	0.3193	0.4206	0.4386	0.4542	0.4119	0.4195	0.434
-Translation	-Translation	1	1	1	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.9233	0.9401	1.008	0.64	0.6617	0.7166	1.383	1.537	1.619	1.375	1.533	1.568
-DNA Maintenance	-Translation	0.5261	0.5737	0.6321	0.3926	0.4198	0.4511	0.4672	0.5183	0.5718	0.4486	0.5404	0.5709
-RNA Family	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Translation	0.3028	0.3995	0.4679	0.2335	0.286	0.3479	0.1585	0.1907	0.2229	0.1489	0.1879	0.2267
-Signal Transduction	-Translation	0.05433	0.1117	0.141	0.04604	0.08052	0.09321	0.0254	0.0689	0.07935	0.03129	0.0722	0.08891
-Signaling Molecules and Interaction	-Translation	0.2308	0.2825	0.3966	0.1694	0.2038	0.2926	0.1084	0.1297	0.1506	0.09919	0.121	0.1418
Cellular Processes	-Translation	0.8773	0.9478	1.049	0.6393	0.7192	0.7822	0.8834	0.9742	1.088	0.8266	0.9255	1.029
-Cell structure	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
-Crystallins	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Translation	0.2576	0.3089	0.3491	0.2229	0.2863	0.3127	0.1715	0.201	0.2258	0.1699	0.2088	0.2442
-Cytoskeleton	-Translation	0.4021	0.4402	0.4985	0.2544	0.3031	0.3297	0.447	0.542	0.6375	0.371	0.4628	0.5501
-Cell Motility	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Translation	0.0755	0.09857	0.1238	0.05559	0.06871	0.08421	0.07402	0.1199	0.1512	0.08222	0.125	0.1597
-Cell Communication	-Translation	0.08037	0.08976	0.122	0.05104	0.0577	0.08347	0.08799	0.1081	0.1857	0.08158	0.1048	0.1923
Metabolism	-Translation	1.599	1.82	1.995	1.247	1.461	1.595	2.286	2.715	2.921	2.556	2.929	3.256
