Category	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
--Two-component system	0.000506702	0.0069521741	0.00010931682	6.9779191e-05	2.4330354e-05	0	0	0	2.8410211e-06	2.9760726e-06	2.3207822e-06	2.2236829e-13
--MAPK signaling pathway	0	0	0.0013813843	0.00065469153	0.0033125219	0.0022476858	0.0061693285	0.0058996509	0.0057853451	0.0074060928	0.0050284427	0.004199772
--ErbB signaling pathway	0	0	2.7007992e-05	2.6757977e-05	0	0	0.0010806004	0.00078791866	0.0002506371	0.00042053024	0.00043912079	0.0002456169
--Wnt signaling pathway	0	0	0	0	0	0	0.0028206082	0.0030767187	0.0017332642	0.0016547217	0.0037682386	0.0013570381
--Notch signaling pathway	0	0	0	0	0	0	7.5171462e-05	6.6038623e-05	8.0042214e-05	0.00013903542	0.00010554709	1.6478603e-05
--Hedgehog signaling pathway	0	0	0	0	0	0	1.287121e-05	8.6708774e-06	6.3663299e-05	0.00011354635	2.1167914e-05	1.0773745e-05
--TGF-beta signaling pathway	0	0	0	0	0	0	0	0	1.1366041e-05	2.7119317e-05	2.821624e-05	2.034671e-06
--VEGF signaling pathway	0	0	4.2387879e-05	7.290296e-05	3.4520521e-05	0	0	0	4.013347e-05	4.1717324e-05	7.9277298e-05	6.0697648e-05
--Jak-STAT signaling pathway	0	0	4.731731e-05	4.3224655e-05	3.5352474e-05	4.9279943e-05	0.001106176	0.0015801329	0.00015313823	0.00016648429	9.6530059e-05	2.2348015e-05
--Calcium signaling pathway	0	0	0.00030191774	0.00034824855	0.00074655871	0.00082800877	0.0027107648	0.0027248523	0.0099545014	0.0077345678	0.0045753933	0.0056717656
--Phosphatidylinositol signaling system	0	0.00031710399	0.00039011844	0.00018175381	0.00034998819	0.00039526874	0.00083725224	0.00099171118	0.00032416346	0.00054314439	0.00040963165	0.00012812861
--mTOR signaling pathway	0	0	4.3223966e-06	2.4082179e-06	0	0	0.00040476229	0.00042258061	0.00037231897	0.00037845101	0.00035510111	0.0001064855
--Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0
-Signaling Molecules and Interaction	0	1.9102647e-10	0.0032123791	0.0016337248	0.0044647564	0.0037811721	0.023469436	0.020934226	0.025749963	0.029136924	0.018308935	0.036958251
--Insulin secretion	0	0	0	0	0	0	0	0	0	0	0	0
--G protein-coupled receptors	0	0	2.2206983e-07	6.3437451e-07	0	0	1.4175229e-05	1.4498826e-05	0.00047315796	0.0003903758	0.00017493031	1.4390566e-05
--Enzyme-linked receptors	0	0	0	0	0	0	0	0	5.4277388e-05	0.00015691175	0.00010427628	5.5214047e-05
--Cytokine receptors	0	0	0	0	0	0	0.00014119479	8.6648447e-05	6.6142755e-05	2.7016326e-05	7.1970829e-06	2.1213936e-05
--Ion channels	0	9.5513236e-11	6.2818968e-06	7.5263073e-06	7.1536901e-05	6.5860401e-05	0.00083818937	0.0010775268	0.0011330534	0.0026352533	0.0012323775	0.0034834882
--Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0.00053667887	0.00053064493	0.0010004944	0.00091139627	0.00053837752	0.00024671539
--Cytokine-cytokine receptor interaction	0	0	0	0	0	0	5.5508888e-05	5.1413408e-05	0.00011293703	0.00037035997	0.00016195855	0.0016975595
--Cytokines	0	0	0	0	0	0	0	0	5.4991569e-06	1.902684e-05	1.3790387e-05	9.6507882e-07
--ECM-receptor interaction	0	0	0	0	0	0	0.00058163999	0.00026893028	0.00089295339	0.0012872699	0.0018922104	0.00035749038
--Cell adhesion molecules (CAMs)	0	0	0	0	0	0	0.0036091952	0.0031598071	0.00055686407	0.00066993869	0.00051140562	0.0002782828
--CAM ligands	0	0	0	0	0	0	0.0026826813	0.0021312945	0.0040860284	0.005987498	0.0013091385	0.023673762
--Cellular antigens	0	0	2.0941767e-05	2.321029e-06	0.00011208783	8.6599767e-05	0.0039709133	0.0041035593	0.0061631376	0.0033621667	0.0034212028	0.00049732335
--GTP-binding signaling proteins	0	0	0.0031834581	0.0016232431	0.0042474431	0.0035699355	0.010735422	0.0092598306	0.011094465	0.013193936	0.0088602652	0.0065524563
--Glycan binding proteins	0	0	1.4751872e-06	0	3.3688568e-05	5.8776416e-05	0.00030383751	0.00025007162	8.7995968e-05	0.00011007252	8.0375901e-05	6.5047172e-05
--Bacterial toxins	0	9.5513236e-11	0	0	0	0	0	0	2.2956761e-05	1.5702738e-05	1.4292597e-06	1.4342755e-05
Cellular Processes	0.049215431	0.01033143	0.015613673	0.022911802	0.035217253	0.035454757	0.10343264	0.094320587	0.1029652	0.11646304	0.17382802	0.19137172
-Hemoglobin	0	0	0	0	0	0	0	0	4.169555e-06	7.007887e-06	0	3.7691425e-05
--Hemoglobin	0	0	0	0	0	0	0	0	4.169555e-06	7.007887e-06	0	3.7691425e-05
-Vesicular Transport	0	4.7756618e-11	0.0062124489	0.0083800071	0.00899294	0.0090533786	0.021507052	0.02579283	0.015515411	0.017580902	0.018413231	0.025887541
--Endocytosis	0	0	0.0020760481	0.0020952107	0.0021577453	0.0023598519	0.009468525	0.0094680775	0.0046394662	0.0065980964	0.0065305083	0.0029102428
--Phagosome	0	0	0.0032189096	0.0058698533	0.0062515492	0.0060681308	0.0027071048	0.0031339035	0.00084960855	0.00095176868	0.00086343484	0.00048099595
--Lysosome	0	4.7756618e-11	0	0	0	0	0.0015800938	0.0016985086	0.0015019139	0.0023049334	0.0010421077	0.0016224202
--Peroxisome	0	0	0.00069130649	0.00028521698	0.00033971473	0.00035178779	0.0077098664	0.011435175	0.0084779936	0.0076745642	0.0099533872	0.020868979
--Regulation of autophagy	0	0	0.00022618475	0.00012972608	0.00024393077	0.00027360816	4.146179e-05	5.716565e-05	4.6429192e-05	5.1538944e-05	2.3792694e-05	4.903221e-06
-Cytoskeleton	0.018731612	0.0031497878	0.0038637353	0.0082391238	0.0050390447	0.0051704126	0.065412967	0.052050024	0.072672487	0.079887559	0.13359769	0.1496403
--Regulation of actin cytoskeleton	0	0	0.00053345285	0.0021954038	0.0038303267	0.0038265017	0.038362276	0.032974085	0.015570798	0.020745228	0.032405874	0.06717516
--Cytoskeleton proteins	0.018731612	0.0031497878	0.0033302824	0.00604372	0.001208718	0.0013439109	0.027050691	0.019075939	0.057101689	0.059142331	0.10119182	0.082465137
-Cell Motility	0.0063419419	0.0055369047	0	0	0	0	0	0	0	0	0	0
--Bacterial chemotaxis	0	0.0055369026	0	0	0	0	0	0	0	0	0	0
--Bacterial motility proteins	0.0063419419	2.1490478e-09	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	0.024141877	0.0016447379	0.005537489	0.0062926714	0.021185268	0.021230965	0.011944169	0.011308629	0.01060289	0.01305272	0.012576326	0.012692874
--Cell cycle	0.024141877	0.0016447379	0.0036094134	0.0037361692	0.0036954048	0.0038305573	0.0095235084	0.0089258166	0.0083241223	0.011955126	0.011472585	0.011393102
--Meiosis	0	0	0.00040403519	0.00015468315	0.00020358758	0.00026719024	0	0	0	0	0	0
--Oocyte meiosis	0	0	0	0	0	0	2.4776209e-05	2.6789751e-05	4.0197531e-05	2.9770762e-05	0.00018689162	7.215851e-06
--Apoptosis	0	0	0	0	0	0	0.0023958848	0.002356023	0.0018097675	0.00078590349	0.00059325429	0.0011144621
--p53 signaling pathway	0	0	0	0	0	0	0	0	0.00042880243	0.00028192047	0.00032359517	0.00017809476
--Cell wall	0	0	0.0015240404	0.0024018191	0.017286276	0.017133218	0	0	0	0	0	0
-Cell Communication	0	0	0	0	0	0	0.0045684468	0.0051691044	0.0041702465	0.0059348465	0.0092407671	0.0031133184
--Focal adhesion	0	0	0	0	0	0	0.0024059255	0.0020177565	0.0030263047	0.0041682092	0.0066217828	0.0023098395
--Adherens junction	0	0	0	0	0	0	0.00024241866	0.00049263644	0.00037279573	0.00048293119	0.00092776156	0.0002354769
--Tight junction	0	0	0	0	0	0	0.0019201027	0.0026587114	0.00076871777	0.0012661101	0.0016912227	0.00056800199
--Gap junction	0	0	0	0	0	0	0	0	2.4282903e-06	1.7596075e-05	2.9234152e-17	0
Metabolism	0.42278522	0.40608936	0.36481499	0.44336514	0.35181028	0.38704294	0.22328678	0.24306751	0.15300649	0.1449687	0.20014997	0.21295481
-Membrane Transport	0.037692055	0.055488664	0.015271913	0.010271952	0.010371059	0.008447745	0.00035468264	0.00037100467	0.0015326471	0.00080464936	0.0009670882	0.00052597772
--Transport	0.037692055	0.055430638	0.014800738	0.010245334	0.0098707184	0.0080424672	0.00021154198	0.00020666689	0.0015151734	0.0007623874	0.0009523271	0.00018130688
--Bacterial secretion system	0	5.8024816e-05	0	0	0	0	0	0	0	0	0	0
--Secretion system	0	1.0984022e-09	0.00047117472	2.6618675e-05	0.00050034082	0.0004052778	0.00014314066	0.00016433777	1.7473717e-05	4.2261966e-05	1.4761097e-05	0.00034467085
-Central Carbon Metabolism	0.21729323	0.1185145	0.2043769	0.24805928	0.20692798	0.20279135	0.11814784	0.1364381	0.062422758	0.064455105	0.10692195	0.13940429
--Glycolysis	0.18149722	0.057027372	0.17069024	0.20411138	0.17418265	0.14685895	0.080892164	0.09591943	0.043432069	0.043824024	0.07290513	0.12615343
--TCA cycle and anaplerotic enzymes	0	0.03368346	0.0094425253	0.013170432	0.0028491944	0.0081694684	0.015787583	0.018141079	0.0061709312	0.0063294318	0.0080772537	0.002542976
--Pentose phosphate metabolism	0.0089244849	0.014040207	0.010336303	0.010559149	0.0095238052	0.014888867	0.0059020756	0.0058802917	0.0041137318	0.0045098936	0.014184992	0.0041420541
--Carbohydrate metabolism	0.003465184	0.0045612374	0.0064097003	0.010514361	0.013514179	0.013104875	0.0056942395	0.0040464567	0.0028444085	0.0031260245	0.0028308825	0.0018738765
--Pyruvate metabolism	0	1.9102647e-10	0.00051914998	0.0016559119	0.00063176829	0.0048102037	0	0	0	0	0	0
--Butanoate metabolism	0	1.9102647e-10	0.0016268175	0.0008412277	0.0012406614	0.0015161344	0.0038283731	0.0043711498	0.0018102415	0.0017375378	0.0026949374	0.00080635078
--Other central metabolism enzymes	0.023406343	0.0092022235	0.0053521702	0.0072068251	0.0049857265	0.013442855	0.0060434038	0.00807969	0.0040513754	0.0049281934	0.0062287534	0.0038855968
-Energy Metabolism	0.036662308	0.020083808	0.013341503	0.015781123	0.01069451	0.015947727	0.040011663	0.037944655	0.023908454	0.017902646	0.020588982	0.0075851269
--Oxidative phosphorylation	0.036662308	0.020083808	0.012622382	0.01477993	0.010458065	0.015546811	0.039666536	0.037674425	0.020806454	0.015784973	0.01689755	0.0059379227
--Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
--Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0
--Carbon fixation in photosynthetic organisms	0	0	4.9286074e-05	5.5714718e-05	2.3707142e-05	2.8490421e-05	0	0	1.3047017e-05	5.8075679e-05	0.00010455742	5.0144049e-06
--Methane metabolism	0	9.5513236e-11	0.00066983569	0.00094547858	0.00021273806	0.00037242484	0.00034512701	0.00027023006	0.0030889524	0.0020595977	0.0035868744	0.0016421898
-Biosynthesis	0.063877082	0.17239376	0.10861382	0.14930366	0.10290343	0.14152448	0.048286605	0.050573305	0.046294917	0.043844667	0.052440689	0.043317794
--Lipid and steroid metabolism	0.0078293559	0.023185839	0.020749953	0.028827033	0.020708806	0.017648198	0.0092890728	0.009610412	0.0081006173	0.006952815	0.012460981	0.0027573512
--Purine metabolism	0.010150375	0.019637284	0.011342552	0.012918188	0.027588376	0.031703665	0.0096169957	0.010555752	0.0082589079	0.009361157	0.011089939	0.0075975439
--Pyrimidine metabolism	0.0068813339	0.019437661	0.0068598548	0.010055984	0.005500623	0.0083625847	0.0048316317	0.0022975028	0.0026300231	0.0019314872	0.005514169	0.0019650463
--Amino acid metabolism	0.003726708	0.08920865	0.05889983	0.090134834	0.042162707	0.076826366	0.013637913	0.014917514	0.017337749	0.014365678	0.011045563	0.019901506
--Glycan metabolism	0	0.004545477	0.0033210606	0.0015234539	0.0026309659	0.0023217627	0.0019875373	0.0023183158	0.0019184348	0.0014495022	0.0019584808	0.00045788522
--Cofactor biosynthesis	0.03528931	0.016378852	0.0074247244	0.0057939628	0.0042300183	0.0045609271	0.0089234547	0.010873808	0.0080453514	0.0097691789	0.010358807	0.010638461
--Biosynthesis of other secondary metabolites	0	4.7756618e-11	1.5841081e-05	5.0198766e-05	8.1933802e-05	0.00010097237	0	0	3.8328178e-06	1.4848725e-05	1.2748964e-05	0
-Other Enzymes	0.067260544	0.039608629	0.02321085	0.019949124	0.020913302	0.018331648	0.016485989	0.017740451	0.018847713	0.017961632	0.019231259	0.022121626
--Other enzymes	0.067260544	0.039608629	0.023195279	0.019942839	0.02088502	0.018288528	0.016107715	0.017424951	0.01828342	0.01696234	0.018880453	0.021800948
--Protein kinases	0	0	1.5571332e-05	6.284617e-06	2.8282381e-05	4.3119825e-05	0.00035646754	0.00029501638	0.00052842944	0.00096790895	0.00032296424	0.000319521
--Cytochrome P450	0	0	0	0	0	0	2.1807071e-05	2.0484351e-05	3.5864411e-05	3.1383062e-05	2.7841949e-05	1.1563156e-06
Organismal Systems	0	0	0	0	0	0	0.024591683	0.016442767	0.0073931492	0.010958248	0.0073255287	0.011162854
-Immune System	0	0	0	0	0	0	0.0069671508	0.006709187	0.0013886145	0.00096700402	0.00030348965	0.00038961927
--Response to viral infection	0	0	0	0	0	0	0.00025034305	0.00072495804	1.6590472e-05	5.0213554e-06	1.3784367e-05	2.2236829e-13
--Complement and coagulation cascades	0	0	0	0	0	0	0	0	0.00010843532	4.4848694e-05	5.3164889e-06	6.4153363e-07
--Toll-like receptor signaling pathway	0	0	0	0	0	0	5.80253e-05	6.7008308e-05	9.8814277e-06	2.7348737e-05	7.3319049e-06	1.4565123e-05
--NOD-like receptor signaling pathway	0	0	0	0	0	0	0.00042271633	0.00042153471	0.00038812225	0.00036062945	0.00017959903	0.00023667769
--RIG-I-like receptor signaling pathway	0	0	0	0	0	0	6.2728968e-05	7.4468614e-05	3.1628564e-05	2.4925088e-05	6.8412416e-06	9.8620343e-06
--Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0	0	0
--Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0	0	1.3815265e-05	1.1153335e-05	2.8132995e-06	1.489868e-06
--Antigen processing and presentation	0	0	0	0	0	0	0.0049582039	0.0039691626	0.00056550177	0.00031924207	2.0000821e-05	0.00010247843
--T cell receptor signaling pathway	0	0	0	0	0	0	6.8976807e-05	7.2486903e-05	7.2846602e-05	8.0782096e-05	3.2875211e-05	1.1841112e-05
--B cell receptor signaling pathway	0	0	0	0	0	0	0.00019495413	0.00014964941	1.0030047e-07	3.2299449e-07	0	2.2236829e-13
--Fc epsilon RI signaling pathway	0	0	0	0	0	0	0	0	2.5747115e-15	1.16723e-07	0	0
--Fc gamma R-mediated phagocytosis	0	0	0	0	0	0	0.00066252818	0.00080648258	0.00016714029	8.0028734e-05	2.8897154e-05	1.0251178e-05
--Leukocyte transendothelial migration	0	0	0	0	0	0	7.5103166e-05	0.00012823228	7.2814819e-06	6.5872496e-06	4.4691116e-06	1.8123016e-06
--Intestinal immune network for IgA production	0	0	0	0	0	0	0	0	0	0	6.7583649e-08	0
--Chemokine signaling pathway	0	0	0	0	0	0	0.0002135709	0.00029520358	7.2707813e-06	5.9975049e-06	1.4934284e-06	2.2236829e-13
-Endocrine System	0	0	0	0	0	0	0.010896272	0.0033803095	0.0014012462	0.0038312043	0.00024514407	0.0058359223
--Insulin signaling pathway	0	0	0	0	0	0	0.00035998824	0.00040286426	0.00025745918	0.00037362497	0.00023405854	0.00024805183
--Adipocytokine signaling pathway	0	0	0	0	0	0	0	0	4.052334e-07	2.2882968e-07	3.0694415e-07	0
--PPAR signaling pathway	0	0	0	0	0	0	0.010536284	0.0029774452	0.0011416643	0.0034562624	1.0778582e-05	0.0055878705
--Renin-angiotensin system	0	0	0	0	0	0	0	0	1.7174197e-06	1.0881533e-06	0	0
-Circulatory System	0	0	0	0	0	0	0.0017056441	0.0014796917	0.0023530267	0.0037716079	0.0013504863	0.00049098918
--Cardiac muscle contraction	0	0	0	0	0	0	0.0017056441	0.0014796917	0.0022250431	0.0031992412	0.00069346841	0.00042683593
--Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0.00012798368	0.00057236667	0.00065701792	6.4153252e-05
-Digestive System	0	0	0	0	0	0	0.00011579469	0.00010014661	0.00079407433	0.00058651039	0.0015019259	0.0010735919
--Salivary secretion	0	0	0	0	0	0	0	0	4.6849564e-05	8.5410305e-05	0.00011540936	1.185223e-05
--Pancreatic secretion	0	0	0	0	0	0	0	0	9.066902e-07	2.5364347e-06	6.5854232e-07	0
--Bile secretion	0	0	0	0	0	0	0	0	0	0	0	0
--Protein digestion and absorption	0	0	0	0	0	0	1.5483837e-05	1.031937e-05	0.00050128098	0.00044876174	0.00021862229	5.548089e-06
--Fat digestion and absorption	0	0	0	0	0	0	0	0	0.00024344222	4.7081371e-05	5.4379209e-05	1.1096178e-05
--Vitamin digestion and absorption	0	0	0	0	0	0	0	0	9.9522893e-07	3.9545069e-07	4.8526356e-05	4.3361821e-06
--Mineral absorption	0	0	0	0	0	0	0.00010031086	8.9827238e-05	5.9965466e-07	2.3250866e-06	0.0010643302	0.0010407592
-Excretory System	0	0	0	0	0	0	0.0044390054	0.0042614118	0.00099139811	0.0011817429	0.0022356419	0.0023231004
--Vasopressin-regulated water reabsorption	0	0	0	0	0	0	0.0041486693	0.003865572	0.00096430204	0.0011346114	0.0021917386	0.0022375364
--Aldosterone-regulated sodium reabsorption	0	0	0	0	0	0	0	0	1.2446435e-05	2.1908886e-05	3.6125561e-05	9.4617707e-06
--Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0	0	0	0	0	0	0	0
--Proximal tubule bicarbonate reclamation	0	0	0	0	0	0	0.00029033604	0.00039583978	1.3549732e-05	1.9853928e-05	1.398728e-06	7.5494034e-05
--Collecting duct acid secretion	0	0	0	0	0	0	0	0	1.099898e-06	5.3687177e-06	6.378946e-06	6.0817727e-07
-Nervous System	0	0	0	0	0	0	0.00014117772	0.00021284636	1.6255474e-05	2.8049313e-05	0.00022093302	0.00039255452
--Synaptic vesicle cycle	0	0	0	0	0	0	7.0041713e-05	5.5317689e-05	0	0	8.8751143e-05	0.0002334867
--GABAergic synapse	0	0	0	0	0	0	0	0	0	0	6.2231631e-06	6.17072e-06
--Glutamatergic synapse	0	0	0	0	0	0	4.8132292e-05	0.00013874681	1.076322e-05	2.6959712e-06	0.00011922887	0.0001473857
--Long-term potentiation	0	0	0	0	0	0	0	0	0	0	0	0
--Neurotrophin signaling pathway	0	0	0	0	0	0	2.3003712e-05	1.878186e-05	5.4922536e-06	2.5353341e-05	6.7298472e-06	5.5113981e-06
-Sensory System	0	0	0	0	0	0	0	0	0	0	0	0
--Phototransduction	0	0	0	0	0	0	0	0	0	0	0	0
--Olfactory transduction	0	0	0	0	0	0	0	0	0	0	0	0
-Development	0	0	0	0	0	0	0.00032663848	0.00029917362	0.00044853385	0.00059212936	0.0014349142	0.00065040501
