Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
-Translation	MAPPED	0.1527	0.2503	0.2797	0.229	0.2709	0.2325	0.1419	0.1386	0.1976	0.1803	0.09933	0.1583
-Folding, Sorting and Degradation	MAPPED	0.1629	0.08609	0.1461	0.1527	0.1334	0.1203	0.2357	0.2332	0.1949	0.2014	0.1804	0.1923
-DNA Maintenance	MAPPED	0.07389	0.01681	0.01971	0.009496	0.02428	0.02462	0.07549	0.07745	0.09029	0.08417	0.08502	0.04981
-RNA Family	MAPPED	0	2.893e-11	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.007603	0.00604	0.009891	0.007539	0.007546	0.006857	0.04203	0.03924	0.04978	0.0488	0.03089	0.03299
-Signal Transduction	MAPPED	0.0005625	0.00604	0.003599	0.002734	0.004499	0.004227	0.01972	0.02017	0.02148	0.02022	0.01431	0.009451
-Signaling Molecules and Interaction	MAPPED	0.00704	1.157e-10	0.006292	0.004805	0.003047	0.00263	0.02232	0.01907	0.02829	0.02858	0.01658	0.02353
Cellular Processes	MAPPED	0.04761	0.01171	0.0212	0.02256	0.04412	0.04222	0.1361	0.123	0.1729	0.2176	0.3398	0.2431
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	2.038e-06	3.259e-06	0	1.717e-05
-Vesicular Transport	MAPPED	0	2.893e-11	0.009365	0.009611	0.01081	0.01106	0.03073	0.03267	0.02275	0.02578	0.017	0.02406
-Cytoskeleton	MAPPED	0.02081	0.003603	0.00373	0.006562	0.003973	0.00402	0.08466	0.07002	0.1295	0.1626	0.2953	0.1994
-Cell Motility	MAPPED	0	0.005874	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.0268	0.002235	0.008101	0.006387	0.02934	0.02715	0.008782	0.008044	0.008645	0.01068	0.006876	0.009587
-Cell Communication	MAPPED	0	0	0	0	0	0	0.01192	0.01232	0.01199	0.01848	0.0206	0.01004
Metabolism	MAPPED	0.5057	0.59	0.5041	0.5689	0.4978	0.5549	0.2775	0.3001	0.2144	0.1955	0.2063	0.2636
-Membrane Transport	MAPPED	0.05199	0.06739	0.009262	0.00371	0.008388	0.004826	0.0005866	0.0006177	0.00257	0.001449	0.001203	0.0003838
-Central Carbon Metabolism	MAPPED	0.2607	0.2042	0.2461	0.2568	0.2692	0.2756	0.1511	0.1731	0.08962	0.09117	0.09899	0.178
-Energy Metabolism	MAPPED	0.05329	0.02775	0.02995	0.03411	0.02121	0.02252	0.04132	0.03757	0.02226	0.01599	0.01628	0.007102
-Biosynthesis	MAPPED	0.06704	0.2505	0.1877	0.2481	0.1664	0.2253	0.05798	0.06164	0.07119	0.06118	0.0702	0.05405
-Other Enzymes	MAPPED	0.0727	0.04017	0.03104	0.02622	0.03255	0.02666	0.02653	0.02718	0.0288	0.02572	0.01965	0.02405
Organismal Systems	MAPPED	0	0	0	0	0	0	0.0181	0.01635	0.008019	0.01099	0.006422	0.007874
-Immune System	MAPPED	0	0	0	0	0	0	0.008088	0.009587	0.001587	0.001134	0.0003294	0.0004402
-Endocrine System	MAPPED	0	0	0	0	0	0	0.00479	0.001822	0.001048	0.002225	0.0003393	0.002773
-Circulatory System	MAPPED	0	0	0	0	0	0	0.001431	0.001221	0.002599	0.004726	0.001533	0.0005806
-Digestive System	MAPPED	0	0	0	0	0	0	0.0001285	0.0001076	0.00132	0.0009775	0.001358	0.001196
-Excretory System	MAPPED	0	0	0	0	0	0	0.002868	0.002783	0.000705	0.0008322	0.0009489	0.001551
-Nervous System	MAPPED	0	0	0	0	0	0	0.0002426	0.000294	3.715e-05	7.035e-05	0.0001709	0.0004405
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0.000554	0.0005399	0.0007231	0.001021	0.00172	0.0008855
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0	0	0	0	2.341e-05	7.33e-06
Human Diseases	MAPPED	0	0	0	0	0	0	0.005782	0.005848	0.005573	0.005667	0.003154	0.002574
-Cancers	MAPPED	0	0	0	0	0	0	0.001149	0.001141	0.002191	0.002197	0.0008825	0.001109
-Immune System Diseases	MAPPED	0	0	0	0	0	0	0.001918	0.001562	0.0007424	0.001172	0.0003118	0.0007551
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0	0	0.001329	0.001828	0.001399	0.001074	0.0004899	0.0001445
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0.000184	0.0001582	0.0005524	0.0003307	0.0006234	7.614e-05
-Infectious Diseases	MAPPED	0	0	0	0	0	0	0.001202	0.001158	0.000689	0.0008928	0.0008469	0.0004891
Not Mapped	MAPPED	0.2192	0.1015	0.1433	0.08623	0.1708	0.1685	0.2147	0.2073	0.2336	0.2358	0.151	0.1157
-Not Mapped	MAPPED	0.2192	0.1015	0.1433	0.08623	0.1708	0.1685	0.2147	0.2073	0.2336	0.2358	0.151	0.1157
TOTAL	Genetic Information Processing	2.777	2.808	2.46	2.709	2.598	2.95	2.334	2.343	2.246	2.37	2.784	2.48
MAPPED	Genetic Information Processing	2.277	2.55	2.151	2.494	2.219	2.525	1.921	1.94	1.82	1.918	2.419	2.223
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.113	0.09939	0.04162	0.0244	0.04886	0.04707	0.1295	0.1283	0.121	0.1067	0.1176	0.11
-Translation	Genetic Information Processing	0.3478	0.6382	0.6017	0.5712	0.6012	0.587	0.2726	0.269	0.3598	0.3457	0.2403	0.3517
-Folding, Sorting and Degradation	Genetic Information Processing	0.3709	0.2195	0.3143	0.3807	0.296	0.3038	0.4528	0.4525	0.3548	0.3862	0.4364	0.4275
-DNA Maintenance	Genetic Information Processing	0.1683	0.04287	0.04241	0.02368	0.05387	0.06215	0.145	0.1503	0.1644	0.1614	0.2057	0.1107
-RNA Family	Genetic Information Processing	0	7.376e-11	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.01731	0.0154	0.02128	0.0188	0.01675	0.01731	0.08076	0.07614	0.09062	0.09359	0.07472	0.07331
-Signal Transduction	Genetic Information Processing	0.001281	0.0154	0.007744	0.006818	0.009985	0.01067	0.03788	0.03914	0.03911	0.03878	0.03461	0.02101
-Signaling Molecules and Interaction	Genetic Information Processing	0.01603	2.95e-10	0.01354	0.01198	0.006763	0.006641	0.04288	0.037	0.05151	0.05481	0.04011	0.05231
Cellular Processes	Genetic Information Processing	0.1084	0.02986	0.0456	0.05626	0.09792	0.1066	0.2615	0.2388	0.3147	0.4173	0.822	0.5403
-Hemoglobin	Genetic Information Processing	0	0	0	0	0	0	0	0	3.711e-06	6.25e-06	0	3.816e-05
-Vesicular Transport	Genetic Information Processing	0	7.376e-11	0.02015	0.02397	0.024	0.02792	0.05904	0.06339	0.04141	0.04944	0.04113	0.05347
-Cytoskeleton	Genetic Information Processing	0.0474	0.009188	0.008024	0.01637	0.008818	0.01015	0.1627	0.1359	0.2358	0.3119	0.7144	0.4432
-Cell Motility	Genetic Information Processing	0	0.01498	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.06103	0.005699	0.01743	0.01593	0.06511	0.06854	0.01687	0.01561	0.01574	0.02048	0.01663	0.02131
-Cell Communication	Genetic Information Processing	0	0	0	0	0	0	0.02291	0.0239	0.02182	0.03545	0.04983	0.02232
Metabolism	Genetic Information Processing	1.152	1.504	1.084	1.419	1.105	1.401	0.5331	0.5824	0.3904	0.3749	0.4991	0.5858
-Membrane Transport	Genetic Information Processing	0.1184	0.1718	0.01993	0.009253	0.01862	0.01219	0.001127	0.001198	0.004678	0.002779	0.00291	0.0008531
-Central Carbon Metabolism	Genetic Information Processing	0.5936	0.5207	0.5295	0.6404	0.5974	0.6959	0.2902	0.3359	0.1631	0.1748	0.2394	0.3956
-Energy Metabolism	Genetic Information Processing	0.1214	0.07075	0.06443	0.08508	0.04708	0.05686	0.07937	0.0729	0.04052	0.03066	0.03938	0.01578
-Biosynthesis	Genetic Information Processing	0.1527	0.6388	0.4038	0.6187	0.3693	0.5687	0.1114	0.1196	0.1296	0.1173	0.1698	0.1201
-Other Enzymes	Genetic Information Processing	0.1655	0.1024	0.06677	0.06539	0.07223	0.0673	0.05097	0.05274	0.05244	0.04932	0.04754	0.05346
Organismal Systems	Genetic Information Processing	0	0	0	0	0	0	0.03478	0.03173	0.0146	0.02107	0.01553	0.0175
-Immune System	Genetic Information Processing	0	0	0	0	0	0	0.01554	0.0186	0.00289	0.002174	0.0007968	0.0009785
-Endocrine System	Genetic Information Processing	0	0	0	0	0	0	0.009203	0.003535	0.001908	0.004268	0.0008206	0.006164
-Circulatory System	Genetic Information Processing	0	0	0	0	0	0	0.00275	0.002369	0.004731	0.009063	0.003707	0.00129
-Digestive System	Genetic Information Processing	0	0	0	0	0	0	0.0002469	0.0002087	0.002403	0.001875	0.003284	0.002658
-Excretory System	Genetic Information Processing	0	0	0	0	0	0	0.00551	0.0054	0.001283	0.001596	0.002295	0.003447
-Nervous System	Genetic Information Processing	0	0	0	0	0	0	0.0004661	0.0005704	6.763e-05	0.0001349	0.0004134	0.0009791
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0.001064	0.001048	0.001316	0.001957	0.004161	0.001968
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	5.663e-05	1.629e-05
Human Diseases	Genetic Information Processing	0	0	0	0	0	0	0.01111	0.01135	0.01015	0.01087	0.00763	0.005721
-Cancers	Genetic Information Processing	0	0	0	0	0	0	0.002207	0.002215	0.003988	0.004213	0.002135	0.002465
-Immune System Diseases	Genetic Information Processing	0	0	0	0	0	0	0.003685	0.003031	0.001352	0.002248	0.0007541	0.001678
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0	0	0	0.002554	0.003547	0.002546	0.00206	0.001185	0.0003213
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0.0003534	0.0003071	0.001006	0.0006342	0.001508	0.0001692
-Infectious Diseases	Genetic Information Processing	0	0	0	0	0	0	0.002309	0.002248	0.001254	0.001712	0.002049	0.001087
Not Mapped	Genetic Information Processing	0.4993	0.2587	0.3082	0.2151	0.3791	0.4255	0.4126	0.4022	0.4252	0.4523	0.3654	0.2571
-Not Mapped	Genetic Information Processing	0.4993	0.2587	0.3082	0.2151	0.3791	0.4255	0.4126	0.4022	0.4252	0.4523	0.3654	0.2571
TOTAL	-Transcription	24.57	28.26	59.1	111	53.18	62.68	18.02	18.26	18.56	22.2	23.67	22.54
MAPPED	-Transcription	20.15	25.65	51.69	102.2	45.42	53.64	14.83	15.12	15.04	17.97	20.56	20.2
Genetic Information Processing	-Transcription	8.848	10.06	24.03	40.98	20.46	21.24	7.721	7.793	8.264	9.368	8.5	9.088
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	3.077	6.421	14.46	23.41	12.3	12.47	2.105	2.096	2.973	3.238	2.042	3.197
-Folding, Sorting and Degradation	-Transcription	3.282	2.208	7.551	15.6	6.059	6.454	3.496	3.526	2.932	3.618	3.71	3.885
-DNA Maintenance	-Transcription	1.489	0.4313	1.019	0.9706	1.103	1.32	1.12	1.171	1.358	1.512	1.748	1.006
-RNA Family	-Transcription	0	7.421e-10	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Transcription	0.1532	0.1549	0.5113	0.7705	0.3427	0.3678	0.6235	0.5934	0.7488	0.8768	0.6352	0.6663
-Signal Transduction	-Transcription	0.01133	0.1549	0.1861	0.2794	0.2043	0.2267	0.2925	0.305	0.3232	0.3633	0.2942	0.1909
-Signaling Molecules and Interaction	-Transcription	0.1419	2.968e-09	0.3252	0.4911	0.1384	0.1411	0.3311	0.2883	0.4257	0.5135	0.3409	0.4754
Cellular Processes	-Transcription	0.9594	0.3005	1.096	2.306	2.004	2.265	2.019	1.861	2.601	3.909	6.987	4.91
-Hemoglobin	-Transcription	0	0	0	0	0	0	0	0	3.067e-05	5.855e-05	0	0.0003468
-Vesicular Transport	-Transcription	0	7.421e-10	0.4841	0.9823	0.4911	0.5931	0.4559	0.494	0.3422	0.4632	0.3496	0.486
-Cytoskeleton	-Transcription	0.4194	0.09244	0.1928	0.6707	0.1805	0.2156	1.256	1.059	1.948	2.922	6.073	4.028
-Cell Motility	-Transcription	0	0.1507	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Transcription	0.54	0.05734	0.4187	0.6528	1.332	1.456	0.1303	0.1216	0.1301	0.1919	0.1414	0.1937
-Cell Communication	-Transcription	0	0	0	0	0	0	0.1769	0.1863	0.1803	0.3321	0.4236	0.2029
Metabolism	-Transcription	10.19	15.14	26.06	58.15	22.61	29.76	4.116	4.538	3.226	3.512	4.242	5.324
-Membrane Transport	-Transcription	1.047	1.729	0.4788	0.3792	0.381	0.2589	0.008701	0.00934	0.03866	0.02603	0.02474	0.007753
-Central Carbon Metabolism	-Transcription	5.252	5.238	12.72	26.25	12.23	14.78	2.241	2.618	1.348	1.638	2.035	3.595
-Energy Metabolism	-Transcription	1.074	0.7118	1.548	3.487	0.9635	1.208	0.6129	0.5681	0.3349	0.2872	0.3347	0.1435
-Biosynthesis	-Transcription	1.351	6.427	9.702	25.36	7.558	12.08	0.86	0.9322	1.071	1.099	1.444	1.092
-Other Enzymes	-Transcription	1.465	1.031	1.604	2.68	1.478	1.43	0.3936	0.411	0.4333	0.4621	0.4041	0.4858
Organismal Systems	-Transcription	0	0	0	0	0	0	0.2685	0.2473	0.1206	0.1974	0.1321	0.1591
-Immune System	-Transcription	0	0	0	0	0	0	0.12	0.145	0.02388	0.02037	0.006773	0.008893
-Endocrine System	-Transcription	0	0	0	0	0	0	0.07106	0.02755	0.01576	0.03998	0.006976	0.05602
-Circulatory System	-Transcription	0	0	0	0	0	0	0.02123	0.01846	0.03909	0.0849	0.03151	0.01173
-Digestive System	-Transcription	0	0	0	0	0	0	0.001906	0.001627	0.01986	0.01756	0.02791	0.02416
-Excretory System	-Transcription	0	0	0	0	0	0	0.04254	0.04209	0.01061	0.01495	0.01951	0.03133
-Nervous System	-Transcription	0	0	0	0	0	0	0.003599	0.004446	0.0005589	0.001264	0.003514	0.008899
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0	0	0.008218	0.008164	0.01088	0.01834	0.03537	0.01789
-Environmental Adaptation	-Transcription	0	0	0	0	0	0	0	0	0	0	0.0004814	0.0001481
Human Diseases	-Transcription	0	0	0	0	0	0	0.08577	0.08843	0.08384	0.1018	0.06486	0.05199
-Cancers	-Transcription	0	0	0	0	0	0	0.01704	0.01726	0.03296	0.03947	0.01815	0.0224
-Immune System Diseases	-Transcription	0	0	0	0	0	0	0.02846	0.02362	0.01117	0.02106	0.006411	0.01525
-Neurodegenerative Diseases	-Transcription	0	0	0	0	0	0	0.01972	0.02764	0.02104	0.0193	0.01007	0.00292
-Cardiovascular Diseases	-Transcription	0	0	0	0	0	0	0.002729	0.002393	0.00831	0.005942	0.01282	0.001538
-Infectious Diseases	-Transcription	0	0	0	0	0	0	0.01783	0.01752	0.01036	0.01604	0.01741	0.00988
Not Mapped	-Transcription	4.417	2.602	7.406	8.814	7.758	9.038	3.185	3.134	3.514	4.237	3.106	2.337
-Not Mapped	-Transcription	4.417	2.602	7.406	8.814	7.758	9.038	3.185	3.134	3.514	4.237	3.106	2.337
TOTAL	-Translation	7.984	4.4	4.088	4.742	4.322	5.026	8.56	8.71	6.241	6.856	11.59	7.05
MAPPED	-Translation	6.548	3.995	3.575	4.366	3.691	4.302	7.047	7.214	5.059	5.548	10.07	6.319
Genetic Information Processing	-Translation	2.876	1.567	1.662	1.751	1.663	1.704	3.668	3.718	2.779	2.893	4.162	2.843
-Transcription	-Translation	0.325	0.1557	0.06917	0.04272	0.08128	0.0802	0.475	0.4771	0.3363	0.3088	0.4896	0.3128
-Translation	-Translation	1	1	1	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	1.067	0.3439	0.5223	0.6665	0.4924	0.5176	1.661	1.682	0.9861	1.117	1.816	1.215
-DNA Maintenance	-Translation	0.4839	0.06717	0.07048	0.04146	0.08961	0.1059	0.532	0.5587	0.4568	0.467	0.856	0.3148
-RNA Family	-Translation	0	1.156e-10	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Translation	0.04979	0.02413	0.03537	0.03291	0.02786	0.0295	0.2962	0.2831	0.2518	0.2707	0.311	0.2084
-Signal Transduction	-Translation	0.003684	0.02413	0.01287	0.01194	0.01661	0.01818	0.1389	0.1455	0.1087	0.1122	0.144	0.05972
-Signaling Molecules and Interaction	-Translation	0.0461	4.623e-10	0.0225	0.02098	0.01125	0.01131	0.1573	0.1376	0.1432	0.1586	0.1669	0.1487
Cellular Processes	-Translation	0.3118	0.04679	0.07578	0.09849	0.1629	0.1816	0.9591	0.8877	0.8747	1.207	3.421	1.536
-Hemoglobin	-Translation	0	0	0	0	0	0	0	0	1.031e-05	1.808e-05	0	0.0001085
-Vesicular Transport	-Translation	0	1.156e-10	0.03348	0.04196	0.03991	0.04757	0.2166	0.2357	0.1151	0.143	0.1712	0.152
-Cytoskeleton	-Translation	0.1363	0.0144	0.01334	0.02865	0.01467	0.01729	0.5966	0.5051	0.6552	0.9023	2.973	1.26
-Cell Motility	-Translation	0	0.02346	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Translation	0.1755	0.00893	0.02896	0.02788	0.1083	0.1168	0.06188	0.05803	0.04374	0.05926	0.06922	0.06058
-Cell Communication	-Translation	0	0	0	0	0	0	0.08402	0.08886	0.06064	0.1025	0.2074	0.06346
Metabolism	-Translation	3.311	2.357	1.802	2.484	1.837	2.387	1.955	2.165	1.085	1.085	2.077	1.665
-Membrane Transport	-Translation	0.3404	0.2692	0.03312	0.0162	0.03096	0.02076	0.004134	0.004456	0.013	0.008039	0.01211	0.002425
-Central Carbon Metabolism	-Translation	1.707	0.8158	0.88	1.121	0.9937	1.186	1.064	1.249	0.4534	0.5058	0.9966	1.125
-Energy Metabolism	-Translation	0.349	0.1108	0.1071	0.1489	0.07831	0.09687	0.2911	0.271	0.1126	0.08869	0.1639	0.04488
-Biosynthesis	-Translation	0.439	1.001	0.6711	1.083	0.6143	0.9689	0.4085	0.4447	0.3602	0.3394	0.7068	0.3415
-Other Enzymes	-Translation	0.476	0.1605	0.111	0.1145	0.1201	0.1147	0.187	0.1961	0.1457	0.1427	0.1978	0.152
Organismal Systems	-Translation	0	0	0	0	0	0	0.1276	0.118	0.04057	0.06094	0.06465	0.04976
-Immune System	-Translation	0	0	0	0	0	0	0.05699	0.06916	0.008032	0.006289	0.003316	0.002782
-Endocrine System	-Translation	0	0	0	0	0	0	0.03375	0.01314	0.005301	0.01235	0.003415	0.01752
-Circulatory System	-Translation	0	0	0	0	0	0	0.01009	0.008808	0.01315	0.02622	0.01543	0.003669
-Digestive System	-Translation	0	0	0	0	0	0	0.0009055	0.000776	0.00668	0.005423	0.01367	0.007557
-Excretory System	-Translation	0	0	0	0	0	0	0.02021	0.02008	0.003567	0.004617	0.009553	0.0098
-Nervous System	-Translation	0	0	0	0	0	0	0.00171	0.002121	0.000188	0.0003903	0.00172	0.002784
-Sensory System	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Translation	0	0	0	0	0	0	0.003904	0.003895	0.003659	0.005663	0.01732	0.005595
-Environmental Adaptation	-Translation	0	0	0	0	0	0	0	0	0	0	0.0002357	4.632e-05
Human Diseases	-Translation	0	0	0	0	0	0	0.04074	0.04219	0.0282	0.03144	0.03176	0.01626
-Cancers	-Translation	0	0	0	0	0	0	0.008094	0.008234	0.01108	0.01219	0.008885	0.007008
-Immune System Diseases	-Translation	0	0	0	0	0	0	0.01352	0.01127	0.003756	0.006503	0.003139	0.004772
-Neurodegenerative Diseases	-Translation	0	0	0	0	0	0	0.009368	0.01319	0.007076	0.005959	0.004932	0.0009134
-Cardiovascular Diseases	-Translation	0	0	0	0	0	0	0.001296	0.001142	0.002795	0.001835	0.006276	0.0004811
-Infectious Diseases	-Translation	0	0	0	0	0	0	0.008469	0.008357	0.003486	0.004953	0.008526	0.003091
Not Mapped	-Translation	1.436	0.4053	0.5123	0.3765	0.6305	0.7248	1.513	1.495	1.182	1.308	1.521	0.731
-Not Mapped	-Translation	1.436	0.4053	0.5123	0.3765	0.6305	0.7248	1.513	1.495	1.182	1.308	1.521	0.731
TOTAL	-Folding, Sorting and Degradation	7.485	12.79	7.826	7.116	8.777	9.711	5.154	5.177	6.329	6.137	6.38	5.8
MAPPED	-Folding, Sorting and Degradation	6.139	11.62	6.845	6.551	7.497	8.31	4.243	4.288	5.131	4.966	5.543	5.199
Genetic Information Processing	-Folding, Sorting and Degradation	2.696	4.556	3.182	2.627	3.378	3.291	2.208	2.21	2.818	2.59	2.291	2.339
-Transcription	-Folding, Sorting and Degradation	0.3047	0.4528	0.1324	0.06409	0.1651	0.1549	0.286	0.2836	0.3411	0.2764	0.2696	0.2574
-Translation	-Folding, Sorting and Degradation	0.9375	2.908	1.915	1.5	2.031	1.932	0.6021	0.5944	1.014	0.8952	0.5506	0.8228
