Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0	0.0005267	0	0	0.0002539	0	0	0.0002032	0	0	0.0001694	0	0	0.0001638
-Cytoskeleton	TOTAL	0.003836	0.003836	0.003836	0.003722	0.003722	0.003722	0.003375	0.003375	0.003375	0.003195	0.003195	0.003195	0.00315	0.00315	0.00315
-Cell Motility	TOTAL	0.007676	0.008251	0.01239	0.003438	0.003439	0.007484	0.004102	0.004103	0.0071	0.004374	0.004375	0.007125	0.004212	0.004212	0.005539
-Cell Growth and Death	TOTAL	0.001202	0.001335	0.001474	0.001403	0.001549	0.001748	0.00137	0.001526	0.00182	0.001469	0.001589	0.001932	0.001657	0.001794	0.002197
-Cell Communication	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	TOTAL	0.4913	0.5	0.5074	0.4846	0.4941	0.5043	0.4609	0.4693	0.4804	0.4419	0.4501	0.4627	0.4135	0.4206	0.4296
-Membrane Transport	TOTAL	0.08084	0.09692	0.1028	0.0767	0.08736	0.09242	0.06848	0.07891	0.08321	0.05901	0.06807	0.07182	0.0478	0.05605	0.05791
-Central Carbon Metabolism	TOTAL	0.09374	0.1089	0.12	0.07498	0.09554	0.1083	0.07273	0.08571	0.09677	0.06873	0.07571	0.08612	0.06005	0.06602	0.07596
-Energy Metabolism	TOTAL	0.02182	0.02704	0.03377	0.02317	0.03353	0.04052	0.02348	0.0318	0.04055	0.02279	0.03018	0.03741	0.01772	0.02384	0.03353
-Biosynthesis	TOTAL	0.1003	0.1118	0.1151	0.1119	0.1223	0.1313	0.1145	0.1233	0.1355	0.1209	0.136	0.1492	0.1197	0.1336	0.1493
-Other Enzymes	TOTAL	0.1401	0.149	0.1759	0.1351	0.1478	0.1788	0.1282	0.1402	0.1651	0.1214	0.1332	0.1549	0.1178	0.1344	0.1518
Organismal Systems	TOTAL	0	0.0003951	0.000899	0	0.0004327	0.0009015	0	0.0002835	0.0007587	0	0.0001192	0.0005677	0	5.802e-05	0.0003947
-Immune System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	TOTAL	0	0.0003951	0.0008989	0	0.0004327	0.0009015	0	0.0002835	0.0007586	0	0.0001192	0.0005676	0	5.802e-05	0.0003947
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	TOTAL	0	0	9.928e-08	0	0	8.297e-08	0	0	6.223e-08	0	0	5.37e-08	0	0	4.775e-08
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	TOTAL	0.003355	0.01051	0.01648	0.00312	0.01033	0.01774	0.003152	0.01068	0.01848	0.003071	0.0122	0.01956	0.003079	0.00869	0.01542
-Cancers	TOTAL	0	8.637e-05	0.001448	0	8.297e-08	6.148e-05	0	6.223e-08	5.234e-05	0	5.37e-08	4.516e-05	0	4.775e-08	4.589e-05
-Immune System Diseases	TOTAL	0	9.928e-08	0.0001583	0	8.297e-08	0.0001493	0	6.223e-08	0.0001058	0	5.37e-08	7.921e-05	0	4.775e-08	6.16e-05
-Neurodegenerative Diseases	TOTAL	0	0.005819	0.006345	0	0.008359	0.008613	0	0.009133	0.009337	0	0.01088	0.01105	0	0.007477	0.00764
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0.004432	0	0	0.004097	0	0	0.003829	0	0	0.003388	0	0	0.003002
-Infectious Diseases	TOTAL	0.0001503	0.003093	0.00899	0.0001368	0.002867	0.00827	0.0001701	0.002875	0.008086	0.0001396	0.002821	0.007733	0.0001487	0.00245	0.007079
Not Mapped	TOTAL	0.1041	0.1041	0.1041	0.09073	0.09073	0.09073	0.08283	0.08283	0.08283	0.07631	0.07631	0.07631	0.07464	0.07464	0.07464
-Not Mapped	TOTAL	0.1041	0.1041	0.1041	0.09073	0.09073	0.09073	0.08283	0.08283	0.08283	0.07631	0.07631	0.07631	0.07464	0.07464	0.07464
TOTAL	MAPPED	1.116	1.116	1.116	1.1	1.1	1.1	1.09	1.09	1.09	1.083	1.083	1.083	1.081	1.081	1.081
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.3915	0.3979	0.4018	0.4123	0.419	0.4233	0.4453	0.4522	0.4566	0.4699	0.4761	0.4806	0.5076	0.5137	0.5181
-Transcription	MAPPED	0.03131	0.03377	0.0381	0.03138	0.03383	0.03893	0.02909	0.0311	0.03608	0.02531	0.02707	0.03168	0.02448	0.02641	0.03078
-Translation	MAPPED	0.2599	0.2616	0.2623	0.2808	0.2827	0.2835	0.3199	0.322	0.3228	0.3524	0.3544	0.3552	0.3914	0.3931	0.3941
-Folding, Sorting and Degradation	MAPPED	0.06549	0.06945	0.07296	0.06662	0.07047	0.07418	0.06513	0.06933	0.07289	0.06415	0.06835	0.07178	0.06518	0.06934	0.07315
-DNA Maintenance	MAPPED	0.0277	0.03103	0.03367	0.02652	0.03006	0.03291	0.02398	0.02793	0.03022	0.02117	0.02494	0.02686	0.01977	0.0235	0.02589
-RNA Family	MAPPED	7.757e-07	1.44e-06	1.773e-06	6.387e-07	1.186e-06	1.46e-06	4.75e-07	8.821e-07	1.086e-06	4.07e-07	7.558e-07	9.302e-07	3.612e-07	6.709e-07	8.257e-07
Environmental Information Processing	MAPPED	0.01178	0.01221	0.01476	0.0102	0.0104	0.01319	0.0085	0.008656	0.01081	0.007699	0.007812	0.009654	0.007029	0.007114	0.00886
-Signal Transduction	MAPPED	0.0117	0.01213	0.0145	0.0102	0.0104	0.01319	0.008499	0.008656	0.01081	0.007699	0.007812	0.009654	0.007029	0.007114	0.00886
-Signaling Molecules and Interaction	MAPPED	8.732e-05	8.732e-05	8.732e-05	3.65e-07	3.65e-07	3.65e-07	2.714e-07	2.714e-07	2.714e-07	2.326e-07	2.326e-07	2.326e-07	2.064e-07	2.064e-07	2.064e-07
Cellular Processes	MAPPED	0.01448	0.0151	0.01964	0.009418	0.009959	0.01403	0.009647	0.01031	0.01308	0.009784	0.01042	0.01289	0.009746	0.01048	0.01133
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0	0	0.0005878	0	0	0.0002792	0	0	0.0002215	0	0	0.0001834	0	0	0.000177
-Cytoskeleton	MAPPED	0.004282	0.004282	0.004282	0.004093	0.004093	0.004093	0.00368	0.00368	0.00368	0.003458	0.003458	0.003458	0.003404	0.003404	0.003404
-Cell Motility	MAPPED	0.008567	0.009209	0.01383	0.003782	0.003782	0.008231	0.004473	0.004473	0.007741	0.004736	0.004736	0.007713	0.004551	0.004552	0.005986
-Cell Growth and Death	MAPPED	0.001342	0.001491	0.001646	0.001543	0.001703	0.001923	0.001494	0.001664	0.001984	0.00159	0.00172	0.002091	0.001791	0.001938	0.002374
-Cell Communication	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	MAPPED	0.5483	0.558	0.5663	0.5329	0.5434	0.5546	0.5026	0.5117	0.5238	0.4784	0.4872	0.5009	0.4469	0.4546	0.4643
-Membrane Transport	MAPPED	0.09023	0.1082	0.1147	0.08436	0.09608	0.1016	0.07466	0.08603	0.09072	0.06389	0.0737	0.07776	0.05165	0.06057	0.06258
-Central Carbon Metabolism	MAPPED	0.1046	0.1215	0.1339	0.08246	0.1051	0.1191	0.07929	0.09345	0.1055	0.07441	0.08196	0.09324	0.06489	0.07135	0.08209
-Energy Metabolism	MAPPED	0.02436	0.03018	0.03769	0.02548	0.03687	0.04457	0.0256	0.03467	0.04421	0.02468	0.03268	0.0405	0.01915	0.02576	0.03623
-Biosynthesis	MAPPED	0.112	0.1247	0.1284	0.1231	0.1344	0.1444	0.1249	0.1345	0.1477	0.1309	0.1472	0.1616	0.1294	0.1444	0.1613
-Other Enzymes	MAPPED	0.1564	0.1664	0.1963	0.1486	0.1625	0.1966	0.1397	0.1529	0.18	0.1315	0.1442	0.1677	0.1273	0.1453	0.1641
Organismal Systems	MAPPED	0	0.000441	0.001003	0	0.0004759	0.0009915	0	0.0003091	0.0008272	0	0.0001291	0.0006146	0	6.27e-05	0.0004266
-Immune System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	MAPPED	0	0.000441	0.001003	0	0.0004759	0.0009914	0	0.0003091	0.0008271	0	0.0001291	0.0006145	0	6.27e-05	0.0004265
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	MAPPED	0	0	1.108e-07	0	0	9.125e-08	0	0	6.785e-08	0	0	5.814e-08	0	0	5.161e-08
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	MAPPED	0.003745	0.01173	0.0184	0.003432	0.01136	0.01951	0.003437	0.01164	0.02015	0.003325	0.01321	0.02118	0.003327	0.009391	0.01666
-Cancers	MAPPED	0	9.64e-05	0.001616	0	9.125e-08	6.761e-05	0	6.785e-08	5.706e-05	0	5.814e-08	4.89e-05	0	5.161e-08	4.959e-05
-Immune System Diseases	MAPPED	0	1.108e-07	0.0001767	0	9.125e-08	0.0001642	0	6.785e-08	0.0001153	0	5.814e-08	8.576e-05	0	5.161e-08	6.657e-05
-Neurodegenerative Diseases	MAPPED	0	0.006494	0.007082	0	0.009193	0.009472	0	0.009958	0.01018	0	0.01177	0.01196	0	0.00808	0.008257
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0.004946	0	0	0.004505	0	0	0.004175	0	0	0.003668	0	0	0.003244
-Infectious Diseases	MAPPED	0.0001678	0.003452	0.01003	0.0001505	0.003153	0.009095	0.0001855	0.003135	0.008816	0.0001511	0.003054	0.008372	0.0001607	0.002647	0.00765
Not Mapped	MAPPED	0.1162	0.1162	0.1162	0.09979	0.09979	0.09979	0.09031	0.09031	0.09031	0.08261	0.08261	0.08261	0.08066	0.08066	0.08066
-Not Mapped	MAPPED	0.1162	0.1162	0.1162	0.09979	0.09979	0.09979	0.09031	0.09031	0.09031	0.08261	0.08261	0.08261	0.08066	0.08066	0.08066
TOTAL	Genetic Information Processing	2.768	2.798	2.85	2.593	2.611	2.663	2.385	2.402	2.446	2.252	2.267	2.302	2.082	2.098	2.127
MAPPED	Genetic Information Processing	2.48	2.507	2.554	2.357	2.375	2.422	2.187	2.203	2.243	2.08	2.094	2.127	1.926	1.941	1.969
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.07763	0.08626	0.09529	0.07397	0.08193	0.0927	0.06361	0.06979	0.07984	0.05267	0.0576	0.06654	0.04725	0.05203	0.05992
-Translation	Genetic Information Processing	0.6479	0.6544	0.6685	0.6638	0.6713	0.6862	0.7006	0.7091	0.7233	0.733	0.7413	0.7546	0.7538	0.763	0.7742
-Folding, Sorting and Degradation	Genetic Information Processing	0.1673	0.1743	0.1816	0.1613	0.1682	0.1752	0.1461	0.1534	0.16	0.1364	0.1436	0.1496	0.1283	0.1349	0.1412
-DNA Maintenance	Genetic Information Processing	0.07074	0.07927	0.08461	0.06432	0.0728	0.07811	0.05386	0.06265	0.06657	0.04504	0.05303	0.05618	0.03895	0.04626	0.05013
-RNA Family	Genetic Information Processing	1.981e-06	3.585e-06	4.42e-06	1.547e-06	2.802e-06	3.451e-06	1.065e-06	1.936e-06	2.378e-06	8.655e-07	1.575e-06	1.935e-06	7.112e-07	1.295e-06	1.59e-06
Environmental Information Processing	Genetic Information Processing	0.02932	0.0312	0.0371	0.02409	0.02475	0.032	0.01865	0.0192	0.02429	0.01604	0.01649	0.02055	0.01357	0.01389	0.01746
-Signal Transduction	Genetic Information Processing	0.02911	0.03098	0.03644	0.02409	0.02475	0.032	0.01865	0.0192	0.02429	0.01604	0.01649	0.02054	0.01357	0.01389	0.01745
-Signaling Molecules and Interaction	Genetic Information Processing	0.0002165	0.0002189	0.000223	8.604e-07	8.667e-07	8.853e-07	5.936e-07	5.979e-07	6.095e-07	4.838e-07	4.869e-07	4.949e-07	3.976e-07	4.007e-07	4.067e-07
Cellular Processes	Genetic Information Processing	0.03611	0.03833	0.04923	0.02248	0.02377	0.03344	0.02135	0.02276	0.0289	0.02055	0.02189	0.02705	0.01897	0.02035	0.02205
-Hemoglobin	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0	0	0.0015	0	0	0.0006584	0	0	0.0004847	0	0	0.0003818	0	0	0.0003418
-Cytoskeleton	Genetic Information Processing	0.01062	0.01073	0.01093	0.00965	0.00972	0.009913	0.008048	0.008106	0.008253	0.007194	0.007241	0.007355	0.006556	0.006608	0.006701
-Cell Motility	Genetic Information Processing	0.02177	0.02283	0.03442	0.008916	0.009159	0.01954	0.009784	0.01003	0.01705	0.009851	0.01007	0.01614	0.008767	0.008946	0.01159
-Cell Growth and Death	Genetic Information Processing	0.003373	0.003727	0.004203	0.003682	0.004044	0.004664	0.003307	0.003665	0.004456	0.003339	0.003601	0.00445	0.003487	0.003763	0.004678
-Cell Communication	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	Genetic Information Processing	1.365	1.399	1.441	1.259	1.293	1.334	1.103	1.135	1.165	0.9969	1.03	1.052	0.8625	0.8857	0.9104
-Membrane Transport	Genetic Information Processing	0.2237	0.2724	0.2886	0.1989	0.2307	0.2461	0.1633	0.191	0.2034	0.1329	0.1568	0.1654	0.0997	0.1182	0.1232
-Central Carbon Metabolism	Genetic Information Processing	0.2631	0.3039	0.3383	0.1997	0.2495	0.289	0.1779	0.2051	0.2318	0.1563	0.1722	0.194	0.1253	0.139	0.1581
-Energy Metabolism	Genetic Information Processing	0.06039	0.07585	0.09626	0.06007	0.088	0.1081	0.05599	0.07663	0.09929	0.05166	0.06897	0.08618	0.03764	0.05072	0.06993
-Biosynthesis	Genetic Information Processing	0.2807	0.3093	0.3228	0.2921	0.3169	0.3447	0.2751	0.2945	0.3297	0.2738	0.3062	0.3408	0.2505	0.2781	0.3114
-Other Enzymes	Genetic Information Processing	0.3994	0.4182	0.4935	0.351	0.3831	0.4693	0.3067	0.3381	0.3983	0.274	0.3069	0.3523	0.2457	0.2804	0.3194
Organismal Systems	Genetic Information Processing	0	0.001103	0.002561	0	0.00113	0.002401	0	0.0006941	0.001855	0	0.0002747	0.001306	0	0.0001235	0.0008384
-Immune System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	Genetic Information Processing	0	0.001103	0.002523	0	0.00113	0.002366	0	0.0006941	0.00183	0	0.0002747	0.001291	0	0.0001235	0.0008303
-Circulatory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	2.786e-07	0	0	2.178e-07	0	0	1.502e-07	0	0	1.221e-07	0	0	1.005e-07
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	Genetic Information Processing	0.009364	0.02941	0.04579	0.008149	0.02721	0.04609	0.007571	0.02546	0.04421	0.00696	0.02749	0.04414	0.00646	0.01813	0.03216
-Cancers	Genetic Information Processing	0	0.000246	0.004007	0	2.178e-07	0.0001635	0	1.502e-07	0.0001278	0	1.221e-07	0.0001038	0	1.005e-07	9.736e-05
-Immune System Diseases	Genetic Information Processing	0	2.771e-07	0.0004431	0	2.167e-07	0.0003898	0	1.495e-07	0.0002541	0	1.217e-07	0.0001794	0	1.002e-07	0.0001289
-Neurodegenerative Diseases	Genetic Information Processing	0	0.0161	0.0178	0	0.02167	0.02261	0	0.02178	0.02251	0	0.0245	0.02512	0	0.0156	0.01609
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	Genetic Information Processing	0	0	0.01263	0	0	0.01093	0	0	0.009376	0	0	0.007807	0	0	0.006376
-Infectious Diseases	Genetic Information Processing	0.0004284	0.008675	0.02516	0.000365	0.007526	0.02159	0.0004166	0.006933	0.01942	0.0003216	0.006415	0.01751	0.0003166	0.005154	0.01481
Not Mapped	Genetic Information Processing	0.288	0.2912	0.2966	0.2352	0.2369	0.2417	0.1975	0.1989	0.2026	0.1719	0.173	0.1757	0.1554	0.1566	0.1588
-Not Mapped	Genetic Information Processing	0.288	0.2912	0.2966	0.2352	0.2369	0.2417	0.1975	0.1989	0.2026	0.1719	0.173	0.1757	0.1554	0.1566	0.1588
TOTAL	-Transcription	28.96	33	35.63	28.17	32.45	34.98	29.69	34.55	37.48	33.4	39.18	42.74	34.3	40.1	44.11
MAPPED	-Transcription	25.94	29.56	31.92	25.61	29.51	31.81	27.23	31.69	34.37	30.85	36.19	39.48	31.74	37.1	40.82
Genetic Information Processing	-Transcription	10.32	11.58	12.51	10.76	12.16	13.14	12.36	14.32	15.33	14.74	17.23	18.57	16.35	19.04	20.77
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	6.753	7.735	8.355	7.22	8.347	9.009	8.741	10.23	11.07	10.9	12.85	14	12.46	14.62	16.06
-Folding, Sorting and Degradation	-Transcription	1.802	2.016	2.112	1.81	2.032	2.133	1.915	2.153	2.28	2.129	2.413	2.584	2.205	2.519	2.732
-DNA Maintenance	-Transcription	0.7641	0.919	1.035	0.7281	0.8886	0.9947	0.703	0.8984	0.9878	0.7021	0.9218	1.009	0.6843	0.8903	1.008
-RNA Family	-Transcription	2.297e-05	3.899e-05	5.03e-05	1.888e-05	3.199e-05	4.107e-05	1.528e-05	2.588e-05	3.294e-05	1.504e-05	2.541e-05	3.221e-05	1.369e-05	2.319e-05	2.948e-05
Environmental Information Processing	-Transcription	0.3138	0.3595	0.4449	0.2612	0.3036	0.4025	0.2314	0.2755	0.3577	0.2375	0.2867	0.3694	0.2231	0.2684	0.3472
-Signal Transduction	-Transcription	0.3115	0.3568	0.4371	0.2612	0.3036	0.3993	0.2314	0.2755	0.3534	0.2375	0.2867	0.3648	0.2231	0.2683	0.3436
-Signaling Molecules and Interaction	-Transcription	0.002265	0.002581	0.002789	9.349e-06	1.077e-05	1.163e-05	7.39e-06	8.727e-06	9.331e-06	7.174e-06	8.592e-06	9.187e-06	6.553e-06	7.816e-06	8.432e-06
Cellular Processes	-Transcription	0.3755	0.4443	0.5917	0.2419	0.2944	0.4145	0.2673	0.3315	0.414	0.3059	0.385	0.466	0.3141	0.3911	0.4292
-Hemoglobin	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Transcription	0	0	0.01877	0	0	0.008882	0	0	0.007615	0	0	0.007242	0	0	0.007225
-Cytoskeleton	-Transcription	0.1111	0.1266	0.1367	0.1049	0.1208	0.1302	0.1002	0.1166	0.1265	0.1067	0.1251	0.1365	0.108	0.1263	0.1389
-Cell Motility	-Transcription	0.2296	0.2644	0.4131	0.09687	0.1118	0.2435	0.1218	0.1439	0.2453	0.1461	0.1751	0.2791	0.1445	0.1725	0.2221
-Cell Growth and Death	-Transcription	0.0348	0.0444	0.05256	0.03963	0.04986	0.06128	0.04142	0.05215	0.06821	0.05019	0.0617	0.08255	0.05819	0.07141	0.09692
-Cell Communication	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	-Transcription	14.6	16.68	17.81	14.18	15.98	17.28	14.26	16.15	17.58	15.45	17.57	19.24	14.74	16.87	18.55
-Membrane Transport	-Transcription	2.59	3.199	3.408	2.367	2.761	3.055	2.267	2.711	2.98	2.22	2.67	2.907	1.789	2.233	2.377
-Central Carbon Metabolism	-Transcription	2.714	3.275	4.232	2.437	2.691	3.681	2.488	2.679	3.417	2.57	2.794	3.368	2.235	2.647	3.131
-Energy Metabolism	-Transcription	0.7662	0.9097	1.114	0.8121	1.032	1.315	0.8101	1.052	1.422	0.7612	1.14	1.496	0.6705	1.001	1.248
-Biosynthesis	-Transcription	2.953	3.448	3.984	3.283	3.731	4.285	3.65	4.117	4.639	4.566	5.151	5.67	4.613	5.202	5.801
-Other Enzymes	-Transcription	4.503	5.022	5.469	4.004	4.865	5.396	4.1	4.845	5.486	4.42	5.294	6.12	4.383	5.33	6.188
Organismal Systems	-Transcription	0	0.01409	0.02971	0	0.01517	0.0293	0	0.009938	0.0266	0	0.004768	0.02272	0	0.002374	0.01616
-Immune System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	-Transcription	0	0.01408	0.02603	0	0.01514	0.02547	0	0.009938	0.02293	0	0.004768	0.0194	0	0.002374	0.01486
-Circulatory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	-Transcription	0	0	2.875e-06	0	0	2.344e-06	0	0	1.881e-06	0	0	1.835e-06	0	0	1.677e-06
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	-Transcription	0.09827	0.3535	0.498	0.0879	0.362	0.5257	0.09357	0.4002	0.5912	0.1026	0.5219	0.7119	0.1056	0.3836	0.5737
-Cancers	-Transcription	0	0.003078	0.04786	0	2.692e-06	0.002148	0	2.182e-06	0.001959	0	2.148e-06	0.001928	0	1.954e-06	0.002022
-Immune System Diseases	-Transcription	0	2.908e-06	0.005327	0	2.344e-06	0.004931	0	1.881e-06	0.00377	0	1.835e-06	0.003222	0	1.677e-06	0.002593
-Neurodegenerative Diseases	-Transcription	0	0.1917	0.2094	0	0.2552	0.2924	0	0.2987	0.3423	0	0.402	0.4649	0	0.2843	0.3298
-Cardiovascular Diseases	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Transcription	0	0	0.1462	0	0	0.1329	0	0	0.1342	0	0	0.1355	0	0	0.1324
-Infectious Diseases	-Transcription	0.004959	0.09827	0.3024	0.00444	0.0879	0.273	0.005965	0.09357	0.2882	0.005582	0.1026	0.3146	0.006085	0.08837	0.2979
Not Mapped	-Transcription	3.013	3.434	3.708	2.556	2.944	3.174	2.459	2.862	3.104	2.549	2.99	3.262	2.561	2.993	3.292
-Not Mapped	-Transcription	3.013	3.434	3.708	2.556	2.944	3.174	2.459	2.862	3.104	2.549	2.99	3.262	2.561	2.993	3.292
TOTAL	-Translation	4.25	4.262	4.288	3.872	3.886	3.91	3.371	3.384	3.403	3.043	3.052	3.067	2.737	2.746	2.757
MAPPED	-Translation	3.808	3.819	3.842	3.521	3.534	3.555	3.092	3.103	3.121	2.811	2.819	2.833	2.533	2.541	2.551
Genetic Information Processing	-Translation	1.495	1.519	1.542	1.457	1.483	1.501	1.382	1.404	1.42	1.324	1.344	1.356	1.29	1.308	1.318
-Transcription	-Translation	0.1196	0.1292	0.1462	0.1109	0.1198	0.1384	0.09018	0.09666	0.1126	0.07135	0.07639	0.08977	0.0622	0.06717	0.07853
-Translation	-Translation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
