Category	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
-Energy Metabolism	0.019447614	0.022491086	0.023380845	0.0219424	0.020083375
--Oxidative phosphorylation	0.019447416	0.02249092	0.023380721	0.021942293	0.020083279
--Photosynthesis	0	0	0	0	0
--Photosynthesis - antenna proteins	0	0	0	0	0
--Carbon fixation in photosynthetic organisms	0	0	0	0	0
--Methane metabolism	1.9855141e-07	1.6593812e-07	1.2446418e-07	1.0740731e-07	9.5508001e-08
-Biosynthesis	0.1342692	0.15163159	0.15603695	0.17152018	0.17212275
--Lipid and steroid metabolism	0.031151028	0.02580039	0.025729485	0.025775552	0.023761388
--Purine metabolism	0.012969378	0.016839151	0.017639251	0.01893086	0.019637496
--Pyrimidine metabolism	0.013128418	0.019356432	0.017280109	0.021348921	0.019437168
--Amino acid metabolism	0.060402615	0.071540651	0.076284159	0.086880858	0.089775181
--Glycan metabolism	0.0049546519	0.0049301044	0.0046801644	0.0045542846	0.0045473269
--Cofactor biosynthesis	0.011663009	0.013164783	0.014423718	0.01402965	0.014964146
--Biosynthesis of other secondary metabolites	9.9275704e-08	8.2969058e-08	6.2232091e-08	5.3703654e-08	4.7754e-08
-Other Enzymes	0.049771477	0.049454868	0.043950792	0.039369773	0.039448672
--Other enzymes	0.049771477	0.049454868	0.043950792	0.039369773	0.039448672
Organismal Systems	0	0	0	0	0
-Immune System	0	0	0	0	0
--Complement and coagulation cascades	0	0	0	0	0
--Toll-like receptor signaling pathway	0	0	0	0	0
--NOD-like receptor signaling pathway	0	0	0	0	0
--RIG-I-like receptor signaling pathway	0	0	0	0	0
--Cytosolic DNA-sensing pathway	0	0	0	0	0
--Antigen processing and presentation	0	0	0	0	0
--T cell receptor signaling pathway	0	0	0	0	0
--B cell receptor signaling pathway	0	0	0	0	0
--Fc gamma R-mediated phagocytosis	0	0	0	0	0
--Leukocyte transendothelial migration	0	0	0	0	0
--Intestinal immune network for IgA production	0	0	0	0	0
--Chemokine signaling pathway	0	0	0	0	0
-Endocrine System	0	0	0	0	0
--Insulin signaling pathway	0	0	0	0	0
--Adipocytokine signaling pathway	0	0	0	0	0
--PPAR signaling pathway	0	0	0	0	0
--Renin-angiotensin system	0	0	0	0	0
-Circulatory System	0	0	0	0	0
--Cardiac muscle contraction	0	0	0	0	0
--Vascular smooth muscle contraction	0	0	0	0	0
-Digestive System	0	0	0	0	0
--Salivary secretion	0	0	0	0	0
--Pancreatic secretion	0	0	0	0	0
--Bile secretion	0	0	0	0	0
--Protein digestion and absorption	0	0	0	0	0
--Fat digestion and absorption	0	0	0	0	0
--Vitamin digestion and absorption	0	0	0	0	0
--Mineral absorption	0	0	0	0	0
-Excretory System	0	0	0	0	0
--Vasopressin-regulated water reabsorption	0	0	0	0	0
--Aldosterone-regulated sodium reabsorption	0	0	0	0	0
--Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0
--Proximal tubule bicarbonate reclamation	0	0	0	0	0
--Collecting duct acid secretion	0	0	0	0	0
-Nervous System	0	0	0	0	0
--Glutamatergic synapse	0	0	0	0	0
--Long-term potentiation	0	0	0	0	0
--Neurotrophin signaling pathway	0	0	0	0	0
-Sensory System	0	0	0	0	0
--Phototransduction	0	0	0	0	0
--Olfactory transduction	0	0	0	0	0
-Development	0	0	0	0	0
--Axon guidance	0	0	0	0	0
--Osteoclast differentiation	0	0	0	0	0
-Environmental Adaptation	0	0	0	0	0
--Plant-pathogen interaction	0	0	0	0	0
Human Diseases	0	0	0	0	0
-Cancers	0	0	0	0	0
--Pathways in cancer	0	0	0	0	0
-Immune System Diseases	0	0	0	0	0
--Systemic lupus erythematosus	0	0	0	0	0
-Neurodegenerative Diseases	0	0	0	0	0
--Alzheimer's disease	0	0	0	0	0
--Parkinson's disease	0	0	0	0	0
--Amyotrophic lateral sclerosis (ALS)	0	0	0	0	0
--Huntington's disease	0	0	0	0	0
-Cardiovascular Diseases	0	0	0	0	0
--Hypertrophic cardiomyopathy (HCM)	0	0	0	0	0
--Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0	0	0
-Infectious Diseases	0	0	0	0	0
--Vibrio cholerae infection	0	0	0	0	0
--Tuberculosis	0	0	0	0	0
--Bacterial invasion of epithelial cells	0	0	0	0	0
--Measles	0	0	0	0	0
--Influenza A	0	0	0	0	0
--Hepatitis C	0	0	0	0	0
--Amoebiasis	0	0	0	0	0
--Malaria	0	0	0	0	0
Not Mapped	0.10407171	0.090732472	0.082826868	0.076310475	0.07464189
-Not Mapped	0.10407171	0.090732472	0.082826868	0.076310475	0.07464189
--Not mapped	0.10407171	0.090732472	0.082826868	0.076310475	0.07464189
