Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine
-Not Mapped	MAPPED	0.0901	0.1415	0.09439
TOTAL	Genetic Information Processing	1.676	2.678	1.886
MAPPED	Genetic Information Processing	1.538	2.347	1.724
Genetic Information Processing	Genetic Information Processing	1	1	1
-Transcription	Genetic Information Processing	0.02798	0.05942	0.03404
-Translation	Genetic Information Processing	0.8391	0.737	0.8155
-Folding, Sorting and Degradation	Genetic Information Processing	0.08065	0.1195	0.09498
-DNA Maintenance	Genetic Information Processing	0.0263	0.05038	0.02456
-RNA Family	Genetic Information Processing	0	0	0
Environmental Information Processing	Genetic Information Processing	0.01718	0.02449	0.01856
-Signal Transduction	Genetic Information Processing	0.005435	0.01316	0.007137
-Signaling Molecules and Interaction	Genetic Information Processing	0.0117	0.01111	0.01135
Cellular Processes	Genetic Information Processing	0.1236	0.3278	0.1321
-Cell structure	Genetic Information Processing	0.1171	0.3074	0.125
-Crystallins	Genetic Information Processing	0	0	0
-Stress Response	Genetic Information Processing	6.658e-05	0.009166	0.0001159
-Vesicular Transport	Genetic Information Processing	0	0	0
-Cytoskeleton	Genetic Information Processing	0.002721	0.005345	0.003283
-Cell Motility	Genetic Information Processing	0.0001655	0.0004777	5.741e-05
-Cell Growth and Death	Genetic Information Processing	0.003194	0.003793	0.003284
-Cell Communication	Genetic Information Processing	0	0	0
Metabolism	Genetic Information Processing	0.3819	0.9604	0.5621
-Membrane Transport	Genetic Information Processing	0.06984	0.1946	0.1143
-Central Carbon Metabolism	Genetic Information Processing	0.047	0.1186	0.05323
-Energy Metabolism	Genetic Information Processing	0.02219	0.0336	0.02346
-Biosynthesis	Genetic Information Processing	0.0947	0.2583	0.1364
-Other Enzymes	Genetic Information Processing	0.1167	0.2682	0.1451
Organismal Systems	Genetic Information Processing	0	0	0
-Immune System	Genetic Information Processing	0	0	0
-Endocrine System	Genetic Information Processing	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0
-Digestive System	Genetic Information Processing	0	0	0
-Excretory System	Genetic Information Processing	0	0	0
-Nervous System	Genetic Information Processing	0	0	0
-Sensory System	Genetic Information Processing	0	0	0
-Development	Genetic Information Processing	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0
Human Diseases	Genetic Information Processing	0.003091	0.01063	0.003811
-Cancers	Genetic Information Processing	0	0	0
-Immune System Diseases	Genetic Information Processing	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0
-Metabolic Diseases	Genetic Information Processing	0	0	0
-Infectious Diseases	Genetic Information Processing	0.0003597	0.006273	0.0007437
Not Mapped	Genetic Information Processing	0.1386	0.3319	0.1627
-Not Mapped	Genetic Information Processing	0.1386	0.3319	0.1627
TOTAL	-Transcription	44.97	39.42	47.44
MAPPED	-Transcription	41.26	34.54	43.35
Genetic Information Processing	-Transcription	26.67	14.62	24.96
-Transcription	-Transcription	1	1	1
-Translation	-Transcription	22.56	10.85	20.52
-Folding, Sorting and Degradation	-Transcription	2.352	1.747	2.471
-DNA Maintenance	-Transcription	0.752	0.7414	0.65
-RNA Family	-Transcription	0	0	0
Environmental Information Processing	-Transcription	0.4962	0.3616	0.4985
-Signal Transduction	-Transcription	0.1824	0.1982	0.198
-Signaling Molecules and Interaction	-Transcription	0.3138	0.1635	0.2855
Cellular Processes	-Transcription	3.312	4.825	3.321
-Cell structure	-Transcription	3.141	4.525	3.144
-Crystallins	-Transcription	0	0	0
-Stress Response	-Transcription	0.001786	0.1349	0.002914
-Vesicular Transport	-Transcription	0	0	0
-Cytoskeleton	-Transcription	0.07298	0.07866	0.08257
-Cell Motility	-Transcription	0.005309	0.00735	0.001583
-Cell Growth and Death	-Transcription	0.08726	0.0595	0.08432
-Cell Communication	-Transcription	0	0	0
Metabolism	-Transcription	10.46	14.47	14.18
-Membrane Transport	-Transcription	1.918	2.947	2.885
-Central Carbon Metabolism	-Transcription	1.357	1.825	1.464
-Energy Metabolism	-Transcription	0.5918	0.5092	0.5855
-Biosynthesis	-Transcription	2.768	3.802	3.583
-Other Enzymes	-Transcription	3.674	4.077	3.759
Organismal Systems	-Transcription	0	0	0
-Immune System	-Transcription	0	0	0
-Endocrine System	-Transcription	0	0	0
-Circulatory System	-Transcription	0	0	0
-Digestive System	-Transcription	0	0	0
-Excretory System	-Transcription	0	0	0
-Nervous System	-Transcription	0	0	0
-Sensory System	-Transcription	0	0	0
-Development	-Transcription	0	0	0
-Environmental Adaptation	-Transcription	0	0	0
Human Diseases	-Transcription	0.1105	0.1564	0.1009
-Cancers	-Transcription	0	0	0
-Immune System Diseases	-Transcription	0	0	0
-Neurodegenerative Diseases	-Transcription	0	0	0
-Cardiovascular Diseases	-Transcription	0	0	0
-Metabolic Diseases	-Transcription	0	0	0
-Infectious Diseases	-Transcription	0.01026	0.09746	0.01913
Not Mapped	-Transcription	3.717	4.885	4.092
-Not Mapped	-Transcription	3.717	4.885	4.092
TOTAL	-Translation	1.99	3.62	2.308
MAPPED	-Translation	1.826	3.172	2.109
Genetic Information Processing	-Translation	1.168	1.32	1.193
-Transcription	-Translation	0.03328	0.07899	0.04154
-Translation	-Translation	1	1	1
-Folding, Sorting and Degradation	-Translation	0.09476	0.1577	0.1133
-DNA Maintenance	-Translation	0.0313	0.06835	0.03012
-RNA Family	-Translation	0	0	0
Environmental Information Processing	-Translation	0.02037	0.03246	0.02267
-Signal Transduction	-Translation	0.006444	0.01738	0.008719
-Signaling Molecules and Interaction	-Translation	0.01389	0.01501	0.01389
Cellular Processes	-Translation	0.1465	0.4416	0.1614
-Cell structure	-Translation	0.139	0.4155	0.153
-Crystallins	-Translation	0	0	0
-Stress Response	-Translation	7.904e-05	0.01239	0.0001417
-Vesicular Transport	-Translation	0	0	0
-Cytoskeleton	-Translation	0.00323	0.007224	0.004016
-Cell Motility	-Translation	0.0001954	0.0006409	6.943e-05
-Cell Growth and Death	-Translation	0.003798	0.005105	0.004025
-Cell Communication	-Translation	0	0	0
Metabolism	-Translation	0.4527	1.297	0.6805
-Membrane Transport	-Translation	0.08277	0.2627	0.1401
-Central Carbon Metabolism	-Translation	0.05571	0.1591	0.06445
-Energy Metabolism	-Translation	0.02623	0.04457	0.02853
-Biosynthesis	-Translation	0.1126	0.3505	0.1672
-Other Enzymes	-Translation	0.1363	0.3539	0.1743
Organismal Systems	-Translation	0	0	0
-Immune System	-Translation	0	0	0
-Endocrine System	-Translation	0	0	0
-Circulatory System	-Translation	0	0	0
-Digestive System	-Translation	0	0	0
-Excretory System	-Translation	0	0	0
-Nervous System	-Translation	0	0	0
-Sensory System	-Translation	0	0	0
-Development	-Translation	0	0	0
-Environmental Adaptation	-Translation	0	0	0
Human Diseases	-Translation	0.003676	0.01442	0.004674
-Cancers	-Translation	0	0	0
-Immune System Diseases	-Translation	0	0	0
-Neurodegenerative Diseases	-Translation	0	0	0
-Cardiovascular Diseases	-Translation	0	0	0
-Metabolic Diseases	-Translation	0	0	0
-Infectious Diseases	-Translation	0.0004286	0.008417	0.0009066
Not Mapped	-Translation	0.1645	0.4487	0.199
-Not Mapped	-Translation	0.1645	0.4487	0.199
TOTAL	-Folding, Sorting and Degradation	16.77	18.52	15.21
MAPPED	-Folding, Sorting and Degradation	15.38	16.22	13.9
Genetic Information Processing	-Folding, Sorting and Degradation	9.989	6.867	8.054
-Transcription	-Folding, Sorting and Degradation	0.2795	0.408	0.2742
-Translation	-Folding, Sorting and Degradation	8.399	5.096	6.57
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.2677	0.3483	0.201
-RNA Family	-Folding, Sorting and Degradation	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.1733	0.1699	0.1518
-Signal Transduction	-Folding, Sorting and Degradation	0.05621	0.09184	0.06023
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.117	0.0768	0.09156
Cellular Processes	-Folding, Sorting and Degradation	1.235	2.262	1.064
-Cell structure	-Folding, Sorting and Degradation	1.171	2.126	1.008
-Crystallins	-Folding, Sorting and Degradation	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0.000666	0.06337	0.0009342
-Vesicular Transport	-Folding, Sorting and Degradation	0	0	0
-Cytoskeleton	-Folding, Sorting and Degradation	0.02722	0.03695	0.02647
-Cell Motility	-Folding, Sorting and Degradation	0.001874	0.003476	0.0005409
-Cell Growth and Death	-Folding, Sorting and Degradation	0.0319	0.02605	0.02645
-Cell Communication	-Folding, Sorting and Degradation	0	0	0
Metabolism	-Folding, Sorting and Degradation	3.956	6.796	4.594
-Membrane Transport	-Folding, Sorting and Degradation	0.724	1.384	0.9214
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.5035	0.908	0.504
-Energy Metabolism	-Folding, Sorting and Degradation	0.2465	0.266	0.2128
-Biosynthesis	-Folding, Sorting and Degradation	0.946	1.786	1.116
-Other Enzymes	-Folding, Sorting and Degradation	1.275	2.074	1.319
Organismal Systems	-Folding, Sorting and Degradation	0	0	0
-Immune System	-Folding, Sorting and Degradation	0	0	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0
-Circulatory System	-Folding, Sorting and Degradation	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0.03088	0.07348	0.03119
-Cancers	-Folding, Sorting and Degradation	0	0	0
-Immune System Diseases	-Folding, Sorting and Degradation	0	0	0
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0
-Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0.003806	0.04687	0.006757
Not Mapped	-Folding, Sorting and Degradation	1.386	2.295	1.312
-Not Mapped	-Folding, Sorting and Degradation	1.386	2.295	1.312
TOTAL	-DNA Maintenance	43.42	41.76	53.5
MAPPED	-DNA Maintenance	39.83	36.58	48.89
Genetic Information Processing	-DNA Maintenance	25.74	15.48	27.9
-Transcription	-DNA Maintenance	0.7276	0.9684	0.9828
-Translation	-DNA Maintenance	21.72	11.47	23.04
-Folding, Sorting and Degradation	-DNA Maintenance	2.132	2.013	2.853
-DNA Maintenance	-DNA Maintenance	1	1	1
-RNA Family	-DNA Maintenance	0	0	0
Environmental Information Processing	-DNA Maintenance	0.4914	0.4198	0.5815
-Signal Transduction	-DNA Maintenance	0.1554	0.226	0.2287
-Signaling Molecules and Interaction	-DNA Maintenance	0.303	0.1759	0.322
Cellular Processes	-DNA Maintenance	3.207	5.104	3.757
-Cell structure	-DNA Maintenance	3.033	4.793	3.546
-Crystallins	-DNA Maintenance	0	0	0
-Stress Response	-DNA Maintenance	0.001724	0.1429	0.003286
-Vesicular Transport	-DNA Maintenance	0	0	0
-Cytoskeleton	-DNA Maintenance	0.07046	0.08332	0.09311
-Cell Motility	-DNA Maintenance	0.004848	0.007942	0.001864
-Cell Growth and Death	-DNA Maintenance	0.09051	0.06883	0.1092
-Cell Communication	-DNA Maintenance	0	0	0
Metabolism	-DNA Maintenance	9.832	14.87	15.68
-Membrane Transport	-DNA Maintenance	1.798	3.013	3.272
-Central Carbon Metabolism	-DNA Maintenance	1.21	2.01	1.485
-Energy Metabolism	-DNA Maintenance	0.6755	0.6105	0.7252
-Biosynthesis	-DNA Maintenance	2.701	4.245	4.076
-Other Enzymes	-DNA Maintenance	3.231	4.696	4.34
Organismal Systems	-DNA Maintenance	0	0	0
-Immune System	-DNA Maintenance	0	0	0
-Endocrine System	-DNA Maintenance	0	0	0
-Circulatory System	-DNA Maintenance	0	0	0
-Digestive System	-DNA Maintenance	0	0	0
-Excretory System	-DNA Maintenance	0	0	0
-Nervous System	-DNA Maintenance	0	0	0
-Sensory System	-DNA Maintenance	0	0	0
-Development	-DNA Maintenance	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0
Human Diseases	-DNA Maintenance	0.09951	0.2109	0.145
-Cancers	-DNA Maintenance	0	0	0
-Immune System Diseases	-DNA Maintenance	0	0	0
-Neurodegenerative Diseases	-DNA Maintenance	0	0	0
-Cardiovascular Diseases	-DNA Maintenance	0	0	0
-Metabolic Diseases	-DNA Maintenance	0	0	0
-Infectious Diseases	-DNA Maintenance	0.01148	0.1112	0.02416
Not Mapped	-DNA Maintenance	3.589	5.175	4.614
-Not Mapped	-DNA Maintenance	3.589	5.175	4.614
TOTAL	-RNA Family	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf
-Cell structure	-RNA Family	Inf	Inf	Inf
-Crystallins	-RNA Family	NaN	NaN	NaN
-Stress Response	-RNA Family	Inf	Inf	Inf
-Vesicular Transport	-RNA Family	NaN	NaN	NaN
-Cytoskeleton	-RNA Family	Inf	Inf	Inf
-Cell Motility	-RNA Family	Inf	Inf	Inf
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf
-Cell Communication	-RNA Family	NaN	NaN	NaN
Metabolism	-RNA Family	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf
Organismal Systems	-RNA Family	Inf	Inf	Inf
-Immune System	-RNA Family	NaN	NaN	NaN
-Endocrine System	-RNA Family	Inf	Inf	Inf
-Circulatory System	-RNA Family	NaN	NaN	NaN
-Digestive System	-RNA Family	Inf	Inf	Inf
-Excretory System	-RNA Family	Inf	Inf	Inf
-Nervous System	-RNA Family	NaN	NaN	NaN
-Sensory System	-RNA Family	NaN	NaN	NaN
-Development	-RNA Family	NaN	NaN	NaN
-Environmental Adaptation	-RNA Family	Inf	Inf	Inf
Human Diseases	-RNA Family	Inf	Inf	Inf
-Cancers	-RNA Family	Inf	Inf	Inf
-Immune System Diseases	-RNA Family	Inf	Inf	Inf
-Neurodegenerative Diseases	-RNA Family	Inf	Inf	Inf
-Cardiovascular Diseases	-RNA Family	NaN	NaN	NaN
-Metabolic Diseases	-RNA Family	Inf	Inf	Inf
-Infectious Diseases	-RNA Family	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf
TOTAL	Environmental Information Processing	85.5	95.07	92
MAPPED	Environmental Information Processing	78.43	83.29	84.06
Genetic Information Processing	Environmental Information Processing	50.51	34.85	47.97
-Transcription	Environmental Information Processing	1.433	2.205	1.69
-Translation	Environmental Information Processing	42.77	26.11	39.62
-Folding, Sorting and Degradation	Environmental Information Processing	4.074	4.164	4.59
-DNA Maintenance	Environmental Information Processing	1.446	1.983	1.304
-RNA Family	Environmental Information Processing	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1
-Signal Transduction	Environmental Information Processing	0.3164	0.5354	0.3846
-Signaling Molecules and Interaction	Environmental Information Processing	0.5967	0.3968	0.5538
Cellular Processes	Environmental Information Processing	6.314	11.62	6.461
-Cell structure	Environmental Information Processing	5.972	10.91	6.098
-Crystallins	Environmental Information Processing	0	0	0
-Stress Response	Environmental Information Processing	0.003396	0.3253	0.00565
-Vesicular Transport	Environmental Information Processing	0	0	0
-Cytoskeleton	Environmental Information Processing	0.1387	0.1897	0.1601
-Cell Motility	Environmental Information Processing	0.009069	0.01805	0.002882
-Cell Growth and Death	Environmental Information Processing	0.173	0.1429	0.1673
-Cell Communication	Environmental Information Processing	0	0	0
Metabolism	Environmental Information Processing	19.36	33.86	26.96
-Membrane Transport	Environmental Information Processing	3.54	6.859	5.626
-Central Carbon Metabolism	Environmental Information Processing	2.383	4.481	2.554
-Energy Metabolism	Environmental Information Processing	1.193	1.21	1.162
-Biosynthesis	Environmental Information Processing	5.161	9.634	7.009
-Other Enzymes	Environmental Information Processing	6.141	9.717	6.981
Organismal Systems	Environmental Information Processing	0	0	0
-Immune System	Environmental Information Processing	0	0	0
-Endocrine System	Environmental Information Processing	0	0	0
-Circulatory System	Environmental Information Processing	0	0	0
-Digestive System	Environmental Information Processing	0	0	0
-Excretory System	Environmental Information Processing	0	0	0
-Nervous System	Environmental Information Processing	0	0	0
-Sensory System	Environmental Information Processing	0	0	0
-Development	Environmental Information Processing	0	0	0
-Environmental Adaptation	Environmental Information Processing	0	0	0
Human Diseases	Environmental Information Processing	0.1782	0.4325	0.2023
-Cancers	Environmental Information Processing	0	0	0
-Immune System Diseases	Environmental Information Processing	0	0	0
-Neurodegenerative Diseases	Environmental Information Processing	0	0	0
-Cardiovascular Diseases	Environmental Information Processing	0	0	0
-Metabolic Diseases	Environmental Information Processing	0	0	0
-Infectious Diseases	Environmental Information Processing	0.01947	0.2291	0.03657
Not Mapped	Environmental Information Processing	7.066	11.78	7.935
-Not Mapped	Environmental Information Processing	7.066	11.78	7.935
TOTAL	-Signal Transduction	212	158.6	206.2
MAPPED	-Signal Transduction	194.5	138.9	188.4
Genetic Information Processing	-Signal Transduction	125.7	57.77	107.5
-Transcription	-Signal Transduction	3.553	3.677	3.787
-Translation	-Signal Transduction	106	43.49	88.8
-Folding, Sorting and Degradation	-Signal Transduction	10.18	6.903	10.43
-DNA Maintenance	-Signal Transduction	4.047	3.354	3.166
-RNA Family	-Signal Transduction	0	0	0
Environmental Information Processing	-Signal Transduction	2.48	1.658	2.241
-Signal Transduction	-Signal Transduction	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	1.48	0.6578	1.241
Cellular Processes	-Signal Transduction	15.66	19.36	14.48
-Cell structure	-Signal Transduction	14.81	18.2	13.67
-Crystallins	-Signal Transduction	0	0	0
-Stress Response	-Signal Transduction	0.00842	0.5426	0.01266
-Vesicular Transport	-Signal Transduction	0	0	0
-Cytoskeleton	-Signal Transduction	0.344	0.3164	0.3588
-Cell Motility	-Signal Transduction	0.02415	0.03016	0.006813
-Cell Growth and Death	-Signal Transduction	0.4323	0.2417	0.3859
-Cell Communication	-Signal Transduction	0	0	0
Metabolism	-Signal Transduction	48.01	56.47	60.42
-Membrane Transport	-Signal Transduction	8.778	11.44	12.61
-Central Carbon Metabolism	-Signal Transduction	5.908	7.777	5.723
-Energy Metabolism	-Signal Transduction	3.245	2.047	2.679
-Biosynthesis	-Signal Transduction	12.9	16.12	15.71
-Other Enzymes	-Signal Transduction	15.7	16.11	15.87
Organismal Systems	-Signal Transduction	0	0	0
-Immune System	-Signal Transduction	0	0	0
-Endocrine System	-Signal Transduction	0	0	0
-Circulatory System	-Signal Transduction	0	0	0
-Digestive System	-Signal Transduction	0	0	0
-Excretory System	-Signal Transduction	0	0	0
-Nervous System	-Signal Transduction	0	0	0
-Sensory System	-Signal Transduction	0	0	0
-Development	-Signal Transduction	0	0	0
-Environmental Adaptation	-Signal Transduction	0	0	0
Human Diseases	-Signal Transduction	0.5493	0.7581	0.5094
-Cancers	-Signal Transduction	0	0	0
-Immune System Diseases	-Signal Transduction	0	0	0
-Neurodegenerative Diseases	-Signal Transduction	0	0	0
-Cardiovascular Diseases	-Signal Transduction	0	0	0
-Metabolic Diseases	-Signal Transduction	0	0	0
-Infectious Diseases	-Signal Transduction	0.05328	0.3896	0.0839
Not Mapped	-Signal Transduction	17.52	19.65	17.78
-Not Mapped	-Signal Transduction	17.52	19.65	17.78
TOTAL	-Signaling Molecules and Interaction	143.3	237.4	166.1
MAPPED	-Signaling Molecules and Interaction	131.4	208	151.8
Genetic Information Processing	-Signaling Molecules and Interaction	83.99	87.56	85.47
-Transcription	-Signaling Molecules and Interaction	2.388	5.222	2.99
-Translation	-Signaling Molecules and Interaction	71.6	65.2	71.5
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	6.79	10.46	8.118
-DNA Maintenance	-Signaling Molecules and Interaction	2.249	4.535	2.163
-RNA Family	-Signaling Molecules and Interaction	0	0	0
Environmental Information Processing	-Signaling Molecules and Interaction	1.463	2.152	1.625
-Signal Transduction	-Signaling Molecules and Interaction	0.4628	1.152	0.6249
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	10.54	28.94	11.61
-Cell structure	-Signaling Molecules and Interaction	10.01	27.25	11.01
-Crystallins	-Signaling Molecules and Interaction	0	0	0
-Stress Response	-Signaling Molecules and Interaction	0.005691	0.8125	0.0102
-Vesicular Transport	-Signaling Molecules and Interaction	0	0	0
-Cytoskeleton	-Signaling Molecules and Interaction	0.2325	0.4738	0.2891
-Cell Motility	-Signaling Molecules and Interaction	0.01406	0.04199	0.004996
-Cell Growth and Death	-Signaling Molecules and Interaction	0.2725	0.3333	0.2888
-Cell Communication	-Signaling Molecules and Interaction	0	0	0
Metabolism	-Signaling Molecules and Interaction	32.44	84.55	48.69
-Membrane Transport	-Signaling Molecules and Interaction	5.932	17.13	10.06
-Central Carbon Metabolism	-Signaling Molecules and Interaction	3.993	10.43	4.611
-Energy Metabolism	-Signaling Molecules and Interaction	1.886	2.96	2.05
-Biosynthesis	-Signaling Molecules and Interaction	8.082	23.26	12.01
-Other Enzymes	-Signaling Molecules and Interaction	9.815	23.58	12.47
Organismal Systems	-Signaling Molecules and Interaction	0	0	0
-Immune System	-Signaling Molecules and Interaction	0	0	0
-Endocrine System	-Signaling Molecules and Interaction	0	0	0
-Circulatory System	-Signaling Molecules and Interaction	0	0	0
-Digestive System	-Signaling Molecules and Interaction	0	0	0
-Excretory System	-Signaling Molecules and Interaction	0	0	0
-Nervous System	-Signaling Molecules and Interaction	0	0	0
-Sensory System	-Signaling Molecules and Interaction	0	0	0
-Development	-Signaling Molecules and Interaction	0	0	0
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0	0
Human Diseases	-Signaling Molecules and Interaction	0.2638	0.9568	0.3357
-Cancers	-Signaling Molecules and Interaction	0	0	0
-Immune System Diseases	-Signaling Molecules and Interaction	0	0	0
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0	0	0
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0	0	0
-Metabolic Diseases	-Signaling Molecules and Interaction	0	0	0
-Infectious Diseases	-Signaling Molecules and Interaction	0.03069	0.5562	0.06482
Not Mapped	-Signaling Molecules and Interaction	11.84	29.42	14.33
