Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine
Organismal Systems	TOTAL	0	2.097e-05	4.784e-05	0	7.004e-05	0.0001684	0	1.653e-05	3.528e-05
-Immune System	TOTAL	0	0	0	0	0	0	0	0	0
-Endocrine System	TOTAL	0	0	2.097e-05	0	0	2.323e-05	0	0	1.653e-05
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	0
-Digestive System	TOTAL	0	0	1.557e-06	0	0	7.508e-05	0	0	9.611e-09
-Excretory System	TOTAL	0	0	2.531e-05	0	0	7.004e-05	0	0	1.874e-05
-Nervous System	TOTAL	0	0	0	0	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	2.097e-05	0	0	2.323e-05	0	0	1.653e-05
Human Diseases	TOTAL	0.001841	0.004348	0.01245	0.003968	0.005401	0.01624	0.00202	0.006721	0.01814
-Cancers	TOTAL	0	2.77e-05	2.77e-05	0	7.725e-05	7.725e-05	0	3.133e-05	3.133e-05
-Immune System Diseases	TOTAL	0	0	4.027e-05	0	0	4.772e-05	0	0	5.267e-05
-Neurodegenerative Diseases	TOTAL	0	1.557e-06	0.005889	0	8.697e-05	0.01072	0	1.153e-06	0.007634
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0.002902	0	0	0.002017	0	0	0.005564
-Infectious Diseases	TOTAL	0.0002142	0.001772	0.006126	0.002307	0.003438	0.006019	0.0003901	0.001989	0.01091
Not Mapped	TOTAL	0.08265	0.08265	0.08265	0.1239	0.1239	0.1239	0.08625	0.08625	0.08625
-Not Mapped	TOTAL	0.08265	0.08265	0.08265	0.1239	0.1239	0.1239	0.08625	0.08625	0.08625
TOTAL	MAPPED	1.09	1.09	1.09	1.141	1.141	1.141	1.094	1.094	1.094
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.6389	0.6465	0.6493	0.4145	0.4187	0.4233	0.563	0.5733	0.5795
-Transcription	MAPPED	0.01817	0.01842	0.02276	0.0249	0.02702	0.02843	0.0197	0.0206	0.02232
-Translation	MAPPED	0.5446	0.5462	0.5476	0.3128	0.3139	0.315	0.4709	0.4721	0.474
-Folding, Sorting and Degradation	MAPPED	0.05165	0.05708	0.0639	0.04951	0.05521	0.06153	0.05347	0.06085	0.07088
-DNA Maintenance	MAPPED	0.0171	0.02033	0.02423	0.02147	0.02359	0.02494	0.01425	0.01699	0.01892
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.01113	0.01183	0.01268	0.01019	0.01102	0.01193	0.0107	0.01126	0.01176
-Signal Transduction	MAPPED	0.00352	0.004226	0.005073	0.005455	0.006285	0.007196	0.004116	0.004676	0.005176
-Signaling Molecules and Interaction	MAPPED	0.007606	0.007606	0.007608	0.004734	0.004734	0.004808	0.006587	0.006587	0.006588
Cellular Processes	MAPPED	0.08017	0.08034	0.08141	0.1391	0.1393	0.1406	0.07647	0.0767	0.07703
-Cell structure	MAPPED	0.07614	0.07614	0.07614	0.131	0.131	0.131	0.07254	0.07254	0.07254
-Crystallins	MAPPED	0	0	0	0	0	0	0	0	0
-Stress Response	MAPPED	4.329e-05	4.329e-05	4.329e-05	0.003906	0.003906	0.003906	6.721e-05	6.721e-05	6.721e-05
-Vesicular Transport	MAPPED	0	0	0	0	0	0	0	0	0
-Cytoskeleton	MAPPED	0.001769	0.001769	0.001769	0.002278	0.002278	0.002278	0.001905	0.001905	0.001905
-Cell Motility	MAPPED	0.000107	0.0001994	0.0009904	0.0002019	0.0003421	0.001202	3.291e-05	0.0001266	0.000172
-Cell Growth and Death	MAPPED	0.002074	0.002193	0.002512	0.001603	0.001788	0.002257	0.001903	0.002065	0.002441
-Cell Communication	MAPPED	0	0	0	0	0	0	0	0	0
Metabolism	MAPPED	0.2468	0.2549	0.26	0.4065	0.4213	0.4247	0.3207	0.3306	0.3335
-Membrane Transport	MAPPED	0.04513	0.04648	0.0494	0.08235	0.08578	0.08794	0.06629	0.06696	0.06872
-Central Carbon Metabolism	MAPPED	0.03038	0.03407	0.03714	0.05013	0.05599	0.06737	0.03038	0.03617	0.04114
-Energy Metabolism	MAPPED	0.01435	0.01696	0.0236	0.01401	0.02229	0.02644	0.01351	0.01668	0.02235
-Biosynthesis	MAPPED	0.06149	0.06868	0.07465	0.1101	0.1205	0.1342	0.07911	0.1136	0.1167
-Other Enzymes	MAPPED	0.07465	0.08371	0.08944	0.1116	0.1284	0.1397	0.08212	0.09491	0.1277
Organismal Systems	MAPPED	0	2.286e-05	5.215e-05	0	7.995e-05	0.0001922	0	1.809e-05	3.861e-05
-Immune System	MAPPED	0	0	0	0	0	0	0	0	0
-Endocrine System	MAPPED	0	0	2.286e-05	0	0	2.651e-05	0	0	1.809e-05
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	0
-Digestive System	MAPPED	0	0	1.698e-06	0	0	8.571e-05	0	0	1.052e-08
-Excretory System	MAPPED	0	0	2.759e-05	0	0	7.995e-05	0	0	2.051e-05
-Nervous System	MAPPED	0	0	0	0	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	2.286e-05	0	0	2.651e-05	0	0	1.809e-05
Human Diseases	MAPPED	0.002007	0.00474	0.01357	0.004529	0.006165	0.01854	0.002211	0.007355	0.01985
-Cancers	MAPPED	0	3.02e-05	3.02e-05	0	8.817e-05	8.817e-05	0	3.429e-05	3.429e-05
-Immune System Diseases	MAPPED	0	0	4.39e-05	0	0	5.447e-05	0	0	5.764e-05
-Neurodegenerative Diseases	MAPPED	0	1.698e-06	0.00642	0	9.927e-05	0.01224	0	1.262e-06	0.008354
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0.003163	0	0	0.002303	0	0	0.00609
-Infectious Diseases	MAPPED	0.0002334	0.001931	0.006678	0.002633	0.003924	0.00687	0.000427	0.002177	0.01194
Not Mapped	MAPPED	0.0901	0.0901	0.0901	0.1415	0.1415	0.1415	0.09439	0.09439	0.09439
-Not Mapped	MAPPED	0.0901	0.0901	0.0901	0.1415	0.1415	0.1415	0.09439	0.09439	0.09439
TOTAL	Genetic Information Processing	1.676	1.686	1.704	2.678	2.72	2.746	1.886	1.906	1.934
MAPPED	Genetic Information Processing	1.538	1.547	1.564	2.347	2.383	2.406	1.724	1.742	1.768
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.02798	0.0288	0.03506	0.05942	0.06437	0.06795	0.03404	0.03626	0.03888
-Translation	Genetic Information Processing	0.8391	0.8437	0.855	0.737	0.7454	0.7574	0.8155	0.8221	0.8382
-Folding, Sorting and Degradation	Genetic Information Processing	0.08065	0.08829	0.09827	0.1195	0.1306	0.1446	0.09498	0.1061	0.1222
-DNA Maintenance	Genetic Information Processing	0.0263	0.03132	0.03783	0.05038	0.05644	0.05937	0.02456	0.03018	0.03344
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.01718	0.01825	0.01973	0.02449	0.02647	0.02837	0.01856	0.01991	0.02079
-Signal Transduction	Genetic Information Processing	0.005435	0.006499	0.00792	0.01316	0.01509	0.01701	0.007137	0.008265	0.009148
-Signaling Molecules and Interaction	Genetic Information Processing	0.0117	0.01176	0.01189	0.01111	0.01136	0.01139	0.01135	0.01147	0.01164
Cellular Processes	Genetic Information Processing	0.1236	0.1246	0.1257	0.3278	0.3338	0.3357	0.1321	0.1336	0.1358
-Cell structure	Genetic Information Processing	0.1171	0.1178	0.119	0.3074	0.3122	0.3152	0.125	0.1263	0.1282
-Crystallins	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Stress Response	Genetic Information Processing	6.658e-05	6.696e-05	6.769e-05	0.009166	0.009307	0.009396	0.0001159	0.0001171	0.0001188
-Vesicular Transport	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Cytoskeleton	Genetic Information Processing	0.002721	0.002736	0.002766	0.005345	0.005427	0.005479	0.003283	0.003318	0.003367
-Cell Motility	Genetic Information Processing	0.0001655	0.0003114	0.001529	0.0004777	0.0008228	0.002865	5.741e-05	0.0002237	0.0002983
-Cell Growth and Death	Genetic Information Processing	0.003194	0.00342	0.003905	0.003793	0.004301	0.005371	0.003284	0.003641	0.004227
-Cell Communication	Genetic Information Processing	0	0	0	0	0	0	0	0	0
Metabolism	Genetic Information Processing	0.3819	0.396	0.4059	0.9604	0.9984	1.017	0.5621	0.5763	0.5895
-Membrane Transport	Genetic Information Processing	0.06984	0.07227	0.07724	0.1946	0.2037	0.2114	0.1143	0.117	0.1204
-Central Carbon Metabolism	Genetic Information Processing	0.047	0.05332	0.0572	0.1186	0.1328	0.1581	0.05323	0.06372	0.07091
-Energy Metabolism	Genetic Information Processing	0.02219	0.02624	0.03652	0.0336	0.05312	0.06257	0.02346	0.02963	0.03944
-Biosynthesis	Genetic Information Processing	0.0947	0.1062	0.1153	0.2583	0.2906	0.3206	0.1364	0.1982	0.2062
-Other Enzymes	Genetic Information Processing	0.1167	0.1295	0.1381	0.2682	0.3039	0.3278	0.1451	0.1669	0.2207
Organismal Systems	Genetic Information Processing	0	3.574e-05	8.069e-05	0	0.0001917	0.0004548	0	3.198e-05	6.767e-05
-Immune System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Endocrine System	Genetic Information Processing	0	0	3.574e-05	0	0	6.372e-05	0	0	3.198e-05
-Circulatory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	2.626e-06	0	0	0.0002028	0	0	1.835e-08
-Excretory System	Genetic Information Processing	0	0	4.269e-05	0	0	0.0001917	0	0	3.594e-05
-Nervous System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	3.53e-05	0	0	6.264e-05	0	0	3.137e-05
Human Diseases	Genetic Information Processing	0.003091	0.007332	0.021	0.01063	0.01459	0.04379	0.003811	0.01283	0.03478
-Cancers	Genetic Information Processing	0	4.651e-05	4.727e-05	0	0.0002083	0.0002127	0	5.918e-05	6.091e-05
-Immune System Diseases	Genetic Information Processing	0	0	6.791e-05	0	0	0.0001301	0	0	0.0001005
-Neurodegenerative Diseases	Genetic Information Processing	0	2.615e-06	0.009934	0	0.0002349	0.02929	0	2.178e-06	0.01464
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	Genetic Information Processing	0	0	0.004893	0	0	0.005448	0	0	0.01062
-Infectious Diseases	Genetic Information Processing	0.0003597	0.002974	0.01044	0.006273	0.009371	0.01658	0.0007437	0.003752	0.0211
Not Mapped	Genetic Information Processing	0.1386	0.1394	0.1409	0.3319	0.3371	0.3403	0.1627	0.1644	0.1668
-Not Mapped	Genetic Information Processing	0.1386	0.1394	0.1409	0.3319	0.3371	0.3403	0.1627	0.1644	0.1668
TOTAL	-Transcription	44.97	55.91	59.68	39.42	41.6	45.47	47.44	52.64	55.47
MAPPED	-Transcription	41.26	51.29	54.74	34.54	36.44	39.83	43.35	48.1	50.69
Genetic Information Processing	-Transcription	26.67	32.86	35.44	14.62	15.39	16.71	24.96	27.32	28.72
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	22.56	27.96	29.89	10.85	11.47	12.5	20.52	22.8	23.96
-Folding, Sorting and Degradation	-Transcription	2.352	2.863	3.31	1.747	2.079	2.181	2.471	2.893	3.24
-DNA Maintenance	-Transcription	0.752	1.11	1.243	0.7414	0.875	0.9625	0.65	0.7916	0.8809
-RNA Family	-Transcription	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Transcription	0.4962	0.6088	0.66	0.3616	0.4166	0.4424	0.4985	0.524	0.5718
-Signal Transduction	-Transcription	0.1824	0.1957	0.2602	0.1982	0.2322	0.2531	0.198	0.2197	0.2374
-Signaling Molecules and Interaction	-Transcription	0.3138	0.3901	0.4165	0.1635	0.175	0.1901	0.2855	0.3169	0.3339
Cellular Processes	-Transcription	3.312	4.121	4.427	4.825	5.067	5.545	3.321	3.681	3.881
-Cell structure	-Transcription	3.141	3.905	4.168	4.525	4.774	5.219	3.144	3.489	3.677
-Crystallins	-Transcription	0	0	0	0	0	0	0	0	0
-Stress Response	-Transcription	0.001786	0.002221	0.00237	0.1349	0.1423	0.1556	0.002914	0.003233	0.003407
-Vesicular Transport	-Transcription	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-Transcription	0.07298	0.09073	0.09684	0.07866	0.083	0.09073	0.08257	0.09162	0.09655
-Cell Motility	-Transcription	0.005309	0.009144	0.05419	0.00735	0.01203	0.04707	0.001583	0.005795	0.00842
-Cell Growth and Death	-Transcription	0.08726	0.1125	0.1353	0.0595	0.06383	0.08548	0.08432	0.09499	0.1151
-Cell Communication	-Transcription	0	0	0	0	0	0	0	0	0
Metabolism	-Transcription	10.46	13.33	14.11	14.47	15.34	16.79	14.18	15.94	16.76
-Membrane Transport	-Transcription	1.918	2.471	2.651	2.947	3.136	3.417	2.885	3.226	3.363
-Central Carbon Metabolism	-Transcription	1.357	1.687	2.044	1.825	2.115	2.547	1.464	1.633	1.98
-Energy Metabolism	-Transcription	0.5918	0.9284	1.281	0.5092	0.8252	1.007	0.5855	0.8097	1.096
-Biosynthesis	-Transcription	2.768	3.384	4.085	3.802	4.389	5.29	3.583	5.286	5.866
-Other Enzymes	-Transcription	3.674	4.084	4.827	4.077	4.784	5.2	3.759	4.56	5.84
Organismal Systems	-Transcription	0	0.001241	0.002855	0	0.002812	0.007655	0	0.0008892	0.001957
-Immune System	-Transcription	0	0	0	0	0	0	0	0	0
-Endocrine System	-Transcription	0	0	0.001258	0	0	0.001065	0	0	0.0009185
-Circulatory System	-Transcription	0	0	0	0	0	0	0	0	0
-Digestive System	-Transcription	0	0	9.294e-05	0	0	0.003238	0	0	5.232e-07
-Excretory System	-Transcription	0	0	0.00151	0	0	0.00302	0	0	0.00102
-Nervous System	-Transcription	0	0	0	0	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	0.001251	0	0	0.001002	0	0	0.0008854
Human Diseases	-Transcription	0.1105	0.241	0.7429	0.1564	0.2327	0.7002	0.1009	0.3538	0.9872
-Cancers	-Transcription	0	0.001328	0.001662	0	0.003213	0.003541	0	0.001564	0.001741
-Immune System Diseases	-Transcription	0	0	0.002416	0	0	0.002169	0	0	0.002922
-Neurodegenerative Diseases	-Transcription	0	7.46e-05	0.3492	0	0.003492	0.4448	0	5.654e-05	0.4054
-Cardiovascular Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Transcription	0	0	0.1608	0	0	0.08524	0	0	0.2929
-Infectious Diseases	-Transcription	0.01026	0.1063	0.3625	0.09746	0.1534	0.2504	0.01913	0.09929	0.5754
Not Mapped	-Transcription	3.717	4.621	4.932	4.885	5.155	5.635	4.092	4.54	4.785
-Not Mapped	-Transcription	3.717	4.621	4.932	4.885	5.155	5.635	4.092	4.54	4.785
TOTAL	-Translation	1.99	1.996	2	3.62	3.636	3.648	2.308	2.315	2.323
MAPPED	-Translation	1.826	1.831	1.835	3.172	3.185	3.196	2.109	2.115	2.123
Genetic Information Processing	-Translation	1.168	1.182	1.19	1.32	1.335	1.35	1.193	1.211	1.226
-Transcription	-Translation	0.03328	0.03365	0.04179	0.07899	0.08636	0.09086	0.04154	0.04366	0.0474
-Translation	-Translation	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.09476	0.1042	0.1169	0.1577	0.1752	0.196	0.1133	0.1284	0.1498
-DNA Maintenance	-Translation	0.0313	0.03733	0.04445	0.06835	0.07515	0.07915	0.03012	0.036	0.04017
-RNA Family	-Translation	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Translation	0.02037	0.02165	0.02326	0.03246	0.03495	0.03812	0.02267	0.02375	0.02497
-Signal Transduction	-Translation	0.006444	0.007733	0.009306	0.01738	0.01993	0.02297	0.008719	0.009859	0.01099
-Signaling Molecules and Interaction	-Translation	0.01389	0.01392	0.01395	0.01501	0.0151	0.01531	0.01389	0.01394	0.01398
Cellular Processes	-Translation	0.1465	0.1474	0.149	0.4416	0.4448	0.4483	0.1614	0.1628	0.1631
-Cell structure	-Translation	0.139	0.1394	0.1397	0.4155	0.4173	0.4187	0.153	0.1535	0.154
-Crystallins	-Translation	0	0	0	0	0	0	0	0	0
-Stress Response	-Translation	7.904e-05	7.926e-05	7.943e-05	0.01239	0.01244	0.01248	0.0001417	0.0001422	0.0001427
-Vesicular Transport	-Translation	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-Translation	0.00323	0.003239	0.003245	0.007224	0.007255	0.007279	0.004016	0.004029	0.004043
-Cell Motility	-Translation	0.0001954	0.0003659	0.001814	0.0006409	0.001093	0.003844	6.943e-05	0.0002687	0.0003644
-Cell Growth and Death	-Translation	0.003798	0.004023	0.004586	0.005105	0.005714	0.007159	0.004025	0.004384	0.005147
-Cell Communication	-Translation	0	0	0	0	0	0	0	0	0
Metabolism	-Translation	0.4527	0.467	0.4747	1.297	1.337	1.355	0.6805	0.6991	0.7052
-Membrane Transport	-Translation	0.08277	0.08499	0.09019	0.2627	0.2733	0.2789	0.1401	0.1419	0.1456
-Central Carbon Metabolism	-Translation	0.05571	0.06236	0.06802	0.1591	0.1786	0.2145	0.06445	0.07664	0.08696
-Energy Metabolism	-Translation	0.02623	0.0311	0.04308	0.04457	0.07127	0.08385	0.02853	0.03535	0.04712
-Biosynthesis	-Translation	0.1126	0.1257	0.1367	0.3505	0.3837	0.4281	0.1672	0.2397	0.2479
-Other Enzymes	-Translation	0.1363	0.1528	0.1637	0.3539	0.4077	0.4448	0.1743	0.2008	0.2697
Organismal Systems	-Translation	0	4.197e-05	9.563e-05	0	0.0002543	0.0006131	0	3.842e-05	8.192e-05
-Immune System	-Translation	0	0	0	0	0	0	0	0	0
-Endocrine System	-Translation	0	0	4.197e-05	0	0	8.476e-05	0	0	3.842e-05
-Circulatory System	-Translation	0	0	0	0	0	0	0	0	0
-Digestive System	-Translation	0	0	3.11e-06	0	0	0.000273	0	0	2.225e-08
-Excretory System	-Translation	0	0	5.06e-05	0	0	0.0002551	0	0	4.352e-05
-Nervous System	-Translation	0	0	0	0	0	0	0	0	0
-Sensory System	-Translation	0	0	0	0	0	0	0	0	0
-Development	-Translation	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Translation	0	0	4.185e-05	0	0	8.456e-05	0	0	3.832e-05
Human Diseases	-Translation	0.003676	0.008655	0.02489	0.01442	0.01964	0.05914	0.004674	0.01552	0.04211
-Cancers	-Translation	0	5.525e-05	5.544e-05	0	0.0002807	0.0002819	0	7.248e-05	7.281e-05
-Immune System Diseases	-Translation	0	0	8.041e-05	0	0	0.0001737	0	0	0.0001221
-Neurodegenerative Diseases	-Translation	0	3.11e-06	0.01175	0	0.0003162	0.03893	0	2.67e-06	0.0177
-Cardiovascular Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Translation	0	0	0.005801	0	0	0.007347	0	0	0.01292
-Infectious Diseases	-Translation	0.0004286	0.003537	0.01219	0.008417	0.01251	0.02188	0.0009066	0.004601	0.02534
Not Mapped	-Translation	0.1645	0.1649	0.1653	0.4487	0.4506	0.4521	0.199	0.1997	0.2004
-Not Mapped	-Translation	0.1645	0.1649	0.1653	0.4487	0.4506	0.4521	0.199	0.1997	0.2004
TOTAL	-Folding, Sorting and Degradation	16.77	18.91	20.71	18.52	20.62	22.98	15.21	17.34	20.27
MAPPED	-Folding, Sorting and Degradation	15.38	17.35	19	16.22	18.07	20.13	13.9	15.85	18.52
Genetic Information Processing	-Folding, Sorting and Degradation	9.989	11.21	12.14	6.867	7.565	8.369	8.054	9.123	10.48
-Transcription	-Folding, Sorting and Degradation	0.2795	0.3446	0.3775	0.408	0.4726	0.5542	0.2742	0.3423	0.3853
-Translation	-Folding, Sorting and Degradation	8.399	9.461	10.38	5.096	5.665	6.3	6.57	7.5	8.726
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.2677	0.3526	0.4356	0.3483	0.4396	0.4881	0.201	0.2719	0.3483
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.1733	0.2067	0.2239	0.1699	0.2046	0.2217	0.1518	0.1848	0.2025
-Signal Transduction	-Folding, Sorting and Degradation	0.05621	0.07144	0.08922	0.09184	0.1155	0.1311	0.06023	0.07938	0.09038
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.117	0.132	0.1445	0.0768	0.08584	0.09529	0.09156	0.1044	0.122
Cellular Processes	-Folding, Sorting and Degradation	1.235	1.397	1.523	2.262	2.52	2.805	1.064	1.215	1.421
-Cell structure	-Folding, Sorting and Degradation	1.171	1.321	1.447	2.126	2.367	2.638	1.008	1.149	1.344
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0.000666	0.0007512	0.0008227	0.06337	0.07057	0.07864	0.0009342	0.001065	0.001245
-Vesicular Transport	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-Folding, Sorting and Degradation	0.02722	0.03069	0.03361	0.03695	0.04115	0.04585	0.02647	0.03018	0.03528
-Cell Motility	-Folding, Sorting and Degradation	0.001874	0.003692	0.01637	0.003476	0.006438	0.02158	0.0005409	0.002112	0.002618
-Cell Growth and Death	-Folding, Sorting and Degradation	0.0319	0.03974	0.04246	0.02605	0.03298	0.03919	0.02645	0.0346	0.03933
-Cell Communication	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
Metabolism	-Folding, Sorting and Degradation	3.956	4.283	4.844	6.796	7.631	8.393	4.594	5.236	6.145
-Membrane Transport	-Folding, Sorting and Degradation	0.724	0.8011	0.9099	1.384	1.56	1.696	0.9214	1.061	1.252
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.5035	0.5713	0.6557	0.908	1.039	1.101	0.504	0.5428	0.6802
-Energy Metabolism	-Folding, Sorting and Degradation	0.2465	0.3031	0.4043	0.266	0.411	0.4913	0.2128	0.3005	0.3716
-Biosynthesis	-Folding, Sorting and Degradation	0.946	1.203	1.317	1.786	2.347	2.484	1.116	1.81	2.139
-Other Enzymes	-Folding, Sorting and Degradation	1.275	1.407	1.562	2.074	2.277	2.652	1.319	1.559	2.023
Organismal Systems	-Folding, Sorting and Degradation	0	0.0004211	0.0008749	0	0.001531	0.003431	0	0.0003175	0.0006575
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0.0004211	0	0	0.0004928	0	0	0.0003175
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	2.946e-05	0	0	0.00153	0	0	1.729e-07
-Excretory System	-Folding, Sorting and Degradation	0	0	0.000484	0	0	0.001531	0	0	0.0003492
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0.0003779	0	0	0.0004734	0	0	0.0002733
Human Diseases	-Folding, Sorting and Degradation	0.03088	0.08305	0.2355	0.07348	0.1033	0.331	0.03119	0.1209	0.3379
-Cancers	-Folding, Sorting and Degradation	0	0.0004725	0.0005738	0	0.001433	0.001781	0	0.0004838	0.0006413
-Immune System Diseases	-Folding, Sorting and Degradation	0	0	0.0007691	0	0	0.0009866	0	0	0.0009473
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	2.612e-05	0.1126	0	0.001613	0.2344	0	1.754e-05	0.1422
