Numerator	Denominator	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
-Cell Growth and Death	-Signal Transduction	0.5933	0.6925	0.3777	0.5572
-Cell Communication	-Signal Transduction	0	0	0	0
Metabolism	-Signal Transduction	125.4	69.24	73.3	75.23
-Membrane Transport	-Signal Transduction	27.51	13.05	15.07	15.41
-Central Carbon Metabolism	-Signal Transduction	20.35	9.16	9.763	8.291
-Energy Metabolism	-Signal Transduction	7.566	5.853	4.625	4.685
-Biosynthesis	-Signal Transduction	31.14	20.13	22.96	25.9
-Other Enzymes	-Signal Transduction	37.55	22.93	21.82	22.16
Organismal Systems	-Signal Transduction	0.06296	0.01785	0.03878	0.01555
-Immune System	-Signal Transduction	0	0	0	0
-Endocrine System	-Signal Transduction	0.05017	0.01267	0.03493	0.012
-Circulatory System	-Signal Transduction	0	0	0	0
-Digestive System	-Signal Transduction	0.001456	0.0004444	0.01417	2.32e-06
-Excretory System	-Signal Transduction	0	0	0	0
-Nervous System	-Signal Transduction	0	0	0	0
-Sensory System	-Signal Transduction	0	0	0	0
-Development	-Signal Transduction	0	0	0	0
-Environmental Adaptation	-Signal Transduction	0	0	0	0
Human Diseases	-Signal Transduction	4.565	2.782	2.836	3.494
-Cancers	-Signal Transduction	0.02195	0.008205	0.01552	0.007985
-Immune System Diseases	-Signal Transduction	0.02191	0.0172	0.0154	0.0168
-Neurodegenerative Diseases	-Signal Transduction	2.34	1.772	2.09	1.912
-Cardiovascular Diseases	-Signal Transduction	0	0	0	0
-Metabolic Diseases	-Signal Transduction	1.774	0.6999	0.3677	1.302
-Infectious Diseases	-Signal Transduction	2.55	1.102	0.7814	1.651
Not Mapped	-Signal Transduction	46.58	48.34	70.11	43.67
-Not Mapped	-Signal Transduction	46.58	48.34	70.11	43.67
TOTAL	-Signaling Molecules and Interaction	71740	116000	71600	191800
MAPPED	-Signaling Molecules and Interaction	62180	96770	48530	158200
Genetic Information Processing	-Signaling Molecules and Interaction	35840	67730	23250	97740
-Transcription	-Signaling Molecules and Interaction	1572	2625	1734	4362
-Translation	-Signaling Molecules and Interaction	28350	56400	16850	78530
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	4924	6929	3518	12670
-DNA Maintenance	-Signaling Molecules and Interaction	1859	2555	1486	3387
-RNA Family	-Signaling Molecules and Interaction	0	0	0	0
Environmental Information Processing	-Signaling Molecules and Interaction	292.2	497.9	400.1	915.6
-Signal Transduction	-Signaling Molecules and Interaction	291.2	496.9	399.1	914.6
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	386.1	583.7	558.4	820.1
-Crystallins	-Signaling Molecules and Interaction	0	0	0	0
-Stress Response	-Signaling Molecules and Interaction	1.167	4.76	226.3	12.03
-Vesicular Transport	-Signaling Molecules and Interaction	0.1432	0.06	0.05952	0.001883
-Cytoskeleton	-Signaling Molecules and Interaction	184.3	194.5	131.9	341
-Cell Motility	-Signaling Molecules and Interaction	78.77	108.1	68.87	31.2
-Cell Growth and Death	-Signaling Molecules and Interaction	123	276.8	130.9	435.9
-Cell Communication	-Signaling Molecules and Interaction	0	0	0	0
Metabolism	-Signaling Molecules and Interaction	25760	28100	24360	59100
-Membrane Transport	-Signaling Molecules and Interaction	5818	5341	5119	12150
-Central Carbon Metabolism	-Signaling Molecules and Interaction	5083	4260	3648	7344
-Energy Metabolism	-Signaling Molecules and Interaction	2063	2572	1549	4091
-Biosynthesis	-Signaling Molecules and Interaction	6779	8268	7908	21460
-Other Enzymes	-Signaling Molecules and Interaction	8284	9608	7491	17990
Organismal Systems	-Signaling Molecules and Interaction	17.24	8.66	15.48	14.22
-Immune System	-Signaling Molecules and Interaction	0	0	0	0
-Endocrine System	-Signaling Molecules and Interaction	13.74	6.147	13.94	10.98
-Circulatory System	-Signaling Molecules and Interaction	0	0	0	0
-Digestive System	-Signaling Molecules and Interaction	0.3471	0.1867	4.964	0.001883
-Excretory System	-Signaling Molecules and Interaction	0	0	0	0
-Nervous System	-Signaling Molecules and Interaction	0	0	0	0
-Sensory System	-Signaling Molecules and Interaction	0	0	0	0
-Development	-Signaling Molecules and Interaction	0	0	0	0
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0	0	0
Human Diseases	-Signaling Molecules and Interaction	1089	1169	983	2836
-Cancers	-Signaling Molecules and Interaction	4.77	3.32	5.107	6.139
-Immune System Diseases	-Signaling Molecules and Interaction	4.853	7.053	5.226	13.52
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	480.6	705.9	709	1496
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0	0	0	0
-Metabolic Diseases	-Signaling Molecules and Interaction	516.5	347.8	133.4	1090
-Infectious Diseases	-Signaling Molecules and Interaction	608	462.7	270.8	1340
Not Mapped	-Signaling Molecules and Interaction	9565	19260	23070	33570
-Not Mapped	-Signaling Molecules and Interaction	9565	19260	23070	33570
TOTAL	Cellular Processes	270.4	257.7	152.5	268.7
MAPPED	Cellular Processes	234.4	215	103.3	221.7
Genetic Information Processing	Cellular Processes	134.8	150.2	49.33	136.5
-Transcription	Cellular Processes	5.051	5.013	3.532	6.148
-Translation	Cellular Processes	106.2	124.8	35.7	109.4
-Folding, Sorting and Degradation	Cellular Processes	17.93	14.76	7.084	16.83
-DNA Maintenance	Cellular Processes	7.008	5.666	3.164	4.745
-RNA Family	Cellular Processes	0	0	0	0
Environmental Information Processing	Cellular Processes	1.01	1.06	0.8376	1.257
-Signal Transduction	Cellular Processes	1.006	1.058	0.8355	1.255
-Signaling Molecules and Interaction	Cellular Processes	0.003824	0.002221	0.002137	0.001409
Cellular Processes	Cellular Processes	1	1	1	1
-Crystallins	Cellular Processes	0	0	0	0
-Stress Response	Cellular Processes	0.0044	0.01057	0.4817	0.01686
-Vesicular Transport	Cellular Processes	0.0005262	0.0001333	0.0001267	2.638e-06
-Cytoskeleton	Cellular Processes	0.6946	0.432	0.2809	0.4777
-Cell Motility	Cellular Processes	0.2407	0.2004	0.1313	0.04145
-Cell Growth and Death	Cellular Processes	0.3333	0.5215	0.2391	0.5315
-Cell Communication	Cellular Processes	0	0	0	0
Metabolism	Cellular Processes	95.88	61.27	50.78	81.12
-Membrane Transport	Cellular Processes	21.81	11.54	10.5	16.68
-Central Carbon Metabolism	Cellular Processes	16.5	8.461	7.146	9.092
-Energy Metabolism	Cellular Processes	6.569	5.562	3.121	5.615
-Biosynthesis	Cellular Processes	23.95	18.03	16.55	29.71
-Other Enzymes	Cellular Processes	31.13	21.31	14.63	24.74
Organismal Systems	Cellular Processes	0.06335	0.01888	0.0324	0.01952
-Immune System	Cellular Processes	0	0	0	0
-Endocrine System	Cellular Processes	0.05253	0.01373	0.02979	0.01547
-Circulatory System	Cellular Processes	0	0	0	0
-Digestive System	Cellular Processes	0.000999	0.0003384	0.009308	2.49e-06
-Excretory System	Cellular Processes	0	0	0	0
-Nervous System	Cellular Processes	0	0	0	0
-Sensory System	Cellular Processes	0	0	0	0
-Development	Cellular Processes	0	0	0	0
-Environmental Adaptation	Cellular Processes	0	0	0	0
Human Diseases	Cellular Processes	3.321	2.166	1.819	3.883
-Cancers	Cellular Processes	0.01206	0.005651	0.009116	0.007452
-Immune System Diseases	Cellular Processes	0.01829	0.01567	0.01113	0.01894
-Neurodegenerative Diseases	Cellular Processes	1.792	1.557	1.468	2.068
-Cardiovascular Diseases	Cellular Processes	0	0	0	0
-Metabolic Diseases	Cellular Processes	1.56	0.6907	0.2614	1.35
-Infectious Diseases	Cellular Processes	1.855	0.8575	0.4849	1.835
Not Mapped	Cellular Processes	36.05	42.77	49.12	47.02
-Not Mapped	Cellular Processes	36.05	42.77	49.12	47.02
TOTAL	-Crystallins	Inf	Inf	Inf	Inf
MAPPED	-Crystallins	Inf	Inf	Inf	Inf
Genetic Information Processing	-Crystallins	Inf	Inf	Inf	Inf
-Transcription	-Crystallins	Inf	Inf	Inf	Inf
-Translation	-Crystallins	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Crystallins	Inf	Inf	Inf	Inf
-DNA Maintenance	-Crystallins	Inf	Inf	Inf	Inf
-RNA Family	-Crystallins	NaN	NaN	NaN	NaN
Environmental Information Processing	-Crystallins	Inf	Inf	Inf	Inf
-Signal Transduction	-Crystallins	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Crystallins	Inf	Inf	Inf	Inf
Cellular Processes	-Crystallins	Inf	Inf	Inf	Inf
-Crystallins	-Crystallins	NaN	NaN	NaN	NaN
-Stress Response	-Crystallins	Inf	Inf	Inf	Inf
-Vesicular Transport	-Crystallins	NaN	NaN	NaN	NaN
-Cytoskeleton	-Crystallins	Inf	Inf	Inf	Inf
-Cell Motility	-Crystallins	Inf	Inf	Inf	Inf
-Cell Growth and Death	-Crystallins	Inf	Inf	Inf	Inf
-Cell Communication	-Crystallins	NaN	NaN	NaN	NaN
Metabolism	-Crystallins	Inf	Inf	Inf	Inf
-Membrane Transport	-Crystallins	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Crystallins	Inf	Inf	Inf	Inf
-Energy Metabolism	-Crystallins	Inf	Inf	Inf	Inf
-Biosynthesis	-Crystallins	Inf	Inf	Inf	Inf
-Other Enzymes	-Crystallins	Inf	Inf	Inf	Inf
Organismal Systems	-Crystallins	NaN	NaN	NaN	NaN
-Immune System	-Crystallins	NaN	NaN	NaN	NaN
-Endocrine System	-Crystallins	NaN	NaN	NaN	NaN
-Circulatory System	-Crystallins	NaN	NaN	NaN	NaN
-Digestive System	-Crystallins	NaN	NaN	NaN	NaN
-Excretory System	-Crystallins	NaN	NaN	NaN	NaN
-Nervous System	-Crystallins	NaN	NaN	NaN	NaN
-Sensory System	-Crystallins	NaN	NaN	NaN	NaN
-Development	-Crystallins	NaN	NaN	NaN	NaN
-Environmental Adaptation	-Crystallins	NaN	NaN	NaN	NaN
Human Diseases	-Crystallins	Inf	Inf	Inf	Inf
-Cancers	-Crystallins	NaN	NaN	NaN	NaN
-Immune System Diseases	-Crystallins	NaN	NaN	NaN	NaN
-Neurodegenerative Diseases	-Crystallins	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Crystallins	NaN	NaN	NaN	NaN
-Metabolic Diseases	-Crystallins	NaN	NaN	NaN	NaN
-Infectious Diseases	-Crystallins	Inf	Inf	Inf	Inf
Not Mapped	-Crystallins	Inf	Inf	Inf	Inf
-Not Mapped	-Crystallins	Inf	Inf	Inf	Inf
TOTAL	-Stress Response	61450	24380	316.5	15940
MAPPED	-Stress Response	53260	20330	214.5	13150
Genetic Information Processing	-Stress Response	30700	14230	102.8	8122
-Transcription	-Stress Response	1347	551.4	7.663	362.5
-Translation	-Stress Response	24290	11850	74.49	6525
-Folding, Sorting and Degradation	-Stress Response	4218	1480	15.7	1058
-DNA Maintenance	-Stress Response	1593	536.7	6.568	281.5
-RNA Family	-Stress Response	0	0	0	0
Environmental Information Processing	-Stress Response	267.2	115.3	1.837	76.08
-Signal Transduction	-Stress Response	266	115.1	1.813	76
-Signaling Molecules and Interaction	-Stress Response	0.8565	0.2101	0.00442	0.0831
Cellular Processes	-Stress Response	330.7	122.6	2.468	68.15
-Crystallins	-Stress Response	0	0	0	0
-Stress Response	-Stress Response	1	1	1	1
-Vesicular Transport	-Stress Response	0.1227	0.01261	0.0002631	0.0001565
-Cytoskeleton	-Stress Response	157.9	40.86	0.5831	28.34
-Cell Motility	-Stress Response	67.59	22.82	0.3066	2.593
-Cell Growth and Death	-Stress Response	105.3	58.16	0.5785	36.22
-Cell Communication	-Stress Response	0	0	0	0
Metabolism	-Stress Response	22060	5903	107.6	4911
-Membrane Transport	-Stress Response	4983	1122	22.63	1010
-Central Carbon Metabolism	-Stress Response	4354	895	16.12	610.3
-Energy Metabolism	-Stress Response	1767	540.3	6.844	339.9
-Biosynthesis	-Stress Response	6586	1871	35.72	1867
-Other Enzymes	-Stress Response	7096	2018	33.11	1495
Organismal Systems	-Stress Response	14.77	1.819	0.0684	1.182
-Immune System	-Stress Response	0	0	0	0
-Endocrine System	-Stress Response	11.77	1.291	0.06162	0.9124
-Circulatory System	-Stress Response	0	0	0	0
-Digestive System	-Stress Response	0.2973	0.03922	0.02194	0.0001565
-Excretory System	-Stress Response	0	0	0	0
-Nervous System	-Stress Response	0	0	0	0
-Sensory System	-Stress Response	0	0	0	0
-Development	-Stress Response	0	0	0	0
-Environmental Adaptation	-Stress Response	0	0	0	0
Human Diseases	-Stress Response	932.5	245.5	4.345	235.7
-Cancers	-Stress Response	4.086	0.6975	0.02257	0.5102
-Immune System Diseases	-Stress Response	4.157	1.482	0.0231	1.124
-Neurodegenerative Diseases	-Stress Response	411.7	148.3	3.134	124.3
-Cardiovascular Diseases	-Stress Response	0	0	0	0
-Metabolic Diseases	-Stress Response	442.4	73.06	0.5895	90.6
-Infectious Diseases	-Stress Response	520.8	97.2	1.197	111.4
Not Mapped	-Stress Response	8193	4045	102	2790
-Not Mapped	-Stress Response	8193	4045	102	2790
TOTAL	-Vesicular Transport	Inf	Inf	Inf	Inf
MAPPED	-Vesicular Transport	Inf	Inf	Inf	Inf
Genetic Information Processing	-Vesicular Transport	Inf	Inf	Inf	Inf
-Transcription	-Vesicular Transport	Inf	Inf	Inf	Inf
-Translation	-Vesicular Transport	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Vesicular Transport	Inf	Inf	Inf	Inf
-DNA Maintenance	-Vesicular Transport	Inf	Inf	Inf	Inf
-RNA Family	-Vesicular Transport	NaN	NaN	NaN	NaN
Environmental Information Processing	-Vesicular Transport	Inf	Inf	Inf	Inf
-Signal Transduction	-Vesicular Transport	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Vesicular Transport	Inf	Inf	Inf	Inf
Cellular Processes	-Vesicular Transport	Inf	Inf	Inf	Inf
-Crystallins	-Vesicular Transport	NaN	NaN	NaN	NaN
-Stress Response	-Vesicular Transport	Inf	Inf	Inf	Inf
-Vesicular Transport	-Vesicular Transport	NaN	NaN	NaN	NaN
-Cytoskeleton	-Vesicular Transport	Inf	Inf	Inf	Inf
-Cell Motility	-Vesicular Transport	Inf	Inf	Inf	Inf
-Cell Growth and Death	-Vesicular Transport	Inf	Inf	Inf	Inf
-Cell Communication	-Vesicular Transport	NaN	NaN	NaN	NaN
Metabolism	-Vesicular Transport	Inf	Inf	Inf	Inf
-Membrane Transport	-Vesicular Transport	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Vesicular Transport	Inf	Inf	Inf	Inf
-Energy Metabolism	-Vesicular Transport	Inf	Inf	Inf	Inf
-Biosynthesis	-Vesicular Transport	Inf	Inf	Inf	Inf
-Other Enzymes	-Vesicular Transport	Inf	Inf	Inf	Inf
Organismal Systems	-Vesicular Transport	NaN	NaN	NaN	NaN
-Immune System	-Vesicular Transport	NaN	NaN	NaN	NaN
-Endocrine System	-Vesicular Transport	NaN	NaN	NaN	NaN
-Circulatory System	-Vesicular Transport	NaN	NaN	NaN	NaN
-Digestive System	-Vesicular Transport	NaN	NaN	NaN	NaN
-Excretory System	-Vesicular Transport	NaN	NaN	NaN	NaN
-Nervous System	-Vesicular Transport	NaN	NaN	NaN	NaN
-Sensory System	-Vesicular Transport	NaN	NaN	NaN	NaN
-Development	-Vesicular Transport	NaN	NaN	NaN	NaN
-Environmental Adaptation	-Vesicular Transport	NaN	NaN	NaN	NaN
Human Diseases	-Vesicular Transport	Inf	Inf	Inf	Inf
-Cancers	-Vesicular Transport	NaN	NaN	NaN	NaN
-Immune System Diseases	-Vesicular Transport	NaN	NaN	NaN	NaN
-Neurodegenerative Diseases	-Vesicular Transport	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Vesicular Transport	NaN	NaN	NaN	NaN
-Metabolic Diseases	-Vesicular Transport	NaN	NaN	NaN	NaN
-Infectious Diseases	-Vesicular Transport	Inf	Inf	Inf	Inf
Not Mapped	-Vesicular Transport	Inf	Inf	Inf	Inf
-Not Mapped	-Vesicular Transport	Inf	Inf	Inf	Inf
TOTAL	-Cytoskeleton	389.3	596.6	542.7	562.5
MAPPED	-Cytoskeleton	337.4	497.6	367.9	464.1
Genetic Information Processing	-Cytoskeleton	194.5	348.2	176.2	286.6
-Transcription	-Cytoskeleton	8.531	13.49	13.14	12.79
-Translation	-Cytoskeleton	153.8	290	127.7	230.3
-Folding, Sorting and Degradation	-Cytoskeleton	26.72	36.23	26.92	37.32
-DNA Maintenance	-Cytoskeleton	10.09	13.13	11.26	9.933
-RNA Family	-Cytoskeleton	0	0	0	0
Environmental Information Processing	-Cytoskeleton	1.693	2.822	3.15	2.685
-Signal Transduction	-Cytoskeleton	1.685	2.816	3.11	2.682
-Signaling Molecules and Interaction	-Cytoskeleton	0.005426	0.005141	0.00758	0.002932
Cellular Processes	-Cytoskeleton	2.095	3.001	4.233	2.405
-Crystallins	-Cytoskeleton	0	0	0	0
-Stress Response	-Cytoskeleton	0.006335	0.02447	1.715	0.03529
-Vesicular Transport	-Cytoskeleton	0.000777	0.0003085	0.0004512	5.522e-06
-Cytoskeleton	-Cytoskeleton	1	1	1	1
-Cell Motility	-Cytoskeleton	0.4281	0.5584	0.5258	0.0915
-Cell Growth and Death	-Cytoskeleton	0.6672	1.423	0.9921	1.278
-Cell Communication	-Cytoskeleton	0	0	0	0
Metabolism	-Cytoskeleton	139.8	144.5	184.6	173.3
-Membrane Transport	-Cytoskeleton	31.57	27.46	38.8	35.64
-Central Carbon Metabolism	-Cytoskeleton	27.58	21.9	27.65	21.54
-Energy Metabolism	-Cytoskeleton	11.2	13.22	11.74	12
-Biosynthesis	-Cytoskeleton	41.72	45.78	61.25	65.9
-Other Enzymes	-Cytoskeleton	44.95	49.4	56.78	52.76
Organismal Systems	-Cytoskeleton	0.09355	0.04452	0.1173	0.04169
-Immune System	-Cytoskeleton	0	0	0	0
-Endocrine System	-Cytoskeleton	0.07454	0.0316	0.1057	0.0322
-Circulatory System	-Cytoskeleton	0	0	0	0
-Digestive System	-Cytoskeleton	0.001883	0.0009597	0.03763	5.522e-06
-Excretory System	-Cytoskeleton	0	0	0	0
-Nervous System	-Cytoskeleton	0	0	0	0
-Sensory System	-Cytoskeleton	0	0	0	0
-Development	-Cytoskeleton	0	0	0	0
-Environmental Adaptation	-Cytoskeleton	0	0	0	0
Human Diseases	-Cytoskeleton	5.907	6.008	7.451	8.317
-Cancers	-Cytoskeleton	0.02588	0.01707	0.03871	0.018
-Immune System Diseases	-Cytoskeleton	0.02633	0.03626	0.03961	0.03965
-Neurodegenerative Diseases	-Cytoskeleton	2.608	3.629	5.374	4.386
-Cardiovascular Diseases	-Cytoskeleton	0	0	0	0
-Metabolic Diseases	-Cytoskeleton	2.803	1.788	1.011	3.197
-Infectious Diseases	-Cytoskeleton	3.299	2.379	2.052	3.931
Not Mapped	-Cytoskeleton	51.9	99	174.9	98.44
-Not Mapped	-Cytoskeleton	51.9	99	174.9	98.44
TOTAL	-Cell Motility	5709	7206	5170	20470
MAPPED	-Cell Motility	4948	6010	3504	16880
Genetic Information Processing	-Cell Motility	2834	4196	1667	10380
-Transcription	-Cell Motility	80.55	140.1	119.8	421.7
-Translation	-Cell Motility	2236	3483	1209	8335
-Folding, Sorting and Degradation	-Cell Motility	320.4	390.2	222.7	1171
-DNA Maintenance	-Cell Motility	152.3	158.7	107.3	361.4
-RNA Family	-Cell Motility	0	0	0	0
Environmental Information Processing	-Cell Motility	18.52	25.58	24.57	85.97
-Signal Transduction	-Cell Motility	18.43	25.52	24.5	85.87
-Signaling Molecules and Interaction	-Cell Motility	0.07958	0.0621	0.07221	0.1067
Cellular Processes	-Cell Motility	20.81	27.79	33.79	76
-Crystallins	-Cell Motility	0	0	0	0
-Stress Response	-Cell Motility	0.09291	0.2956	16.34	1.284
-Vesicular Transport	-Cell Motility	0.006734	0.003732	0.004298	0.0002009
-Cytoskeleton	-Cell Motility	14.67	12.08	9.526	36.38
-Cell Motility	-Cell Motility	1	1	1	1
-Cell Growth and Death	-Cell Motility	5.408	14.42	6.929	37.18
-Cell Communication	-Cell Motility	0	0	0	0
Metabolism	-Cell Motility	2028	1709	1704	6136
-Membrane Transport	-Cell Motility	458.4	320.7	354.4	1260
-Central Carbon Metabolism	-Cell Motility	269	189.9	233.3	544.7
-Energy Metabolism	-Cell Motility	105.9	105.7	78.67	239.2
-Biosynthesis	-Cell Motility	430.9	451.9	549.9	2168
-Other Enzymes	-Cell Motility	687.2	592.2	486.5	1833
Organismal Systems	-Cell Motility	1.093	0.3817	1.007	1.176
-Immune System	-Cell Motility	0	0	0	0
-Endocrine System	-Cell Motility	1.093	0.3817	1.007	1.176
-Circulatory System	-Cell Motility	0	0	0	0
-Digestive System	-Cell Motility	0.004406	0.001727	0.07208	6.117e-05
-Excretory System	-Cell Motility	0	0	0	0
-Nervous System	-Cell Motility	0	0	0	0
-Sensory System	-Cell Motility	0	0	0	0
-Development	-Cell Motility	0	0	0	0
-Environmental Adaptation	-Cell Motility	0	0	0	0
Human Diseases	-Cell Motility	39.25	33.68	41.87	112
-Cancers	-Cell Motility	0.06106	0.031	0.07502	0.2151
-Immune System Diseases	-Cell Motility	0.2996	0.2997	0.2278	1.106
-Neurodegenerative Diseases	-Cell Motility	23.22	30.25	33.79	60.45
-Cardiovascular Diseases	-Cell Motility	0	0	0	0
-Metabolic Diseases	-Cell Motility	22.72	12.68	5.748	38.58
-Infectious Diseases	-Cell Motility	12.61	6.38	9.479	63.74
Not Mapped	-Cell Motility	761.2	1196	1666	3582
-Not Mapped	-Cell Motility	761.2	1196	1666	3582
TOTAL	-Cell Growth and Death	1130	499.8	746.1	552.6
MAPPED	-Cell Growth and Death	979.7	416.8	505.7	455.9
Genetic Information Processing	-Cell Growth and Death	561	291	240.6	279.2
-Transcription	-Cell Growth and Death	24.77	10.74	18.07	12.57
-Translation	-Cell Growth and Death	444.9	242.4	175.6	225.6
-Folding, Sorting and Degradation	-Cell Growth and Death	70.54	29.46	35.14	35.07
-DNA Maintenance	-Cell Growth and Death	28.02	11.08	15.25	9.637
-RNA Family	-Cell Growth and Death	0	0	0	0
Environmental Information Processing	-Cell Growth and Death	4.314	2.321	4.16	2.629
-Signal Transduction	-Cell Growth and Death	4.296	2.316	4.15	2.626
-Signaling Molecules and Interaction	-Cell Growth and Death	0.01619	0.004337	0.01059	0.002898
Cellular Processes	-Cell Growth and Death	4.811	2.324	5.31	2.102
-Crystallins	-Cell Growth and Death	0	0	0	0
-Stress Response	-Cell Growth and Death	0.01839	0.0205	2.358	0.03467
-Vesicular Transport	-Cell Growth and Death	0.002234	0.0002577	0.0006189	5.407e-06
-Cytoskeleton	-Cell Growth and Death	2.904	0.8377	1.375	0.9825
-Cell Motility	-Cell Growth and Death	1.243	0.4656	0.7151	0.08723
-Cell Growth and Death	-Cell Growth and Death	1	1	1	1
-Cell Communication	-Cell Growth and Death	0	0	0	0
Metabolism	-Cell Growth and Death	401.5	120	252.2	169.3
-Membrane Transport	-Cell Growth and Death	90.76	22.54	52.01	34.89
-Central Carbon Metabolism	-Cell Growth and Death	73.71	15.67	34.33	18.27
-Energy Metabolism	-Cell Growth and Death	24.38	10.57	14.23	10.95
-Biosynthesis	-Cell Growth and Death	103.9	36.84	79.96	60.93
-Other Enzymes	-Cell Growth and Death	122.5	41.07	75.61	50.45
Organismal Systems	-Cell Growth and Death	0.2547	0.03688	0.1586	0.04045
-Immune System	-Cell Growth and Death	0	0	0	0
-Endocrine System	-Cell Growth and Death	0.2164	0.02647	0.1453	0.03163
-Circulatory System	-Cell Growth and Death	0	0	0	0
-Digestive System	-Cell Growth and Death	0.0048	0.0007893	0.04912	5.189e-06
-Excretory System	-Cell Growth and Death	0	0	0	0
-Nervous System	-Cell Growth and Death	0	0	0	0
-Sensory System	-Cell Growth and Death	0	0	0	0
-Development	-Cell Growth and Death	0	0	0	0
-Environmental Adaptation	-Cell Growth and Death	0	0	0	0
Human Diseases	-Cell Growth and Death	12.13	5.026	9.229	8.018
-Cancers	-Cell Growth and Death	0.03619	0.01181	0.03812	0.01388
-Immune System Diseases	-Cell Growth and Death	0.06539	0.03004	0.05356	0.03847
-Neurodegenerative Diseases	-Cell Growth and Death	7.572	3.04	7.389	4.309
-Cardiovascular Diseases	-Cell Growth and Death	0	0	0	0
-Metabolic Diseases	-Cell Growth and Death	4.201	1.256	1.035	2.557
-Infectious Diseases	-Cell Growth and Death	8.151	1.993	2.297	3.862
Not Mapped	-Cell Growth and Death	150.7	82.93	240.4	96.72
-Not Mapped	-Cell Growth and Death	150.7	82.93	240.4	96.72
TOTAL	-Cell Communication	Inf	Inf	Inf	Inf
MAPPED	-Cell Communication	Inf	Inf	Inf	Inf
Genetic Information Processing	-Cell Communication	Inf	Inf	Inf	Inf
-Transcription	-Cell Communication	Inf	Inf	Inf	Inf
-Translation	-Cell Communication	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Cell Communication	Inf	Inf	Inf	Inf
-DNA Maintenance	-Cell Communication	Inf	Inf	Inf	Inf
-RNA Family	-Cell Communication	NaN	NaN	NaN	NaN
Environmental Information Processing	-Cell Communication	Inf	Inf	Inf	Inf
-Signal Transduction	-Cell Communication	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Cell Communication	Inf	Inf	Inf	Inf
Cellular Processes	-Cell Communication	Inf	Inf	Inf	Inf
-Crystallins	-Cell Communication	NaN	NaN	NaN	NaN
-Stress Response	-Cell Communication	Inf	Inf	Inf	Inf
-Vesicular Transport	-Cell Communication	NaN	NaN	NaN	NaN
-Cytoskeleton	-Cell Communication	Inf	Inf	Inf	Inf
-Cell Motility	-Cell Communication	Inf	Inf	Inf	Inf
-Cell Growth and Death	-Cell Communication	Inf	Inf	Inf	Inf
-Cell Communication	-Cell Communication	NaN	NaN	NaN	NaN
Metabolism	-Cell Communication	Inf	Inf	Inf	Inf
-Membrane Transport	-Cell Communication	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Cell Communication	Inf	Inf	Inf	Inf
-Energy Metabolism	-Cell Communication	Inf	Inf	Inf	Inf
-Biosynthesis	-Cell Communication	Inf	Inf	Inf	Inf
-Other Enzymes	-Cell Communication	Inf	Inf	Inf	Inf
Organismal Systems	-Cell Communication	NaN	NaN	NaN	NaN
-Immune System	-Cell Communication	NaN	NaN	NaN	NaN
-Endocrine System	-Cell Communication	NaN	NaN	NaN	NaN
-Circulatory System	-Cell Communication	NaN	NaN	NaN	NaN
-Digestive System	-Cell Communication	NaN	NaN	NaN	NaN
-Excretory System	-Cell Communication	NaN	NaN	NaN	NaN
-Nervous System	-Cell Communication	NaN	NaN	NaN	NaN
-Sensory System	-Cell Communication	NaN	NaN	NaN	NaN
-Development	-Cell Communication	NaN	NaN	NaN	NaN
-Environmental Adaptation	-Cell Communication	NaN	NaN	NaN	NaN
Human Diseases	-Cell Communication	Inf	Inf	Inf	Inf
-Cancers	-Cell Communication	NaN	NaN	NaN	NaN
-Immune System Diseases	-Cell Communication	NaN	NaN	NaN	NaN
-Neurodegenerative Diseases	-Cell Communication	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Cell Communication	NaN	NaN	NaN	NaN
-Metabolic Diseases	-Cell Communication	NaN	NaN	NaN	NaN
-Infectious Diseases	-Cell Communication	Inf	Inf	Inf	Inf
Not Mapped	-Cell Communication	Inf	Inf	Inf	Inf
-Not Mapped	-Cell Communication	Inf	Inf	Inf	Inf
TOTAL	Metabolism	2.837	4.244	3.034	3.346
MAPPED	Metabolism	2.459	3.54	2.056	2.76
Genetic Information Processing	Metabolism	1.412	2.471	0.9855	1.7
-Transcription	Metabolism	0.06169	0.09423	0.07111	0.07424
-Translation	Metabolism	1.122	2.056	0.7111	1.365
