Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine
-Transcription	Genetic Information Processing	0.0613	0.09566	0.06858
-Translation	Genetic Information Processing	0.7376	0.6167	0.6825
-Folding, Sorting and Degradation	Genetic Information Processing	0.1631	0.2295	0.213
-DNA Maintenance	Genetic Information Processing	0.038	0.05816	0.0359
Environmental Information Processing	Genetic Information Processing	0.03035	0.03765	0.02793
-Signal Transduction	Genetic Information Processing	0.008499	0.01863	0.008135
-Signaling Molecules and Interaction	Genetic Information Processing	0.02185	0.01902	0.0198
Cellular Processes	Genetic Information Processing	0.2311	0.5603	0.2295
-Cell structure	Genetic Information Processing	0.2188	0.5271	0.2181
-Stress Response	Genetic Information Processing	0.0001244	0.01571	0.0002021
-Vesicular Transport	Genetic Information Processing	5.113e-06	0.0002045	1.884e-06
-Cytoskeleton	Genetic Information Processing	0.004444	0.007622	0.004933
-Cell Motility	Genetic Information Processing	0.001741	0.003217	0.0004989
-Cell Growth and Death	Genetic Information Processing	0.005958	0.006447	0.005721
-Cell Communication	Genetic Information Processing	0	0	0
Metabolism	Genetic Information Processing	0.6481	1.688	1.025
-Membrane Transport	Genetic Information Processing	0.125	0.3272	0.1899
-Central Carbon Metabolism	Genetic Information Processing	0.2004	0.4633	0.2273
-Energy Metabolism	Genetic Information Processing	0.05132	0.06221	0.04717
-Biosynthesis	Genetic Information Processing	0.2232	0.7213	0.5054
-Other Enzymes	Genetic Information Processing	0.04822	0.1136	0.05485
Organismal Systems	Genetic Information Processing	0	0	0
-Immune System	Genetic Information Processing	0	0	0
-Endocrine System	Genetic Information Processing	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0
-Digestive System	Genetic Information Processing	0	0	0
-Excretory System	Genetic Information Processing	0	0	0
-Nervous System	Genetic Information Processing	0	0	0
-Sensory System	Genetic Information Processing	0	0	0
-Development	Genetic Information Processing	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0
Human Diseases	Genetic Information Processing	0	0	0
-Cancers	Genetic Information Processing	0	0	0
-Immune System Diseases	Genetic Information Processing	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0
-Infectious Diseases	Genetic Information Processing	0	0	0
Not Mapped	Genetic Information Processing	0.2589	0.5689	0.2838
-Not Mapped	Genetic Information Processing	0.2589	0.5689	0.2838
TOTAL	-Transcription	35.38	40.29	37.41
MAPPED	-Transcription	31.15	34.35	33.28
Genetic Information Processing	-Transcription	16.31	10.45	14.58
-Transcription	-Transcription	1	1	1
-Translation	-Transcription	12.03	6.446	9.953
-Folding, Sorting and Degradation	-Transcription	2.661	2.399	3.106
-DNA Maintenance	-Transcription	0.6199	0.608	0.5234
Environmental Information Processing	-Transcription	0.4951	0.3936	0.4073
-Signal Transduction	-Transcription	0.1387	0.1948	0.1186
-Signaling Molecules and Interaction	-Transcription	0.3564	0.1988	0.2887
Cellular Processes	-Transcription	3.77	5.857	3.346
-Cell structure	-Transcription	3.569	5.51	3.18
-Stress Response	-Transcription	0.00203	0.1643	0.002947
-Vesicular Transport	-Transcription	8.342e-05	0.002138	2.747e-05
-Cytoskeleton	-Transcription	0.0725	0.07968	0.07193
-Cell Motility	-Transcription	0.0284	0.03363	0.007274
-Cell Growth and Death	-Transcription	0.09721	0.06739	0.08343
-Cell Communication	-Transcription	0	0	0
Metabolism	-Transcription	10.57	17.64	14.94
-Membrane Transport	-Transcription	2.039	3.42	2.768
-Central Carbon Metabolism	-Transcription	3.269	4.843	3.314
-Energy Metabolism	-Transcription	0.8373	0.6503	0.6878
-Biosynthesis	-Transcription	3.641	7.54	7.37
-Other Enzymes	-Transcription	0.7867	1.188	0.7998
Organismal Systems	-Transcription	0	0	0
-Immune System	-Transcription	0	0	0
-Endocrine System	-Transcription	0	0	0
-Circulatory System	-Transcription	0	0	0
-Digestive System	-Transcription	0	0	0
-Excretory System	-Transcription	0	0	0
-Nervous System	-Transcription	0	0	0
-Sensory System	-Transcription	0	0	0
-Development	-Transcription	0	0	0
-Environmental Adaptation	-Transcription	0	0	0
Human Diseases	-Transcription	0	0	0
-Cancers	-Transcription	0	0	0
-Immune System Diseases	-Transcription	0	0	0
-Neurodegenerative Diseases	-Transcription	0	0	0
-Cardiovascular Diseases	-Transcription	0	0	0
-Infectious Diseases	-Transcription	0	0	0
Not Mapped	-Transcription	4.224	5.947	4.138
-Not Mapped	-Transcription	4.224	5.947	4.138
TOTAL	-Translation	2.94	6.251	3.759
MAPPED	-Translation	2.589	5.328	3.343
Genetic Information Processing	-Translation	1.356	1.622	1.465
-Transcription	-Translation	0.0831	0.1551	0.1005
-Translation	-Translation	1	1	1
-Folding, Sorting and Degradation	-Translation	0.2211	0.3722	0.312
-DNA Maintenance	-Translation	0.05151	0.09432	0.05259
Environmental Information Processing	-Translation	0.04114	0.06106	0.04093
-Signal Transduction	-Translation	0.01152	0.03022	0.01192
-Signaling Molecules and Interaction	-Translation	0.02962	0.03084	0.02901
Cellular Processes	-Translation	0.3132	0.9086	0.3362
-Cell structure	-Translation	0.2966	0.8547	0.3195
-Stress Response	-Translation	0.0001687	0.02548	0.0002961
-Vesicular Transport	-Translation	6.932e-06	0.0003317	2.76e-06
-Cytoskeleton	-Translation	0.006025	0.01236	0.007228
-Cell Motility	-Translation	0.00236	0.005217	0.0007309
-Cell Growth and Death	-Translation	0.008078	0.01045	0.008382
-Cell Communication	-Translation	0	0	0
Metabolism	-Translation	0.8786	2.737	1.501
-Membrane Transport	-Translation	0.1694	0.5306	0.2782
-Central Carbon Metabolism	-Translation	0.2717	0.7513	0.333
-Energy Metabolism	-Translation	0.06958	0.1009	0.06911
-Biosynthesis	-Translation	0.3026	1.17	0.7405
-Other Enzymes	-Translation	0.06538	0.1843	0.08036
Organismal Systems	-Translation	0	0	0
-Immune System	-Translation	0	0	0
-Endocrine System	-Translation	0	0	0
-Circulatory System	-Translation	0	0	0
-Digestive System	-Translation	0	0	0
-Excretory System	-Translation	0	0	0
-Nervous System	-Translation	0	0	0
-Sensory System	-Translation	0	0	0
-Development	-Translation	0	0	0
-Environmental Adaptation	-Translation	0	0	0
Human Diseases	-Translation	0	0	0
-Cancers	-Translation	0	0	0
-Immune System Diseases	-Translation	0	0	0
-Neurodegenerative Diseases	-Translation	0	0	0
-Cardiovascular Diseases	-Translation	0	0	0
-Infectious Diseases	-Translation	0	0	0
Not Mapped	-Translation	0.351	0.9226	0.4158
-Not Mapped	-Translation	0.351	0.9226	0.4158
TOTAL	-Folding, Sorting and Degradation	13.29	16.79	12.05
MAPPED	-Folding, Sorting and Degradation	11.71	14.32	10.71
Genetic Information Processing	-Folding, Sorting and Degradation	6.131	4.357	4.695
-Transcription	-Folding, Sorting and Degradation	0.3758	0.4168	0.322
-Translation	-Folding, Sorting and Degradation	4.522	2.687	3.205
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.233	0.2534	0.1685
Environmental Information Processing	-Folding, Sorting and Degradation	0.1861	0.1641	0.1312
-Signal Transduction	-Folding, Sorting and Degradation	0.05211	0.08119	0.03819
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.134	0.08287	0.09296
Cellular Processes	-Folding, Sorting and Degradation	1.417	2.441	1.077
-Cell structure	-Folding, Sorting and Degradation	1.341	2.296	1.024
-Stress Response	-Folding, Sorting and Degradation	0.0007628	0.06846	0.0009489
-Vesicular Transport	-Folding, Sorting and Degradation	3.135e-05	0.0008911	8.846e-06
-Cytoskeleton	-Folding, Sorting and Degradation	0.02725	0.03321	0.02316
-Cell Motility	-Folding, Sorting and Degradation	0.01067	0.01402	0.002342
-Cell Growth and Death	-Folding, Sorting and Degradation	0.03653	0.02809	0.02686
-Cell Communication	-Folding, Sorting and Degradation	0	0	0
Metabolism	-Folding, Sorting and Degradation	3.974	7.353	4.811
-Membrane Transport	-Folding, Sorting and Degradation	0.7661	1.426	0.8914
-Central Carbon Metabolism	-Folding, Sorting and Degradation	1.229	2.019	1.067
-Energy Metabolism	-Folding, Sorting and Degradation	0.3147	0.271	0.2215
-Biosynthesis	-Folding, Sorting and Degradation	1.368	3.143	2.373
-Other Enzymes	-Folding, Sorting and Degradation	0.2957	0.4951	0.2575
Organismal Systems	-Folding, Sorting and Degradation	0	0	0
-Immune System	-Folding, Sorting and Degradation	0	0	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0
-Circulatory System	-Folding, Sorting and Degradation	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0	0	0
-Cancers	-Folding, Sorting and Degradation	0	0	0
-Immune System Diseases	-Folding, Sorting and Degradation	0	0	0
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0	0	0
Not Mapped	-Folding, Sorting and Degradation	1.587	2.479	1.332
-Not Mapped	-Folding, Sorting and Degradation	1.587	2.479	1.332
TOTAL	-DNA Maintenance	57.07	66.27	71.48
MAPPED	-DNA Maintenance	50.26	56.49	63.57
Genetic Information Processing	-DNA Maintenance	26.32	17.19	27.86
-Transcription	-DNA Maintenance	1.613	1.645	1.91
-Translation	-DNA Maintenance	19.41	10.6	19.01
-Folding, Sorting and Degradation	-DNA Maintenance	4.293	3.946	5.933
-DNA Maintenance	-DNA Maintenance	1	1	1
Environmental Information Processing	-DNA Maintenance	0.7987	0.6474	0.7782
-Signal Transduction	-DNA Maintenance	0.2237	0.3204	0.2266
-Signaling Molecules and Interaction	-DNA Maintenance	0.575	0.327	0.5516
Cellular Processes	-DNA Maintenance	6.081	9.633	6.392
-Cell structure	-DNA Maintenance	5.758	9.062	6.076
-Stress Response	-DNA Maintenance	0.003274	0.2702	0.00563
-Vesicular Transport	-DNA Maintenance	0.0001346	0.003516	5.248e-05
-Cytoskeleton	-DNA Maintenance	0.117	0.1311	0.1374
-Cell Motility	-DNA Maintenance	0.04582	0.05532	0.0139
-Cell Growth and Death	-DNA Maintenance	0.1568	0.1108	0.1594
-Cell Communication	-DNA Maintenance	0	0	0
Metabolism	-DNA Maintenance	17.06	29.02	28.54
-Membrane Transport	-DNA Maintenance	3.289	5.626	5.289
-Central Carbon Metabolism	-DNA Maintenance	5.274	7.966	6.332
-Energy Metabolism	-DNA Maintenance	1.351	1.07	1.314
-Biosynthesis	-DNA Maintenance	5.874	12.4	14.08
-Other Enzymes	-DNA Maintenance	1.269	1.954	1.528
Organismal Systems	-DNA Maintenance	0	0	0
-Immune System	-DNA Maintenance	0	0	0
-Endocrine System	-DNA Maintenance	0	0	0
-Circulatory System	-DNA Maintenance	0	0	0
-Digestive System	-DNA Maintenance	0	0	0
-Excretory System	-DNA Maintenance	0	0	0
-Nervous System	-DNA Maintenance	0	0	0
-Sensory System	-DNA Maintenance	0	0	0
-Development	-DNA Maintenance	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0
Human Diseases	-DNA Maintenance	0	0	0
-Cancers	-DNA Maintenance	0	0	0
-Immune System Diseases	-DNA Maintenance	0	0	0
-Neurodegenerative Diseases	-DNA Maintenance	0	0	0
-Cardiovascular Diseases	-DNA Maintenance	0	0	0
-Infectious Diseases	-DNA Maintenance	0	0	0
Not Mapped	-DNA Maintenance	6.814	9.782	7.906
-Not Mapped	-DNA Maintenance	6.814	9.782	7.906
TOTAL	Environmental Information Processing	71.45	102.4	91.85
MAPPED	Environmental Information Processing	62.92	87.26	81.69
Genetic Information Processing	Environmental Information Processing	32.95	26.56	35.8
-Transcription	Environmental Information Processing	2.02	2.54	2.455
-Translation	Environmental Information Processing	24.31	16.38	24.43
-Folding, Sorting and Degradation	Environmental Information Processing	5.374	6.095	7.624
-DNA Maintenance	Environmental Information Processing	1.252	1.545	1.285
Environmental Information Processing	Environmental Information Processing	1	1	1
-Signal Transduction	Environmental Information Processing	0.2801	0.4949	0.2912
-Signaling Molecules and Interaction	Environmental Information Processing	0.7199	0.5051	0.7088
Cellular Processes	Environmental Information Processing	7.613	14.88	8.214
-Cell structure	Environmental Information Processing	7.209	14	7.808
-Stress Response	Environmental Information Processing	0.004099	0.4173	0.007235
-Vesicular Transport	Environmental Information Processing	0.0001685	0.005431	6.744e-05
-Cytoskeleton	Environmental Information Processing	0.1464	0.2024	0.1766
-Cell Motility	Environmental Information Processing	0.05736	0.08544	0.01786
-Cell Growth and Death	Environmental Information Processing	0.1963	0.1712	0.2048
-Cell Communication	Environmental Information Processing	0	0	0
Metabolism	Environmental Information Processing	21.35	44.82	36.68
-Membrane Transport	Environmental Information Processing	4.117	8.69	6.796
-Central Carbon Metabolism	Environmental Information Processing	6.604	12.3	8.137
-Energy Metabolism	Environmental Information Processing	1.691	1.652	1.689
-Biosynthesis	Environmental Information Processing	7.354	19.16	18.09
-Other Enzymes	Environmental Information Processing	1.589	3.018	1.963
Organismal Systems	Environmental Information Processing	0	0	0
-Immune System	Environmental Information Processing	0	0	0
-Endocrine System	Environmental Information Processing	0	0	0
-Circulatory System	Environmental Information Processing	0	0	0
-Digestive System	Environmental Information Processing	0	0	0
-Excretory System	Environmental Information Processing	0	0	0
-Nervous System	Environmental Information Processing	0	0	0
-Sensory System	Environmental Information Processing	0	0	0
-Development	Environmental Information Processing	0	0	0
-Environmental Adaptation	Environmental Information Processing	0	0	0
Human Diseases	Environmental Information Processing	0	0	0
-Cancers	Environmental Information Processing	0	0	0
-Immune System Diseases	Environmental Information Processing	0	0	0
-Neurodegenerative Diseases	Environmental Information Processing	0	0	0
-Cardiovascular Diseases	Environmental Information Processing	0	0	0
-Infectious Diseases	Environmental Information Processing	0	0	0
Not Mapped	Environmental Information Processing	8.531	15.11	10.16
-Not Mapped	Environmental Information Processing	8.531	15.11	10.16
TOTAL	-Signal Transduction	255.1	206.9	315.4
MAPPED	-Signal Transduction	224.7	176.3	280.5
Genetic Information Processing	-Signal Transduction	117.7	53.66	122.9
-Transcription	-Signal Transduction	7.212	5.134	8.43
-Translation	-Signal Transduction	86.78	33.09	83.9
-Folding, Sorting and Degradation	-Signal Transduction	19.19	12.32	26.18
-DNA Maintenance	-Signal Transduction	4.47	3.121	4.413
Environmental Information Processing	-Signal Transduction	3.571	2.021	3.434
-Signal Transduction	-Signal Transduction	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	2.571	1.021	2.434
Cellular Processes	-Signal Transduction	27.18	30.07	28.21
-Cell structure	-Signal Transduction	25.74	28.28	26.81
-Stress Response	-Signal Transduction	0.01464	0.8433	0.02484
-Vesicular Transport	-Signal Transduction	0.0006016	0.01098	0.0002316
-Cytoskeleton	-Signal Transduction	0.5229	0.4091	0.6064
-Cell Motility	-Signal Transduction	0.2048	0.1727	0.06132
-Cell Growth and Death	-Signal Transduction	0.701	0.346	0.7033
-Cell Communication	-Signal Transduction	0	0	0
Metabolism	-Signal Transduction	76.25	90.57	126
-Membrane Transport	-Signal Transduction	14.7	17.56	23.34
-Central Carbon Metabolism	-Signal Transduction	23.58	24.86	27.94
-Energy Metabolism	-Signal Transduction	6.038	3.338	5.798
-Biosynthesis	-Signal Transduction	26.26	38.71	62.13
-Other Enzymes	-Signal Transduction	5.674	6.099	6.742
Organismal Systems	-Signal Transduction	0	0	0
-Immune System	-Signal Transduction	0	0	0
-Endocrine System	-Signal Transduction	0	0	0
-Circulatory System	-Signal Transduction	0	0	0
-Digestive System	-Signal Transduction	0	0	0
-Excretory System	-Signal Transduction	0	0	0
-Nervous System	-Signal Transduction	0	0	0
-Sensory System	-Signal Transduction	0	0	0
-Development	-Signal Transduction	0	0	0
-Environmental Adaptation	-Signal Transduction	0	0	0
Human Diseases	-Signal Transduction	0	0	0
-Cancers	-Signal Transduction	0	0	0
-Immune System Diseases	-Signal Transduction	0	0	0
-Neurodegenerative Diseases	-Signal Transduction	0	0	0
-Cardiovascular Diseases	-Signal Transduction	0	0	0
-Infectious Diseases	-Signal Transduction	0	0	0
Not Mapped	-Signal Transduction	30.46	30.53	34.88
-Not Mapped	-Signal Transduction	30.46	30.53	34.88
TOTAL	-Signaling Molecules and Interaction	99.25	202.6	129.6
MAPPED	-Signaling Molecules and Interaction	87.4	172.7	115.3
Genetic Information Processing	-Signaling Molecules and Interaction	45.77	52.57	50.51
-Transcription	-Signaling Molecules and Interaction	2.805	5.029	3.464
-Translation	-Signaling Molecules and Interaction	33.76	32.42	34.47
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	7.465	12.07	10.76
-DNA Maintenance	-Signaling Molecules and Interaction	1.739	3.058	1.813
Environmental Information Processing	-Signaling Molecules and Interaction	1.389	1.98	1.411
-Signal Transduction	-Signaling Molecules and Interaction	0.389	0.9797	0.4109
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	10.58	29.46	11.59
-Cell structure	-Signaling Molecules and Interaction	10.01	27.71	11.02
-Stress Response	-Signaling Molecules and Interaction	0.005694	0.8261	0.01021
-Vesicular Transport	-Signaling Molecules and Interaction	0.000234	0.01075	9.515e-05
-Cytoskeleton	-Signaling Molecules and Interaction	0.2034	0.4007	0.2491
-Cell Motility	-Signaling Molecules and Interaction	0.07968	0.1691	0.02519
-Cell Growth and Death	-Signaling Molecules and Interaction	0.2727	0.3389	0.289
-Cell Communication	-Signaling Molecules and Interaction	0	0	0
Metabolism	-Signaling Molecules and Interaction	29.66	88.73	51.75
-Membrane Transport	-Signaling Molecules and Interaction	5.719	17.2	9.589
-Central Carbon Metabolism	-Signaling Molecules and Interaction	9.172	24.36	11.48
-Energy Metabolism	-Signaling Molecules and Interaction	2.349	3.271	2.382
-Biosynthesis	-Signaling Molecules and Interaction	10.21	37.92	25.53
-Other Enzymes	-Signaling Molecules and Interaction	2.207	5.975	2.77
Organismal Systems	-Signaling Molecules and Interaction	0	0	0
-Immune System	-Signaling Molecules and Interaction	0	0	0
-Endocrine System	-Signaling Molecules and Interaction	0	0	0
-Circulatory System	-Signaling Molecules and Interaction	0	0	0
-Digestive System	-Signaling Molecules and Interaction	0	0	0
-Excretory System	-Signaling Molecules and Interaction	0	0	0
-Nervous System	-Signaling Molecules and Interaction	0	0	0
-Sensory System	-Signaling Molecules and Interaction	0	0	0
-Development	-Signaling Molecules and Interaction	0	0	0
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0	0
Human Diseases	-Signaling Molecules and Interaction	0	0	0
-Cancers	-Signaling Molecules and Interaction	0	0	0
-Immune System Diseases	-Signaling Molecules and Interaction	0	0	0
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0	0	0
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0	0	0
-Infectious Diseases	-Signaling Molecules and Interaction	0	0	0
Not Mapped	-Signaling Molecules and Interaction	11.85	29.91	14.33
-Not Mapped	-Signaling Molecules and Interaction	11.85	29.91	14.33
TOTAL	Cellular Processes	9.385	6.88	11.18
MAPPED	Cellular Processes	8.264	5.864	9.945
Genetic Information Processing	Cellular Processes	4.328	1.785	4.358
-Transcription	Cellular Processes	0.2653	0.1707	0.2989
-Translation	Cellular Processes	3.192	1.101	2.975
-Folding, Sorting and Degradation	Cellular Processes	0.7059	0.4097	0.9282
-DNA Maintenance	Cellular Processes	0.1644	0.1038	0.1564
Environmental Information Processing	Cellular Processes	0.1313	0.06721	0.1217
-Signal Transduction	Cellular Processes	0.03679	0.03326	0.03545
-Signaling Molecules and Interaction	Cellular Processes	0.09456	0.03395	0.08629
Cellular Processes	Cellular Processes	1	1	1
-Cell structure	Cellular Processes	0.9469	0.9407	0.9505
-Stress Response	Cellular Processes	0.0005384	0.02805	0.0008807
-Vesicular Transport	Cellular Processes	2.213e-05	0.000365	8.21e-06
-Cytoskeleton	Cellular Processes	0.01923	0.0136	0.0215
-Cell Motility	Cellular Processes	0.007535	0.005742	0.002174
-Cell Growth and Death	Cellular Processes	0.02579	0.01151	0.02493
-Cell Communication	Cellular Processes	0	0	0
Metabolism	Cellular Processes	2.805	3.012	4.465
-Membrane Transport	Cellular Processes	0.5408	0.584	0.8274
-Central Carbon Metabolism	Cellular Processes	0.8673	0.8269	0.9906
-Energy Metabolism	Cellular Processes	0.2221	0.111	0.2056
-Biosynthesis	Cellular Processes	0.9659	1.287	2.203
-Other Enzymes	Cellular Processes	0.2087	0.2028	0.239
Organismal Systems	Cellular Processes	0	0	0
-Immune System	Cellular Processes	0	0	0
-Endocrine System	Cellular Processes	0	0	0
-Circulatory System	Cellular Processes	0	0	0
-Digestive System	Cellular Processes	0	0	0
-Excretory System	Cellular Processes	0	0	0
-Nervous System	Cellular Processes	0	0	0
-Sensory System	Cellular Processes	0	0	0
-Development	Cellular Processes	0	0	0
-Environmental Adaptation	Cellular Processes	0	0	0
Human Diseases	Cellular Processes	0	0	0
-Cancers	Cellular Processes	0	0	0
-Immune System Diseases	Cellular Processes	0	0	0
-Neurodegenerative Diseases	Cellular Processes	0	0	0
-Cardiovascular Diseases	Cellular Processes	0	0	0
-Infectious Diseases	Cellular Processes	0	0	0
Not Mapped	Cellular Processes	1.121	1.015	1.237
-Not Mapped	Cellular Processes	1.121	1.015	1.237
TOTAL	-Cell structure	9.911	7.313	11.76
MAPPED	-Cell structure	8.728	6.234	10.46
Genetic Information Processing	-Cell structure	4.571	1.897	4.585
-Transcription	-Cell structure	0.2802	0.1815	0.3144
-Translation	-Cell structure	3.371	1.17	3.129
-Folding, Sorting and Degradation	-Cell structure	0.7455	0.4355	0.9765
-DNA Maintenance	-Cell structure	0.1737	0.1104	0.1646
Environmental Information Processing	-Cell structure	0.1387	0.07144	0.1281
-Signal Transduction	-Cell structure	0.03885	0.03535	0.0373
-Signaling Molecules and Interaction	-Cell structure	0.09987	0.03609	0.09078
Cellular Processes	-Cell structure	1.056	1.063	1.052
-Cell structure	-Cell structure	1	1	1
-Stress Response	-Cell structure	0.0005686	0.02981	0.0009266
-Vesicular Transport	-Cell structure	2.337e-05	0.000388	8.638e-06
-Cytoskeleton	-Cell structure	0.02031	0.01446	0.02262
-Cell Motility	-Cell structure	0.007957	0.006104	0.002287
-Cell Growth and Death	-Cell structure	0.02723	0.01223	0.02623
-Cell Communication	-Cell structure	0	0	0
Metabolism	-Cell structure	2.962	3.202	4.698
-Membrane Transport	-Cell structure	0.5711	0.6208	0.8705
-Central Carbon Metabolism	-Cell structure	0.916	0.879	1.042
-Energy Metabolism	-Cell structure	0.2346	0.118	0.2163
-Biosynthesis	-Cell structure	1.02	1.369	2.317
-Other Enzymes	-Cell structure	0.2204	0.2156	0.2515
Organismal Systems	-Cell structure	0	0	0
-Immune System	-Cell structure	0	0	0
-Endocrine System	-Cell structure	0	0	0
-Circulatory System	-Cell structure	0	0	0
-Digestive System	-Cell structure	0	0	0
-Excretory System	-Cell structure	0	0	0
-Nervous System	-Cell structure	0	0	0
