Category	eco Li complete	eco Li minimal	eco Li without methionine
--Osteoclast differentiation	0	0	0
-Environmental Adaptation	0	0	0
--Plant-pathogen interaction	0	0	0
Human Diseases	0	0	0
-Cancers	0	0	0
--Pathways in cancer	0	0	0
-Immune System Diseases	0	0	0
--Systemic lupus erythematosus	0	0	0
-Neurodegenerative Diseases	0	0	0
--Alzheimer's disease	0	0	0
--Parkinson's disease	0	0	0
--Amyotrophic lateral sclerosis (ALS)	0	0	0
--Huntington's disease	0	0	0
-Cardiovascular Diseases	0	0	0
--Hypertrophic cardiomyopathy (HCM)	0	0	0
--Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0
-Infectious Diseases	0	0	0
--Vibrio cholerae infection	0	0	0
--Tuberculosis	0	0	0
--Bacterial invasion of epithelial cells	0	0	0
--Measles	0	0	0
--Influenza A	0	0	0
--Hepatitis C	0	0	0
--Amoebiasis	0	0	0
--Malaria	0	0	0
Not Mapped	0.11939683	0.14759806	0.1106015
-Not Mapped	0.11939683	0.14759806	0.1106015
--Not mapped	0.11939683	0.14759806	0.1106015
