Category	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
--Translation factors	0.0055641621	0.0039244114	0.0056491573	0.0065597073	0.0041426352	0.0091128205	0.003102413	0.0088938879	0.012085558	0.0020995235	0.0031302104	0.0082409971	0.0084114434	0.006458409	0.0062114573	0.0060229174	0.0035465801	0.0043777324	0.0019314239	0.0051411246	0.0052588395	0.015014563	0.0080777601	0.0064168215	0.0061225514	0.011373533	0.0064935154	0.00442284
--tRNA loading	0.0018964668	0.00064192067	0.001863901	0.0014478778	0.002349162	0.0032937392	0.00050351401	0.0036030759	0.0042835602	0.00091355421	0.00027279685	0.0033324241	0.003239756	0.0016584142	0.00091561376	0.0020529574	0.001745323	0.00084680883	0.00095781162	0.0027022626	0.0026295447	0.0028805229	0.0039024278	0.0021620036	0.00080220608	0.0024790782	0.0011112905	0.0013753328
--RNA transport	0.012052692	0.0081551178	0.0078499277	0.007335418	0.0099014107	0.015386864	0.0044478963	0.016811496	0.033184806	0.0072327878	0.0032599728	0.016292145	0.018850984	0.010119234	0.0071901607	0.012553589	0.0094281722	0.0072348408	0.003136927	0.011276873	0.013124424	0.022561587	0.017415528	0.015083005	0.0092265535	0.020877351	0.012444945	0.009915059
--mRNA surveillance pathway	0.0015114455	0.0010120654	0.0023816161	0.0010451239	0.003297491	0.0018185333	0.00051130429	0.0013625413	0.0024038037	0.00062158589	0.0002318955	0.0015550034	0.0016167326	0.0011874417	0.00086124418	0.0006882568	0.0014221669	0.0011138686	0.0011795993	0.0025993843	0.0015406642	0.00077213673	0.0011521427	0.0016346931	0.00056457416	0.0025466662	0.00067937753	0.0012689029
--Ribosome biogenesis in eukaryotes	0.0015162674	0.0021499505	0.0019627381	0.0010398838	0.0025027069	0.0023065782	0.0004580349	0.0022419263	0.0070743605	0.0020515202	0.00044576302	0.0024597717	0.0028433208	0.0014943795	0.00099134034	0.0011163133	0.0021805736	0.0016869213	0.00035238427	0.0025033501	0.003560242	0.0014389271	0.0020758561	0.0030183448	0.0010512784	0.0049260229	0.0027960682	0.0012833729
--Ribosome biogenesis	0.00077356389	0.0007690097	0.00036197056	0.00018447671	0.00049873424	0.00080210658	6.2555753e-05	0.00070894273	0.0020100642	0.00041811166	7.5424024e-05	0.0005629457	0.00083628565	0.00042030892	0.000231867	0.00028773846	0.00047516899	0.00062104161	9.5707051e-05	0.00050014992	0.0014694388	0.0003092976	0.00064387847	0.0018278487	0.00016254525	0.0030519997	0.0020019326	0.0005512233
-Folding, Sorting and Degradation	0.16609996	0.11691859	0.096584168	0.065974632	0.10750507	0.12905542	0.032583054	0.13631761	0.17125472	0.049503775	0.036997685	0.12881167	0.13034818	0.090486182	0.1086254	0.093268678	0.095567166	0.12666838	0.027303509	0.10800843	0.15516995	0.18453069	0.14124844	0.11275775	0.10598757	0.1397988	0.12893979	0.11185676
--Protease inhibitors	0.0038997381	0.00059511687	0.0012189673	0.00032505446	0.00072439219	0.0049079011	0.00051081079	0.0035169341	0.00019111136	0.00046875386	0.00035714557	0.0066879499	0.0086919312	0.00069727063	0.000493658	0.00039307342	0.003583096	0.00052043254	0.00072478697	0.00052095645	0.0026340184	0.0040369167	0.0020964482	0.0048220994	0.0016951708	0.0038118009	0.0011222424	0.0013900797
--Chaperones and folding catalysts	0.081908527	0.065093781	0.039663383	0.027095271	0.04895983	0.047732914	0.014831927	0.049270539	0.076604343	0.019517763	0.01781008	0.042032186	0.039241627	0.039031117	0.058470925	0.034657345	0.03665571	0.076432345	0.013832124	0.051742554	0.056248618	0.07869858	0.049226016	0.041898306	0.060637923	0.055647114	0.057740183	0.032161765
--Protein export	0.0084252587	0.0024318952	0.0042589054	0.0046480633	0.0033137967	0.0071270709	0.0029103602	0.013818347	0.011360784	0.0027037196	0.0018720448	0.0064746799	0.0057027022	0.0039093889	0.0038939347	0.0067245318	0.010567943	0.0025661858	0.0020771722	0.0021404768	0.027885334	0.023438654	0.013938621	0.0066342355	0.0061748826	0.012797623	0.019859273	0.037625327
--Protein processing in endoplasmic reticulum	0.032646112	0.017217119	0.019150762	0.0094010699	0.019243941	0.039454948	0.0048374597	0.047837766	0.039183416	0.009960594	0.0047740538	0.039722511	0.039313305	0.017247875	0.017063845	0.025151617	0.022340186	0.017774251	0.0045105297	0.019289101	0.035733862	0.046044377	0.052766524	0.026276087	0.017691679	0.029240717	0.025537616	0.020278053
--SNARE interactions in vesicular transport	0.00089403	0.0026403821	0.0061400132	0.00042251839	0.0068947797	0.00097399755	0.00011735107	0.0011340469	0.0012597345	0.00095016221	0.00016054204	0.0010897447	0.0010445555	0.00081352976	0.00044502944	0.00046578384	0.00072296557	0.0032813445	5.4781237e-05	0.006253984	0.00068182905	0.00033842525	0.0008133591	0.0014156117	0.0004627286	0.00093994973	0.00052390959	0.00063293286
--SNAREs	5.9670408e-06	2.721304e-06	5.1319243e-05	2.3027303e-06	4.9868593e-05	1.2986145e-05	2.3153148e-07	3.9763052e-06	1.0016222e-05	9.1626302e-06	3.1574577e-07	5.3838377e-06	4.0528357e-06	5.0034512e-06	6.0637174e-06	4.2494014e-06	3.0163652e-05	2.9714426e-05	8.4853846e-07	0.00012091829	7.2273441e-06	3.939754e-07	7.2623106e-06	2.4173094e-06	2.9484506e-06	5.3866718e-06	1.4358904e-06	7.1590417e-06
--Ubiquitin mediated proteolysis	0.0029724137	0.0043989235	0.0033542677	0.0014111837	0.0040793524	0.0022844545	0.00092067921	0.0024212302	0.008373821	0.0015319347	0.0011071687	0.0022749612	0.0022428837	0.0022131798	0.0021038938	0.0015656266	0.0020697579	0.0035390198	0.0013292801	0.0048033614	0.0046011256	0.0019956237	0.0027178819	0.004107009	0.0026082723	0.0068086212	0.002380229	0.0027143538
--Ubiquitin labeling	0.0029716564	0.0077905783	0.0078852669	0.0015505095	0.0083716582	0.003165397	0.0012474557	0.0035461334	0.0066828863	0.0056798763	0.0011523425	0.0028391556	0.0033590034	0.0029203533	0.0016557813	0.0016134985	0.0025581075	0.0077317966	0.0005700638	0.0069050642	0.0041564196	0.010039661	0.0039838131	0.0042028126	0.0035057953	0.0037701107	0.0040239563	0.0019677263
--Sulfur relay system	0.00015458224	8.8334012e-05	0.00014066766	0.00017307438	0.00012925281	7.0149586e-05	6.1099586e-05	3.7270771e-05	2.2559128e-05	3.7053731e-05	3.2640321e-05	7.3806016e-05	6.222156e-05	0.00023156948	0.00019570891	8.1640096e-05	9.1552771e-05	4.8571407e-05	1.1813622e-05	8.8985257e-05	5.5440938e-05	0.00029699527	0.00028489452	0.00010766091	4.6678123e-05	5.7017615e-05	2.1301952e-05	4.6640233e-05
--Proteasome	0.0090529766	0.0088607898	0.0067320803	0.0066847644	0.0073536856	0.012886994	0.0026871525	0.0071180204	0.017754323	0.0050760064	0.002937011	0.015812817	0.018395315	0.007381727	0.0069585817	0.01008907	0.011735573	0.0067395786	0.0014791309	0.0078540059	0.010922054	0.0042073885	0.0072342392	0.016401544	0.0057381178	0.017221044	0.0095814517	0.0071753441
--Peptidases	0.0031391088	0.0018363576	0.0027515058	0.0016841897	0.0030656186	0.0033563847	0.00093391748	0.0033829052	0.0029783203	0.001405357	0.00089568658	0.0049308114	0.0059594686	0.0054394623	0.0061431081	0.0041957511	0.0023205134	0.0023247605	0.001670603	0.0037627507	0.0032750687	0.011947246	0.0039859601	0.0024818747	0.0017791149	0.0028857768	0.0029078033	0.0024137213
--RNA degradation	0.020029593	0.0059625894	0.0052370294	0.012576631	0.0053188937	0.0070822215	0.0035246091	0.0042304387	0.0068334049	0.0021633921	0.0058986537	0.0068676614	0.006331116	0.010595705	0.011194871	0.0083264913	0.0028915972	0.0056803765	0.0010423756	0.0045262744	0.008968949	0.0034864316	0.0041934163	0.0044080906	0.0056442545	0.0066136377	0.0052403917	0.0054436595
-DNA Maintenance	0.019564584	0.016331118	0.011457147	0.0090995954	0.014725516	0.020651907	0.0061489069	0.019274924	0.058998626	0.011044638	0.0044796379	0.027054942	0.030932654	0.01434689	0.016636282	0.013729077	0.018438961	0.018223119	0.0059403754	0.013647706	0.030047627	0.02409532	0.030222902	0.029763388	0.030962182	0.045653137	0.035454504	0.010233314
--DNA replication	0.00018799555	8.3394255e-05	7.0715929e-05	0.0001724062	9.4877957e-05	0.00052410634	5.6560377e-05	0.00031111119	0.0037836497	5.8777393e-05	0.00030406375	0.00045457894	0.00061782873	0.00027537922	0.0001031225	0.0001523569	0.00035309949	8.8315332e-05	4.448263e-05	0.00012364122	0.0004121615	0.00012570978	0.00017745824	0.00099579244	0.00030942747	0.0028538751	0.00051414753	0.00021336232
--DNA replication complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
--DNA replication control	2.5104694e-06	1.1931869e-05	9.2054728e-05	2.2518267e-06	2.6634254e-05	9.1574375e-06	1.12782e-05	2.3913597e-05	0.00012515194	7.9270902e-06	2.5468743e-07	2.9439358e-05	4.8676981e-05	7.1371662e-06	1.5955288e-05	8.8754668e-06	2.4610225e-06	1.362712e-05	2.1394934e-05	4.9838283e-05	4.0530652e-06	1.7721738e-06	3.4389084e-06	8.3794519e-06	4.8470898e-06	6.6658692e-05	1.8391936e-05	7.7875747e-06
--Chromosome-related	0.016168718	0.011448236	0.0082228317	0.007235974	0.010667641	0.017195301	0.0050862749	0.016045287	0.048386063	0.0091379903	0.0034527155	0.02359166	0.026817789	0.011066443	0.014327642	0.012007974	0.015230979	0.01400704	0.0050569576	0.01045646	0.024654467	0.022184046	0.025619563	0.023215048	0.028343688	0.035330387	0.026771197	0.007700555
--Base excision repair	0.0024568612	0.0019426743	0.0014061507	0.0013960896	0.0023822604	0.0021564914	0.00076871196	0.0022317802	0.0052685483	0.0014712412	0.00038526106	0.0024854317	0.002753099	0.002139105	0.0013338422	0.0010757312	0.0020544626	0.002341327	0.0005454012	0.0022363322	0.0038669791	0.001240861	0.0037629701	0.0045027989	0.0016603055	0.0062418446	0.0070636489	0.0015832792
--Nucleotide excision repair	0.00037325948	0.0011992619	0.00034248812	0.00012399185	0.00052298271	0.0003958223	9.7876429e-05	0.00029108608	0.00072603544	0.00019901455	0.00022393438	0.00027375395	0.00026912335	0.0004072521	0.0005096793	0.00022534355	0.0002723055	0.0010015609	0.00019095313	0.0004669141	0.0007246544	0.00044116547	0.0005784846	0.00057789939	0.00042010823	0.00073047794	0.00093299367	0.00025706923
--Mismatch repair	1.2252016e-06	3.6224122e-08	4.6494633e-06	2.0440168e-06	1.2185591e-05	2.1173629e-05	2.6093131e-07	5.6043269e-06	0.00018570104	3.3492116e-06	7.520009e-07	1.0114943e-05	1.2995623e-05	3.2391113e-06	7.1515146e-07	1.4328276e-06	3.922218e-06	1.4112182e-06	2.4832776e-06	1.3845611e-05	9.8261046e-05	9.8497417e-06	3.3242914e-05	4.8676945e-05	3.5613254e-06	0.00023983095	6.0196459e-05	0.00024487569
--Homologous recombination	1.5947508e-06	0	5.2388101e-07	1.3056344e-06	1.3461197e-06	5.9657139e-06	2.7350264e-06	6.986636e-06	2.484843e-05	0	4.2030403e-08	3.6362206e-06	6.984955e-06	7.1336126e-06	0	7.6139701e-07	1.6275174e-06	6.1690109e-07	2.7544604e-07	3.5259362e-06	2.0954387e-05	3.3492755e-06	1.1003561e-05	7.591198e-06	1.8423588e-05	1.0879764e-05	7.7689888e-07	1.9073818e-06
--Non-homologous end-joining	1.8653082e-05	4.5800986e-07	1.8198072e-06	7.0382867e-05	3.7492577e-06	3.8449886e-05	4.5758902e-06	3.3418326e-05	7.0190099e-05	5.9468003e-06	1.3328742e-06	1.0924456e-05	1.6477571e-05	3.1615861e-05	1.2369707e-05	2.4049529e-05	1.1454639e-05	2.4005372e-06	5.2893214e-07	3.8843648e-06	8.3541515e-05	8.2903593e-06	1.9966206e-05	1.9925103e-05	9.5932982e-06	2.1870919e-05	1.7294092e-05	0.00011198136
--DNA repair and recombination proteins	0.00035376582	0.0016451254	0.0013159127	9.5149399e-05	0.0010138391	0.00030543939	0.0001206332	0.00032573649	0.00042843801	0.00016039161	0.00011128163	0.00019540294	0.00038967866	0.00040958529	0.00033295584	0.0002325522	0.00050864928	0.00076682013	7.7898211e-05	0.00029326412	0.00018255491	8.0276502e-05	1.6774349e-05	0.00038727688	0.00019222796	0.0001573125	7.5857561e-05	0.00011249621
Environmental Information Processing	0.055932228	0.055153365	0.051181849	0.032395585	0.055295112	0.051357823	0.039239067	0.04042363	0.042051804	0.035975163	0.043369878	0.060198073	0.064793948	0.041525928	0.033964987	0.023151852	0.053569205	0.05324185	0.023199356	0.06721031	0.044244373	0.02294056	0.033445264	0.048572108	0.046574232	0.0562309	0.035154602	0.03754584
-Signal Transduction	0.025640146	0.051736427	0.044441047	0.027197715	0.04562107	0.032619354	0.037231887	0.026977723	0.033251644	0.031480654	0.04009985	0.035109329	0.038365725	0.032567642	0.027707538	0.018334825	0.032339411	0.047818921	0.018904165	0.058955489	0.029839503	0.014914834	0.028158741	0.035389307	0.028723434	0.044359781	0.023107413	0.02626129
--Ras signaling pathway	0.0022264891	0.0054109891	0.0058181472	0.0012688679	0.0070232963	0.0018434201	0.00041830802	0.0019695446	0.0013688246	0.0067590344	0.00089855606	0.0029931508	0.0026568977	0.0023044254	0.0019076366	0.00099498885	0.002950042	0.010010353	0.00032090338	0.0062985703	0.0013012842	0.00097533694	0.0016127389	0.0017499097	0.0011240576	0.0014144662	0.0009341246	0.0017053345
--Rap1 signaling pathway	0.0036233229	0.0043908209	0.0053489704	0.0019832155	0.0058807354	0.0085033828	0.0012525133	0.0057367387	0.008690953	0.0030102993	0.0012867524	0.0088331631	0.011066247	0.004001514	0.002994222	0.0035245518	0.010668161	0.0045547371	0.00092485267	0.008123578	0.0089087478	0.0029327479	0.0043403549	0.01588686	0.0056142573	0.019232003	0.0074871583	0.0057603222
--Hippo signaling pathway	6.5956394e-05	0.0001641775	0.00019539101	6.3029155e-05	0.0003496228	0.00064081906	1.2783807e-05	0.00039563728	0.00020396142	8.3903505e-05	3.7497368e-05	0.00062524865	0.00059755663	0.00026281079	0.00021659225	0.00017217542	0.00028447474	0.00016851796	1.6151917e-05	0.00036230004	0.00011065606	7.813844e-05	0.00032713572	5.1423224e-05	9.1190218e-05	5.0072603e-05	0.00010320018	9.0893056e-05
--NF-kappa B signaling pathway	4.3733074e-05	6.5183509e-06	4.8944308e-05	2.2582283e-05	2.8027486e-05	0.00010533067	3.404107e-06	5.2284404e-05	2.988667e-05	1.2849371e-05	6.6956911e-07	0.00011525745	0.000133841	5.4106722e-05	1.5278417e-05	5.8245102e-05	0.00011859278	2.9985905e-05	4.6722357e-06	2.6494795e-05	7.8854913e-05	1.0514995e-05	2.9083218e-05	0.00020222113	3.1168911e-05	8.9517318e-05	4.3576132e-05	0.00023836747
--TNF signaling pathway	9.8263885e-06	8.3293882e-06	5.538994e-06	1.4805136e-06	9.1957075e-06	3.8290643e-06	1.1274603e-05	0	7.5432692e-06	2.0243735e-06	0	2.9344232e-06	2.0413761e-05	7.1554173e-07	4.8404914e-06	7.2244673e-06	6.7719882e-06	7.5018486e-06	5.6387883e-07	2.7363756e-05	3.065302e-05	3.6867057e-06	0	5.7456201e-05	1.0135045e-05	2.3833903e-05	9.8797726e-06	1.1095043e-05
--HIF-1 signaling pathway	0.0012127945	0.0038182846	0.0015326423	0.00090147208	0.00091551733	0.00090722021	0.00035107442	0.00090732595	0.0017625467	0.0012987778	0.0013505193	0.00094154105	0.0014411373	0.00092386658	0.00069439517	0.0005051647	0.00089033858	0.0015998093	0.00065772085	0.0010144964	0.00064573448	0.00055253313	0.00063721761	0.00025913033	0.0009564571	0.0020950054	0.00064967386	0.00040034479
--PI3K-Akt signaling pathway	0.00060817171	0.00034465164	0.00050489179	0.00064462237	0.00080673683	0.00044124724	0.00044890601	0.0014073873	0.00088921021	0.00032239997	0.00015504767	0.0003567198	0.00035997889	0.00056856172	0.00027606243	0.00018354283	0.0010416476	0.00032474112	0.00010176027	0.00043559433	0.0012315113	0.00016848883	0.00052838783	0.00094824949	0.00062790043	0.001053736	0.00064278388	0.0013357136
--FoxO signaling pathway	0.0060197716	0.011254608	0.0074583645	0.0094150568	0.0060059749	0.0028870079	0.0074326122	0.0022369964	0.0039395171	0.0037308373	0.011159253	0.0030323763	0.0021178549	0.0096210764	0.011536864	0.0047146149	0.0031985147	0.010339509	0.0013414984	0.0079058212	0.0032289151	0.0034219605	0.0081935114	0.0021107384	0.0050468448	0.0031404397	0.001863485	0.0031681495
--Two-component system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
--MAPK signaling pathway	0.0033947378	0.014132388	0.0084377013	0.0025750714	0.010107116	0.0056168101	0.0022891221	0.0072020365	0.0082779097	0.0076570839	0.0023953927	0.0059205668	0.0066325582	0.0034299112	0.0022890511	0.0015769745	0.0075628324	0.010056996	0.0015375697	0.012763949	0.0057888263	0.0015955834	0.0036755264	0.007617786	0.0076683001	0.0095275144	0.0055272511	0.0032126362
--ErbB signaling pathway	0.0001241343	0.001237271	0.00089589129	9.2516907e-05	0.0017881037	0.00017617044	3.0753962e-05	0.00015485746	0.00032053897	0.00011002567	1.8427374e-05	0.00012986704	0.00024792949	0.0001188142	5.7165528e-05	5.536092e-05	0.00024157415	0.00066971099	0.00085196532	0.0033988193	0.00023775821	3.6461077e-05	4.6579785e-05	0.00017851053	0.00017655625	0.000315364	0.00015838316	0.00013334039
--Wnt signaling pathway	0.00091340025	0.00082611665	0.00055893602	0.00022675871	0.00069517976	0.00049861558	6.3932067e-05	0.00038771442	0.001441216	0.00023808538	0.00011580277	0.00073388546	0.00079516462	0.00029988969	0.0002304864	0.00025232705	0.00037527653	0.00040141579	2.9874845e-05	0.00050222024	0.00074280803	0.00032512618	0.00021994836	0.00074230897	0.0005206702	0.0011589912	0.00082668961	0.00026690801
--Notch signaling pathway	4.186005e-05	6.1285347e-06	9.1680214e-06	6.219221e-05	1.5816542e-05	6.831704e-05	7.5425422e-06	1.2734057e-05	2.915894e-05	0.00013377609	3.6214e-07	9.6872243e-05	0.00015883149	6.2269428e-06	2.6563264e-05	3.9441491e-05	4.4489912e-05	3.0899464e-05	1.7421401e-06	4.2887493e-05	3.1785414e-05	2.1086968e-06	1.1349732e-05	2.2491208e-05	5.1418157e-06	2.330503e-05	1.5730821e-05	6.4365874e-05
--Hedgehog signaling pathway	1.5301211e-06	2.1838538e-06	2.9409436e-06	8.1972133e-07	1.4446214e-06	8.1093573e-07	1.5740764e-06	1.1068019e-05	2.9105762e-06	2.6123536e-06	3.3145493e-06	7.1392472e-06	1.0028977e-05	0.00018165303	5.2007471e-05	1.3672517e-06	1.1767173e-06	1.6963166e-06	1.4863362e-06	6.2742608e-06	6.3406115e-07	9.7700558e-07	1.9717874e-06	7.9120093e-07	5.8574535e-07	2.0108903e-06	8.7397353e-07	1.2369802e-06
--TGF-beta signaling pathway	0.00047564241	1.5353839e-05	3.1162255e-05	0.00093264387	3.302824e-05	0.00018568638	0.0010427736	0.00080459666	7.0208357e-05	0.00092265845	7.5360498e-05	3.2019072e-05	4.2422733e-05	7.4735167e-05	0.00010016951	3.9517659e-05	0.0010547633	3.2088774e-05	0.00018500758	9.5824977e-06	0.0010747283	0.00020105793	0.00050532976	0.00052313318	0.0016900543	0.00080628697	0.001102017	0.0033789503
--VEGF signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
--Jak-STAT signaling pathway	1.3752695e-06	0	0	7.6794503e-07	2.2431882e-07	4.4420664e-06	2.0603658e-07	3.3990908e-06	3.1662417e-07	0	3.9470549e-08	1.3977027e-05	2.1300813e-05	1.7928632e-06	8.7091375e-07	8.2183378e-07	3.694677e-06	0	4.0737445e-08	0	0	1.7724985e-08	1.6336684e-07	2.9586786e-07	0	3.0531191e-07	4.5783804e-08	2.589584e-08
--Calcium signaling pathway	0.0067267204	0.0092528283	0.013143951	0.0089153	0.011219716	0.010217825	0.023781517	0.0054960034	0.0057953546	0.0070279118	0.022489928	0.010773919	0.011362737	0.010433312	0.0070586698	0.0061026153	0.0033002823	0.0089592076	0.012907364	0.017156544	0.0061285842	0.0043295051	0.0073810702	0.0046563887	0.0049079305	0.0050614138	0.0034488312	0.0063076532
--Phosphatidylinositol signaling system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
--mTOR signaling pathway	0.00015067963	0.00086577739	0.00044840564	9.1317214e-05	0.00074133485	0.00051841977	8.3588482e-05	0.00019939905	0.00042158739	0.00016837397	0.000112926	0.00050069158	0.00070082555	0.00028422963	0.00024666248	0.00010589061	0.00059677789	0.00063174994	2.0990829e-05	0.00088099288	0.00029802172	0.00028058915	0.00064837225	0.00038161255	0.00025218399	0.00036551571	0.00029370812	0.00018595299
--Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Signaling Molecules and Interaction	0.030292083	0.0034169383	0.0067408019	0.0051978705	0.0096740419	0.018738469	0.0020071805	0.013445907	0.0088001598	0.0044945093	0.0032700279	0.025088744	0.026428222	0.0089582856	0.0062574495	0.0048170277	0.021229795	0.0054229295	0.0042951915	0.0082548214	0.01440487	0.008025726	0.0052865225	0.013182801	0.017850798	0.011871118	0.01204719	0.01128455
--Signaling molecules	0.015503794	0.00016025242	4.2909296e-05	9.7514629e-06	4.7584946e-05	0.00070354841	3.6460239e-06	0.00016468399	2.9898138e-05	2.7623989e-05	5.2237274e-06	0.00010870882	8.6475648e-05	4.6339289e-06	4.8988909e-06	9.7435494e-06	2.781718e-06	0.00018492493	2.6223073e-05	0.00017195767	2.7419786e-05	0.00014766131	6.2322705e-05	2.8197486e-05	0.00030018141	2.2210748e-05	5.6777302e-05	6.4185087e-06
--Insulin secretion	0	0	0	0	0	0	0	0	0	0	0	4.2458893e-05	0	2.6201148e-06	1.0047298e-06	2.6869277e-05	0	0	0	0	0	0	0	0	0	0	0	0
--Steroid hormone biosynthesis	0.0095131594	3.4831455e-05	2.0348654e-05	0.00010726088	3.5162744e-05	0.00025024782	1.1719633e-05	0.00014549115	6.5370462e-06	1.0268663e-05	2.3559866e-05	0.0022564532	0.0013812305	0.00052474327	0.00056036017	0.0020515363	0.00016961341	7.4337526e-06	2.4193167e-05	7.5614585e-05	0.0039249527	1.9287691e-05	1.0568744e-05	7.8018701e-05	2.1418519e-05	4.679376e-05	3.4170878e-05	0.00014831396
