Category	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
--Bacterial motility proteins	0	0	0	0
-Cell Growth and Death	0.015520648	0.016915035	0.016532057	0.017432191
--Cell cycle	0.014664666	0.016005273	0.015646746	0.01647608
--Meiosis	0	0	0	0
--Oocyte meiosis	2.4448768e-05	2.818858e-05	2.4783836e-05	1.4099931e-05
--Apoptosis	0.00072595235	0.00078569287	0.00076653475	0.0008560904
--p53 signaling pathway	0.00010558028	9.5880961e-05	9.399221e-05	8.5920609e-05
-Cell Communication	0.0066591108	0.0084389293	0.0060118124	0.0082301054
--Focal adhesion	0.0050721881	0.0070897833	0.0041362936	0.006833207
--Adherens junction	0.00038189053	0.00038270903	0.00048784873	0.00038309519
--Tight junction	0.0012050322	0.00096643696	0.0013876701	0.0010138032
--Gap junction	0	0	0	0
Metabolism	0.10023996	0.10412986	0.096876483	0.099016127
-Membrane Transport	1.1343572e-05	2.6548451e-05	8.8776485e-06	6.6429686e-05
--Transport	0	0	0	0
--Secretion system	1.1343572e-05	2.6548451e-05	8.8776485e-06	6.6429686e-05
-Central Carbon Metabolism	0.06098487	0.068414317	0.057993017	0.063941745
--Glycolysis	0.050109725	0.056642771	0.048959626	0.052326835
--TCA cycle and anaplerotic enzymes	0.0027187208	0.0031579463	0.0024418706	0.0031826142
--Pentose phosphate metabolism	0.004291259	0.0053243208	0.0028041825	0.0048979891
--Carbohydrate metabolism	0.002528752	0.0017370196	0.0027364018	0.0018897898
--Pyruvate metabolism	0	0	0	0
--Butanoate metabolism	0.0005089044	0.0005284885	0.0005089497	0.00055665842
--C5-Branched dibasic acid metabolism	0	0	0	0
--Other central metabolism enzymes	0.00082750907	0.0010237706	0.00054198612	0.0010878579
-Energy Metabolism	0.017541454	0.012982375	0.02011326	0.012637718
--Oxidative phosphorylation	0.012692281	0.010097975	0.014045343	0.0099592918
--Photosynthesis	0	0	0	0
--Photosynthesis - antenna proteins	0	0	0	0
--Carbon fixation in photosynthetic organisms	0	0	0	0
--Carbon fixation pathways in prokaryotes	0	0	0	0
--Methane metabolism	0.0048491727	0.0028844008	0.0060679168	0.002678426
-Biosynthesis	0.015979489	0.016703791	0.0144049	0.016280447
--Lipid and steroid metabolism	0.001835697	0.0019818062	0.0018289564	0.002018178
--Purine metabolism	0.0050406967	0.0043750947	0.0057648458	0.0041529575
--Pyrimidine metabolism	0.0016391982	0.0017642837	0.0010434497	0.0012784446
--Amino acid metabolism	0.0031641373	0.0035377867	0.0025009316	0.0033934182
--Glycan metabolism	0.00072075751	0.0010313243	0.00028432617	0.0015891015
--Cofactor biosynthesis	0.0035790022	0.0040134953	0.0029823901	0.0038483471
--Biosynthesis of other secondary metabolites	0	0	0	0
-Other Enzymes	0.0057228007	0.0060028313	0.0043564287	0.0060897884
--Other enzymes	0.0054583925	0.0056888865	0.0041394083	0.0057417494
--Protein kinases	0.00026440828	0.00031394476	0.0002170204	0.00034803896
--Cytochrome P450	0	0	0	0
Organismal Systems	0.0086210983	0.0085359027	0.0098033443	0.0093669922
-Immune System	0.0011830232	0.0016055602	0.0010789381	0.0018403242
--Response to viral infection	0	0	0	0
--Complement and coagulation cascades	1.2925744e-05	3.3960783e-06	2.0148319e-05	1.8544176e-06
--Toll-like receptor signaling pathway	1.464045e-05	1.3381288e-05	1.4618239e-05	1.5248191e-05
--NOD-like receptor signaling pathway	0.0002090532	0.0002551782	0.00023124574	0.00028978025
--RIG-I-like receptor signaling pathway	0	0	0	0
--Cytosolic DNA-sensing pathway	0	0	0	0
--Natural killer cell mediated cytotoxicity	1.2124634e-05	6.2523881e-06	2.6110489e-05	2.3587856e-08
--Antigen processing and presentation	0.00011093248	0.00016962932	0.00011117492	0.00020171523
--T cell receptor signaling pathway	1.6104337e-05	2.5613578e-05	1.7334299e-05	5.5339441e-05
--B cell receptor signaling pathway	0	0	0	0
--Fc gamma R-mediated phagocytosis	0.00078931942	0.0010955195	0.0006332951	0.0012545049
--Leukocyte transendothelial migration	0	0	0	0
--Intestinal immune network for IgA production	0	0	0	0
--Chemokine signaling pathway	1.7922919e-05	3.6589858e-05	2.5010944e-05	2.1858253e-05
-Endocrine System	0.0008479259	0.00088147639	0.00098180196	0.001047706
--Insulin signaling pathway	3.0743895e-05	3.8553842e-05	2.9242235e-05	7.5239435e-05
--Adipocytokine signaling pathway	0	0	0	0
--PPAR signaling pathway	0.000817182	0.00084292255	0.00095255972	0.00097246655
--Renin-angiotensin system	0	0	0	0
-Circulatory System	0.00393642	0.0033336271	0.0049216002	0.0035764922
--Hemoglobin	2.0717824e-05	1.2688377e-06	2.476014e-05	3.7878896e-07
--Cardiac muscle contraction	7.1118899e-05	6.4178855e-05	6.7074044e-05	6.8470324e-05
--Vascular smooth muscle contraction	0.0038445833	0.0032681794	0.004829766	0.003507643
-Digestive System	1.8146662e-05	1.8533132e-05	2.2962046e-05	3.3738063e-05
--Salivary secretion	1.0463532e-05	1.3915016e-05	1.1779183e-05	3.3714475e-05
--Pancreatic secretion	0	0	0	0
--Bile secretion	0	0	0	0
--Protein digestion and absorption	7.68313e-06	4.6181154e-06	1.1182862e-05	2.3587856e-08
--Fat digestion and absorption	0	0	0	0
--Vitamin digestion and absorption	0	0	0	0
--Mineral absorption	0	0	0	0
-Excretory System	0.0018835416	0.0017347469	0.0021504457	0.0018520082
--Vasopressin-regulated water reabsorption	0.0018493088	0.0017053559	0.002111405	0.0018265761
--Aldosterone-regulated sodium reabsorption	3.4232839e-05	2.9390953e-05	3.9040716e-05	2.5432056e-05
--Endocrine and other factor-regulated calcium reabsorption	0	0	0	0
--Proximal tubule bicarbonate reclamation	0	0	0	0
--Collecting duct acid secretion	0	0	0	0
-Nervous System	2.4966296e-05	3.1484092e-05	2.3682443e-05	2.6422895e-05
--Synaptic vesicle cycle	0	0	0	0
--GABAergic synapse	2.8082547e-06	6.6087365e-06	3.9188426e-06	7.3774702e-06
--Glutamatergic synapse	1.0905874e-05	1.410244e-05	1.402596e-05	1.072887e-05
--Long-term potentiation	0	0	0	0
--Neurotrophin signaling pathway	1.1252167e-05	1.0772916e-05	5.7376406e-06	8.3165558e-06
-Sensory System	0	0	0	0
--Phototransduction	0	0	0	0
--Olfactory transduction	0	0	0	0
-Development	0.00072707454	0.00093047488	0.00062391391	0.00099030071
--Axon guidance	0.00044674389	0.00063138596	0.00035651663	0.0006385386
--Osteoclast differentiation	0.00028033065	0.00029908892	0.00026739728	0.00035176211
-Environmental Adaptation	0	0	0	0
--Circadian rhythm	0	0	0	0
--Plant-pathogen interaction	0	0	0	0
Human Diseases	0.0010515867	0.0011331639	0.0010781629	0.001503203
-Cancers	0.00041826112	0.00043291262	0.00049440199	0.00074856363
--Proteoglycans in cancer	0	0	0	0
--MicroRNAs in cancer	0	0	0	0
--Transcriptional misregulation in cancer	0	0	0	0
--Viral carcinogenesis	2.2654285e-05	2.4720898e-05	2.1541512e-05	2.4902802e-05
--Pathways in cancer	0.00039560683	0.00040819172	0.00047286048	0.00072366082
--Non-small cell lung cancer	0	0	0	0
-Immune System Diseases	0.00041899145	0.00046999897	0.000370223	0.00057036644
--Systemic lupus erythematosus	0.00040555452	0.00046531146	0.00037019879	0.00056762439
--Primary immunodeficiency	1.3436935e-05	4.687509e-06	2.421189e-08	2.7420525e-06
-Neurodegenerative Diseases	5.4718806e-05	8.4586219e-05	6.7505141e-05	9.2215788e-05
--Alzheimer's disease	0	0	0	0
--Parkinson's disease	0	0	0	0
--Amyotrophic lateral sclerosis (ALS)	4.7167966e-05	6.7111604e-05	4.9415024e-05	8.0213195e-05
--Huntington's disease	7.5508394e-06	1.7474615e-05	1.8090117e-05	1.2002593e-05
-Cardiovascular Diseases	0	0	0	0
--Hypertrophic cardiomyopathy (HCM)	0	0	0	0
--Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0	0
-Infectious Diseases	0.00015961536	0.00014566606	0.00014603274	9.2057189e-05
--HTLV-I infection	0	0	0	0
--Epstein-Barr virus infection	0	0	0	0
--Legionellosis	0	0	0	0
--Herpes simplex infection	0	0	0	0
--Salmonella infection	0	0	0	0
--Vibrio cholerae infection	0	0	0	0
--Tuberculosis	0	0	0	0
--Bacterial invasion of epithelial cells	6.0302529e-05	5.5052153e-05	5.6613241e-05	4.329043e-05
--Measles	9.9312833e-05	9.0613904e-05	8.9419502e-05	4.8766759e-05
--Influenza A	0	0	0	0
--Hepatitis C	0	0	0	0
Not Mapped	0.17014933	0.17383644	0.17301567	0.17906207
-Not Mapped	0.17014933	0.17383644	0.17301567	0.17906207
--Not mapped	0.17014933	0.17383644	0.17301567	0.17906207
