Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
-Not Mapped	MAPPED	0.1497	0.1464	0.1565	0.1552
TOTAL	Genetic Information Processing	4.239	3.634	4.793	3.299
MAPPED	Genetic Information Processing	3.687	3.17	4.144	2.855
Genetic Information Processing	Genetic Information Processing	1	1	1	1
-Transcription	Genetic Information Processing	0.05012	0.05177	0.04579	0.04786
-Translation	Genetic Information Processing	0.1832	0.1854	0.1872	0.188
-Folding, Sorting and Degradation	Genetic Information Processing	0.4882	0.4532	0.5385	0.4419
-DNA Maintenance	Genetic Information Processing	0.09003	0.08623	0.09341	0.0866
-RNA Family	Genetic Information Processing	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.2555	0.2952	0.2134	0.2557
-Signal Transduction	Genetic Information Processing	0.01898	0.01702	0.02097	0.01549
-Signaling Molecules and Interaction	Genetic Information Processing	0.2365	0.2776	0.1896	0.2439
Cellular Processes	Genetic Information Processing	1.574	1.114	1.851	0.8823
-Crystallins	Genetic Information Processing	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.05432	0.03833	0.07083	0.03676
-Cytoskeleton	Genetic Information Processing	1.392	0.9383	1.662	0.726
-Cell Motility	Genetic Information Processing	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.0371	0.03394	0.04363	0.03183
-Cell Communication	Genetic Information Processing	0.1496	0.1747	0.1163	0.1434
Metabolism	Genetic Information Processing	0.4387	0.4113	0.4823	0.3485
-Membrane Transport	Genetic Information Processing	0.0004773	0.0004136	0.0003891	0.0003822
-Central Carbon Metabolism	Genetic Information Processing	0.08844	0.08785	0.09136	0.08197
-Energy Metabolism	Genetic Information Processing	0.02888	0.02511	0.03178	0.02374
-Biosynthesis	Genetic Information Processing	0.06461	0.05454	0.062	0.04675
-Other Enzymes	Genetic Information Processing	0.1894	0.1737	0.195	0.1505
Organismal Systems	Genetic Information Processing	0.1525	0.1376	0.1759	0.1267
-Immune System	Genetic Information Processing	0.05183	0.04981	0.05434	0.04943
-Endocrine System	Genetic Information Processing	0.009029	0.006642	0.01049	0.006456
-Circulatory System	Genetic Information Processing	0.05489	0.04255	0.06909	0.04357
-Digestive System	Genetic Information Processing	0.001788	0.001629	0.001578	0.001468
-Excretory System	Genetic Information Processing	0.008058	0.005686	0.007555	0.004987
-Nervous System	Genetic Information Processing	0.004017	0.004223	0.002506	0.003601
-Sensory System	Genetic Information Processing	0	0	0	0
-Development	Genetic Information Processing	0.004551	0.005237	0.004304	0.00529
-Environmental Adaptation	Genetic Information Processing	0.0004296	0.0003214	0.0004018	0.0002693
Human Diseases	Genetic Information Processing	0.3629	0.3253	0.4062	0.3041
-Cancers	Genetic Information Processing	0.01279	0.01291	0.01531	0.01391
-Immune System Diseases	Genetic Information Processing	0.009729	0.009479	0.008841	0.009029
-Neurodegenerative Diseases	Genetic Information Processing	0.09785	0.05991	0.1115	0.05082
-Cardiovascular Diseases	Genetic Information Processing	0.1106	0.1087	0.1014	0.09837
-Metabolic Diseases	Genetic Information Processing	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0.08288	0.06923	0.09474	0.06892
Not Mapped	Genetic Information Processing	0.5519	0.4642	0.6485	0.4431
-Not Mapped	Genetic Information Processing	0.5519	0.4642	0.6485	0.4431
TOTAL	-Transcription	83.43	68.75	104	67.49
MAPPED	-Transcription	72.57	59.97	89.89	58.42
Genetic Information Processing	-Transcription	15.51	14.07	18.59	14.56
-Transcription	-Transcription	1	1	1	1
-Translation	-Transcription	3.51	3.403	3.82	3.613
-Folding, Sorting and Degradation	-Transcription	9.248	8.331	11.18	8.491
-DNA Maintenance	-Transcription	1.162	1.025	1.375	1.053
-RNA Family	-Transcription	0	0	0	0
Environmental Information Processing	-Transcription	5.256	5.883	4.821	5.355
-Signal Transduction	-Transcription	0.2715	0.2271	0.3581	0.2349
-Signaling Molecules and Interaction	-Transcription	4.865	5.533	4.284	5.003
Cellular Processes	-Transcription	29.63	18.43	40.33	15.95
-Crystallins	-Transcription	0	0	0	0
-Stress Response	-Transcription	0	0	0	0
-Vesicular Transport	-Transcription	0.9114	0.5908	1.381	0.6041
-Cytoskeleton	-Transcription	25.26	14	35.74	11.37
-Cell Motility	-Transcription	0	0	0	0
-Cell Growth and Death	-Transcription	0.7274	0.632	0.9928	0.6426
-Cell Communication	-Transcription	2.494	2.586	2.28	2.274
Metabolism	-Transcription	7.577	6.65	9.154	6.308
-Membrane Transport	-Transcription	0.00671	0.006594	0.007976	0.007044
-Central Carbon Metabolism	-Transcription	1.912	1.801	2.217	1.723
-Energy Metabolism	-Transcription	0.3923	0.406	0.5412	0.4127
-Biosynthesis	-Transcription	1.167	0.9357	1.321	0.9034
-Other Enzymes	-Transcription	3.398	3.096	4.309	2.763
Organismal Systems	-Transcription	2.876	2.601	3.64	2.573
-Immune System	-Transcription	0.9681	0.784	1.228	0.8414
-Endocrine System	-Transcription	0.1858	0.1324	0.241	0.1418
-Circulatory System	-Transcription	0.887	0.6297	1.303	0.6695
-Digestive System	-Transcription	0.02347	0.01939	0.02479	0.01824
-Excretory System	-Transcription	0.1058	0.07489	0.1187	0.06773
-Nervous System	-Transcription	0.06357	0.05941	0.0519	0.05892
-Sensory System	-Transcription	0	0	0	0
-Development	-Transcription	0.06512	0.06897	0.06922	0.07184
-Environmental Adaptation	-Transcription	0.00567	0.003828	0.006411	0.003361
Human Diseases	-Transcription	6.942	5.863	8.07	5.686
-Cancers	-Transcription	0.2059	0.1844	0.2776	0.2012
-Immune System Diseases	-Transcription	0.2029	0.1926	0.2031	0.1943
-Neurodegenerative Diseases	-Transcription	1.284	0.7132	1.751	0.6315
-Cardiovascular Diseases	-Transcription	2.145	2.055	2.095	1.826
-Metabolic Diseases	-Transcription	0	0	0	0
-Infectious Diseases	-Transcription	1.37	1.219	1.86	1.218
Not Mapped	-Transcription	10.86	8.782	14.07	9.067
-Not Mapped	-Transcription	10.86	8.782	14.07	9.067
TOTAL	-Translation	23.85	20.12	27.07	18.35
MAPPED	-Translation	20.75	17.55	23.41	15.89
Genetic Information Processing	-Translation	4.316	4.077	4.588	4.026
-Transcription	-Translation	0.2809	0.2911	0.2558	0.2767
-Translation	-Translation	1	1	1	1
-Folding, Sorting and Degradation	-Translation	2.569	2.417	2.761	2.35
-DNA Maintenance	-Translation	0.3362	0.3027	0.367	0.2914
-RNA Family	-Translation	0	0	0	0
Environmental Information Processing	-Translation	1.525	1.743	1.274	1.482
-Signal Transduction	-Translation	0.07569	0.06602	0.09043	0.0656
-Signaling Molecules and Interaction	-Translation	1.411	1.64	1.132	1.385
Cellular Processes	-Translation	8.424	5.432	10.65	4.346
-Crystallins	-Translation	0	0	0	0
-Stress Response	-Translation	0	0	0	0
-Vesicular Transport	-Translation	0.2637	0.1783	0.3561	0.1674
-Cytoskeleton	-Translation	7.195	4.115	9.341	3.205
-Cell Motility	-Translation	0	0	0	0
-Cell Growth and Death	-Translation	0.2099	0.1865	0.2583	0.1779
-Cell Communication	-Translation	0.7135	0.7509	0.6087	0.6429
Metabolism	-Translation	2.148	1.954	2.302	1.79
-Membrane Transport	-Translation	0.001942	0.001948	0.002129	0.00195
-Central Carbon Metabolism	-Translation	0.5447	0.5291	0.5805	0.4891
-Energy Metabolism	-Translation	0.1103	0.1195	0.1369	0.1125
-Biosynthesis	-Translation	0.3278	0.2754	0.3458	0.2482
-Other Enzymes	-Translation	0.9441	0.8982	1.064	0.766
Organismal Systems	-Translation	0.8247	0.7538	0.9595	0.7283
-Immune System	-Translation	0.2808	0.2323	0.3243	0.2328
-Endocrine System	-Translation	0.05389	0.03923	0.06353	0.03925
-Circulatory System	-Translation	0.2527	0.186	0.3363	0.1853
-Digestive System	-Translation	0.006592	0.005645	0.006491	0.005096
-Excretory System	-Translation	0.03062	0.02113	0.0301	0.01768
-Nervous System	-Translation	0.01739	0.01713	0.01368	0.01646
-Sensory System	-Translation	0	0	0	0
-Development	-Translation	0.01883	0.02017	0.01828	0.01978
-Environmental Adaptation	-Translation	0.001584	0.001114	0.001597	0.0009349
Human Diseases	-Translation	2.014	1.726	2.128	1.614
-Cancers	-Translation	0.06131	0.05509	0.07538	0.05857
-Immune System Diseases	-Translation	0.05875	0.05668	0.05353	0.0573
-Neurodegenerative Diseases	-Translation	0.3607	0.2076	0.4431	0.1764
-Cardiovascular Diseases	-Translation	0.5971	0.5862	0.5311	0.5101
-Metabolic Diseases	-Translation	0	0	0	0
-Infectious Diseases	-Translation	0.3966	0.3588	0.5051	0.3354
Not Mapped	-Translation	3.105	2.57	3.664	2.466
-Not Mapped	-Translation	3.105	2.57	3.664	2.466
TOTAL	-Folding, Sorting and Degradation	8.874	8.097	9.216	7.811
MAPPED	-Folding, Sorting and Degradation	7.719	7.063	7.969	6.761
Genetic Information Processing	-Folding, Sorting and Degradation	1.771	1.836	1.712	1.873
-Transcription	-Folding, Sorting and Degradation	0.1064	0.1182	0.08865	0.1152
-Translation	-Folding, Sorting and Degradation	0.3666	0.399	0.3356	0.4157
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.1594	0.1583	0.1599	0.1622
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.5591	0.6957	0.4274	0.6306
-Signal Transduction	-Folding, Sorting and Degradation	0.03124	0.029	0.03275	0.02748
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.5153	0.6542	0.3798	0.5892
Cellular Processes	-Folding, Sorting and Degradation	3.15	2.167	3.576	1.9
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0.1029	0.07508	0.1292	0.07295
-Cytoskeleton	-Folding, Sorting and Degradation	2.685	1.646	3.086	1.377
-Cell Motility	-Folding, Sorting and Degradation	0	0	0	0
-Cell Growth and Death	-Folding, Sorting and Degradation	0.07342	0.07079	0.07965	0.07099
-Cell Communication	-Folding, Sorting and Degradation	0.2666	0.3358	0.1952	0.2842
Metabolism	-Folding, Sorting and Degradation	0.7484	0.7303	0.7284	0.6666
-Membrane Transport	-Folding, Sorting and Degradation	0.0009207	0.0009368	0.0007508	0.0009218
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.1847	0.1969	0.1696	0.1805
-Energy Metabolism	-Folding, Sorting and Degradation	0.04878	0.04526	0.05484	0.04631
-Biosynthesis	-Folding, Sorting and Degradation	0.1175	0.1181	0.1019	0.1186
-Other Enzymes	-Folding, Sorting and Degradation	0.3674	0.3716	0.3621	0.3184
Organismal Systems	-Folding, Sorting and Degradation	0.2946	0.2913	0.3266	0.2822
-Immune System	-Folding, Sorting and Degradation	0.103	0.09271	0.1088	0.09909
-Endocrine System	-Folding, Sorting and Degradation	0.01888	0.01553	0.01956	0.01484
-Circulatory System	-Folding, Sorting and Degradation	0.09195	0.076	0.1103	0.07868
-Digestive System	-Folding, Sorting and Degradation	0.002984	0.002813	0.002512	0.002501
-Excretory System	-Folding, Sorting and Degradation	0.01234	0.01029	0.01202	0.008618
-Nervous System	-Folding, Sorting and Degradation	0.007198	0.007939	0.004665	0.008077
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0
-Development	-Folding, Sorting and Degradation	0.008167	0.008923	0.006851	0.009142
-Environmental Adaptation	-Folding, Sorting and Degradation	0.000717	0.000555	0.0006396	0.0004588
Human Diseases	-Folding, Sorting and Degradation	0.7383	0.6889	0.8136	0.611
-Cancers	-Folding, Sorting and Degradation	0.0207	0.02129	0.02391	0.02282
-Immune System Diseases	-Folding, Sorting and Degradation	0.02055	0.02147	0.01706	0.02037
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.1633	0.1035	0.1774	0.08658
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0.2119	0.2302	0.1984	0.2262
-Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0.1468	0.1529	0.168	0.143
Not Mapped	-Folding, Sorting and Degradation	1.155	1.034	1.247	1.049
-Not Mapped	-Folding, Sorting and Degradation	1.155	1.034	1.247	1.049
TOTAL	-DNA Maintenance	13.08	10.14	17.18	8.671
MAPPED	-DNA Maintenance	11.38	8.848	14.86	7.506
Genetic Information Processing	-DNA Maintenance	3.298	2.975	3.875	2.802
-Transcription	-DNA Maintenance	0.1584	0.1467	0.1684	0.1285
-Translation	-DNA Maintenance	0.5655	0.5107	0.6713	0.4907
-Folding, Sorting and Degradation	-DNA Maintenance	1.61	1.349	2.087	1.238
-DNA Maintenance	-DNA Maintenance	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0
Environmental Information Processing	-DNA Maintenance	0.9404	1.105	1.117	1.011
-Signal Transduction	-DNA Maintenance	0.09312	0.06047	0.1559	0.04952
-Signaling Molecules and Interaction	-DNA Maintenance	0.8473	1.045	0.961	0.9613
Cellular Processes	-DNA Maintenance	5.187	3.314	7.174	2.473
-Crystallins	-DNA Maintenance	0	0	0	0
-Stress Response	-DNA Maintenance	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0.1744	0.1295	0.2692	0.126
-Cytoskeleton	-DNA Maintenance	4.587	2.792	6.439	2.035
-Cell Motility	-DNA Maintenance	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	0.12	0.09567	0.1632	0.08576
-Cell Communication	-DNA Maintenance	0.5035	0.5779	0.6237	0.5765
Metabolism	-DNA Maintenance	1.354	1.133	1.729	0.9098
-Membrane Transport	-DNA Maintenance	0.004377	0.00328	0.004572	0.002111
-Central Carbon Metabolism	-DNA Maintenance	0.4837	0.4137	0.6111	0.3392
-Energy Metabolism	-DNA Maintenance	0.2375	0.2066	0.3145	0.1749
-Biosynthesis	-DNA Maintenance	0.2365	0.1809	0.2889	0.1457
-Other Enzymes	-DNA Maintenance	0.6199	0.5219	0.8256	0.4142
Organismal Systems	-DNA Maintenance	0.6867	0.5396	0.8215	0.4994
-Immune System	-DNA Maintenance	0.2317	0.2336	0.2812	0.1948
-Endocrine System	-DNA Maintenance	0.03123	0.02069	0.04008	0.01821
-Circulatory System	-DNA Maintenance	0.2381	0.1818	0.269	0.1814
-Digestive System	-DNA Maintenance	0.01019	0.01306	0.01108	0.006377
-Excretory System	-DNA Maintenance	0.03846	0.02765	0.04893	0.02441
-Nervous System	-DNA Maintenance	0.07902	0.07212	0.04801	0.06622
-Sensory System	-DNA Maintenance	0	0	0	0
-Development	-DNA Maintenance	0.05373	0.04738	0.04804	0.04525
-Environmental Adaptation	-DNA Maintenance	0.002388	0.002239	0.003361	0.002372
Human Diseases	-DNA Maintenance	1.7	1.568	1.844	1.32
-Cancers	-DNA Maintenance	0.1717	0.1767	0.2141	0.1994
-Immune System Diseases	-DNA Maintenance	0.0729	0.06768	0.06103	0.05942
-Neurodegenerative Diseases	-DNA Maintenance	0.4022	0.2921	0.5845	0.2327
-Cardiovascular Diseases	-DNA Maintenance	0.376	0.345	0.4133	0.2816
-Metabolic Diseases	-DNA Maintenance	0	0	0	0
-Infectious Diseases	-DNA Maintenance	0.3697	0.2864	0.5175	0.2449
Not Mapped	-DNA Maintenance	1.703	1.296	2.325	1.165
-Not Mapped	-DNA Maintenance	1.703	1.296	2.325	1.165
TOTAL	-RNA Family	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf	Inf
-Crystallins	-RNA Family	NaN	NaN	NaN	NaN
-Stress Response	-RNA Family	NaN	NaN	NaN	NaN
-Vesicular Transport	-RNA Family	Inf	Inf	Inf	Inf
-Cytoskeleton	-RNA Family	Inf	Inf	Inf	Inf
-Cell Motility	-RNA Family	NaN	NaN	NaN	NaN
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	Inf
-Cell Communication	-RNA Family	Inf	Inf	Inf	Inf
Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	Inf
Organismal Systems	-RNA Family	Inf	Inf	Inf	Inf
-Immune System	-RNA Family	Inf	Inf	Inf	Inf
-Endocrine System	-RNA Family	Inf	Inf	Inf	Inf
-Circulatory System	-RNA Family	Inf	Inf	Inf	Inf
-Digestive System	-RNA Family	Inf	Inf	Inf	Inf
-Excretory System	-RNA Family	Inf	Inf	Inf	Inf
-Nervous System	-RNA Family	Inf	Inf	Inf	Inf
-Sensory System	-RNA Family	NaN	NaN	NaN	NaN
-Development	-RNA Family	Inf	Inf	Inf	Inf
-Environmental Adaptation	-RNA Family	Inf	Inf	Inf	Inf
Human Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cancers	-RNA Family	Inf	Inf	Inf	Inf
-Immune System Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Metabolic Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Infectious Diseases	-RNA Family	Inf	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	14.65	9.622	16.2	8.923
MAPPED	Environmental Information Processing	12.74	8.393	14.01	7.724
Genetic Information Processing	Environmental Information Processing	3.628	2.77	3.586	2.854
-Transcription	Environmental Information Processing	0.1773	0.1415	0.1561	0.1338
-Translation	Environmental Information Processing	0.6125	0.4789	0.622	0.4833
-Folding, Sorting and Degradation	Environmental Information Processing	1.771	1.235	1.931	1.241
-DNA Maintenance	Environmental Information Processing	0.7918	0.4156	0.4197	0.293
-RNA Family	Environmental Information Processing	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.08713	0.05472	0.07971	0.04197
-Signaling Molecules and Interaction	Environmental Information Processing	0.901	0.9431	0.8885	0.9538
Cellular Processes	Environmental Information Processing	5.434	3.115	6.886	2.771
-Crystallins	Environmental Information Processing	0	0	0	0
-Stress Response	Environmental Information Processing	0	0	0	0
-Vesicular Transport	Environmental Information Processing	0.1845	0.1011	0.241	0.09877
-Cytoskeleton	Environmental Information Processing	4.938	2.61	6.158	2.266
-Cell Motility	Environmental Information Processing	0	0	0	0
-Cell Growth and Death	Environmental Information Processing	0.1289	0.08958	0.1538	0.08596
-Cell Communication	Environmental Information Processing	0.5512	0.44	0.4754	0.3721
Metabolism	Environmental Information Processing	1.367	1.008	1.576	0.9411
-Membrane Transport	Environmental Information Processing	0.002346	0.001094	0.001276	0.0009423
-Central Carbon Metabolism	Environmental Information Processing	0.3602	0.2433	0.3277	0.2224
-Energy Metabolism	Environmental Information Processing	0.1399	0.1084	0.1252	0.09294
-Biosynthesis	Environmental Information Processing	0.2504	0.1519	0.2511	0.1437
-Other Enzymes	Environmental Information Processing	0.8872	0.5923	0.873	0.4835
Organismal Systems	Environmental Information Processing	0.8789	0.6509	0.7761	0.623
-Immune System	Environmental Information Processing	0.2216	0.1431	0.2557	0.1563
-Endocrine System	Environmental Information Processing	0.03321	0.01872	0.03441	0.01801
-Circulatory System	Environmental Information Processing	0.2323	0.1499	0.215	0.1418
-Digestive System	Environmental Information Processing	0.008786	0.005474	0.007891	0.004624
-Excretory System	Environmental Information Processing	0.03415	0.01935	0.03293	0.01642
-Nervous System	Environmental Information Processing	0.01853	0.01195	0.01519	0.009325
-Sensory System	Environmental Information Processing	0	0	0	0
-Development	Environmental Information Processing	0.03707	0.02653	0.02258	0.02084
-Environmental Adaptation	Environmental Information Processing	0.000948	0.0004991	0.0009846	0.0004182
Human Diseases	Environmental Information Processing	1.324	0.9742	1.31	0.9077
-Cancers	Environmental Information Processing	0.09228	0.06069	0.07621	0.05077
-Immune System Diseases	Environmental Information Processing	0.07117	0.0561	0.04575	0.04901
-Neurodegenerative Diseases	Environmental Information Processing	0.394	0.2258	0.3939	0.183
-Cardiovascular Diseases	Environmental Information Processing	0.4136	0.324	0.3896	0.2808
-Metabolic Diseases	Environmental Information Processing	0	0	0	0
-Infectious Diseases	Environmental Information Processing	0.3059	0.2095	0.3398	0.1967
Not Mapped	Environmental Information Processing	1.907	1.229	2.193	1.199
-Not Mapped	Environmental Information Processing	1.907	1.229	2.193	1.199
TOTAL	-Signal Transduction	275.8	306.2	288.1	286.5
MAPPED	-Signal Transduction	239.9	267.1	249.1	248
Genetic Information Processing	-Signal Transduction	52.62	57.82	46.73	60.03
-Transcription	-Signal Transduction	3.259	4.394	2.73	4.193
-Translation	-Signal Transduction	11.73	15.13	10.92	15.13
-Folding, Sorting and Degradation	-Signal Transduction	30.14	30.36	29.84	31.06
-DNA Maintenance	-Signal Transduction	9.921	16.04	6.302	20.17
