Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
-Translation	Genetic Information Processing	0.1553	0.1575	0.1549	0.1608
-Folding, Sorting and Degradation	Genetic Information Processing	0.5331	0.4959	0.5816	0.474
-DNA Maintenance	Genetic Information Processing	0.2681	0.3009	0.2248	0.3218
Environmental Information Processing	Genetic Information Processing	0.2541	0.3337	0.2485	0.3283
-Signal Transduction	Genetic Information Processing	0.02571	0.02091	0.02896	0.01885
-Signaling Molecules and Interaction	Genetic Information Processing	0.2284	0.3128	0.2195	0.3095
Cellular Processes	Genetic Information Processing	1.334	0.9021	1.596	0.7416
-Vesicular Transport	Genetic Information Processing	0.05131	0.03639	0.06319	0.03406
-Cytoskeleton	Genetic Information Processing	1.195	0.7767	1.444	0.6253
-Cell Motility	Genetic Information Processing	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.02997	0.02714	0.03587	0.02654
-Cell Communication	Genetic Information Processing	0.057	0.06188	0.05322	0.0557
Metabolism	Genetic Information Processing	0.2949	0.2648	0.3202	0.2257
-Membrane Transport	Genetic Information Processing	1.513e-05	2.932e-05	1.342e-05	6.936e-05
-Central Carbon Metabolism	Genetic Information Processing	0.1707	0.1637	0.1776	0.1448
-Energy Metabolism	Genetic Information Processing	0.05187	0.03199	0.06781	0.02905
-Biosynthesis	Genetic Information Processing	0.04353	0.03932	0.04151	0.03815
-Other Enzymes	Genetic Information Processing	0.02884	0.02975	0.03331	0.01362
Organismal Systems	Genetic Information Processing	0.0325	0.02532	0.04342	0.02593
-Immune System	Genetic Information Processing	0.002786	0.003033	0.002992	0.003246
-Endocrine System	Genetic Information Processing	0.001055	0.000914	0.001339	0.001119
-Circulatory System	Genetic Information Processing	0.02304	0.01621	0.03274	0.01645
-Digestive System	Genetic Information Processing	4.26e-05	2.811e-05	6.598e-05	2.89e-05
-Excretory System	Genetic Information Processing	0.002923	0.002227	0.003781	0.002241
-Nervous System	Genetic Information Processing	0.0001016	9.699e-05	9.124e-05	7.512e-05
-Sensory System	Genetic Information Processing	0	0	0	0
-Development	Genetic Information Processing	0.002545	0.00281	0.002409	0.002769
-Environmental Adaptation	Genetic Information Processing	0	0	0	0
Human Diseases	Genetic Information Processing	0.003426	0.003018	0.003987	0.00378
-Cancers	Genetic Information Processing	0.001342	0.001191	0.001785	0.001951
-Immune System Diseases	Genetic Information Processing	0.001305	0.0012	0.001298	0.001369
-Neurodegenerative Diseases	Genetic Information Processing	0.0001346	0.0001666	0.0001753	0.000167
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0.0006448	0.0004604	0.0007289	0.0002937
Not Mapped	Genetic Information Processing	0.4368	0.3703	0.5026	0.3609
-Not Mapped	Genetic Information Processing	0.4368	0.3703	0.5026	0.3609
TOTAL	-Transcription	77.11	63.51	96.03	61.94
MAPPED	-Transcription	67.07	55.4	83.04	53.62
Genetic Information Processing	-Transcription	22.98	21.91	25.85	23.06
-Transcription	-Transcription	1	1	1	1
-Translation	-Transcription	3.568	3.45	4.005	3.708
-Folding, Sorting and Degradation	-Transcription	12.25	10.86	15.04	10.93
-DNA Maintenance	-Transcription	6.162	6.592	5.811	7.42
Environmental Information Processing	-Transcription	5.84	7.311	6.424	7.57
-Signal Transduction	-Transcription	0.5908	0.458	0.7486	0.4347
-Signaling Molecules and Interaction	-Transcription	5.249	6.853	5.675	7.136
Cellular Processes	-Transcription	30.65	19.76	41.26	17.1
-Vesicular Transport	-Transcription	1.179	0.797	1.634	0.7853
-Cytoskeleton	-Transcription	27.47	17.01	37.32	14.42
-Cell Motility	-Transcription	0	0	0	0
-Cell Growth and Death	-Transcription	0.6886	0.5944	0.9274	0.612
-Cell Communication	-Transcription	1.31	1.355	1.376	1.284
Metabolism	-Transcription	6.778	5.801	8.279	5.205
-Membrane Transport	-Transcription	0.0003477	0.0006423	0.0003469	0.001599
-Central Carbon Metabolism	-Transcription	3.922	3.587	4.591	3.34
-Energy Metabolism	-Transcription	1.192	0.7008	1.753	0.6698
-Biosynthesis	-Transcription	1	0.8613	1.073	0.8798
-Other Enzymes	-Transcription	0.6628	0.6516	0.8612	0.314
Organismal Systems	-Transcription	0.7468	0.5547	1.122	0.5978
-Immune System	-Transcription	0.06403	0.06644	0.07736	0.07484
-Endocrine System	-Transcription	0.02426	0.02002	0.03462	0.02581
-Circulatory System	-Transcription	0.5295	0.3551	0.8464	0.3792
-Digestive System	-Transcription	0.0009789	0.0006158	0.001706	0.0006665
-Excretory System	-Transcription	0.06716	0.04877	0.09775	0.05168
-Nervous System	-Transcription	0.002334	0.002125	0.002359	0.001732
-Sensory System	-Transcription	0	0	0	0
-Development	-Transcription	0.05848	0.06156	0.06227	0.06385
-Environmental Adaptation	-Transcription	0	0	0	0
Human Diseases	-Transcription	0.07873	0.06611	0.1031	0.08716
-Cancers	-Transcription	0.03083	0.0261	0.04616	0.04498
-Immune System Diseases	-Transcription	0.02998	0.02628	0.03355	0.03156
-Neurodegenerative Diseases	-Transcription	0.003094	0.00365	0.004531	0.00385
-Cardiovascular Diseases	-Transcription	0	0	0	0
-Infectious Diseases	-Transcription	0.01482	0.01009	0.01884	0.006772
Not Mapped	-Transcription	10.04	8.112	12.99	8.321
-Not Mapped	-Transcription	10.04	8.112	12.99	8.321
TOTAL	-Translation	21.61	18.41	23.98	16.7
MAPPED	-Translation	18.8	16.06	20.73	14.46
Genetic Information Processing	-Translation	6.44	6.35	6.456	6.219
-Transcription	-Translation	0.2802	0.2899	0.2497	0.2697
-Translation	-Translation	1	1	1	1
-Folding, Sorting and Degradation	-Translation	3.433	3.149	3.755	2.948
-DNA Maintenance	-Translation	1.727	1.911	1.451	2.001
Environmental Information Processing	-Translation	1.637	2.119	1.604	2.042
-Signal Transduction	-Translation	0.1656	0.1328	0.1869	0.1172
-Signaling Molecules and Interaction	-Translation	1.471	1.987	1.417	1.924
Cellular Processes	-Translation	8.588	5.728	10.3	4.612
-Vesicular Transport	-Translation	0.3304	0.2311	0.408	0.2118
-Cytoskeleton	-Translation	7.698	4.932	9.319	3.888
-Cell Motility	-Translation	0	0	0	0
-Cell Growth and Death	-Translation	0.193	0.1723	0.2316	0.165
-Cell Communication	-Translation	0.3671	0.3929	0.3435	0.3464
Metabolism	-Translation	1.899	1.682	2.067	1.404
-Membrane Transport	-Translation	9.745e-05	0.0001862	8.663e-05	0.0004313
-Central Carbon Metabolism	-Translation	1.099	1.04	1.146	0.9007
-Energy Metabolism	-Translation	0.334	0.2032	0.4378	0.1806
-Biosynthesis	-Translation	0.2804	0.2497	0.268	0.2373
-Other Enzymes	-Translation	0.1858	0.1889	0.215	0.08468
Organismal Systems	-Translation	0.2093	0.1608	0.2803	0.1612
-Immune System	-Translation	0.01794	0.01926	0.01932	0.02018
-Endocrine System	-Translation	0.006797	0.005804	0.008644	0.00696
-Circulatory System	-Translation	0.1484	0.103	0.2113	0.1023
-Digestive System	-Translation	0.0002743	0.0001785	0.0004259	0.0001797
-Excretory System	-Translation	0.01882	0.01414	0.02441	0.01394
-Nervous System	-Translation	0.0006541	0.0006159	0.000589	0.0004672
-Sensory System	-Translation	0	0	0	0
-Development	-Translation	0.01639	0.01785	0.01555	0.01722
-Environmental Adaptation	-Translation	0	0	0	0
Human Diseases	-Translation	0.02206	0.01917	0.02574	0.0235
-Cancers	-Translation	0.008641	0.007565	0.01153	0.01213
-Immune System Diseases	-Translation	0.008402	0.007618	0.008377	0.00851
-Neurodegenerative Diseases	-Translation	0.000867	0.001058	0.001131	0.001038
-Cardiovascular Diseases	-Translation	0	0	0	0
-Infectious Diseases	-Translation	0.004153	0.002924	0.004705	0.001826
Not Mapped	-Translation	2.813	2.352	3.245	2.244
-Not Mapped	-Translation	2.813	2.352	3.245	2.244
TOTAL	-Folding, Sorting and Degradation	6.294	5.846	6.387	5.667
MAPPED	-Folding, Sorting and Degradation	5.475	5.099	5.522	4.905
Genetic Information Processing	-Folding, Sorting and Degradation	1.876	2.016	1.719	2.11
-Transcription	-Folding, Sorting and Degradation	0.08163	0.09205	0.0665	0.09149
-Translation	-Folding, Sorting and Degradation	0.2913	0.3175	0.2663	0.3392
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.503	0.6068	0.3865	0.6788
Environmental Information Processing	-Folding, Sorting and Degradation	0.4767	0.673	0.4272	0.6926
-Signal Transduction	-Folding, Sorting and Degradation	0.04823	0.04216	0.04979	0.03977
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.4285	0.6308	0.3774	0.6528
Cellular Processes	-Folding, Sorting and Degradation	2.502	1.819	2.744	1.564
-Vesicular Transport	-Folding, Sorting and Degradation	0.09624	0.07337	0.1087	0.07184
-Cytoskeleton	-Folding, Sorting and Degradation	2.242	1.566	2.482	1.319
-Cell Motility	-Folding, Sorting and Degradation	0	0	0	0
-Cell Growth and Death	-Folding, Sorting and Degradation	0.05621	0.05471	0.06168	0.05599
-Cell Communication	-Folding, Sorting and Degradation	0.1069	0.1248	0.0915	0.1175
Metabolism	-Folding, Sorting and Degradation	0.5533	0.534	0.5506	0.4762
-Membrane Transport	-Folding, Sorting and Degradation	2.838e-05	5.913e-05	2.307e-05	0.0001463
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.3202	0.3301	0.3053	0.3055
-Energy Metabolism	-Folding, Sorting and Degradation	0.09729	0.06451	0.1166	0.06128
-Biosynthesis	-Folding, Sorting and Degradation	0.08167	0.07928	0.07137	0.08049
-Other Enzymes	-Folding, Sorting and Degradation	0.05411	0.05998	0.05727	0.02873
Organismal Systems	-Folding, Sorting and Degradation	0.06096	0.05106	0.07465	0.05469
-Immune System	-Folding, Sorting and Degradation	0.005226	0.006115	0.005144	0.006847
-Endocrine System	-Folding, Sorting and Degradation	0.00198	0.001843	0.002302	0.002361
-Circulatory System	-Folding, Sorting and Degradation	0.04323	0.03269	0.05629	0.0347
-Digestive System	-Folding, Sorting and Degradation	7.991e-05	5.668e-05	0.0001134	6.097e-05
-Excretory System	-Folding, Sorting and Degradation	0.005482	0.00449	0.006501	0.004728
-Nervous System	-Folding, Sorting and Degradation	0.0001905	0.0001956	0.0001569	0.0001585
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0
-Development	-Folding, Sorting and Degradation	0.004773	0.005667	0.004141	0.005841
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0.006426	0.006086	0.006855	0.007974
-Cancers	-Folding, Sorting and Degradation	0.002517	0.002402	0.00307	0.004115
-Immune System Diseases	-Folding, Sorting and Degradation	0.002447	0.002419	0.002231	0.002887
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.0002525	0.000336	0.0003013	0.0003522
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0.00121	0.0009283	0.001253	0.0006196
Not Mapped	-Folding, Sorting and Degradation	0.8194	0.7467	0.8642	0.7613
-Not Mapped	-Folding, Sorting and Degradation	0.8194	0.7467	0.8642	0.7613
TOTAL	-DNA Maintenance	12.51	9.635	16.53	8.348
MAPPED	-DNA Maintenance	10.88	8.404	14.29	7.226
Genetic Information Processing	-DNA Maintenance	3.729	3.323	4.449	3.108
-Transcription	-DNA Maintenance	0.1623	0.1517	0.1721	0.1348
-Translation	-DNA Maintenance	0.5791	0.5233	0.6892	0.4997
-Folding, Sorting and Degradation	-DNA Maintenance	1.988	1.648	2.588	1.473
-DNA Maintenance	-DNA Maintenance	1	1	1	1
Environmental Information Processing	-DNA Maintenance	0.9477	1.109	1.105	1.02
-Signal Transduction	-DNA Maintenance	0.09588	0.06948	0.1288	0.05858
-Signaling Molecules and Interaction	-DNA Maintenance	0.8518	1.04	0.9766	0.9617
Cellular Processes	-DNA Maintenance	4.973	2.998	7.1	2.305
-Vesicular Transport	-DNA Maintenance	0.1913	0.1209	0.2811	0.1058
-Cytoskeleton	-DNA Maintenance	4.458	2.581	6.422	1.943
-Cell Motility	-DNA Maintenance	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	0.1118	0.09017	0.1596	0.08247
-Cell Communication	-DNA Maintenance	0.2126	0.2056	0.2368	0.1731
Metabolism	-DNA Maintenance	1.1	0.88	1.425	0.7015
-Membrane Transport	-DNA Maintenance	5.643e-05	9.744e-05	5.97e-05	0.0002155
-Central Carbon Metabolism	-DNA Maintenance	0.6366	0.5441	0.79	0.4501
-Energy Metabolism	-DNA Maintenance	0.1934	0.1063	0.3017	0.09027
-Biosynthesis	-DNA Maintenance	0.1624	0.1307	0.1847	0.1186
-Other Enzymes	-DNA Maintenance	0.1076	0.09885	0.1482	0.04232
Organismal Systems	-DNA Maintenance	0.1212	0.08414	0.1932	0.08057
-Immune System	-DNA Maintenance	0.01039	0.01008	0.01331	0.01009
-Endocrine System	-DNA Maintenance	0.003936	0.003037	0.005957	0.003478
-Circulatory System	-DNA Maintenance	0.08594	0.05387	0.1457	0.05111
-Digestive System	-DNA Maintenance	0.0001589	9.341e-05	0.0002935	8.982e-05
-Excretory System	-DNA Maintenance	0.0109	0.007399	0.01682	0.006964
-Nervous System	-DNA Maintenance	0.0003788	0.0003223	0.0004059	0.0002334
-Sensory System	-DNA Maintenance	0	0	0	0
-Development	-DNA Maintenance	0.00949	0.009339	0.01072	0.008604
-Environmental Adaptation	-DNA Maintenance	0	0	0	0
Human Diseases	-DNA Maintenance	0.01278	0.01003	0.01774	0.01175
-Cancers	-DNA Maintenance	0.005004	0.003959	0.007943	0.006062
-Immune System Diseases	-DNA Maintenance	0.004866	0.003987	0.005773	0.004253
-Neurodegenerative Diseases	-DNA Maintenance	0.0005021	0.0005537	0.0007797	0.0005189
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0
-Infectious Diseases	-DNA Maintenance	0.002405	0.00153	0.003243	0.0009127
Not Mapped	-DNA Maintenance	1.629	1.231	2.236	1.121
-Not Mapped	-DNA Maintenance	1.629	1.231	2.236	1.121
TOTAL	Environmental Information Processing	13.2	8.687	14.95	8.182
MAPPED	Environmental Information Processing	11.49	7.578	12.93	7.083
Genetic Information Processing	Environmental Information Processing	3.935	2.996	4.025	3.046
-Transcription	Environmental Information Processing	0.1712	0.1368	0.1557	0.1321
-Translation	Environmental Information Processing	0.611	0.4718	0.6234	0.4898
-Folding, Sorting and Degradation	Environmental Information Processing	2.098	1.486	2.341	1.444
-DNA Maintenance	Environmental Information Processing	1.055	0.9017	0.9046	0.9801
Environmental Information Processing	Environmental Information Processing	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.1012	0.06265	0.1165	0.05742
-Signaling Molecules and Interaction	Environmental Information Processing	0.8988	0.9374	0.8835	0.9426
Cellular Processes	Environmental Information Processing	5.248	2.703	6.423	2.259
-Vesicular Transport	Environmental Information Processing	0.2019	0.109	0.2543	0.1037
-Cytoskeleton	Environmental Information Processing	4.704	2.327	5.81	1.905
-Cell Motility	Environmental Information Processing	0	0	0	0
-Cell Growth and Death	Environmental Information Processing	0.1179	0.0813	0.1444	0.08084
-Cell Communication	Environmental Information Processing	0.2243	0.1854	0.2142	0.1697
Metabolism	Environmental Information Processing	1.161	0.7935	1.289	0.6875
-Membrane Transport	Environmental Information Processing	5.955e-05	8.786e-05	5.401e-05	0.0002113
-Central Carbon Metabolism	Environmental Information Processing	0.6717	0.4906	0.7147	0.4412
-Energy Metabolism	Environmental Information Processing	0.2041	0.09586	0.2729	0.08848
-Biosynthesis	Environmental Information Processing	0.1713	0.1178	0.1671	0.1162
-Other Enzymes	Environmental Information Processing	0.1135	0.08913	0.1341	0.04148
Organismal Systems	Environmental Information Processing	0.1279	0.07587	0.1747	0.07897
-Immune System	Environmental Information Processing	0.01096	0.009087	0.01204	0.009886
-Endocrine System	Environmental Information Processing	0.004154	0.002738	0.005389	0.003409
-Circulatory System	Environmental Information Processing	0.09068	0.04858	0.1318	0.05009
-Digestive System	Environmental Information Processing	0.0001676	8.422e-05	0.0002655	8.804e-05
-Excretory System	Environmental Information Processing	0.0115	0.006671	0.01522	0.006826
-Nervous System	Environmental Information Processing	0.0003997	0.0002906	0.0003672	0.0002288
-Sensory System	Environmental Information Processing	0	0	0	0
-Development	Environmental Information Processing	0.01001	0.00842	0.009694	0.008434
-Environmental Adaptation	Environmental Information Processing	0	0	0	0
Human Diseases	Environmental Information Processing	0.01348	0.009043	0.01605	0.01151
-Cancers	Environmental Information Processing	0.00528	0.00357	0.007186	0.005941
-Immune System Diseases	Environmental Information Processing	0.005134	0.003595	0.005222	0.004168
-Neurodegenerative Diseases	Environmental Information Processing	0.0005298	0.0004993	0.0007054	0.0005086
-Cardiovascular Diseases	Environmental Information Processing	0	0	0	0
-Infectious Diseases	Environmental Information Processing	0.002538	0.001379	0.002933	0.0008946
Not Mapped	Environmental Information Processing	1.719	1.11	2.023	1.099
-Not Mapped	Environmental Information Processing	1.719	1.11	2.023	1.099
TOTAL	-Signal Transduction	130.5	138.7	128.3	142.5
MAPPED	-Signal Transduction	113.5	121	110.9	123.3
Genetic Information Processing	-Signal Transduction	38.9	47.83	34.53	53.05
-Transcription	-Signal Transduction	1.693	2.183	1.336	2.3
-Translation	-Signal Transduction	6.04	7.532	5.349	8.53
-Folding, Sorting and Degradation	-Signal Transduction	20.74	23.72	20.09	25.15
-DNA Maintenance	-Signal Transduction	10.43	14.39	7.762	17.07
Environmental Information Processing	-Signal Transduction	9.885	15.96	8.581	17.42
-Signal Transduction	-Signal Transduction	1	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	8.885	14.96	7.581	16.42
Cellular Processes	-Signal Transduction	51.87	43.14	55.11	39.34
-Vesicular Transport	-Signal Transduction	1.996	1.74	2.182	1.807
-Cytoskeleton	-Signal Transduction	46.49	37.15	49.85	33.17
-Cell Motility	-Signal Transduction	0	0	0	0
-Cell Growth and Death	-Signal Transduction	1.166	1.298	1.239	1.408
-Cell Communication	-Signal Transduction	2.217	2.959	1.838	2.955
Metabolism	-Signal Transduction	11.47	12.67	11.06	11.97
-Membrane Transport	-Signal Transduction	0.0005886	0.001402	0.0004634	0.003679
-Central Carbon Metabolism	-Signal Transduction	6.639	7.831	6.133	7.683
-Energy Metabolism	-Signal Transduction	2.018	1.53	2.342	1.541
-Biosynthesis	-Signal Transduction	1.693	1.881	1.434	2.024
-Other Enzymes	-Signal Transduction	1.122	1.423	1.15	0.7223
Organismal Systems	-Signal Transduction	1.264	1.211	1.499	1.375
-Immune System	-Signal Transduction	0.1084	0.1451	0.1033	0.1722
-Endocrine System	-Signal Transduction	0.04106	0.04371	0.04624	0.05937
-Circulatory System	-Signal Transduction	0.8963	0.7754	1.131	0.8724
-Digestive System	-Signal Transduction	0.001657	0.001344	0.002278	0.001533
-Excretory System	-Signal Transduction	0.1137	0.1065	0.1306	0.1189
-Nervous System	-Signal Transduction	0.003951	0.004639	0.003151	0.003985
-Sensory System	-Signal Transduction	0	0	0	0
-Development	-Signal Transduction	0.09898	0.1344	0.08318	0.1469
-Environmental Adaptation	-Signal Transduction	0	0	0	0
Human Diseases	-Signal Transduction	0.1333	0.1443	0.1377	0.2005
-Cancers	-Signal Transduction	0.05219	0.05698	0.06166	0.1035
-Immune System Diseases	-Signal Transduction	0.05075	0.05738	0.04481	0.07259
-Neurodegenerative Diseases	-Signal Transduction	0.005237	0.007969	0.006053	0.008857
-Cardiovascular Diseases	-Signal Transduction	0	0	0	0
-Infectious Diseases	-Signal Transduction	0.02508	0.02202	0.02517	0.01558
Not Mapped	-Signal Transduction	16.99	17.71	17.36	19.14
-Not Mapped	-Signal Transduction	16.99	17.71	17.36	19.14
TOTAL	-Signaling Molecules and Interaction	14.69	9.268	16.92	8.68
MAPPED	-Signaling Molecules and Interaction	12.78	8.084	14.63	7.514
Genetic Information Processing	-Signaling Molecules and Interaction	4.378	3.197	4.556	3.231
-Transcription	-Signaling Molecules and Interaction	0.1905	0.1459	0.1762	0.1401
-Translation	-Signaling Molecules and Interaction	0.6798	0.5034	0.7057	0.5196
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	2.334	1.585	2.65	1.532
-DNA Maintenance	-Signaling Molecules and Interaction	1.174	0.9619	1.024	1.04
Environmental Information Processing	-Signaling Molecules and Interaction	1.113	1.067	1.132	1.061
-Signal Transduction	-Signaling Molecules and Interaction	0.1126	0.06684	0.1319	0.06092
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	5.839	2.884	7.27	2.396
-Vesicular Transport	-Signaling Molecules and Interaction	0.2246	0.1163	0.2879	0.11
-Cytoskeleton	-Signaling Molecules and Interaction	5.233	2.483	6.576	2.021
-Cell Motility	-Signaling Molecules and Interaction	0	0	0	0
-Cell Growth and Death	-Signaling Molecules and Interaction	0.1312	0.08674	0.1634	0.08576
-Cell Communication	-Signaling Molecules and Interaction	0.2495	0.1978	0.2424	0.18
Metabolism	-Signaling Molecules and Interaction	1.291	0.8465	1.459	0.7294
-Membrane Transport	-Signaling Molecules and Interaction	6.625e-05	9.373e-05	6.113e-05	0.0002241
-Central Carbon Metabolism	-Signaling Molecules and Interaction	0.7473	0.5234	0.809	0.468
-Energy Metabolism	-Signaling Molecules and Interaction	0.2271	0.1023	0.3089	0.09387
-Biosynthesis	-Signaling Molecules and Interaction	0.1906	0.1257	0.1891	0.1233
-Other Enzymes	-Signaling Molecules and Interaction	0.1263	0.09508	0.1517	0.044
Organismal Systems	-Signaling Molecules and Interaction	0.1423	0.08094	0.1978	0.08378
-Immune System	-Signaling Molecules and Interaction	0.0122	0.009695	0.01363	0.01049
