Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
-Biosynthesis	TOTAL	0.01171	0.01488	0.02156	0.01209	0.01545	0.02008	0.0105	0.01427	0.02131	0.01125	0.01548	0.01916
-Other Enzymes	TOTAL	0.03653	0.04462	0.08049	0.03763	0.04957	0.0863	0.03464	0.04457	0.08007	0.03841	0.05146	0.08361
Organismal Systems	TOTAL	0.02643	0.03125	0.05893	0.02667	0.03307	0.06307	0.02538	0.03127	0.05468	0.03	0.03563	0.06819
-Immune System	TOTAL	0.002335	0.0106	0.01458	0.002819	0.01139	0.01647	0.002102	0.01123	0.01403	0.003023	0.01169	0.01706
-Endocrine System	TOTAL	0.001103	0.001568	0.008637	0.001124	0.001538	0.01174	0.001277	0.001767	0.006749	0.001238	0.001759	0.01105
-Circulatory System	TOTAL	0.004122	0.009517	0.01974	0.003528	0.00873	0.02113	0.005104	0.01086	0.01511	0.003793	0.009444	0.02405
-Digestive System	TOTAL	0.0001005	0.0002329	0.0009254	0.0001071	0.0002327	0.001093	0.0001065	0.0002247	0.0005953	9.648e-05	0.0002442	0.0008842
-Excretory System	TOTAL	0.0005483	0.001294	0.003756	0.0004801	0.0009731	0.003278	0.0004175	0.001813	0.004522	0.0004029	0.0009175	0.003385
-Nervous System	TOTAL	0.0004302	0.0007126	0.01631	0.0004885	0.0008419	0.01749	0.0003793	0.0007206	0.01743	0.0003989	0.0008109	0.01819
-Sensory System	TOTAL	0	0	0.0001151	0	0	0.000119	0	0	0.0001127	0	0	0.0001139
-Development	TOTAL	0.0007305	0.0007463	0.008325	0.0009343	0.0009568	0.009737	0.0006239	0.0006338	0.007571	0.0009903	0.001002	0.01068
-Environmental Adaptation	TOTAL	0	7.598e-05	0.004514	0	6.508e-05	0.004594	0	6.726e-05	0.004369	0	5.712e-05	0.004494
Human Diseases	TOTAL	0.06755	0.07789	0.1557	0.07196	0.08594	0.1891	0.06192	0.0717	0.1209	0.0689	0.08967	0.2105
-Cancers	TOTAL	0.0008918	0.001633	0.01272	0.0008428	0.001679	0.01586	0.0009804	0.00174	0.01064	0.001185	0.002017	0.01527
-Immune System Diseases	TOTAL	0.003217	0.007549	0.01842	0.004224	0.009206	0.02325	0.002373	0.005948	0.0118	0.004166	0.008505	0.02318
-Neurodegenerative Diseases	TOTAL	0.009189	0.01833	0.03686	0.007597	0.01354	0.03753	0.0103	0.01875	0.03925	0.007911	0.01203	0.03376
-Cardiovascular Diseases	TOTAL	0.0105	0.01583	0.02342	0.0128	0.01896	0.028	0.008827	0.01211	0.01667	0.0131	0.02046	0.03057
-Metabolic Diseases	TOTAL	0	0	0.005564	0	0	0.007396	0	0	0.00433	0	0	0.007155
-Infectious Diseases	TOTAL	0.009557	0.02132	0.1018	0.0103	0.02154	0.1344	0.009259	0.02329	0.07649	0.01046	0.02109	0.1543
Not Mapped	TOTAL	0.1701	0.1701	0.1701	0.1738	0.1738	0.1738	0.173	0.173	0.173	0.1791	0.1791	0.1791
-Not Mapped	TOTAL	0.1701	0.1701	0.1701	0.1738	0.1738	0.1738	0.173	0.173	0.173	0.1791	0.1791	0.1791
TOTAL	MAPPED	1.205	1.205	1.205	1.21	1.21	1.21	1.209	1.209	1.209	1.218	1.218	1.218
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2066	0.2458	0.3506	0.2346	0.2796	0.4323	0.2007	0.2353	0.3046	0.2525	0.2973	0.4697
-Transcription	MAPPED	0.01402	0.01448	0.01492	0.01793	0.01832	0.01902	0.01144	0.01185	0.0124	0.01889	0.01931	0.02015
-Translation	MAPPED	0.07131	0.07264	0.0737	0.08584	0.08817	0.09073	0.06394	0.06555	0.06699	0.08802	0.09111	0.1031
-Folding, Sorting and Degradation	MAPPED	0.1024	0.1206	0.1403	0.1111	0.1342	0.1566	0.09649	0.119	0.1393	0.1128	0.1383	0.1659
-DNA Maintenance	MAPPED	0.01376	0.03307	0.1243	0.0142	0.03844	0.1669	0.01427	0.02723	0.09332	0.01458	0.03986	0.1902
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.02121	0.03159	0.04123	0.02309	0.03791	0.0475	0.02603	0.03004	0.04606	0.02625	0.04132	0.04908
-Signal Transduction	MAPPED	0.0006647	0.004582	0.01389	0.0008163	0.004746	0.01131	0.0006382	0.005408	0.01884	0.001108	0.004573	0.01004
-Signaling Molecules and Interaction	MAPPED	0.01531	0.026	0.03565	0.01707	0.03005	0.04332	0.01925	0.02682	0.03571	0.02136	0.03475	0.04797
Cellular Processes	MAPPED	0.3509	0.3645	0.453	0.2443	0.2608	0.3831	0.4036	0.4181	0.4845	0.1995	0.2174	0.3605
-Crystallins	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0.007622	0.009526	0.01503	0.006388	0.007977	0.01358	0.008569	0.01213	0.016	0.006174	0.008235	0.01365
-Cytoskeleton	MAPPED	0.3128	0.3229	0.408	0.2042	0.2139	0.3356	0.3653	0.3769	0.4367	0.1613	0.1716	0.313
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.001039	0.01834	0.01889	0.0009847	0.02001	0.0207	0.001404	0.01998	0.02036	0.0009087	0.02064	0.02129
-Cell Communication	MAPPED	0.007286	0.01574	0.0189	0.009759	0.01851	0.02315	0.00599	0.01359	0.01725	0.009528	0.01762	0.02127
Metabolism	MAPPED	0.1005	0.1342	0.1491	0.1066	0.1444	0.1643	0.09389	0.13	0.1457	0.1061	0.1416	0.1597
-Membrane Transport	MAPPED	5.797e-05	0.0002341	0.0004553	6.037e-05	0.000215	0.0005075	2.883e-05	0.0002094	0.0004279	5.274e-05	0.000124	0.0004105
-Central Carbon Metabolism	MAPPED	0.0138	0.03221	0.05292	0.01455	0.03667	0.06158	0.0127	0.0291	0.05099	0.01529	0.03594	0.05768
-Energy Metabolism	MAPPED	0.004075	0.00913	0.01705	0.004826	0.007948	0.01627	0.003389	0.0101	0.01682	0.005026	0.007779	0.01588
-Biosynthesis	MAPPED	0.01411	0.01793	0.02598	0.01464	0.0187	0.02431	0.0127	0.01725	0.02577	0.01371	0.01886	0.02333
-Other Enzymes	MAPPED	0.04402	0.05377	0.097	0.04555	0.06	0.1045	0.04189	0.0539	0.09682	0.04678	0.06269	0.1018
Organismal Systems	MAPPED	0.03185	0.03766	0.07102	0.03228	0.04003	0.07634	0.03069	0.03781	0.06612	0.03654	0.0434	0.08306
-Immune System	MAPPED	0.002814	0.01278	0.01757	0.003412	0.01379	0.01994	0.002542	0.01358	0.01696	0.003683	0.01423	0.02078
-Endocrine System	MAPPED	0.00133	0.001889	0.01041	0.00136	0.001862	0.01421	0.001544	0.002137	0.008161	0.001508	0.002143	0.01346
-Circulatory System	MAPPED	0.004967	0.01147	0.02379	0.00427	0.01057	0.02557	0.006172	0.01313	0.01827	0.00462	0.0115	0.02929
-Digestive System	MAPPED	0.0001211	0.0002806	0.001115	0.0001297	0.0002817	0.001322	0.0001288	0.0002717	0.0007198	0.0001175	0.0002975	0.001077
-Excretory System	MAPPED	0.0006607	0.001559	0.004526	0.0005811	0.001178	0.003967	0.0005049	0.002193	0.005468	0.0004907	0.001118	0.004124
-Nervous System	MAPPED	0.0005185	0.0008587	0.01965	0.0005913	0.001019	0.02117	0.0004587	0.0008713	0.02107	0.0004859	0.0009878	0.02216
-Sensory System	MAPPED	0	0	0.0001387	0	0	0.000144	0	0	0.0001362	0	0	0.0001387
-Development	MAPPED	0.0008803	0.0008994	0.01003	0.001131	0.001158	0.01179	0.0007545	0.0007664	0.009154	0.001206	0.001221	0.01301
-Environmental Adaptation	MAPPED	0	9.156e-05	0.005439	0	7.877e-05	0.005561	0	8.133e-05	0.005283	0	6.958e-05	0.005475
Human Diseases	MAPPED	0.0814	0.09387	0.1877	0.0871	0.104	0.2289	0.07487	0.0867	0.1462	0.08393	0.1092	0.2564
-Cancers	MAPPED	0.001075	0.001968	0.01533	0.00102	0.002032	0.0192	0.001186	0.002104	0.01287	0.001443	0.002457	0.0186
-Immune System Diseases	MAPPED	0.003876	0.009097	0.02219	0.005113	0.01114	0.02815	0.002869	0.007192	0.01427	0.005075	0.01036	0.02824
-Neurodegenerative Diseases	MAPPED	0.01107	0.02209	0.04441	0.009196	0.01638	0.04542	0.01245	0.02268	0.04746	0.009636	0.01465	0.04113
-Cardiovascular Diseases	MAPPED	0.01266	0.01907	0.02823	0.01549	0.02294	0.03389	0.01067	0.01465	0.02015	0.01596	0.02492	0.03724
-Metabolic Diseases	MAPPED	0	0	0.006705	0	0	0.008953	0	0	0.005235	0	0	0.008715
-Infectious Diseases	MAPPED	0.01152	0.02569	0.1226	0.01247	0.02607	0.1627	0.0112	0.02816	0.09249	0.01274	0.02569	0.188
Not Mapped	MAPPED	0.205	0.205	0.205	0.2104	0.2104	0.2104	0.2092	0.2092	0.2092	0.2181	0.2181	0.2181
-Not Mapped	MAPPED	0.205	0.205	0.205	0.2104	0.2104	0.2104	0.2092	0.2092	0.2092	0.2181	0.2181	0.2181
TOTAL	Genetic Information Processing	3.42	3.644	5.422	2.797	3.018	4.671	3.927	4.206	5.996	2.573	2.746	4.416
MAPPED	Genetic Information Processing	2.838	3.024	4.499	2.311	2.494	3.859	3.247	3.478	4.958	2.112	2.255	3.625
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.04131	0.04397	0.06715	0.04323	0.04524	0.07339	0.0389	0.04151	0.06151	0.04214	0.0433	0.07317
-Translation	Genetic Information Processing	0.2028	0.2232	0.328	0.1984	0.2255	0.3495	0.2083	0.2324	0.325	0.1859	0.2337	0.3604
-Folding, Sorting and Degradation	Genetic Information Processing	0.3581	0.4071	0.5099	0.321	0.3716	0.4882	0.3953	0.4526	0.5394	0.2983	0.3713	0.5078
-DNA Maintenance	Genetic Information Processing	0.06659	0.1442	0.3579	0.06053	0.1483	0.398	0.0711	0.135	0.3081	0.05775	0.1445	0.4132
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.06463	0.1032	0.1634	0.05703	0.09805	0.1703	0.09042	0.1297	0.1841	0.05886	0.1032	0.1779
-Signal Transduction	Genetic Information Processing	0.002991	0.01673	0.03961	0.00315	0.01499	0.02615	0.003164	0.02293	0.06187	0.004017	0.01346	0.02138
-Signaling Molecules and Interaction	Genetic Information Processing	0.05541	0.07914	0.1604	0.04926	0.08107	0.1672	0.07701	0.091	0.1779	0.05237	0.08208	0.1739
Cellular Processes	Genetic Information Processing	1.046	1.107	2.038	0.6049	0.6625	1.478	1.36	1.441	2.402	0.4671	0.5257	1.307
-Crystallins	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.02404	0.0361	0.06087	0.01637	0.02795	0.0496	0.03128	0.04357	0.07544	0.01547	0.02496	0.05085
-Cytoskeleton	Genetic Information Processing	0.9357	0.9726	1.836	0.4944	0.5461	1.295	1.232	1.275	2.165	0.3567	0.4194	1.135
-Cell Motility	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.003107	0.05704	0.08355	0.002384	0.05137	0.07847	0.004884	0.06784	0.1008	0.00201	0.04796	0.07664
-Cell Communication	Genetic Information Processing	0.03284	0.05366	0.07876	0.03596	0.05567	0.08256	0.02985	0.05523	0.07327	0.03109	0.04638	0.07164
Metabolism	Genetic Information Processing	0.2867	0.4264	0.7025	0.2467	0.3825	0.6526	0.3083	0.4702	0.7261	0.226	0.3341	0.5931
-Membrane Transport	Genetic Information Processing	0.000175	0.0007614	0.001639	0.0001491	0.0007781	0.001507	9.815e-05	0.0007403	0.001579	0.0001183	0.0004337	0.001332
-Central Carbon Metabolism	Genetic Information Processing	0.05612	0.102	0.1619	0.05203	0.09724	0.1601	0.05396	0.1084	0.1766	0.04986	0.0854	0.1496
-Energy Metabolism	Genetic Information Processing	0.01156	0.02837	0.07497	0.01145	0.02057	0.06103	0.011	0.0344	0.07862	0.01062	0.02022	0.05555
-Biosynthesis	Genetic Information Processing	0.04024	0.0724	0.08962	0.03386	0.05869	0.07897	0.04123	0.0744	0.09227	0.02918	0.05133	0.07056
-Other Enzymes	Genetic Information Processing	0.1317	0.1998	0.4174	0.1152	0.1709	0.3736	0.1457	0.2064	0.4716	0.1025	0.1636	0.3426
Organismal Systems	Genetic Information Processing	0.09631	0.1431	0.2124	0.07972	0.1357	0.1848	0.1119	0.1453	0.23	0.08193	0.1293	0.1837
-Immune System	Genetic Information Processing	0.01145	0.05126	0.06554	0.0122	0.04924	0.0563	0.0108	0.05234	0.07609	0.01239	0.04594	0.0542
-Endocrine System	Genetic Information Processing	0.004021	0.005986	0.04408	0.003359	0.004841	0.05199	0.00513	0.007433	0.03661	0.003382	0.0049	0.04645
-Circulatory System	Genetic Information Processing	0.01522	0.04685	0.07117	0.01073	0.03756	0.06191	0.02134	0.05389	0.06511	0.01075	0.03813	0.06478
-Digestive System	Genetic Information Processing	0.0004924	0.001151	0.003335	0.0004637	0.001012	0.003202	0.0005475	0.001194	0.002504	0.0003772	0.001007	0.002382
-Excretory System	Genetic Information Processing	0.002747	0.007016	0.01384	0.002082	0.004852	0.0111	0.002265	0.01093	0.01893	0.001661	0.004381	0.01055
-Nervous System	Genetic Information Processing	0.001565	0.003347	0.05878	0.001475	0.003644	0.05126	0.001563	0.002861	0.0733	0.001096	0.002964	0.04913
-Sensory System	Genetic Information Processing	0	0	0.0004189	0	0	0.0003592	0	0	0.0004638	0	0	0.0003127
-Development	Genetic Information Processing	0.00269	0.003871	0.04106	0.002804	0.004251	0.04212	0.002613	0.003741	0.03906	0.0027	0.004247	0.04391
-Environmental Adaptation	Genetic Information Processing	0	0.0004433	0.01579	0	0.0003357	0.01314	0	0.0004053	0.01765	0	0.0002756	0.01196
Human Diseases	Genetic Information Processing	0.2321	0.3347	0.7746	0.2015	0.3063	0.8587	0.2549	0.3398	0.6214	0.1787	0.28	0.8967
-Cancers	Genetic Information Processing	0.003214	0.008183	0.07423	0.00247	0.007269	0.08181	0.004124	0.009441	0.06413	0.003191	0.007914	0.07368
-Immune System Diseases	Genetic Information Processing	0.01611	0.02595	0.08068	0.01348	0.02578	0.08696	0.01408	0.02361	0.05748	0.01162	0.02189	0.07848
-Neurodegenerative Diseases	Genetic Information Processing	0.03498	0.09938	0.1261	0.02293	0.06982	0.105	0.0424	0.1124	0.1551	0.02173	0.05804	0.08902
-Cardiovascular Diseases	Genetic Information Processing	0.03592	0.0773	0.1241	0.03581	0.07748	0.1271	0.03758	0.05907	0.09418	0.03372	0.07728	0.1303
-Metabolic Diseases	Genetic Information Processing	0	0	0.02728	0	0	0.03202	0	0	0.02225	0	0	0.02932
-Infectious Diseases	Genetic Information Processing	0.03285	0.07705	0.4989	0.02909	0.06687	0.5993	0.03696	0.09179	0.3931	0.02733	0.05882	0.6323
Not Mapped	Genetic Information Processing	0.5819	0.6201	0.9225	0.4863	0.5247	0.812	0.6794	0.7277	1.037	0.4608	0.4918	0.7907
-Not Mapped	Genetic Information Processing	0.5819	0.6201	0.9225	0.4863	0.5247	0.812	0.6794	0.7277	1.037	0.4608	0.4918	0.7907
TOTAL	-Transcription	79.16	82.89	85.46	63.14	64.76	67.12	96.09	100.9	105.4	60.35	62.13	63.92
MAPPED	-Transcription	65.69	68.78	70.92	52.16	53.5	55.46	79.46	83.41	87.17	49.54	51	52.48
Genetic Information Processing	-Transcription	13.91	16.98	23.71	12.5	15.23	22.9	16.21	19.43	25.45	12.71	15.3	23.6
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	4.694	5.008	5.132	4.478	4.755	4.996	5.098	5.513	5.684	4.368	4.656	5.417
-Folding, Sorting and Degradation	-Transcription	6.859	8.513	9.617	5.843	7.352	8.379	7.779	10.07	11.46	5.589	7.187	8.494
-DNA Maintenance	-Transcription	0.9264	2.334	8.583	0.7565	2.098	8.923	1.153	2.311	7.877	0.7339	1.975	9.578
-RNA Family	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Transcription	1.47	2.24	2.875	1.264	2.01	2.541	2.178	2.625	3.887	1.365	2.129	2.466
-Signal Transduction	-Transcription	0.04454	0.3084	0.9588	0.04292	0.2531	0.6049	0.05145	0.4451	1.59	0.0549	0.2332	0.5045
-Signaling Molecules and Interaction	-Transcription	1.084	1.844	2.389	0.952	1.667	2.278	1.663	2.227	2.885	1.13	1.724	2.376
Cellular Processes	-Transcription	24.22	25.07	30.35	13.33	14.27	20.14	33.27	35.56	39.06	10.33	11.19	17.86
-Crystallins	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Transcription	0.5289	0.6671	1.012	0.3462	0.4364	0.7236	0.737	1.019	1.347	0.3197	0.4281	0.6861
-Cytoskeleton	-Transcription	21.7	22.49	27.34	11.32	11.64	17.65	30.16	31.93	35.21	8.465	8.843	15.51
-Cell Motility	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Transcription	0.07367	1.244	1.326	0.05461	1.069	1.141	0.1227	1.639	1.727	0.04769	1.037	1.119
-Cell Communication	-Transcription	0.4907	1.066	1.3	0.5198	0.9731	1.264	0.484	1.177	1.503	0.4795	0.873	1.102
Metabolism	-Transcription	6.94	9.248	10.46	5.706	7.884	8.893	7.914	11.16	12.38	5.334	7.375	8.106
-Membrane Transport	-Transcription	0.003988	0.01574	0.03214	0.003303	0.01199	0.0277	0.002405	0.01809	0.0373	0.002741	0.006565	0.02126
-Central Carbon Metabolism	-Transcription	0.9286	2.224	3.64	0.776	1.93	3.369	1.045	2.414	4.254	0.7797	1.781	2.998
-Energy Metabolism	-Transcription	0.2677	0.6453	1.208	0.2571	0.4293	0.9073	0.2693	0.8595	1.453	0.2494	0.3998	0.8408
-Biosynthesis	-Transcription	0.9742	1.22	1.834	0.7833	1.023	1.327	1.009	1.441	2.247	0.6887	0.9344	1.208
-Other Enzymes	-Transcription	3.122	3.795	6.529	2.54	3.275	5.572	3.661	4.698	7.968	2.408	3.246	5.194
Organismal Systems	-Transcription	2.191	2.6	5.036	1.766	2.142	4.234	2.651	3.055	5.779	1.811	2.247	4.359
-Immune System	-Transcription	0.1894	0.8562	1.216	0.182	0.7689	1.091	0.2092	1.095	1.478	0.1878	0.7245	1.09
-Endocrine System	-Transcription	0.09146	0.134	0.7293	0.07442	0.1032	0.7754	0.1255	0.1868	0.705	0.07841	0.1125	0.7042
-Circulatory System	-Transcription	0.3462	0.7717	1.567	0.2377	0.5601	1.335	0.5148	1.059	1.459	0.2446	0.5781	1.457
-Digestive System	-Transcription	0.008148	0.01955	0.07909	0.006916	0.01541	0.07333	0.0106	0.02369	0.06292	0.005994	0.01508	0.05652
-Excretory System	-Transcription	0.04664	0.1045	0.3114	0.03172	0.06374	0.2171	0.04401	0.1771	0.4561	0.02541	0.05859	0.2144
-Nervous System	-Transcription	0.03698	0.05929	1.394	0.0326	0.05435	1.162	0.03826	0.07355	1.842	0.0253	0.05135	1.147
-Sensory System	-Transcription	0	0	0.009896	0	0	0.00794	0	0	0.01181	0	0	0.007222
-Development	-Transcription	0.05914	0.06378	0.6926	0.05946	0.06423	0.6323	0.06082	0.06699	0.7727	0.05989	0.06427	0.6657
-Environmental Adaptation	-Transcription	0	0.006463	0.3823	0	0.0043	0.3038	0	0.00709	0.4537	0	0.003603	0.2824
Human Diseases	-Transcription	5.62	6.567	12.82	4.66	5.734	12.77	6.489	7.399	12.03	4.217	5.667	13.57
-Cancers	-Transcription	0.07622	0.1389	1.033	0.05657	0.1084	1.022	0.1036	0.1835	1.04	0.07572	0.1253	0.9362
-Immune System Diseases	-Transcription	0.2736	0.6281	1.495	0.2791	0.5962	1.499	0.2313	0.6071	1.152	0.2514	0.5157	1.421
-Neurodegenerative Diseases	-Transcription	0.7453	1.48	2.982	0.5069	0.8726	2.369	1.025	1.828	3.919	0.5018	0.7755	2.041
-Cardiovascular Diseases	-Transcription	0.8314	1.285	1.941	0.8083	1.222	1.87	0.8623	1.28	1.691	0.7921	1.254	1.929
-Metabolic Diseases	-Transcription	0	0	0.4783	0	0	0.4935	0	0	0.4537	0	0	0.4538
-Infectious Diseases	-Transcription	0.7952	1.767	8.254	0.6728	1.426	8.938	0.9502	2.246	7.612	0.6451	1.335	9.587
Not Mapped	-Transcription	13.47	14.1	14.54	10.98	11.26	11.67	16.62	17.45	18.24	10.81	11.12	11.45
-Not Mapped	-Transcription	13.47	14.1	14.54	10.98	11.26	11.67	16.62	17.45	18.24	10.81	11.12	11.45
TOTAL	-Translation	16.33	16.57	16.86	13.26	13.47	14.1	18.02	18.44	18.85	11.69	11.9	13.81
MAPPED	-Translation	13.55	13.75	13.99	10.95	11.13	11.65	14.9	15.25	15.59	9.596	9.771	11.34
Genetic Information Processing	-Translation	2.844	3.335	4.834	2.694	3.204	4.79	3.051	3.513	4.679	2.678	3.286	5.028
-Transcription	-Translation	0.1934	0.197	0.2047	0.1976	0.21	0.2156	0.1739	0.1805	0.1892	0.1833	0.196	0.2212
-Translation	-Translation	1	1	1	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	1.404	1.659	1.921	1.227	1.475	1.741	1.472	1.798	2.079	1.095	1.427	1.849
-DNA Maintenance	-Translation	0.1894	0.4548	1.734	0.1631	0.4413	1.92	0.2169	0.4155	1.434	0.1623	0.4221	1.961
-RNA Family	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Translation	0.2895	0.4372	0.574	0.2529	0.4417	0.5386	0.3891	0.4618	0.7075	0.2519	0.4595	0.5368
-Signal Transduction	-Translation	0.009118	0.06217	0.1915	0.009013	0.05382	0.1253	0.009736	0.08073	0.2895	0.01076	0.05019	0.09811
-Signaling Molecules and Interaction	-Translation	0.2097	0.3598	0.489	0.1882	0.3344	0.4783	0.2935	0.4123	0.5428	0.2072	0.3767	0.4657
Cellular Processes	-Translation	4.826	5.074	6.213	2.78	3.018	4.23	6.121	6.454	7.391	2.064	2.355	3.5
-Crystallins	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Translation	0.1048	0.129	0.2069	0.07333	0.08736	0.156	0.1299	0.1849	0.2451	0.06866	0.08317	0.1486
-Cytoskeleton	-Translation	4.294	4.43	5.596	2.272	2.448	3.706	5.485	5.73	6.662	1.576	1.883	3.039
-Cell Motility	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Translation	0.01438	0.2547	0.259	0.01096	0.2245	0.2353	0.02159	0.3067	0.3116	0.008879	0.2065	0.2349
-Cell Communication	-Translation	0.1003	0.2183	0.2561	0.112	0.2043	0.2658	0.09107	0.2125	0.2615	0.1061	0.1782	0.2366
Metabolism	-Translation	1.386	1.844	2.053	1.182	1.658	1.867	1.442	1.992	2.215	1.037	1.497	1.609
-Membrane Transport	-Translation	0.0007854	0.003207	0.006262	0.0006612	0.00237	0.005826	0.0004295	0.003193	0.006489	0.0005061	0.001203	0.004565
