Category	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
--Notch signaling pathway	2.4541098e-05	3.7465248e-05	1.0811132e-05	7.1952906e-05
--Hedgehog signaling pathway	0	0	0	0
--TGF-beta signaling pathway	0.0014093268	0.0014696018	0.0013444532	0.0016831102
--VEGF signaling pathway	0.00037540773	0.00031334179	0.00011215988	0.00022718882
--Jak-STAT signaling pathway	0.00018329494	0.00013019499	0.00025528242	0.0001589365
--Calcium signaling pathway	0.0022855707	0.0022905943	0.0026366462	0.002058892
--Phosphatidylinositol signaling system	4.408985e-05	5.837667e-05	4.0665177e-05	4.2419263e-05
--mTOR signaling pathway	2.2434429e-05	2.1522557e-05	1.4401411e-05	1.6099841e-05
--Plant hormone signal transduction	0	0	0	0
-Signaling Molecules and Interaction	0.068071639	0.10790092	0.059094184	0.11520419
--Insulin secretion	0	0	0	0
--G protein-coupled receptors	0	0	0	0
--Enzyme-linked receptors	0	0	0	0
--Cytokine receptors	0	0	0	0
--Ion channels	0.00083255896	0.0010113971	0.00076224798	0.0010401741
--Neuroactive ligand-receptor interaction	0.0001860231	0.00016350237	0.00016287319	0.00011241454
--Cytokine-cytokine receptor interaction	0	0	0	0
--Cytokines	2.3172705e-05	1.2611e-05	4.2495665e-05	2.2811761e-05
--ECM-receptor interaction	0.062788359	0.10324193	0.053685786	0.11052178
--Cell adhesion molecules (CAMs)	0.00038018311	0.00037510909	0.00026610684	0.00017433144
--CAM ligands	0.0029535679	0.0020684566	0.0034901477	0.0023765333
--Cellular antigens	0.00045614009	0.00050638194	0.00033098642	0.00045591171
--GTP-binding signaling proteins	0.00042473554	0.00049297298	0.00030923754	0.00048286702
--Glycan binding proteins	0	0	0	0
--Bacterial toxins	2.6897889e-05	2.8554048e-05	4.4302192e-05	1.7365852e-05
Cellular Processes	0.39743738	0.31113742	0.4296182	0.27607304
-Vesicular Transport	0.015290631	0.012549565	0.017012411	0.012678038
--Endocytosis	0.0073391051	0.0058146761	0.0085555487	0.0059210276
--Phagosome	0.00039494231	0.00030587262	0.00051218712	0.00027727054
--Lysosome	0.0027062211	0.0019297615	0.0030058819	0.0017335293
--Peroxisome	0.0048503623	0.0044992551	0.0049387933	0.0047462104
--Regulation of autophagy	0	0	0	0
-Cytoskeleton	0.35622894	0.26788621	0.38862208	0.232778
--Regulation of actin cytoskeleton	0.030411588	0.031062488	0.031040183	0.031598694
--Cytoskeleton proteins	0.32581735	0.23682372	0.3575819	0.20117931
-Cell Motility	0	0	0	0
--Bacterial chemotaxis	0	0	0	0
--Bacterial motility proteins	0	0	0	0
-Cell Growth and Death	0.0089308242	0.009359201	0.0096572468	0.0098801669
--Cell cycle	0.0081627702	0.0085456511	0.0089005229	0.0089781325
--Meiosis	0	0	0	0
--Oocyte meiosis	6.7435574e-05	7.4506617e-05	6.9971421e-05	3.8023754e-05
--Apoptosis	0.00060583262	0.00065655704	0.00060038405	0.00078859817
--p53 signaling pathway	9.4785754e-05	8.2486228e-05	8.6368372e-05	7.5412418e-05
-Cell Communication	0.016986992	0.021342438	0.014326464	0.020736832
--Focal adhesion	0.013844256	0.018776769	0.010277902	0.017946919
--Adherens junction	0.0011158982	0.00097400497	0.0016868469	0.0010443721
--Tight junction	0.0020268382	0.0015916639	0.0023617152	0.0017455405
--Gap junction	0	0	0	0
Metabolism	0.087902061	0.091338841	0.08620923	0.08403242
-Membrane Transport	4.5095681e-06	1.0113788e-05	3.6124611e-06	2.5819823e-05
--Transport	0	0	0	0
--Secretion system	4.5095681e-06	1.0113788e-05	3.6124611e-06	2.5819823e-05
-Central Carbon Metabolism	0.050869587	0.056473012	0.04780695	0.053920085
--Glycolysis	0.040109686	0.044050191	0.039518594	0.041851878
--TCA cycle and anaplerotic enzymes	0.0027789039	0.0029313394	0.0023625747	0.0028229107
--Pentose phosphate metabolism	0.0053519204	0.0068584611	0.0035910309	0.0065866198
--Carbohydrate metabolism	0.0012124946	0.000985026	0.0013031711	0.00095424151
--Pyruvate metabolism	0	0	0	0
--Butanoate metabolism	0.00047139404	0.00047384613	0.00045603565	0.00045176561
--C5-Branched dibasic acid metabolism	0	0	0	0
--Other central metabolism enzymes	0.00094518849	0.0011741487	0.0005755439	0.0012526691
-Energy Metabolism	0.015457521	0.011034245	0.018255467	0.010813729
--Oxidative phosphorylation	0.01260554	0.0094112885	0.014586356	0.0093324301
--Photosynthesis	0	0	0	0
--Photosynthesis - antenna proteins	0	0	0	0
--Carbon fixation in photosynthetic organisms	0	0	0	0
--Carbon fixation pathways in prokaryotes	0	0	0	0
--Methane metabolism	0.0028519807	0.0016229566	0.0036691107	0.0014812985
-Biosynthesis	0.012974499	0.013562005	0.011175803	0.014203543
--Lipid and steroid metabolism	0.0016247307	0.0016392081	0.0015717905	0.0015729675
--Purine metabolism	0.0033640667	0.0027902226	0.0040731684	0.0026444754
--Pyrimidine metabolism	0.0016014497	0.001729246	0.0011748955	0.0014625818
--Amino acid metabolism	0.0031998564	0.0035086384	0.0024596075	0.003416571
--Glycan metabolism	0.0013284527	0.0019289875	0.00030493176	0.0031982241
--Cofactor biosynthesis	0.0018559426	0.0019657026	0.0015914097	0.0019087229
--Biosynthesis of other secondary metabolites	0	0	0	0
-Other Enzymes	0.0085959442	0.010259464	0.0089673978	0.0050692436
--Other enzymes	0.0083832011	0.010012881	0.008794051	0.0047955037
--Protein kinases	0.00021274314	0.00024658296	0.00017334683	0.0002737399
--Cytochrome P450	0	0	0	0
Organismal Systems	0.0096846455	0.0087335425	0.011688182	0.0096514414
-Immune System	0.00083034056	0.0010460625	0.00080551303	0.0012083329
--Response to viral infection	0	0	0	0
--Complement and coagulation cascades	5.0548328e-05	1.2726779e-05	8.0651079e-05	7.0903024e-06
--Toll-like receptor signaling pathway	8.9592176e-06	7.8469914e-06	9.156528e-06	9.1230473e-06
--NOD-like receptor signaling pathway	0.00016663662	0.00019365815	0.00019577848	0.0002297237
--RIG-I-like receptor signaling pathway	0	0	0	0
--Cytosolic DNA-sensing pathway	0	0	0	0
--Natural killer cell mediated cytotoxicity	3.0328559e-06	1.4987135e-06	6.6852592e-06	1.1745099e-08
--Antigen processing and presentation	3.0226208e-05	4.4290995e-05	3.1006439e-05	5.3736524e-05
--T cell receptor signaling pathway	8.3803834e-06	1.2772646e-05	9.2330977e-06	2.8155402e-05
--B cell receptor signaling pathway	0	0	0	0
--Fc gamma R-mediated phagocytosis	0.00053345593	0.00071633705	0.00043143505	0.00084579287
--Leukocyte transendothelial migration	0	0	0	0
--Intestinal immune network for IgA production	0	0	0	0
--Chemokine signaling pathway	2.9101024e-05	5.6931134e-05	4.15671e-05	3.4699315e-05
-Endocrine System	0.00031456465	0.00031522875	0.00036047209	0.00041665777
--Insulin signaling pathway	4.6921882e-05	4.9065382e-05	4.5737548e-05	0.00010456732
--Adipocytokine signaling pathway	0	0	0	0
--PPAR signaling pathway	0.00026764277	0.00026616337	0.00031473454	0.00031209045
--Renin-angiotensin system	0	0	0	0
-Circulatory System	0.0068674137	0.0055918483	0.0088135909	0.0061226411
--Hemoglobin	6.5704877e-06	3.8561072e-07	8.037605e-06	1.1745099e-07
--Cardiac muscle contraction	5.1776882e-05	4.4774566e-05	4.9981606e-05	4.8735572e-05
--Vascular smooth muscle contraction	0.0068090663	0.0055466882	0.0087555717	0.0060737881
-Digestive System	1.2695161e-05	9.6950978e-06	1.7761878e-05	1.0760058e-05
--Salivary secretion	3.4118997e-06	4.3480174e-06	3.9314545e-06	1.0748313e-05
--Pancreatic secretion	0	0	0	0
--Bile secretion	0	0	0	0
--Protein digestion and absorption	9.283261e-06	5.3470804e-06	1.3830424e-05	1.1745099e-08
--Fat digestion and absorption	0	0	0	0
--Vitamin digestion and absorption	0	0	0	0
--Mineral absorption	0	0	0	0
-Excretory System	0.00087100893	0.00076796005	0.0010178621	0.00083431092
--Vasopressin-regulated water reabsorption	0.00084256753	0.0007445603	0.00098466147	0.00081365258
--Aldosterone-regulated sodium reabsorption	2.8441399e-05	2.3399754e-05	3.3200601e-05	2.0658342e-05
--Endocrine and other factor-regulated calcium reabsorption	0	0	0	0
--Proximal tubule bicarbonate reclamation	0	0	0	0
--Collecting duct acid secretion	0	0	0	0
-Nervous System	3.0271698e-05	3.3451865e-05	2.4562586e-05	2.7966324e-05
--Synaptic vesicle cycle	0	0	0	0
--GABAergic synapse	2.1951775e-06	4.9504099e-06	3.1355309e-06	5.6382789e-06
--Glutamatergic synapse	8.524985e-06	1.0563723e-05	1.1222403e-05	8.1996075e-06
--Long-term potentiation	0	0	0	0
--Neurotrophin signaling pathway	1.9551536e-05	1.7937733e-05	1.0204652e-05	1.4128438e-05
-Sensory System	0	0	0	0
--Phototransduction	0	0	0	0
--Olfactory transduction	0	0	0	0
-Development	0.00075835079	0.00096929597	0.00064841983	0.0010307723
--Axon guidance	0.00057070227	0.0007751922	0.00046616892	0.00080089884
--Osteoclast differentiation	0.00018764852	0.00019410376	0.00018225091	0.00022987347
-Environmental Adaptation	0	0	0	0
--Circadian rhythm	0	0	0	0
--Plant-pathogen interaction	0	0	0	0
Human Diseases	0.0010209868	0.001040963	0.0010733733	0.0014071002
-Cancers	0.00039985942	0.00041090561	0.00048065472	0.00072614342
--Proteoglycans in cancer	0	0	0	0
--MicroRNAs in cancer	0	0	0	0
--Transcriptional misregulation in cancer	1.5245498e-05	1.9333271e-05	1.6892837e-05	1.1844906e-05
--Viral carcinogenesis	1.770857e-05	1.8517697e-05	1.7235721e-05	1.9032126e-05
--Pathways in cancer	0.00036690535	0.00037305464	0.00044652617	0.00069526639
--Non-small cell lung cancer	0	0	0	0
-Immune System Diseases	0.00038882379	0.00041379116	0.00034932167	0.00050945955
--Systemic lupus erythematosus	0.00037300854	0.00040850418	0.00034930905	0.00050630412
--Primary immunodeficiency	1.5815245e-05	5.2869769e-06	1.2621504e-08	3.1554218e-06
-Neurodegenerative Diseases	4.0123175e-05	5.747063e-05	4.7182235e-05	6.2158302e-05
--Alzheimer's disease	0	0	0	0
--Parkinson's disease	0	0	0	0
--Amyotrophic lateral sclerosis (ALS)	3.597533e-05	4.8271048e-05	3.7009933e-05	5.5711878e-05
--Huntington's disease	4.1478453e-06	9.1995814e-06	1.0172302e-05	6.4464246e-06
-Cardiovascular Diseases	0	0	0	0
--Hypertrophic cardiomyopathy (HCM)	0	0	0	0
--Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0	0
-Infectious Diseases	0.00019218037	0.0001587956	0.00019621469	0.00010933897
--HTLV-I infection	0	0	0	0
--Epstein-Barr virus infection	0	0	0	0
--Legionellosis	0	0	0	0
--Herpes simplex infection	0	0	0	0
--Salmonella infection	0	0	0	0
--Vibrio cholerae infection	0	0	0	0
--Tuberculosis	0	0	0	0
--Bacterial invasion of epithelial cells	8.6060029e-05	7.5288708e-05	8.2699734e-05	6.040374e-05
--Measles	7.7631597e-05	6.7876208e-05	7.1546024e-05	3.7270308e-05
--Influenza A	2.8488746e-05	1.5630683e-05	4.196893e-05	1.1664923e-05
--Hepatitis C	0	0	0	0
Not Mapped	0.13018887	0.12772902	0.13531491	0.13433953
-Not Mapped	0.13018887	0.12772902	0.13531491	0.13433953
--Not mapped	0.13018887	0.12772902	0.13531491	0.13433953
