Category	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
--Protease inhibitors	0.00078525763	2.6017773e-05	0.00017908113	0.00031803713	0.00044008433	0.00057509256	0.00019574354	0.00058740339	0.00091088726	0.00046055453	0.00042825401
--Chaperones and folding catalysts	0.093882194	0.081658393	0.090702159	0.098886226	0.068282175	0.071908494	0.09925785	0.10896083	0.10448673	0.081362334	0.09596753
--Protein export	0.0032599142	0.0030084188	0.0030734338	0.0037036816	0.0023260284	0.0027945307	0.0028117259	0.0035686965	0.0033617251	0.002996069	0.0024515661
--Protein processing in endoplasmic reticulum	0.017581947	0.01580875	0.019636725	0.019212338	0.017580173	0.024303038	0.015400543	0.025479428	0.015748537	0.019679523	0.017626584
--SNARE interactions in vesicular transport	0.0007664496	0.00064483583	0.0008677234	0.0011856789	0.00068764777	0.0010445897	0.00069971427	0.00070442313	0.00081119126	0.0010817869	0.00070151574
--SNAREs	1.7986803e-05	4.8172784e-05	4.5296789e-05	4.8152817e-05	4.3639199e-05	9.7652122e-05	0.00010441664	6.6626176e-05	7.1567568e-05	0.00011699812	4.7405971e-05
--Ubiquitin mediated proteolysis	0.0074708426	0.0095634117	0.0092738152	0.0090038219	0.0072208572	0.0098678535	0.011575451	0.0075783621	0.0099704404	0.0079929785	0.0091551891
--Ubiquitin labeling	0.0095225965	0.01078562	0.0088047107	0.010985792	0.0087367455	0.010287287	0.013495513	0.0076891661	0.011522319	0.01018027	0.011133182
--Sulfur relay system	0.00031833777	0.00029123921	0.0002719793	0.00021183065	0.0003671113	0.00021522755	0.00030516793	0.00048463393	0.00027636947	0.00064410733	0.00037889046
--Proteasome	0.011312678	0.014323371	0.014358128	0.015131778	0.0090330878	0.012165007	0.015357354	0.013543996	0.017553971	0.0098132058	0.015225058
--Peptidases	0.0095779729	0.011564967	0.012563989	0.013216424	0.010650515	0.013999135	0.011846803	0.017532542	0.011703265	0.021828052	0.015313558
--RNA degradation	0.0088033111	0.010501403	0.010200319	0.0079933825	0.0084102711	0.0091322395	0.0098160429	0.0086558848	0.011507921	0.0084037434	0.012357009
-DNA Maintenance	0.07412522	0.10486224	0.06913078	0.07679865	0.062954785	0.052274465	0.085760836	0.058846194	0.080854103	0.072037697	0.079615399
--DNA replication	0.0015995384	0.0019252721	0.001137311	0.0011274631	0.0010147986	0.0008082133	0.0014231333	0.00059767638	0.0014841696	0.00085400133	0.0012236752
--DNA replication complex	0.004994395	0.009428097	0.0049554738	0.0066300401	0.0046686467	0.0025725663	0.007832149	0.0013053386	0.0069635533	0.0020994849	0.0037796339
--DNA replication control	0.0088554721	0.0092734145	0.0079875146	0.0087736667	0.0075427191	0.0050671883	0.01175881	0.0056827862	0.01000892	0.01061462	0.006911388
--Chromosome-related	0.052111609	0.075439828	0.047386133	0.052851067	0.043607121	0.039030102	0.056723088	0.044152116	0.055627091	0.050831449	0.05895163
--Base excision repair	0.00097053742	0.001276594	0.0007935494	0.00091060349	0.0010594047	0.00065044131	0.0013884478	0.0015310879	0.00092503533	0.0018875274	0.001707954
--Nucleotide excision repair	9.4947752e-05	0.00012092833	8.3176362e-05	9.4762014e-05	8.655704e-05	8.9189259e-05	0.00014002463	7.3558586e-05	0.00011291547	0.00018450424	7.8042686e-05
--Mismatch repair	0.00064837076	9.8788255e-05	0.00090705204	0.00086975588	0.0005084618	0.00032109607	0.00087311045	0.00024196641	0.0011909218	0.00013605735	0.00031558052
--Homologous recombination	9.8461809e-06	1.5138167e-05	2.181676e-05	9.8555442e-05	1.6664081e-05	6.1185679e-06	2.4205845e-05	3.7869337e-06	2.9194997e-05	1.0421776e-05	1.4599858e-05
--Non-homologous end-joining	0.0022466377	0.0048088402	0.0031885553	0.0028061172	0.0021085306	0.0017967629	0.0031506138	0.0035522441	0.0022661883	0.0032614523	0.0039413435
--DNA repair and recombination proteins	0.0025938659	0.0024753413	0.0026701977	0.0026366181	0.002341881	0.0019327871	0.0024472528	0.0017056323	0.0022461132	0.0021581787	0.0026915516
Environmental Information Processing	0.04141337	0.048547023	0.040570913	0.041799805	0.044584602	0.060293166	0.031191633	0.043832393	0.034613593	0.044162602	0.034851622
-Signal Transduction	0.018405382	0.027135703	0.01734193	0.018935771	0.019579373	0.024145751	0.018194729	0.02017765	0.018825558	0.023968846	0.018630647
--Ras signaling pathway	9.5171876e-06	9.5822942e-06	1.8570093e-05	1.3155057e-05	5.6460783e-06	7.7461683e-06	3.2936998e-05	7.8986483e-06	3.2733372e-05	6.264386e-06	1.6088011e-05
--Rap1 signaling pathway	0.00032255168	0.0015424436	0.00050932054	0.00028735138	0.00051396984	0.0012596481	0.00033755742	0.00061330632	0.00030268993	0.00026850691	0.00056185866
--Hippo signaling pathway	7.9019374e-06	3.0721007e-05	7.2153696e-06	5.0291729e-06	9.5026138e-06	3.1875835e-06	1.5725385e-05	7.6532901e-07	0.0001410524	5.194079e-06	1.4432856e-05
--NF-kappa B signaling pathway	1.9354376e-05	3.8676175e-05	2.5778608e-05	3.723562e-05	1.598399e-05	7.098006e-05	2.3438547e-05	5.2741824e-05	2.2833364e-05	3.3608466e-05	1.8306836e-05
--TNF signaling pathway	0	0	0	0	0	0	0	0	0	0	0
--HIF-1 signaling pathway	6.5707186e-11	1.8654774e-08	3.0453531e-11	3.8205829e-11	5.6209895e-11	3.3646189e-11	2.8521131e-11	2.6851012e-08	1.2319133e-10	3.4673177e-11	6.7543283e-07
--PI3K-Akt signaling pathway	8.4565571e-05	0.00020448575	0.00015315589	0.00010606689	6.0382976e-05	0.00013875115	7.7886672e-05	7.7797085e-05	3.8261207e-05	0.00013303839	0.0002525843
--FoxO signaling pathway	0	0	0	0	0	0	0	0	0	0	0
--Other signaling pathways	1.4393178e-05	2.7308046e-05	6.8901492e-05	2.0641085e-05	1.6018936e-05	0.00010654721	2.666694e-05	1.8974107e-05	1.4328793e-05	4.4898465e-05	5.3117115e-05
--Two-component system	0.00064349684	0.0020852293	0.00062383811	0.00078795583	0.0005359304	0.0022900369	0.0017777302	0.0028233767	0.0020375779	0.0032728014	0.0013215427
--MAPK signaling pathway	0.0046401844	0.0098126269	0.0053861445	0.0043887467	0.0048554332	0.0058622749	0.0049695301	0.0043054835	0.0058500508	0.0038903759	0.0043557384
--ErbB signaling pathway	0.00044722132	0.0011286996	0.00077239042	0.0011107394	0.0007639103	0.00080686811	0.00070478938	0.00052228242	0.00052427934	0.00055080841	0.00064882361
--Wnt signaling pathway	0.0015994158	0.0020562648	0.0016783868	0.0014936979	0.0016932991	0.0017987041	0.0020135344	0.0016909154	0.0021147509	0.0021089116	0.0015234026
--Notch signaling pathway	0.00018248594	0.00015727814	0.00024967419	0.00092084656	0.00026443078	0.00020843941	0.00022374138	0.00010483457	0.00014311262	0.00019916603	0.00020660929
--Hedgehog signaling pathway	0.00010410528	7.9755485e-05	0.00011956892	0.00013298478	6.3880532e-05	9.1365516e-05	8.781734e-05	8.3269202e-05	0.00015841459	8.019839e-05	0.00016473617
--TGF-beta signaling pathway	3.068801e-05	7.3102327e-05	7.4285484e-05	4.8959928e-05	4.4255017e-05	0.00025133203	0.00012174997	4.1831891e-05	7.3959284e-05	5.6423922e-05	4.6669494e-05
--VEGF signaling pathway	6.2359893e-05	2.8128538e-05	6.5156746e-05	7.8934601e-05	8.8106345e-05	0.00012825248	2.2008122e-05	1.5542621e-05	4.8127147e-05	4.019313e-05	0.00014085855
--Jak-STAT signaling pathway	0.00024642834	0.00036602877	0.00021596664	0.00017215457	0.00019708377	0.00028689366	0.00017136112	0.00016961751	0.0002303345	0.00015462196	0.00036604931
--Calcium signaling pathway	0.0091095114	0.0079735715	0.0059382337	0.0079579833	0.0094201801	0.0093151438	0.0063863237	0.0087200078	0.0060995571	0.012017138	0.007688111
--Phosphatidylinositol signaling system	0.0004861132	0.0010436358	0.0009187652	0.00071798055	0.00059893975	0.00091492758	0.00062705789	0.00059352757	0.00050882964	0.00063309344	0.00081595048
--mTOR signaling pathway	0.00039508727	0.00047814665	0.00051657681	0.00065530812	0.00043241941	0.00060465201	0.00057487371	0.00033545116	0.00048466527	0.00047360299	0.00043509268
--Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0
-Signaling Molecules and Interaction	0.023007988	0.02141132	0.023228983	0.022864034	0.025005229	0.036147415	0.012996904	0.023654742	0.015788035	0.020193756	0.016220975
--Insulin secretion	9.9236384e-08	5.8131786e-07	3.0439471e-06	1.8857486e-08	6.2769005e-08	3.7138439e-08	9.5349626e-08	2.0060709e-09	1.2319133e-10	1.0204428e-07	3.861718e-06
--G protein-coupled receptors	0.00054829948	0.00016714735	0.00040082302	0.00064086768	0.00079505957	0.00060277355	0.00018278625	0.00029422378	0.00022554366	0.00021725444	6.2227041e-05
--Enzyme-linked receptors	0.00015769148	0.00012355968	0.00041568045	0.00021314616	0.00043417997	0.00089377254	0.00018159959	0.00025170085	7.2786038e-05	0.00012776271	0.00025184257
--Cytokine receptors	7.7329741e-05	2.0860063e-05	2.5814731e-05	5.4526631e-05	6.9966857e-05	5.7093965e-05	4.2518191e-05	4.1104428e-05	2.110161e-05	4.2175942e-05	3.467461e-05
--Ion channels	0.0008337554	0.0011971317	0.0017740747	0.0009211811	0.00070124216	0.0019049137	0.00070076276	0.0015840664	0.001721834	0.00072422154	0.0016832356
--Neuroactive ligand-receptor interaction	0.0013852563	0.00080661299	0.0011997883	0.0017125673	0.00096220529	0.001315282	0.0011419921	0.0016659225	0.00079135192	0.0018870398	0.0012851279
--Cytokine-cytokine receptor interaction	6.1643292e-05	1.3486206e-05	0.00019185813	4.4737742e-06	6.9962554e-05	0.00011414251	4.4299748e-06	5.256999e-06	1.0012504e-05	2.8951858e-06	6.9573511e-06
--Cytokines	6.7879875e-06	5.5919046e-06	2.7434366e-05	9.2312249e-06	1.9476736e-05	1.9443467e-05	8.8924922e-06	6.9521503e-05	3.4051011e-06	0.00013276658	2.9301682e-05
--ECM-receptor interaction	0.002128944	0.0013209319	0.0031548657	0.0011821039	0.0037703084	0.005754437	0.00073848232	0.0024613214	0.0011647852	0.0014186903	0.0012708822
--Cell adhesion molecules (CAMs)	0.00090604677	0.002314889	0.0010424188	0.0014510643	0.0011306977	0.0021743055	0.00066016141	0.0013268855	0.00090824959	0.002932876	0.00057104905
--CAM ligands	0.0021730988	0.0015225962	0.0027812732	0.0013324121	0.0042754207	0.0050644729	0.00045308631	0.0026360624	0.0010568018	0.00057989199	0.0016769756
--Cellular antigens	0.0077512047	0.0042019988	0.004333475	0.0070717319	0.0056391814	0.0072631697	0.0026467628	0.0053927498	0.0038452237	0.005014893	0.0029628123
--GTP-binding signaling proteins	0.0068797328	0.0093177924	0.0077735852	0.0081815725	0.0070436397	0.010755408	0.006143577	0.0074479151	0.0058866124	0.0070372397	0.0062783229
--Glycan binding proteins	7.1886408e-05	0.00039038995	8.75284e-05	7.0477578e-05	8.3140434e-05	8.0762834e-05	8.0294414e-05	0.0002696323	6.3194851e-05	6.4138541e-05	6.8153798e-05
--Bacterial toxins	2.6211929e-05	7.750802e-06	1.7319518e-05	1.8658568e-05	1.0684946e-05	0.00014740018	1.1462746e-05	0.00020837732	1.7132209e-05	1.1807762e-05	3.5550266e-05
Cellular Processes	0.14476865	0.1512087	0.18098083	0.12743778	0.17622526	0.22156333	0.11008258	0.11527055	0.10428446	0.099585427	0.098350837
-Hemoglobin	1.656577e-06	3.0875781e-06	2.6458788e-06	1.4767334e-06	1.2009511e-06	6.1649835e-07	1.0912215e-06	1.6490408e-06	5.9399329e-05	1.8203235e-07	4.0639579e-06
--Hemoglobin	1.656577e-06	3.0875781e-06	2.6458788e-06	1.4767334e-06	1.2009511e-06	6.1649835e-07	1.0912215e-06	1.6490408e-06	5.9399329e-05	1.8203235e-07	4.0639579e-06
-Vesicular Transport	0.021128263	0.028782045	0.023217935	0.021895447	0.022131832	0.033481169	0.022329071	0.032732347	0.021226593	0.030811361	0.020831941
--Endocytosis	0.0089122636	0.0099827255	0.011636771	0.010362394	0.01026204	0.015940082	0.0088156473	0.008442411	0.010060386	0.0081934454	0.0091369289
--Phagosome	0.0013396798	0.004805227	0.0011812445	0.0014123083	0.0011689306	0.0021274702	0.0018304562	0.0017638433	0.0019612214	0.001420204	0.0015386048
--Lysosome	0.0022605634	0.0022509895	0.0030381941	0.0028001149	0.002298443	0.0039721966	0.0029439299	0.0051781476	0.0020751566	0.0043272997	0.0022998817
--Peroxisome	0.0085266415	0.011656911	0.007274505	0.0072462847	0.0083517647	0.011327372	0.0086648043	0.017258256	0.00707504	0.016826684	0.0077837369
--Regulation of autophagy	8.9114696e-05	8.6192259e-05	8.7220126e-05	7.4344515e-05	5.0653662e-05	0.00011404861	7.4233352e-05	8.9689642e-05	5.4788762e-05	4.3727399e-05	7.2788252e-05
-Cytoskeleton	0.10606709	0.10791019	0.1338	0.090275085	0.12791113	0.16258288	0.073119586	0.067739915	0.066869736	0.056601748	0.063126277
--Regulation of actin cytoskeleton	0.014031656	0.021401228	0.017887698	0.013052395	0.017330486	0.020589858	0.012171822	0.009586705	0.01335505	0.0082396977	0.011940777
--Cytoskeleton proteins	0.092035435	0.086508958	0.1159123	0.07722269	0.11058065	0.14199302	0.060947764	0.05815321	0.053514686	0.048362051	0.0511855
-Cell Motility	0	0	0	0	0	0	0	0	0	0	0
--Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0
--Bacterial motility proteins	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	0.0078123273	0.0081558201	0.0089450487	0.006922792	0.0077868541	0.0082044449	0.0082180438	0.0061962571	0.0080468229	0.0067631723	0.0071539223
--Cell cycle	0.0055786671	0.0065325203	0.0078076105	0.0052981426	0.0062891927	0.0062560936	0.0063368072	0.0043490992	0.0062401841	0.0041664479	0.0053831126
--Meiosis	0	0	0	0	0	0	0	0	0	0	0
--Oocyte meiosis	0.00013634683	7.5246245e-05	9.7455155e-05	5.7395777e-05	7.8256452e-05	9.4568965e-05	0.00015076383	3.0941401e-05	9.5194714e-05	6.9670452e-05	9.1735515e-05
--Apoptosis	0.0016551013	0.0015085992	0.0007691768	0.0014788019	0.0012335074	0.0016677465	0.0015730762	0.001565421	0.0016549058	0.0024747024	0.0015033602
--p53 signaling pathway	0.00044221209	3.9454446e-05	0.00027080625	8.8451708e-05	0.00018589751	0.00018603585	0.00015739651	0.00025079559	5.6538229e-05	5.2351552e-05	0.00017571401
-Cell Communication	0.0097593143	0.0063575559	0.0150152	0.0083429823	0.018394243	0.017294227	0.0064147926	0.0086003839	0.0080819034	0.0054089636	0.0072346332
--Focal adhesion	0.0078190027	0.0048332845	0.011604339	0.0055922346	0.015154693	0.013718533	0.0040096894	0.0060968589	0.0055288748	0.0019484147	0.0056139659
--Adherens junction	0.00082000979	0.00037692369	0.0011353472	0.0013237909	0.0017172548	0.0016760623	0.00081976272	0.0010063556	0.00068093375	0.0023478182	0.00065432903
--Tight junction	0.0011165001	0.0011460181	0.0022465472	0.0014230296	0.0015097586	0.0018815179	0.0015734684	0.0014932221	0.0018690109	0.0011062112	0.00096498328
--Gap junction	3.8017711e-06	1.329551e-06	2.8966361e-05	3.9271671e-06	1.2537112e-05	1.8113799e-05	1.1872114e-05	3.9472087e-06	3.0839329e-06	6.5195163e-06	1.3550481e-06
Metabolism	0.16477887	0.16725789	0.1486657	0.17375353	0.20178865	0.16661464	0.16763968	0.22199655	0.15777078	0.23060167	0.17549404
-Membrane Transport	0.0018366985	0.00080794636	0.00091067146	0.00075132893	0.0016704058	0.0015760973	0.00064346582	0.0019583345	0.0013533397	0.0014073373	0.00094753746
--Transport	0.0018281525	0.00077676183	0.00089067831	0.00073468324	0.0016572574	0.0015561908	0.00063089973	0.0019496701	0.0013200795	0.0013930938	0.00089245282
--Secretion system	8.546073e-06	3.1184526e-05	1.9993151e-05	1.6645698e-05	1.3148383e-05	1.990651e-05	1.2566085e-05	8.6643334e-06	3.326023e-05	1.4243527e-05	5.5084639e-05
-Central Carbon Metabolism	0.066731995	0.076252347	0.066532176	0.072743085	0.090410732	0.078981318	0.068524312	0.076362178	0.06250314	0.08830332	0.073282641
--Glycolysis	0.040079198	0.042794162	0.038257943	0.037175825	0.042861572	0.045374028	0.038826721	0.033612835	0.032940437	0.03995772	0.04093569
--TCA cycle and anaplerotic enzymes	0.0081272432	0.011101056	0.0079808415	0.0098182772	0.0099706057	0.0089182653	0.0087846711	0.012282697	0.0098877049	0.019515782	0.0094022991
--Pentose phosphate metabolism	0.0067655802	0.00788346	0.0065533793	0.0095954557	0.017109135	0.011246538	0.0057017985	0.0074529444	0.0063541985	0.005762241	0.0051194154
--Carbohydrate metabolism	0.0032984608	0.0032705623	0.0037638343	0.0045708298	0.013016546	0.0055513517	0.0041596753	0.01003103	0.0023709493	0.0069034689	0.0040858901
--Pyruvate metabolism	0.00025336644	0.00019269432	0.00025415231	0.00025829	0.00030885223	0.00055461409	0.00025814129	0.00031575104	0.00064673001	0.00027747438	0.00021195743
--Butanoate metabolism	0.0023656959	0.0035158295	0.0026372256	0.0024875299	0.0016785326	0.0024607736	0.0023556037	0.0046644855	0.002776166	0.0064327904	0.0033431459
--C5-Branched dibasic acid metabolism	0	0	0	0	0	0	0	0	0	0	0
--Other central metabolism enzymes	0.0058424507	0.0074945828	0.0070848	0.0088368766	0.0054654886	0.0048757476	0.0084377007	0.0080024361	0.0075269543	0.0094538438	0.010184243
-Energy Metabolism	0.019742578	0.020292456	0.014815555	0.019906313	0.018076462	0.015673746	0.021031316	0.02823559	0.020456165	0.04052697	0.022324196
--Oxidative phosphorylation	0.015538381	0.015794266	0.011249844	0.016348379	0.016033961	0.014226221	0.016240752	0.019013652	0.016528851	0.031345406	0.018147647
--Photosynthesis	0	0	0	0	0	0	0	0	0	0	0
--Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0
--Carbon fixation in photosynthetic organisms	1.8274874e-05	5.9101752e-05	7.886629e-05	0.00014932382	3.8814252e-05	4.2067646e-05	0.00010502261	0.00048382552	5.742279e-05	0.00023650573	7.6399458e-05
--Carbon fixation pathways in prokaryotes	0	0	0	0	0	0	0	0	0	0	0
--Methane metabolism	0.0041859216	0.0044390878	0.0034868452	0.0034086101	0.0020036862	0.0014054576	0.0046855412	0.0087381123	0.0038698908	0.0089450584	0.0041001491
-Biosynthesis	0.054477972	0.047538696	0.046822594	0.060626229	0.07151601	0.050541256	0.053432439	0.083616627	0.051077434	0.073995166	0.05700056
--Lipid and steroid metabolism	0.014012014	0.0095864109	0.012038311	0.019880834	0.020283723	0.018955903	0.012037366	0.027594005	0.012649287	0.015073315	0.012672456
--Purine metabolism	0.0075304285	0.0098444742	0.0084291461	0.0078376035	0.0060853924	0.0049018403	0.0087374947	0.0077869814	0.0081228865	0.0078310336	0.010113295
--Pyrimidine metabolism	0.0054835408	0.001982679	0.0022406538	0.0021464427	0.0031709857	0.0021005684	0.0022990558	0.0020320173	0.0016749241	0.0024661908	0.0034717562
--Amino acid metabolism	0.018243644	0.016022397	0.01469096	0.019418935	0.014813631	0.013051208	0.022317929	0.030857546	0.016634113	0.037055369	0.019446399
--Glycan metabolism	0.0031459302	0.0016779244	0.0022777753	0.0053734725	0.0033456732	0.0031467444	0.0016874552	0.0026214407	0.0017165083	0.0026316179	0.0017865448
--Cofactor biosynthesis	0.0060563544	0.0083993095	0.0071225545	0.0059546093	0.023807125	0.0083624613	0.0063412628	0.011846694	0.010269588	0.0089072532	0.0094865081
--Biosynthesis of other secondary metabolites	6.0603229e-06	2.5501277e-05	2.3193656e-05	1.433067e-05	9.4794885e-06	2.2530911e-05	1.1876418e-05	0.00087794156	1.0126916e-05	3.0386043e-05	2.3601399e-05
-Other Enzymes	0.021989626	0.022366446	0.019584701	0.019726571	0.020115043	0.019842223	0.024008148	0.031823821	0.022380704	0.026368879	0.02193911
--Other enzymes	0.021371387	0.021865086	0.018569456	0.018951548	0.019515003	0.019071981	0.023354686	0.031126911	0.021895367	0.025961669	0.021085292
--Protein kinases	0.0005755768	0.00048307001	0.00097451122	0.00067737503	0.00050862004	0.00072283567	0.00063833258	0.00059741555	0.00044598276	0.00037785559	0.00079679163
--Cytochrome P450	4.2662981e-05	1.8289206e-05	4.0733809e-05	9.7647806e-05	9.142028e-05	4.7405853e-05	1.5129789e-05	9.9494305e-05	3.9353774e-05	2.935472e-05	5.7025754e-05
Organismal Systems	0.0087421492	0.013255678	0.011333748	0.0063873482	0.010181523	0.012404478	0.009237381	0.011435811	0.008495816	0.0056900655	0.0088550766
-Immune System	0.0012900526	0.0026478256	0.00092025543	0.0013279065	0.0012962741	0.0024531422	0.0010004375	0.0027846714	0.00098965592	0.00075417374	0.0011599964
--Response to viral infection	4.5714429e-05	0.00015354448	1.376286e-05	3.0289018e-05	8.458798e-05	0.00015576093	1.6529762e-05	2.9390624e-05	2.5163118e-06	3.6494453e-05	3.4703121e-05
--Complement and coagulation cascades	0.00016338457	4.5534339e-05	7.8453467e-05	5.4266755e-05	0.00023156654	0.00010556603	3.6382148e-05	0.0017405127	5.7942304e-05	0.0001370343	5.4707605e-05
--Toll-like receptor signaling pathway	8.4798484e-06	1.9317277e-05	2.0140752e-05	2.2583057e-05	3.0466888e-05	4.8165231e-05	2.1177319e-05	2.4442019e-05	2.3971006e-05	5.9808563e-05	2.3436521e-05
--NOD-like receptor signaling pathway	0.00044002018	0.0003892531	0.00040094799	0.00056504048	0.00030722207	0.00038136338	0.00044721353	0.00026847174	0.00064061549	6.9305491e-05	0.00048425116
--RIG-I-like receptor signaling pathway	4.9733405e-05	9.7484957e-05	3.7298718e-05	0.0001033193	0.00015067072	0.00032213151	5.7162454e-05	0.00015319939	8.7523141e-05	0.00015086039	8.2080958e-05
--Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0	0
--Natural killer cell mediated cytotoxicity	1.0370269e-05	1.2400959e-05	1.0124635e-05	3.2968399e-07	1.5317741e-05	3.8447908e-05	1.0197175e-05	8.6519564e-06	3.5004022e-07	4.3521143e-06	6.8768596e-05
--Antigen processing and presentation	0.00022929765	0.00040239339	0.00011383811	0.00015045643	0.00013857859	0.00076329037	8.9743811e-05	0.00017448392	5.9256571e-05	4.5075479e-05	0.00015996313
--T cell receptor signaling pathway	0.00014764175	0.00022339523	0.00013028036	0.000121265	8.5872383e-05	0.0002318788	9.91428e-05	0.00017529389	4.6495388e-05	9.2062539e-05	0.00017133054
--B cell receptor signaling pathway	2.2185037e-07	5.4337302e-05	6.9103896e-07	1.2429934e-07	3.2933074e-09	1.0295179e-07	7.4167319e-07	1.4718358e-06	9.7559707e-07	4.5467485e-06	1.0108551e-06
--Fc epsilon RI signaling pathway	6.5707186e-11	2.4168453e-06	2.0970783e-07	3.8205829e-11	5.6209895e-11	3.3646189e-11	2.1171092e-07	7.9503393e-11	3.4519754e-06	1.5025452e-08	1.1763948e-10
--Fc gamma R-mediated phagocytosis	0.00016009115	0.00080298522	8.2079338e-05	8.2899478e-05	0.0002312949	0.00038305715	0.00018791532	0.00017740362	4.8015625e-05	0.00013832693	7.1375035e-05
--Leukocyte transendothelial migration	1.1562859e-05	2.7460807e-05	1.4889238e-05	2.5823315e-06	3.4690439e-06	1.5884686e-06	4.591642e-06	5.5208721e-07	1.2608373e-05	9.2639124e-07	1.6186494e-06
--Intestinal immune network for IgA production	0	0	0	0	0	0	0	0	0	0	0
--Chemokine signaling pathway	2.3534598e-05	0.00041730171	1.7539214e-05	0.00019475065	1.7223863e-05	2.1789486e-05	2.9428179e-05	3.0797488e-05	5.9340974e-06	1.5365307e-05	6.7501076e-06
-Endocrine System	0.00085151934	0.0018517854	0.0018065736	0.00085352836	0.0012149934	0.0014146892	0.0022487293	0.002630969	0.00093675396	0.0012952214	0.001882584
--Insulin signaling pathway	0.00038717866	0.00054763416	0.00049498664	0.0004017805	0.00049246445	0.00051408534	0.0010317858	0.00048547398	0.00039205386	0.0010104436	0.00064430237
--Adipocytokine signaling pathway	4.2341968e-07	8.3460572e-11	2.3336031e-07	1.3120909e-06	4.5451926e-07	3.3646189e-11	1.0196881e-06	9.8622624e-07	5.3715602e-07	1.3531766e-07	1.9725443e-06
--PPAR signaling pathway	0.00046162861	0.0013010299	0.0013099509	0.00044919958	0.00071896271	0.00089604075	0.001215912	0.0019658161	0.00054215706	0.00028294795	0.0012101633
--Renin-angiotensin system	2.2886505e-06	3.1212975e-06	1.4026308e-06	1.2361937e-06	3.1117019e-06	4.5631097e-06	1.184297e-08	0.00017869267	2.0058822e-06	1.6945152e-06	2.6145709e-05
