Category	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
--Jak-STAT signaling pathway	0.00015313824	0.00022690936	0.0001664843	0.00012657269	0.00015240538	0.00018580717	0.00011421117	0.00014463739	0.00016491879	0.00011527046	0.00033253275
--Calcium signaling pathway	0.0099545014	0.0087541537	0.0077345679	0.0087387791	0.0099992027	0.010392469	0.0074378425	0.0099843929	0.0069124633	0.012987931	0.0078527289
--Phosphatidylinositol signaling system	0.00033731688	0.00073456196	0.00054846432	0.00043361107	0.00039983727	0.00052352889	0.00043002423	0.000437469	0.00031166664	0.00042722759	0.00060602257
--mTOR signaling pathway	0.00037231898	0.00032374485	0.00037845101	0.00063357446	0.00032491249	0.00054945887	0.00037258302	0.00026830632	0.0003973603	0.00031291692	0.00029882148
--Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0
-Signaling Molecules and Interaction	0.025749964	0.023128681	0.029136925	0.026402721	0.027196404	0.044586476	0.015114209	0.02557042	0.01932141	0.02240666	0.020559159
--Insulin secretion	0	0	0	0	0	0	0	0	0	0	0
--G protein-coupled receptors	0.000473158	0.00012808194	0.00039037582	0.00055494965	0.00075404492	0.00060832846	0.00010450934	0.00023902	0.00010133435	0.00014062036	4.6109411e-05
--Enzyme-linked receptors	5.4277429e-05	4.0791645e-05	0.00015691178	7.5284767e-05	0.00015915365	0.00033698711	6.2442011e-05	8.6236523e-05	2.5050701e-05	4.584118e-05	8.7238255e-05
--Cytokine receptors	6.6142796e-05	1.6094782e-05	2.7016336e-05	5.751109e-05	6.3062225e-05	6.0015817e-05	3.2967702e-05	3.4656817e-05	1.5754718e-05	3.9361973e-05	2.6996503e-05
--Ion channels	0.0011330535	0.0015025432	0.0026352533	0.0012947216	0.00095918367	0.0028461368	0.00095947332	0.0021826098	0.0023202186	0.00090940624	0.0023017603
--Neuroactive ligand-receptor interaction	0.0010004944	0.00027147598	0.00091139628	0.0011296927	0.00066957771	0.00079312539	0.00048343819	0.0013528877	0.00032934248	0.0016873109	0.0011661001
--Cytokine-cytokine receptor interaction	0.00011293704	1.635003e-05	0.00037035998	6.7035797e-06	0.00014695879	0.00020917278	7.7197222e-06	8.2889701e-06	1.7827651e-05	4.3310156e-06	6.7074602e-06
--Cytokines	5.4991671e-06	6.1925303e-06	1.9026845e-05	8.6534009e-06	1.5196163e-05	1.4550128e-05	8.5331357e-06	8.4210574e-05	2.4476216e-06	0.00016242941	3.0638719e-05
--ECM-receptor interaction	0.00089295341	0.0006263282	0.0012872699	0.00049520577	0.0015947184	0.0022394414	0.00027186714	0.00071144849	0.00044956048	0.00048243302	0.00049826136
--Cell adhesion molecules (CAMs)	0.00055686414	0.0011160461	0.00066993872	0.0010384322	0.00081795789	0.0012804957	0.00042474834	0.00097994458	0.00056325096	0.0016501604	0.00033466566
--CAM ligands	0.0040860285	0.0012272117	0.005987498	0.0024836417	0.0061792879	0.011116103	0.00059277308	0.0026098753	0.002080383	0.00042819488	0.0034970261
--Cellular antigens	0.0061631376	0.0033866281	0.0033621668	0.0053234209	0.0041530534	0.0073086981	0.0021000004	0.0041712949	0.0040680719	0.0048759239	0.002554578
--GTP-binding signaling proteins	0.011094465	0.014366351	0.013193936	0.013831044	0.011570851	0.017535204	0.0099636499	0.012596386	0.0092582189	0.011897074	0.0099007757
--Glycan binding proteins	8.7995999e-05	0.00041801978	0.00011007253	8.7032238e-05	0.00010377848	0.00010191692	9.2078268e-05	0.00033013443	7.5301626e-05	7.3476069e-05	7.8770234e-05
--Bacterial toxins	2.2956761e-05	6.5657943e-06	1.5702743e-05	1.642714e-05	9.5797218e-06	0.00013630005	1.0008314e-05	0.00018342561	1.4647227e-05	1.0096759e-05	2.9531479e-05
Cellular Processes	0.10580921	0.12218469	0.11946914	0.097374289	0.11985618	0.14985919	0.089429019	0.091374362	0.084930732	0.078556385	0.07702666
-Hemoglobin	4.169555e-06	7.5853562e-06	7.007887e-06	3.6914552e-06	3.103706e-06	1.6452417e-06	2.6971193e-06	4.2401294e-06	0.00014661018	4.4928182e-07	9.8560551e-06
--Hemoglobin	4.169555e-06	7.5853562e-06	7.007887e-06	3.6914552e-06	3.103706e-06	1.6452417e-06	2.6971193e-06	4.2401294e-06	0.00014661018	4.4928182e-07	9.8560551e-06
-Vesicular Transport	0.017888243	0.024274933	0.020317911	0.017328283	0.01902762	0.02990502	0.021166438	0.029424442	0.018052534	0.025024197	0.016340808
--Endocytosis	0.0046394662	0.0055738646	0.0065980964	0.004976915	0.0059210218	0.010882286	0.0048096196	0.0042282393	0.0051358483	0.0041804986	0.0045029265
--Phagosome	0.001119583	0.0039578293	0.001168376	0.001306214	0.0010488845	0.0019709157	0.0018557212	0.0016072266	0.0018987974	0.0012258694	0.0013532702
--Lysosome	0.0015019139	0.0015635223	0.0023049334	0.0018787677	0.0016552794	0.0030086071	0.0020546477	0.0035914816	0.0013550768	0.0030148317	0.001391517
--Peroxisome	0.01058085	0.013133293	0.010194966	0.0091161509	0.010368983	0.013945196	0.012407045	0.019930254	0.0096273509	0.016575051	0.0090427863
--Regulation of autophagy	4.6429192e-05	4.6423165e-05	5.1538944e-05	5.0235551e-05	3.3451301e-05	9.8016151e-05	3.9405068e-05	6.7240826e-05	3.5460314e-05	2.7946489e-05	5.0308284e-05
-Cytoskeleton	0.07267666	0.084488655	0.079988822	0.066518143	0.082078923	0.10078075	0.054337138	0.049479224	0.051973636	0.041692622	0.047672725
--Regulation of actin cytoskeleton	0.015616186	0.028161638	0.020874046	0.015331545	0.021733866	0.022960042	0.014606164	0.011730305	0.01641	0.010107734	0.015398299
--Cytoskeleton proteins	0.057060474	0.056327016	0.059114776	0.051186598	0.060345057	0.077820713	0.039730975	0.037748919	0.035563637	0.031584888	0.032274425
-Cell Motility	0	0	0	0	0	0	0	0	0	0	0
--Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0
--Bacterial motility proteins	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	0.011069887	0.011000805	0.013220556	0.0097995578	0.01118928	0.012135166	0.011395831	0.0088426133	0.011337947	0.0095160584	0.0098977362
--Cell cycle	0.0083241223	0.0092181356	0.011955125	0.0078310256	0.0095035731	0.0096717308	0.0094676791	0.0064146538	0.0089406933	0.00607437	0.0074618029
--Meiosis	0	0	0	0	0	0	0	0	0	0	0
--Oocyte meiosis	4.0197541e-05	2.1494104e-05	2.9770762e-05	1.7090104e-05	2.3665176e-05	2.9419599e-05	4.4385402e-05	9.1686412e-06	2.8681799e-05	2.0477672e-05	2.5621692e-05
--Apoptosis	0.0022767645	0.0017260198	0.00095373941	0.0018533037	0.0014508431	0.0021871937	0.0017495651	0.0021536626	0.0023250352	0.0033619476	0.0022404495
--p53 signaling pathway	0.00042880246	3.5155853e-05	0.00028192047	9.8138377e-05	0.00021119864	0.00024682217	0.00013420181	0.00026512826	4.3536913e-05	5.9263112e-05	0.00016986213
-Cell Communication	0.0041702465	0.002412717	0.0059348465	0.0037246134	0.0075572522	0.0070366011	0.0025269136	0.0036238423	0.0034200043	0.0023230586	0.0031055355
--Focal adhesion	0.0030263047	0.0013707781	0.0041682092	0.0022385978	0.0058984524	0.0049920034	0.0013883797	0.0021513059	0.0017427986	0.00066567353	0.0020947053
--Adherens junction	0.00037279573	0.00023739446	0.00048293119	0.00054182616	0.00063733221	0.00074022945	0.00031728953	0.00043675041	0.00028155584	0.00088090506	0.00037014905
--Tight junction	0.00076871777	0.0008038488	0.0012661101	0.00094201416	0.0010096866	0.0012863965	0.00081389377	0.0010327429	0.001393996	0.00077237368	0.00063989281
--Gap junction	2.4283006e-06	6.9569791e-07	1.759608e-05	2.1752671e-06	1.1781051e-05	1.7971705e-05	7.3505752e-06	3.043133e-06	1.6538528e-06	4.1062952e-06	7.8835813e-07
Metabolism	0.14463113	0.14715087	0.13518877	0.14826567	0.18246334	0.15312459	0.15246948	0.19728568	0.14262862	0.21521059	0.15858682
-Membrane Transport	0.0012538078	0.00046721082	0.00064137073	0.00049143949	0.00080917526	0.0011175614	0.00040894112	0.0013011581	0.00089022232	0.00075600135	0.00060938255
--Transport	0.0012363341	0.00040541186	0.00059910877	0.00045707536	0.00078160076	0.0010746264	0.00038329065	0.0012833743	0.0008239247	0.00072696362	0.00050269785
--Secretion system	1.7473717e-05	6.179896e-05	4.2261966e-05	3.4364132e-05	2.7574504e-05	4.2934982e-05	2.5650464e-05	1.7783845e-05	6.6297622e-05	2.9037728e-05	0.0001066847
-Central Carbon Metabolism	0.057012035	0.062234746	0.057742215	0.060150535	0.075028839	0.068599637	0.058558757	0.062079214	0.051889925	0.073363758	0.0592647
--Glycolysis	0.038256403	0.039537582	0.037304389	0.03483187	0.039533128	0.043998524	0.037157052	0.031386833	0.031480053	0.036979534	0.037011338
--TCA cycle and anaplerotic enzymes	0.005873327	0.0078381843	0.0060560815	0.0078473793	0.0070875865	0.0071565453	0.0068972121	0.0090035577	0.0076948806	0.014912793	0.006757125
--Pentose phosphate metabolism	0.0041137318	0.0050648465	0.0045098935	0.0066142687	0.010831143	0.0073091265	0.0040868091	0.0049350205	0.0044460777	0.0040549007	0.0035914733
--Carbohydrate metabolism	0.0028232737	0.0026424909	0.0030913473	0.0033260418	0.012910458	0.0043218091	0.0033177375	0.0080840255	0.0018124474	0.0059679888	0.0027672825
--Pyruvate metabolism	3.9282204e-05	2.8961139e-05	4.0733174e-05	4.0456547e-05	4.8979513e-05	9.0730269e-05	3.9968515e-05	4.9149266e-05	9.7809344e-05	4.2835984e-05	3.1143007e-05
--Butanoate metabolism	0.0018102415	0.0021873829	0.0017375378	0.0017868062	0.0012176879	0.0017720553	0.0016721764	0.0030133832	0.0017949353	0.0044866883	0.0023919167
--C5-Branched dibasic acid metabolism	0	0	0	0	0	0	0	0	0	0	0
--Other central metabolism enzymes	0.0040957762	0.0049352974	0.0050022327	0.0057037126	0.0033998568	0.0039508468	0.0053878014	0.005607245	0.0045637217	0.006919017	0.0067144217
-Energy Metabolism	0.025411849	0.023566037	0.019680507	0.025104966	0.025343861	0.021803956	0.027740035	0.034398586	0.027593783	0.051499581	0.028281319
--Oxidative phosphorylation	0.0204937	0.019414225	0.015540909	0.021540222	0.022832182	0.019853574	0.022415668	0.024700411	0.022356073	0.042386444	0.023302627
--Photosynthesis	0	0	0	0	0	0	0	0	0	0	0
--Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0
--Carbon fixation in photosynthetic organisms	1.3047017e-05	4.2338705e-05	5.8075679e-05	0.00010905289	2.9263665e-05	3.2032418e-05	7.6700977e-05	0.00034209507	4.2357071e-05	0.00016674331	5.090477e-05
--Carbon fixation pathways in prokaryotes	0	0	0	0	0	0	0	0	0	0	0
--Methane metabolism	0.0049051027	0.0041094728	0.0040815219	0.0034556913	0.0024824156	0.0019183497	0.005247666	0.0093560795	0.0051953532	0.0089463941	0.0049277874
-Biosynthesis	0.043740109	0.044766796	0.04151862	0.047019683	0.06522886	0.045818879	0.047584558	0.071009044	0.045373755	0.067402206	0.052138572
--Lipid and steroid metabolism	0.0076549682	0.007996117	0.0064981237	0.0099495487	0.018052411	0.012230309	0.0069194645	0.018449202	0.0066489363	0.011246293	0.0081700194
--Purine metabolism	0.0082589079	0.010435063	0.009361157	0.0091617082	0.0069209897	0.0060485662	0.0097032646	0.009365094	0.0084895321	0.0098194402	0.011491993
--Pyrimidine metabolism	0.002630023	0.0015699585	0.0019314872	0.0018136263	0.0023617396	0.0019967321	0.0018578991	0.0022149094	0.0016761097	0.0023720842	0.0033208002
--Amino acid metabolism	0.0152244	0.012857617	0.01249216	0.016099211	0.012230536	0.011240018	0.019935125	0.024422189	0.01420201	0.030714266	0.015215427
--Glycan metabolism	0.0019226256	0.0013196815	0.0014516648	0.0028568405	0.0020133291	0.0023496091	0.0012160761	0.0019351309	0.0011488571	0.0019588458	0.0015750306
--Cofactor biosynthesis	0.0080453514	0.010573497	0.0097691789	0.0071299114	0.02364386	0.011939176	0.0079456816	0.01405697	0.013202215	0.011272876	0.012351696
--Biosynthesis of other secondary metabolites	3.8328178e-06	1.4862368e-05	1.4848725e-05	8.8370484e-06	5.9952233e-06	1.4467799e-05	7.0472859e-06	0.00056554795	6.0946909e-06	1.8401894e-05	1.3605284e-05
-Other Enzymes	0.017213332	0.016116079	0.015606059	0.015499042	0.016052601	0.015784556	0.018177186	0.028497676	0.016880932	0.022189045	0.01829285
--Other enzymes	0.016649039	0.015691197	0.014606767	0.01483633	0.015504744	0.015052664	0.017637375	0.027916503	0.016542243	0.021868832	0.017598336
--Protein kinases	0.00052842945	0.00041080851	0.00096790896	0.00057138376	0.0004768248	0.00068853229	0.00052789108	0.00050513086	0.00030884366	0.00029676701	0.00064490029
--Cytochrome P450	3.5864421e-05	1.4073048e-05	3.1383067e-05	9.1328203e-05	7.103202e-05	4.3359047e-05	1.1920029e-05	7.6041919e-05	2.9844753e-05	2.3445997e-05	4.9613501e-05
Organismal Systems	0.0073931493	0.01406725	0.010958248	0.005243668	0.0095302156	0.011823171	0.0084158256	0.011518079	0.0064551997	0.0038014121	0.0077584163
-Immune System	0.0013886146	0.002085875	0.00096700406	0.0011673073	0.001271745	0.0032017775	0.0010060121	0.0018922479	0.0009842505	0.00065415915	0.0010594744
--Response to viral infection	1.6590472e-05	0.00010512469	5.0213554e-06	1.0349243e-05	3.1982317e-05	6.9773149e-05	5.9680295e-06	1.0639085e-05	1.4814418e-06	1.2313365e-05	1.1698311e-05
--Complement and coagulation cascades	0.00010843536	2.2392262e-05	4.4848713e-05	2.4902375e-05	0.00014055841	5.2835643e-05	2.257152e-05	0.00080379556	4.4566915e-05	9.853264e-05	3.2658384e-05
--Toll-like receptor signaling pathway	9.8814379e-06	2.3342439e-05	2.7348742e-05	2.9967939e-05	4.1507967e-05	6.6833734e-05	2.7009172e-05	3.2508199e-05	3.1040197e-05	7.8928461e-05	2.7218292e-05
--NOD-like receptor signaling pathway	0.00038812226	0.00035710151	0.00036062945	0.00054178791	0.00026879539	0.00026742027	0.00040886054	0.00026864749	0.00059042848	5.830912e-05	0.00039660229
--RIG-I-like receptor signaling pathway	3.1628564e-05	8.5373594e-05	2.4925088e-05	6.9804435e-05	0.00010208841	0.00022822444	3.3928034e-05	9.5988563e-05	7.3326837e-05	8.8911491e-05	5.0858456e-05
--Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0	0
--Natural killer cell mediated cytotoxicity	1.3815265e-05	1.6222341e-05	1.1153339e-05	2.3244667e-07	1.6782103e-05	4.2470664e-05	1.3248233e-05	1.109856e-05	4.3194846e-07	5.0728256e-06	6.7983038e-05
--Antigen processing and presentation	0.00056550177	0.00082515672	0.00031924206	0.00026580413	0.00033732274	0.0019315033	0.00021738295	0.00038627505	0.00015546765	7.8283925e-05	0.00030473694
--T cell receptor signaling pathway	7.2846612e-05	0.00021192814	8.0782096e-05	6.3414778e-05	5.215136e-05	0.00014007566	5.3011763e-05	8.6910118e-05	2.9244848e-05	4.0193707e-05	9.8761041e-05
--B cell receptor signaling pathway	1.0030047e-07	2.3810265e-05	3.2299449e-07	5.674091e-08	1.5271852e-09	4.9099174e-08	3.3475873e-07	6.6799617e-07	4.2999886e-07	2.0496049e-06	4.3289708e-07
--Fc epsilon RI signaling pathway	1.0286233e-11	1.2611426e-06	1.16723e-07	6.0388991e-12	9.0255335e-12	5.5561866e-12	1.1379202e-07	1.2493984e-11	1.8118144e-06	8.065772e-09	1.7444137e-11
--Fc gamma R-mediated phagocytosis	0.00016714029	0.00019558889	8.0028733e-05	0.00011478181	0.00027098996	0.00039396821	0.00021021713	0.00018182515	4.8336968e-05	0.00018562031	6.4795594e-05
--Leukocyte transendothelial migration	7.2814819e-06	1.8223335e-05	6.5872496e-06	1.6134866e-06	2.3586504e-06	1.2508238e-06	1.9971795e-06	3.0719815e-07	4.9065933e-06	6.7594263e-07	6.6544286e-07
--Intestinal immune network for IgA production	0	0	0	0	0	0	0	0	0	0	0
--Chemokine signaling pathway	7.2707813e-06	0.00020034966	5.9975049e-06	4.459198e-05	7.2061723e-06	7.3724467e-06	1.1369014e-05	1.3584862e-05	2.7768052e-06	5.2596942e-06	3.0636965e-06
-Endocrine System	0.0014012462	0.0036544853	0.0038312043	0.0014472836	0.0022503509	0.0027198091	0.0037087256	0.0055538161	0.0016062523	0.001366031	0.0033933224
--Insulin signaling pathway	0.00025745918	0.00039203558	0.00037362497	0.00028857777	0.00035351953	0.00039048783	0.00060785734	0.00033348165	0.00027097099	0.00066884394	0.00040648533
--Adipocytokine signaling pathway	4.052334e-07	1.2663336e-11	2.2882968e-07	1.2531006e-06	4.3956219e-07	5.5561866e-12	9.8262229e-07	9.3927214e-07	5.0727282e-07	1.2721323e-07	1.7671596e-06
--PPAR signaling pathway	0.0011416643	0.0032601796	0.0034562624	0.0011565161	0.0018939968	0.0023257092	0.0030998768	0.0050847858	0.0013333066	0.000695792	0.0029664854
--Renin-angiotensin system	1.7174197e-06	2.2701546e-06	1.0881533e-06	9.3663019e-07	2.3950334e-06	3.6120632e-06	8.8722575e-09	0.00013460943	1.4674266e-06	1.2678528e-06	1.8584475e-05
-Circulatory System	0.0023530267	0.0018506917	0.0037716079	0.00098224183	0.0035479245	0.0029033486	0.0011714228	0.00077451492	0.0012761175	0.00033931874	0.0011151339
--Cardiac muscle contraction	0.0022250431	0.0018182193	0.0031992412	0.00096253235	0.003331038	0.0024380076	0.0011042424	0.00069762465	0.0011805581	0.00028459921	0.0010966758
--Vascular smooth muscle contraction	0.00012798368	3.2472368e-05	0.00057236667	1.9709482e-05	0.00021688644	0.00046534103	6.7180473e-05	7.6890272e-05	9.5559357e-05	5.471953e-05	1.8458051e-05
