Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
-Signaling Molecules and Interaction	Genetic Information Processing	0.0002018	6.023e-07	4.192e-07	3.431e-07	2.833e-07
Cellular Processes	Genetic Information Processing	0.03097	0.0229	0.02052	0.01884	0.01668
-Cell Structure	Genetic Information Processing	0.003182	0.006571	0.006324	0.005754	0.004284
-Crystallins	Genetic Information Processing	0	0	0	0	0
-Vesicular transport	Genetic Information Processing	5.153e-05	3.634e-05	3.437e-05	2.814e-05	2.323e-05
-Cytoskeleton	Genetic Information Processing	0.009906	0.009006	0.007578	0.006803	0.006229
-Cell Motility	Genetic Information Processing	0.01086	1.004e-05	6.987e-06	5.719e-06	4.722e-06
-Cell Growth and Death	Genetic Information Processing	0.006965	0.007271	0.006572	0.006251	0.006139
-Cellular Community	Genetic Information Processing	0	0	0	0	0
Metabolism	Genetic Information Processing	1.299	1.206	1.066	0.9763	0.8418
-Membrane Transport	Genetic Information Processing	0.2678	0.2273	0.1945	0.1602	0.1185
-Central Carbon Metabolism	Genetic Information Processing	0.4832	0.4111	0.3439	0.2933	0.2391
-Energy Metabolism	Genetic Information Processing	0.05019	0.05429	0.05246	0.04673	0.03975
-Biosynthesis	Genetic Information Processing	0.3647	0.389	0.372	0.3867	0.3612
-Other Enzymes	Genetic Information Processing	0.133	0.1246	0.1035	0.08933	0.08323
Organismal Systems	Genetic Information Processing	0	0	0	0	0
-Immune System	Genetic Information Processing	0	0	0	0	0
-Endocrine System	Genetic Information Processing	0	0	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	0	0	0
-Excretory System	Genetic Information Processing	0	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0
Human Diseases	Genetic Information Processing	5.127e-07	4.015e-07	2.795e-07	2.287e-07	1.889e-07
-Cancers	Genetic Information Processing	0	0	0	0	0
-Immune Diseases	Genetic Information Processing	0	0	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0	0
-Substance Dependence	Genetic Information Processing	0	0	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0
-Endocrine and Metabolic Diseases	Genetic Information Processing	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0	0	0	0	0
-Drug resistance	Genetic Information Processing	5.127e-07	4.015e-07	2.795e-07	2.287e-07	1.889e-07
Not Mapped	Genetic Information Processing	0.2267	0.174	0.1457	0.1254	0.1127
-Not Mapped	Genetic Information Processing	0.2267	0.174	0.1457	0.1254	0.1127
TOTAL	-Transcription	20.34	19.56	20.05	21.42	21.44
MAPPED	-Transcription	18.56	18.15	18.75	20.17	20.22
Genetic Information Processing	-Transcription	7.856	8.063	8.913	10.04	10.82
-Transcription	-Transcription	1	1	1	1	1
-Translation	-Transcription	4.807	5.065	5.918	6.993	7.785
-Folding, Sorting and Degradation	-Transcription	1.54	1.52	1.547	1.622	1.634
-DNA Maintenance	-Transcription	0.5091	0.4775	0.4478	0.425	0.3991
-RNA Family	-Transcription	2.014e-06	1.619e-06	1.245e-06	1.148e-06	1.022e-06
Environmental Information Processing	-Transcription	0.2522	0.1805	0.1501	0.135	0.1177
-Signal Transduction	-Transcription	0.2506	0.1805	0.1501	0.1349	0.1177
-Signaling Molecules and Interaction	-Transcription	0.001585	4.856e-06	3.736e-06	3.445e-06	3.065e-06
Cellular Processes	-Transcription	0.2433	0.1846	0.1828	0.1892	0.1804
-Cell Structure	-Transcription	0.025	0.05298	0.05637	0.05777	0.04635
-Crystallins	-Transcription	0	0	0	0	0
-Vesicular transport	-Transcription	0.0004048	0.000293	0.0003064	0.0002825	0.0002513
-Cytoskeleton	-Transcription	0.07783	0.07262	0.06754	0.06831	0.06738
-Cell Motility	-Transcription	0.08533	8.094e-05	6.227e-05	5.742e-05	5.108e-05
-Cell Growth and Death	-Transcription	0.05472	0.05863	0.05857	0.06276	0.06641
-Cellular Community	-Transcription	0	0	0	0	0
Metabolism	-Transcription	10.2	9.726	9.503	9.802	9.106
-Membrane Transport	-Transcription	2.104	1.833	1.733	1.609	1.282
-Central Carbon Metabolism	-Transcription	3.796	3.314	3.065	2.945	2.586
-Energy Metabolism	-Transcription	0.3943	0.4377	0.4676	0.4692	0.43
-Biosynthesis	-Transcription	2.865	3.136	3.315	3.882	3.907
-Other Enzymes	-Transcription	1.045	1.005	0.9224	0.8969	0.9004
Organismal Systems	-Transcription	0	0	0	0	0
-Immune System	-Transcription	0	0	0	0	0
-Endocrine System	-Transcription	0	0	0	0	0
-Circulatory System	-Transcription	0	0	0	0	0
-Digestive System	-Transcription	0	0	0	0	0
-Excretory System	-Transcription	0	0	0	0	0
-Nervous System	-Transcription	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	0	0	0
Human Diseases	-Transcription	4.028e-06	3.237e-06	2.491e-06	2.297e-06	2.043e-06
-Cancers	-Transcription	0	0	0	0	0
-Immune Diseases	-Transcription	0	0	0	0	0
-Neurodegenerative Diseases	-Transcription	0	0	0	0	0
-Substance Dependence	-Transcription	0	0	0	0	0
-Cardiovascular Diseases	-Transcription	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Transcription	0	0	0	0	0
-Infectious Diseases	-Transcription	0	0	0	0	0
-Drug resistance	-Transcription	4.028e-06	3.237e-06	2.491e-06	2.297e-06	2.043e-06
Not Mapped	-Transcription	1.781	1.403	1.298	1.259	1.22
-Not Mapped	-Transcription	1.781	1.403	1.298	1.259	1.22
TOTAL	-Translation	4.231	3.861	3.388	3.064	2.754
MAPPED	-Translation	3.86	3.584	3.168	2.884	2.598
Genetic Information Processing	-Translation	1.634	1.592	1.506	1.436	1.39
-Transcription	-Translation	0.208	0.1974	0.169	0.143	0.1284
-Translation	-Translation	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.3204	0.3001	0.2614	0.2319	0.2098
-DNA Maintenance	-Translation	0.1059	0.09427	0.07567	0.06077	0.05126
-RNA Family	-Translation	4.19e-07	3.196e-07	2.104e-07	1.642e-07	1.312e-07
Environmental Information Processing	-Translation	0.05247	0.03563	0.02537	0.0193	0.01512
-Signal Transduction	-Translation	0.05214	0.03563	0.02537	0.0193	0.01512
-Signaling Molecules and Interaction	-Translation	0.0003297	9.587e-07	6.313e-07	4.926e-07	3.937e-07
Cellular Processes	-Translation	0.05061	0.03644	0.0309	0.02705	0.02318
-Cell Structure	-Translation	0.0052	0.01046	0.009525	0.008261	0.005953
-Crystallins	-Translation	0	0	0	0	0
-Vesicular transport	-Translation	8.422e-05	5.784e-05	5.177e-05	4.039e-05	3.228e-05
-Cytoskeleton	-Translation	0.01619	0.01434	0.01141	0.009768	0.008655
-Cell Motility	-Translation	0.01775	1.598e-05	1.052e-05	8.21e-06	6.561e-06
-Cell Growth and Death	-Translation	0.01138	0.01157	0.009898	0.008975	0.008531
-Cellular Community	-Translation	0	0	0	0	0
Metabolism	-Translation	2.123	1.92	1.606	1.402	1.17
-Membrane Transport	-Translation	0.4377	0.3619	0.2929	0.23	0.1647
-Central Carbon Metabolism	-Translation	0.7897	0.6543	0.5179	0.4211	0.3322
-Energy Metabolism	-Translation	0.08203	0.08641	0.07902	0.06709	0.05524
-Biosynthesis	-Translation	0.596	0.6192	0.5602	0.5551	0.5019
-Other Enzymes	-Translation	0.2174	0.1984	0.1559	0.1283	0.1157
Organismal Systems	-Translation	0	0	0	0	0
-Immune System	-Translation	0	0	0	0	0
-Endocrine System	-Translation	0	0	0	0	0
-Circulatory System	-Translation	0	0	0	0	0
-Digestive System	-Translation	0	0	0	0	0
-Excretory System	-Translation	0	0	0	0	0
-Nervous System	-Translation	0	0	0	0	0
-Sensory System	-Translation	0	0	0	0	0
-Development	-Translation	0	0	0	0	0
-Environmental Adaptation	-Translation	0	0	0	0	0
Human Diseases	-Translation	8.38e-07	6.391e-07	4.209e-07	3.284e-07	2.625e-07
-Cancers	-Translation	0	0	0	0	0
-Immune Diseases	-Translation	0	0	0	0	0
-Neurodegenerative Diseases	-Translation	0	0	0	0	0
-Substance Dependence	-Translation	0	0	0	0	0
-Cardiovascular Diseases	-Translation	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Translation	0	0	0	0	0
-Infectious Diseases	-Translation	0	0	0	0	0
-Drug resistance	-Translation	8.38e-07	6.391e-07	4.209e-07	3.284e-07	2.625e-07
Not Mapped	-Translation	0.3705	0.277	0.2194	0.18	0.1567
-Not Mapped	-Translation	0.3705	0.277	0.2194	0.18	0.1567
TOTAL	-Folding, Sorting and Degradation	13.21	12.87	12.96	13.21	13.12
MAPPED	-Folding, Sorting and Degradation	12.05	11.94	12.12	12.43	12.38
Genetic Information Processing	-Folding, Sorting and Degradation	5.101	5.305	5.761	6.191	6.622
-Transcription	-Folding, Sorting and Degradation	0.6493	0.658	0.6464	0.6166	0.6121
-Translation	-Folding, Sorting and Degradation	3.121	3.333	3.825	4.312	4.765
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.3306	0.3142	0.2894	0.262	0.2443
-RNA Family	-Folding, Sorting and Degradation	1.308e-06	1.065e-06	8.05e-07	7.08e-07	6.254e-07
Environmental Information Processing	-Folding, Sorting and Degradation	0.1638	0.1187	0.09703	0.08321	0.07205
-Signal Transduction	-Folding, Sorting and Degradation	0.1628	0.1187	0.09702	0.08321	0.07204
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.001029	3.195e-06	2.415e-06	2.124e-06	1.876e-06
Cellular Processes	-Folding, Sorting and Degradation	0.158	0.1215	0.1182	0.1166	0.1105
-Cell Structure	-Folding, Sorting and Degradation	0.01623	0.03486	0.03643	0.03562	0.02837
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0	0
-Vesicular transport	-Folding, Sorting and Degradation	0.0002629	0.0001928	0.000198	0.0001742	0.0001538
-Cytoskeleton	-Folding, Sorting and Degradation	0.05053	0.04778	0.04365	0.04212	0.04125
-Cell Motility	-Folding, Sorting and Degradation	0.0554	5.325e-05	4.025e-05	3.54e-05	3.127e-05
-Cell Growth and Death	-Folding, Sorting and Degradation	0.03553	0.03857	0.03786	0.0387	0.04065
-Cellular Community	-Folding, Sorting and Degradation	0	0	0	0	0
Metabolism	-Folding, Sorting and Degradation	6.626	6.399	6.142	6.044	5.574
-Membrane Transport	-Folding, Sorting and Degradation	1.366	1.206	1.12	0.9918	0.7848
-Central Carbon Metabolism	-Folding, Sorting and Degradation	2.465	2.181	1.981	1.816	1.583
-Energy Metabolism	-Folding, Sorting and Degradation	0.256	0.288	0.3022	0.2893	0.2632
-Biosynthesis	-Folding, Sorting and Degradation	1.86	2.064	2.143	2.394	2.392
-Other Enzymes	-Folding, Sorting and Degradation	0.6785	0.6611	0.5962	0.553	0.5511
Organismal Systems	-Folding, Sorting and Degradation	0	0	0	0	0
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0	0	0
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0	0	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0	0	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0	0
Human Diseases	-Folding, Sorting and Degradation	2.616e-06	2.13e-06	1.61e-06	1.416e-06	1.251e-06
-Cancers	-Folding, Sorting and Degradation	0	0	0	0	0
-Immune Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Substance Dependence	-Folding, Sorting and Degradation	0	0	0	0	0
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Drug resistance	-Folding, Sorting and Degradation	2.616e-06	2.13e-06	1.61e-06	1.416e-06	1.251e-06
Not Mapped	-Folding, Sorting and Degradation	1.156	0.9233	0.8393	0.7762	0.7465
-Not Mapped	-Folding, Sorting and Degradation	1.156	0.9233	0.8393	0.7762	0.7465
TOTAL	-DNA Maintenance	39.95	40.96	44.77	50.41	53.73
MAPPED	-DNA Maintenance	36.45	38.02	41.87	47.45	50.67
Genetic Information Processing	-DNA Maintenance	15.43	16.89	19.9	23.63	27.11
-Transcription	-DNA Maintenance	1.964	2.094	2.233	2.353	2.506
-Translation	-DNA Maintenance	9.442	10.61	13.22	16.46	19.51
-Folding, Sorting and Degradation	-DNA Maintenance	3.025	3.183	3.455	3.816	4.093
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1
-RNA Family	-DNA Maintenance	3.956e-06	3.39e-06	2.781e-06	2.702e-06	2.56e-06
Environmental Information Processing	-DNA Maintenance	0.4954	0.378	0.3352	0.3176	0.2949
-Signal Transduction	-DNA Maintenance	0.4923	0.378	0.3352	0.3176	0.2949
-Signaling Molecules and Interaction	-DNA Maintenance	0.003113	1.017e-05	8.344e-06	8.106e-06	7.68e-06
Cellular Processes	-DNA Maintenance	0.4778	0.3866	0.4083	0.4452	0.4521
-Cell Structure	-DNA Maintenance	0.0491	0.111	0.1259	0.1359	0.1161
-Crystallins	-DNA Maintenance	0	0	0	0	0
-Vesicular transport	-DNA Maintenance	0.0007952	0.0006136	0.0006842	0.0006647	0.0006297
-Cytoskeleton	-DNA Maintenance	0.1529	0.1521	0.1508	0.1607	0.1688
-Cell Motility	-DNA Maintenance	0.1676	0.0001695	0.0001391	0.0001351	0.000128
-Cell Growth and Death	-DNA Maintenance	0.1075	0.1228	0.1308	0.1477	0.1664
-Cellular Community	-DNA Maintenance	0	0	0	0	0
Metabolism	-DNA Maintenance	20.04	20.37	21.22	23.06	22.82
-Membrane Transport	-DNA Maintenance	4.133	3.839	3.871	3.785	3.213
-Central Carbon Metabolism	-DNA Maintenance	7.456	6.941	6.844	6.93	6.48
-Energy Metabolism	-DNA Maintenance	0.7745	0.9167	1.044	1.104	1.078
-Biosynthesis	-DNA Maintenance	5.628	6.569	7.403	9.135	9.79
-Other Enzymes	-DNA Maintenance	2.052	2.104	2.06	2.111	2.256
Organismal Systems	-DNA Maintenance	0	0	0	0	0
-Immune System	-DNA Maintenance	0	0	0	0	0
-Endocrine System	-DNA Maintenance	0	0	0	0	0
-Circulatory System	-DNA Maintenance	0	0	0	0	0
-Digestive System	-DNA Maintenance	0	0	0	0	0
-Excretory System	-DNA Maintenance	0	0	0	0	0
-Nervous System	-DNA Maintenance	0	0	0	0	0
-Sensory System	-DNA Maintenance	0	0	0	0	0
-Development	-DNA Maintenance	0	0	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0	0	0
Human Diseases	-DNA Maintenance	7.912e-06	6.78e-06	5.562e-06	5.404e-06	5.12e-06
-Cancers	-DNA Maintenance	0	0	0	0	0
-Immune Diseases	-DNA Maintenance	0	0	0	0	0
-Neurodegenerative Diseases	-DNA Maintenance	0	0	0	0	0
-Substance Dependence	-DNA Maintenance	0	0	0	0	0
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0	0
-Endocrine and Metabolic Diseases	-DNA Maintenance	0	0	0	0	0
-Infectious Diseases	-DNA Maintenance	0	0	0	0	0
-Drug resistance	-DNA Maintenance	7.912e-06	6.78e-06	5.562e-06	5.404e-06	5.12e-06
Not Mapped	-DNA Maintenance	3.498	2.939	2.9	2.962	3.056
-Not Mapped	-DNA Maintenance	3.498	2.939	2.9	2.962	3.056
TOTAL	-RNA Family	10100000	12080000	16100000	18660000	20990000
MAPPED	-RNA Family	9213000	11210000	15050000	17560000	19790000
Genetic Information Processing	-RNA Family	3901000	4981000	7157000	8743000	10590000
-Transcription	-RNA Family	496500	617800	803000	870900	978800
-Translation	-RNA Family	2387000	3129000	4752000	6090000	7620000
-Folding, Sorting and Degradation	-RNA Family	764600	938900	1242000	1412000	1599000
-DNA Maintenance	-RNA Family	252800	295000	359600	370100	390600
-RNA Family	-RNA Family	1	1	1	1	1
Environmental Information Processing	-RNA Family	125200	111500	120500	117500	115200
-Signal Transduction	-RNA Family	124400	111500	120500	117500	115200
-Signaling Molecules and Interaction	-RNA Family	787	3	3	3	3
Cellular Processes	-RNA Family	120800	114000	146800	164700	176600
-Cell Structure	-RNA Family	12410	32730	45260	50310	45370
-Crystallins	-RNA Family	0	0	0	0	0
-Vesicular transport	-RNA Family	201	181	246	246	246
-Cytoskeleton	-RNA Family	38640	44860	54230	59490	65960
-Cell Motility	-RNA Family	42360	50	50	50	50
-Cell Growth and Death	-RNA Family	27170	36220	47030	54660	65010
-Cellular Community	-RNA Family	0	0	0	0	0
Metabolism	-RNA Family	5067000	6009000	7631000	8536000	8913000
-Membrane Transport	-RNA Family	1045000	1132000	1392000	1401000	1255000
-Central Carbon Metabolism	-RNA Family	1885000	2048000	2461000	2565000	2531000
-Energy Metabolism	-RNA Family	195800	270400	375500	408600	420900
-Biosynthesis	-RNA Family	1423000	1938000	2662000	3381000	3825000
-Other Enzymes	-RNA Family	518800	620700	740600	781100	881300
Organismal Systems	-RNA Family	0	0	0	0	0
-Immune System	-RNA Family	0	0	0	0	0
-Endocrine System	-RNA Family	0	0	0	0	0
-Circulatory System	-RNA Family	0	0	0	0	0
-Digestive System	-RNA Family	0	0	0	0	0
-Excretory System	-RNA Family	0	0	0	0	0
-Nervous System	-RNA Family	0	0	0	0	0
-Sensory System	-RNA Family	0	0	0	0	0
-Development	-RNA Family	0	0	0	0	0
-Environmental Adaptation	-RNA Family	0	0	0	0	0
Human Diseases	-RNA Family	2	2	2	2	2
-Cancers	-RNA Family	0	0	0	0	0
-Immune Diseases	-RNA Family	0	0	0	0	0
-Neurodegenerative Diseases	-RNA Family	0	0	0	0	0
-Substance Dependence	-RNA Family	0	0	0	0	0
-Cardiovascular Diseases	-RNA Family	0	0	0	0	0
-Endocrine and Metabolic Diseases	-RNA Family	0	0	0	0	0
-Infectious Diseases	-RNA Family	0	0	0	0	0
-Drug resistance	-RNA Family	2	2	2	2	2
Not Mapped	-RNA Family	884200	866900	1043000	1096000	1194000
-Not Mapped	-RNA Family	884200	866900	1043000	1096000	1194000
TOTAL	Environmental Information Processing	80.63	108.4	133.5	158.8	182.2
MAPPED	Environmental Information Processing	73.57	100.6	124.9	149.4	171.8
Genetic Information Processing	Environmental Information Processing	31.15	44.67	59.37	74.4	91.91
-Transcription	Environmental Information Processing	3.965	5.541	6.662	7.41	8.496
-Translation	Environmental Information Processing	19.06	28.07	39.42	51.82	66.14
-Folding, Sorting and Degradation	Environmental Information Processing	6.106	8.421	10.31	12.02	13.88
-DNA Maintenance	Environmental Information Processing	2.018	2.646	2.983	3.149	3.391
-RNA Family	Environmental Information Processing	7.985e-06	8.969e-06	8.296e-06	8.509e-06	8.68e-06
Environmental Information Processing	Environmental Information Processing	1	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.9937	1	1	1	1
-Signaling Molecules and Interaction	Environmental Information Processing	0.006284	2.691e-05	2.489e-05	2.553e-05	2.604e-05
Cellular Processes	Environmental Information Processing	0.9645	1.023	1.218	1.402	1.533
-Cell Structure	Environmental Information Processing	0.0991	0.2936	0.3755	0.4281	0.3938
-Crystallins	Environmental Information Processing	0	0	0	0	0
-Vesicular transport	Environmental Information Processing	0.001605	0.001623	0.002041	0.002093	0.002135
-Cytoskeleton	Environmental Information Processing	0.3085	0.4023	0.4499	0.5062	0.5725
-Cell Motility	Environmental Information Processing	0.3383	0.0004485	0.0004148	0.0004254	0.000434
-Cell Growth and Death	Environmental Information Processing	0.2169	0.3248	0.3902	0.4651	0.5643
-Cellular Community	Environmental Information Processing	0	0	0	0	0
Metabolism	Environmental Information Processing	40.46	53.89	63.31	72.63	77.37
-Membrane Transport	Environmental Information Processing	8.342	10.16	11.55	11.92	10.89
-Central Carbon Metabolism	Environmental Information Processing	15.05	18.36	20.42	21.82	21.97
-Energy Metabolism	Environmental Information Processing	1.563	2.425	3.115	3.476	3.654
