Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
-Cell Structure	TOTAL	0.001229	0.001229	0.001229	0.002709	0.002709	0.002709	0.002812	0.002812	0.002812	0.002696	0.002696	0.002696	0.002162	0.002162	0.002162
-Crystallins	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	TOTAL	1.981e-05	1.981e-05	0.0006289	1.49e-05	1.49e-05	0.000502	1.522e-05	1.522e-05	0.0006759	1.313e-05	1.313e-05	0.0004923	1.167e-05	1.167e-05	0.0007195
-Cytoskeleton	TOTAL	0.003827	0.003827	0.003827	0.003713	0.003713	0.003713	0.003369	0.003369	0.003369	0.003188	0.003188	0.003188	0.003143	0.003143	0.003143
-Cell Motility	TOTAL	0.004584	0.00484	0.005389	4.056e-06	4.056e-06	4.221e-06	3.044e-06	3.044e-06	3.168e-06	2.626e-06	2.626e-06	2.733e-06	2.335e-06	2.335e-06	2.43e-06
-Cell Growth and Death	TOTAL	0.002691	0.002978	0.003111	0.002998	0.003359	0.003505	0.002922	0.003387	0.003542	0.002929	0.003405	0.003526	0.003097	0.003649	0.003785
-Cellular Community	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	TOTAL	0.5097	0.5168	0.5189	0.5053	0.5124	0.515	0.4818	0.4892	0.4913	0.4651	0.4719	0.4735	0.4324	0.4388	0.441
-Membrane Transport	TOTAL	0.08724	0.09386	0.1006	0.0836	0.08783	0.09294	0.07621	0.08065	0.0843	0.06687	0.0709	0.07384	0.05548	0.05843	0.0601
-Central Carbon Metabolism	TOTAL	0.1491	0.1642	0.1795	0.1488	0.1605	0.1704	0.1355	0.1432	0.1556	0.1206	0.1274	0.1392	0.1059	0.1123	0.1186
-Energy Metabolism	TOTAL	0.01869	0.02157	0.02943	0.02167	0.0265	0.03601	0.02213	0.02639	0.03537	0.01998	0.02394	0.03303	0.01815	0.0213	0.02712
-Biosynthesis	TOTAL	0.1279	0.1325	0.1367	0.1487	0.152	0.1565	0.1544	0.1567	0.161	0.1708	0.1724	0.1773	0.1715	0.1736	0.1781
-Other Enzymes	TOTAL	0.07954	0.09394	0.1087	0.07601	0.08031	0.08518	0.06929	0.0739	0.07957	0.06403	0.0682	0.07292	0.06308	0.06858	0.06988
Organismal Systems	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	TOTAL	5.992e-05	0.0003961	0.003506	6.175e-05	0.0003738	0.003792	5.256e-05	0.0004017	0.004323	4.534e-05	0.0003608	0.003963	4.603e-05	0.0003524	0.004089
-Cancers	TOTAL	0	8.616e-05	8.616e-05	0	6.125e-05	6.125e-05	0	5.218e-05	5.218e-05	0	4.502e-05	4.502e-05	0	4.574e-05	4.574e-05
-Immune Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Substance Dependence	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine and Metabolic Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	TOTAL	3.961e-07	0.00015	0.000235	3.311e-07	0.0001366	0.0002328	2.485e-07	0.0001699	0.0002636	2.144e-07	0.0001394	0.000225	1.906e-07	0.0001484	0.0002365
-Drug resistance	TOTAL	1.981e-07	8.19e-05	0.003356	1.655e-07	9.825e-05	0.003656	1.242e-07	9.61e-05	0.004153	1.072e-07	9.497e-05	0.003823	9.529e-08	7.014e-05	0.00394
Not Mapped	TOTAL	0.08757	0.08757	0.08757	0.07175	0.07175	0.07175	0.06477	0.06477	0.06477	0.05875	0.05875	0.05875	0.05688	0.05688	0.05688
-Not Mapped	TOTAL	0.08757	0.08757	0.08757	0.07175	0.07175	0.07175	0.06477	0.06477	0.06477	0.05875	0.05875	0.05875	0.05688	0.05688	0.05688
TOTAL	MAPPED	1.096	1.096	1.096	1.077	1.077	1.077	1.069	1.069	1.069	1.062	1.062	1.062	1.06	1.06	1.06
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4026	0.4058	0.4083	0.4222	0.425	0.4289	0.4539	0.4561	0.4611	0.4778	0.4796	0.4845	0.5148	0.517	0.5211
-Transcription	MAPPED	0.04838	0.04976	0.05116	0.04952	0.05072	0.05232	0.04792	0.0493	0.05087	0.04448	0.04586	0.04739	0.04441	0.04573	0.0473
-Translation	MAPPED	0.2547	0.2565	0.2591	0.2744	0.2763	0.2794	0.3115	0.3133	0.3165	0.3425	0.3445	0.3476	0.3806	0.3823	0.3855
-Folding, Sorting and Degradation	MAPPED	0.06708	0.07072	0.07421	0.06681	0.0709	0.07489	0.06566	0.06932	0.07404	0.06463	0.06803	0.07241	0.06489	0.06861	0.07241
-DNA Maintenance	MAPPED	0.02656	0.02703	0.02915	0.02529	0.02584	0.02785	0.02282	0.0234	0.02496	0.02012	0.02068	0.022	0.01879	0.01938	0.02086
-RNA Family	MAPPED	1.194e-06	1.628e-06	1.845e-06	9.808e-07	1.337e-06	1.516e-06	7.307e-07	9.964e-07	1.129e-06	6.264e-07	8.541e-07	9.68e-07	5.557e-07	7.578e-07	8.589e-07
Environmental Information Processing	MAPPED	0.01035	0.01187	0.01366	0.007727	0.009791	0.01186	0.006256	0.007868	0.009697	0.005373	0.006747	0.008671	0.004764	0.006008	0.007809
-Signal Transduction	MAPPED	0.01026	0.01178	0.01358	0.007727	0.009791	0.01186	0.006255	0.007868	0.009697	0.005373	0.006746	0.00867	0.004764	0.006008	0.007809
-Signaling Molecules and Interaction	MAPPED	8.542e-05	8.542e-05	8.542e-05	2.675e-07	2.675e-07	2.675e-07	1.993e-07	1.993e-07	1.993e-07	1.708e-07	1.708e-07	1.708e-07	1.516e-07	1.516e-07	1.516e-07
Cellular Processes	MAPPED	0.01363	0.01437	0.01535	0.01017	0.01071	0.01108	0.009752	0.01042	0.01096	0.009381	0.01001	0.0104	0.008923	0.009652	0.01026
-Cell Structure	MAPPED	0.001347	0.001347	0.001347	0.002918	0.002918	0.002918	0.003006	0.003006	0.003006	0.002865	0.002865	0.002865	0.002292	0.002292	0.002292
-Crystallins	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	MAPPED	2.171e-05	2.171e-05	0.0006892	1.605e-05	1.605e-05	0.0005408	1.627e-05	1.627e-05	0.0007227	1.395e-05	1.395e-05	0.000523	1.238e-05	1.238e-05	0.0007629
-Cytoskeleton	MAPPED	0.004194	0.004194	0.004194	0.004	0.004	0.004	0.003602	0.003602	0.003602	0.003387	0.003387	0.003387	0.003332	0.003332	0.003332
-Cell Motility	MAPPED	0.005024	0.005304	0.005907	4.369e-06	4.369e-06	4.547e-06	3.255e-06	3.255e-06	3.388e-06	2.79e-06	2.79e-06	2.904e-06	2.476e-06	2.476e-06	2.577e-06
-Cell Growth and Death	MAPPED	0.002949	0.003264	0.00341	0.003229	0.003619	0.003776	0.003124	0.003621	0.003787	0.003112	0.003618	0.003746	0.003284	0.003869	0.004013
-Cellular Community	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	MAPPED	0.5586	0.5664	0.5687	0.5444	0.552	0.5548	0.5152	0.5231	0.5254	0.4941	0.5014	0.5031	0.4585	0.4652	0.4676
-Membrane Transport	MAPPED	0.09561	0.1029	0.1102	0.09006	0.09462	0.1001	0.08149	0.08624	0.09014	0.07104	0.07533	0.07845	0.05883	0.06196	0.06372
-Central Carbon Metabolism	MAPPED	0.1634	0.18	0.1968	0.1603	0.1729	0.1836	0.1448	0.1531	0.1664	0.1281	0.1354	0.1479	0.1123	0.1191	0.1257
-Energy Metabolism	MAPPED	0.02048	0.02364	0.03225	0.02334	0.02855	0.03879	0.02366	0.02822	0.03782	0.02122	0.02543	0.0351	0.01925	0.02259	0.02875
-Biosynthesis	MAPPED	0.1402	0.1452	0.1498	0.1602	0.1637	0.1686	0.1651	0.1675	0.1721	0.1814	0.1831	0.1884	0.1819	0.1841	0.1889
-Other Enzymes	MAPPED	0.08718	0.103	0.1191	0.08189	0.08652	0.09176	0.07409	0.07902	0.08508	0.06802	0.07245	0.07747	0.06689	0.07272	0.0741
Organismal Systems	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	MAPPED	6.567e-05	0.0004342	0.003843	6.652e-05	0.0004027	0.004086	5.62e-05	0.0004295	0.004622	4.817e-05	0.0003833	0.00421	4.88e-05	0.0003736	0.004335
-Cancers	MAPPED	0	9.443e-05	9.443e-05	0	6.598e-05	6.598e-05	0	5.58e-05	5.58e-05	0	4.783e-05	4.783e-05	0	4.85e-05	4.85e-05
-Immune Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Substance Dependence	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine and Metabolic Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	MAPPED	4.342e-07	0.0001644	0.0002576	3.567e-07	0.0001471	0.0002508	2.657e-07	0.0001817	0.0002818	2.278e-07	0.0001481	0.000239	2.021e-07	0.0001574	0.0002507
-Drug resistance	MAPPED	2.171e-07	8.976e-05	0.003678	1.783e-07	0.0001058	0.003938	1.328e-07	0.0001028	0.004441	1.139e-07	0.0001009	0.004062	1.01e-07	7.437e-05	0.004178
Not Mapped	MAPPED	0.09597	0.09597	0.09597	0.0773	0.0773	0.0773	0.06925	0.06925	0.06925	0.06242	0.06242	0.06242	0.06031	0.06031	0.06031
-Not Mapped	MAPPED	0.09597	0.09597	0.09597	0.0773	0.0773	0.0773	0.06925	0.06925	0.06925	0.06242	0.06242	0.06242	0.06031	0.06031	0.06031
TOTAL	Genetic Information Processing	2.642	2.698	2.721	2.476	2.531	2.548	2.293	2.337	2.354	2.172	2.209	2.223	2.016	2.047	2.059
MAPPED	Genetic Information Processing	2.41	2.462	2.483	2.298	2.35	2.365	2.144	2.186	2.201	2.045	2.079	2.092	1.902	1.931	1.942
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1172	0.1229	0.1267	0.1139	0.1194	0.1237	0.103	0.1081	0.1118	0.0913	0.09563	0.09909	0.08445	0.08849	0.0917
-Translation	Genetic Information Processing	0.6244	0.6306	0.6338	0.6422	0.6482	0.6511	0.6787	0.6849	0.6877	0.7107	0.7162	0.7183	0.7331	0.7385	0.7398
-Folding, Sorting and Degradation	Genetic Information Processing	0.1666	0.1752	0.1818	0.1582	0.167	0.1746	0.1446	0.152	0.1606	0.1353	0.142	0.1495	0.1261	0.1325	0.139
-DNA Maintenance	Genetic Information Processing	0.06598	0.06668	0.07096	0.0599	0.06071	0.06488	0.05028	0.05115	0.05413	0.04211	0.043	0.04541	0.03649	0.0374	0.04
-RNA Family	Genetic Information Processing	2.956e-06	4.022e-06	4.581e-06	2.318e-06	3.152e-06	3.585e-06	1.607e-06	2.186e-06	2.486e-06	1.31e-06	1.781e-06	2.026e-06	1.077e-06	1.466e-06	1.668e-06
Environmental Information Processing	Genetic Information Processing	0.02494	0.02945	0.03375	0.01811	0.02285	0.02794	0.01366	0.0171	0.02128	0.01116	0.01396	0.01808	0.009199	0.01156	0.01511
-Signal Transduction	Genetic Information Processing	0.02473	0.02924	0.03354	0.01811	0.02285	0.02794	0.01366	0.0171	0.02127	0.01116	0.01396	0.01808	0.009199	0.01156	0.01511
-Signaling Molecules and Interaction	Genetic Information Processing	0.0002059	0.0002103	0.0002121	6.148e-07	6.286e-07	6.327e-07	4.273e-07	4.355e-07	4.386e-07	3.493e-07	3.552e-07	3.575e-07	2.882e-07	2.927e-07	2.944e-07
Cellular Processes	Genetic Information Processing	0.03354	0.0354	0.03759	0.02387	0.02484	0.02621	0.02128	0.02247	0.02412	0.01946	0.02061	0.02175	0.01719	0.01839	0.01992
-Cell Structure	Genetic Information Processing	0.003247	0.003316	0.003344	0.006707	0.006858	0.006903	0.006447	0.006571	0.006617	0.005857	0.005956	0.005994	0.004359	0.004426	0.004451
-Crystallins	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	Genetic Information Processing	5.233e-05	5.369e-05	0.001711	3.689e-05	3.789e-05	0.001279	3.49e-05	3.571e-05	0.001591	2.852e-05	2.909e-05	0.001094	2.354e-05	2.395e-05	0.001482
-Cytoskeleton	Genetic Information Processing	0.01011	0.01033	0.01042	0.009193	0.009413	0.009475	0.007724	0.007898	0.007936	0.006926	0.007062	0.007089	0.006337	0.006446	0.006473
-Cell Motility	Genetic Information Processing	0.01235	0.01318	0.01454	1.026e-05	1.035e-05	1.066e-05	7.102e-06	7.17e-06	7.399e-06	5.789e-06	5.839e-06	6.032e-06	4.768e-06	4.809e-06	4.975e-06
-Cell Growth and Death	Genetic Information Processing	0.007256	0.008042	0.008382	0.007581	0.008515	0.008849	0.006817	0.00794	0.008272	0.006457	0.007543	0.00778	0.006325	0.007484	0.007749
-Cellular Community	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	Genetic Information Processing	1.346	1.395	1.406	1.251	1.3	1.306	1.105	1.143	1.151	1.01	1.041	1.049	0.872	0.8968	0.9045
-Membrane Transport	Genetic Information Processing	0.2342	0.2481	0.271	0.21	0.2223	0.2307	0.1772	0.1885	0.1971	0.1466	0.1566	0.1619	0.113	0.1203	0.1233
-Central Carbon Metabolism	Genetic Information Processing	0.3938	0.4431	0.4888	0.3697	0.4068	0.4285	0.3106	0.3358	0.3609	0.2657	0.2823	0.3053	0.2181	0.2304	0.2442
-Energy Metabolism	Genetic Information Processing	0.05017	0.05872	0.07792	0.05442	0.06763	0.08915	0.05175	0.06217	0.08291	0.04426	0.05323	0.07318	0.03725	0.04388	0.05562
-Biosynthesis	Genetic Information Processing	0.3398	0.3582	0.3672	0.3734	0.3878	0.3956	0.3571	0.369	0.3774	0.3735	0.3832	0.3917	0.3487	0.3576	0.3644
-Other Enzymes	Genetic Information Processing	0.2135	0.2533	0.2871	0.1882	0.2036	0.2156	0.1592	0.1724	0.1859	0.1391	0.1513	0.1611	0.1278	0.1403	0.1431
Organismal Systems	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	Genetic Information Processing	0.0001614	0.001047	0.009515	0.0001567	0.0009255	0.009656	0.0001233	0.000921	0.01016	0.0001005	0.0007837	0.008804	9.444e-05	0.0007208	0.008405
-Cancers	Genetic Information Processing	0	0.0002276	0.0002344	0	0.0001516	0.0001561	0	0.0001196	0.0001228	0	9.78e-05	0.0001001	0	9.223e-05	9.419e-05
-Immune Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Substance Dependence	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine and Metabolic Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	1.073e-06	0.0004072	0.000634	8.404e-07	0.0003477	0.0005894	5.829e-07	0.0003994	0.000616	4.75e-07	0.0003096	0.000497	3.911e-07	0.0003051	0.0004838
-Drug resistance	Genetic Information Processing	5.363e-07	0.000221	0.009108	4.202e-07	0.0002487	0.009308	2.915e-07	0.0002246	0.009764	2.375e-07	0.0002098	0.008494	1.955e-07	0.0001435	0.0081
Not Mapped	Genetic Information Processing	0.2313	0.2362	0.2383	0.1777	0.1816	0.1828	0.1485	0.1514	0.1524	0.1276	0.1298	0.1306	0.1147	0.1165	0.1171
-Not Mapped	Genetic Information Processing	0.2313	0.2362	0.2383	0.1777	0.1816	0.1828	0.1485	0.1514	0.1524	0.1276	0.1298	0.1306	0.1147	0.1165	0.1171
TOTAL	-Transcription	20.67	21.63	22.54	19.88	20.81	21.74	20.44	21.22	22.26	21.85	22.65	23.79	21.89	22.69	23.84
MAPPED	-Transcription	18.86	19.73	20.57	18.45	19.32	20.18	19.11	19.84	20.81	20.56	21.32	22.39	20.65	21.4	22.49
Genetic Information Processing	-Transcription	7.661	8.019	8.438	7.853	8.228	8.661	8.745	9.094	9.494	9.89	10.28	10.74	10.7	11.11	11.58
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	4.818	5.075	5.328	5.079	5.356	5.64	5.973	6.234	6.588	7.066	7.363	7.785	7.884	8.205	8.681
-Folding, Sorting and Degradation	-Transcription	1.333	1.388	1.534	1.297	1.363	1.512	1.325	1.37	1.524	1.399	1.453	1.597	1.416	1.459	1.609
-DNA Maintenance	-Transcription	0.5093	0.5423	0.602	0.4768	0.5079	0.5625	0.4473	0.4734	0.5139	0.4253	0.4498	0.4854	0.4002	0.4188	0.4637
-RNA Family	-Transcription	2.334e-05	3.272e-05	3.622e-05	1.875e-05	2.64e-05	2.913e-05	1.436e-05	2.029e-05	2.228e-05	1.322e-05	1.872e-05	2.054e-05	1.175e-05	1.657e-05	1.828e-05
Environmental Information Processing	-Transcription	0.2067	0.2382	0.2745	0.1486	0.1944	0.2341	0.1236	0.162	0.1975	0.114	0.15	0.19	0.1018	0.1338	0.1708
-Signal Transduction	-Transcription	0.205	0.2365	0.2728	0.1486	0.1944	0.234	0.1236	0.162	0.1975	0.114	0.15	0.19	0.1018	0.1338	0.1708
-Signaling Molecules and Interaction	-Transcription	0.001611	0.001686	0.001757	4.936e-06	5.167e-06	5.399e-06	3.809e-06	3.954e-06	4.148e-06	3.513e-06	3.642e-06	3.826e-06	3.129e-06	3.243e-06	3.408e-06
Cellular Processes	-Transcription	0.2689	0.2796	0.3172	0.1905	0.206	0.2237	0.1896	0.2058	0.2256	0.1955	0.2124	0.2294	0.1872	0.2063	0.2279
-Cell Structure	-Transcription	0.0254	0.02658	0.02771	0.05385	0.05637	0.0589	0.05746	0.05966	0.06258	0.05891	0.06107	0.06416	0.04732	0.04904	0.05154
-Crystallins	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	-Transcription	0.0004093	0.0004362	0.01414	0.0002962	0.0003168	0.01091	0.000311	0.0003314	0.01488	0.0002869	0.0003054	0.01154	0.0002555	0.0002707	0.01695
-Cytoskeleton	-Transcription	0.08184	0.08276	0.08626	0.07646	0.07726	0.08073	0.07081	0.07202	0.07498	0.07148	0.07227	0.07586	0.07044	0.07177	0.07493
-Cell Motility	-Transcription	0.09887	0.1078	0.121	8.227e-05	8.614e-05	9.178e-05	6.348e-05	6.602e-05	7.051e-05	5.854e-05	6.084e-05	6.504e-05	5.215e-05	5.455e-05	5.802e-05
-Cell Growth and Death	-Transcription	0.0556	0.06572	0.06746	0.05959	0.07134	0.07307	0.05971	0.07345	0.07556	0.064	0.07888	0.08134	0.06781	0.08484	0.08699
-Cellular Community	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	-Transcription	10.69	11.2	11.67	10.21	10.7	11.11	10	10.4	10.72	10.31	10.7	11.07	9.605	9.993	10.33
-Membrane Transport	-Transcription	1.888	2.071	2.169	1.746	1.819	2.021	1.633	1.684	1.881	1.526	1.571	1.764	1.263	1.308	1.427
-Central Carbon Metabolism	-Transcription	3.36	3.455	4.038	3.041	3.409	3.617	2.799	3.106	3.401	2.672	2.952	3.263	2.39	2.625	2.827
-Energy Metabolism	-Transcription	0.4158	0.479	0.6633	0.4659	0.5645	0.7829	0.482	0.571	0.7852	0.4652	0.5587	0.7676	0.4209	0.4897	0.6455
-Biosynthesis	-Transcription	2.812	2.898	3.096	3.079	3.216	3.405	3.261	3.38	3.544	3.828	3.976	4.157	3.864	3.999	4.16
-Other Enzymes	-Transcription	1.802	2.072	2.413	1.581	1.693	1.758	1.456	1.568	1.654	1.439	1.545	1.626	1.44	1.554	1.626
Organismal Systems	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	-Transcription	0.001292	0.00833	0.07511	0.001313	0.007799	0.07809	0.001145	0.008417	0.09087	0.001056	0.007973	0.08885	0.001067	0.007713	0.09166
-Cancers	-Transcription	0	0.001781	0.001942	0	0.001218	0.001332	0	0.001066	0.001161	0	0.0009835	0.001071	0	0.001001	0.001091
