Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
-Cell Structure	TOTAL	0.001407	0.001407	0.001407	0.003129	0.003129	0.003129	0.003305	0.003305	0.003305	0.003252	0.003252	0.003252	0.002665	0.002665	0.002665
-Crystallins	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	TOTAL	2.267e-05	0.0004012	0.0004013	1.721e-05	0.0003226	0.0003227	1.789e-05	0.0004395	0.0004396	1.584e-05	0.0003295	0.0003296	1.439e-05	0.0004881	0.0004881
-Cytoskeleton	TOTAL	0.003558	0.003558	0.003741	0.003566	0.003566	0.003768	0.003295	0.003295	0.003514	0.003193	0.003193	0.003367	0.003261	0.003261	0.003462
-Cell Motility	TOTAL	0.007996	0.008726	0.009151	4.621e-06	5.014e-06	5.113e-06	3.53e-06	3.831e-06	3.906e-06	3.125e-06	3.391e-06	3.457e-06	2.84e-06	3.081e-06	3.142e-06
-Cell Growth and Death	TOTAL	0.003034	0.003217	0.003433	0.003416	0.003618	0.003922	0.003393	0.003612	0.004055	0.003493	0.003667	0.004188	0.003777	0.003979	0.004601
-Cellular Community	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	TOTAL	0.6082	0.6161	0.6205	0.6161	0.6249	0.6299	0.6006	0.6098	0.6151	0.5925	0.6012	0.6061	0.5661	0.575	0.5804
-Membrane Transport	TOTAL	0.09699	0.1011	0.1044	0.08904	0.09447	0.097	0.08132	0.08758	0.08992	0.07174	0.07785	0.07975	0.05971	0.06657	0.06801
-Central Carbon Metabolism	TOTAL	0.2232	0.2387	0.2484	0.2267	0.2313	0.2454	0.2071	0.2095	0.2257	0.1856	0.1873	0.2028	0.1667	0.1708	0.1805
-Energy Metabolism	TOTAL	0.0197	0.02039	0.02224	0.02322	0.02401	0.02642	0.02514	0.0262	0.029	0.02385	0.02482	0.02787	0.02231	0.02311	0.02566
-Biosynthesis	TOTAL	0.1516	0.1549	0.1607	0.1774	0.1801	0.1903	0.1916	0.1956	0.2056	0.2197	0.226	0.2347	0.2282	0.2357	0.2408
-Other Enzymes	TOTAL	0.08522	0.09625	0.1027	0.07801	0.08539	0.09498	0.07322	0.08004	0.08794	0.06989	0.07551	0.08393	0.06906	0.07507	0.08015
Organismal Systems	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	TOTAL	0.0001811	0.001202	0.006143	0.0001949	0.001254	0.006664	0.0001861	0.001016	0.007735	0.0001793	0.0009107	0.00727	0.0001481	0.0008678	0.007686
-Cancers	TOTAL	0	0	0.000124	0	0	8.893e-05	0	0	7.711e-05	0	0	6.826e-05	0	0	7.089e-05
-Immune Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Substance Dependence	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine and Metabolic Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	TOTAL	4.665e-07	0.0002674	0.001298	3.933e-07	0.0002467	0.001365	3.004e-07	0.0002823	0.001122	2.659e-07	0.0002483	0.001006	2.417e-07	0.0002736	0.0009604
-Drug resistance	TOTAL	3.416e-05	0.0005972	0.005951	3.765e-05	0.0006011	0.00656	4.085e-05	0.0005954	0.007602	4.152e-05	0.0005359	0.007181	5.118e-05	0.000478	0.007561
Not Mapped	TOTAL	0.1001	0.1001	0.1001	0.08226	0.08226	0.08226	0.0754	0.0754	0.0754	0.07014	0.07014	0.07014	0.06928	0.06928	0.06928
-Not Mapped	TOTAL	0.1001	0.1001	0.1001	0.08226	0.08226	0.08226	0.0754	0.0754	0.0754	0.07014	0.07014	0.07014	0.06928	0.06928	0.06928
TOTAL	MAPPED	1.111	1.111	1.111	1.09	1.09	1.09	1.082	1.082	1.082	1.075	1.075	1.075	1.074	1.074	1.074
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2807	0.2832	0.2889	0.2935	0.2965	0.3025	0.316	0.3196	0.3253	0.3299	0.3335	0.3389	0.3583	0.3622	0.368
-Transcription	MAPPED	0.04431	0.04717	0.04802	0.04608	0.04919	0.04985	0.04873	0.05177	0.05225	0.04841	0.05132	0.05192	0.05001	0.05287	0.05373
-Translation	MAPPED	0.1528	0.1546	0.1557	0.1669	0.1687	0.17	0.1883	0.1904	0.1917	0.2046	0.2066	0.2079	0.2304	0.2326	0.2338
-Folding, Sorting and Degradation	MAPPED	0.0622	0.06604	0.06789	0.05951	0.0636	0.06541	0.05851	0.06308	0.06508	0.05812	0.06244	0.06437	0.05966	0.06389	0.06593
-DNA Maintenance	MAPPED	0.01565	0.01629	0.01672	0.01531	0.01627	0.01667	0.01419	0.0155	0.01563	0.01288	0.01413	0.01431	0.01247	0.01388	0.01403
-RNA Family	MAPPED	1.166e-06	1.685e-06	2.073e-06	9.642e-07	1.393e-06	1.714e-06	7.311e-07	1.056e-06	1.3e-06	6.435e-07	9.295e-07	1.144e-06	5.842e-07	8.439e-07	1.039e-06
Environmental Information Processing	MAPPED	0.008484	0.009965	0.01087	0.006808	0.007235	0.008929	0.005459	0.005858	0.007225	0.004883	0.005334	0.006325	0.004422	0.004865	0.005717
-Signal Transduction	MAPPED	0.008399	0.00988	0.01078	0.006808	0.007235	0.008929	0.005459	0.005858	0.007225	0.004883	0.005334	0.006325	0.004422	0.004865	0.005717
-Signaling Molecules and Interaction	MAPPED	8.503e-05	8.503e-05	8.503e-05	3.214e-07	3.214e-07	3.214e-07	2.437e-07	2.437e-07	2.437e-07	2.145e-07	2.145e-07	2.145e-07	1.947e-07	1.947e-07	1.947e-07
Cellular Processes	MAPPED	0.01874	0.0192	0.01981	0.01104	0.01159	0.01214	0.01083	0.01152	0.01224	0.01071	0.01123	0.01198	0.01044	0.01117	0.01205
-Cell Structure	MAPPED	0.001563	0.001563	0.001563	0.003409	0.003409	0.003409	0.003575	0.003575	0.003575	0.003497	0.003497	0.003497	0.002863	0.002863	0.002863
-Crystallins	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	MAPPED	2.52e-05	0.0004458	0.0004459	1.875e-05	0.0003515	0.0003516	1.935e-05	0.0004753	0.0004754	1.703e-05	0.0003544	0.0003545	1.546e-05	0.0005244	0.0005245
-Cytoskeleton	MAPPED	0.003954	0.003954	0.004157	0.003885	0.003885	0.004105	0.003564	0.003564	0.003801	0.003434	0.003434	0.003621	0.003504	0.003504	0.00372
-Cell Motility	MAPPED	0.008885	0.009696	0.01017	5.035e-06	5.464e-06	5.571e-06	3.818e-06	4.143e-06	4.224e-06	3.361e-06	3.647e-06	3.718e-06	3.051e-06	3.311e-06	3.376e-06
-Cell Growth and Death	MAPPED	0.003371	0.003575	0.003814	0.003723	0.003943	0.004274	0.003669	0.003906	0.004386	0.003756	0.003943	0.004504	0.004059	0.004275	0.004943
-Cellular Community	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	MAPPED	0.6758	0.6846	0.6895	0.6713	0.6809	0.6863	0.6495	0.6595	0.6652	0.6372	0.6465	0.6519	0.6082	0.6178	0.6236
-Membrane Transport	MAPPED	0.1078	0.1124	0.116	0.09702	0.1029	0.1057	0.08795	0.09472	0.09725	0.07715	0.08372	0.08576	0.06416	0.07153	0.07307
-Central Carbon Metabolism	MAPPED	0.2481	0.2652	0.2761	0.2471	0.2521	0.2674	0.224	0.2266	0.2441	0.1996	0.2015	0.2181	0.1791	0.1835	0.1939
-Energy Metabolism	MAPPED	0.02189	0.02266	0.02471	0.0253	0.02616	0.02878	0.02718	0.02834	0.03136	0.02565	0.02669	0.02998	0.02397	0.02483	0.02757
-Biosynthesis	MAPPED	0.1685	0.1721	0.1786	0.1933	0.1963	0.2073	0.2072	0.2116	0.2223	0.2363	0.2431	0.2524	0.2452	0.2532	0.2587
-Other Enzymes	MAPPED	0.0947	0.1069	0.1141	0.08501	0.09305	0.1035	0.07919	0.08656	0.09511	0.07516	0.0812	0.09026	0.0742	0.08066	0.08612
Organismal Systems	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	MAPPED	0.0002012	0.001335	0.006826	0.0002124	0.001366	0.007262	0.0002013	0.001099	0.008365	0.0001928	0.0009794	0.007818	0.0001591	0.0009325	0.008259
-Cancers	MAPPED	0	0	0.0001378	0	0	9.69e-05	0	0	8.34e-05	0	0	7.341e-05	0	0	7.617e-05
-Immune Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Substance Dependence	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine and Metabolic Diseases	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	MAPPED	5.183e-07	0.0002971	0.001442	4.285e-07	0.0002689	0.001487	3.249e-07	0.0003053	0.001213	2.86e-07	0.000267	0.001082	2.597e-07	0.000294	0.001032
-Drug resistance	MAPPED	3.795e-05	0.0006636	0.006613	4.102e-05	0.000655	0.007148	4.418e-05	0.000644	0.008221	4.465e-05	0.0005763	0.007723	5.499e-05	0.0005135	0.008124
Not Mapped	MAPPED	0.1112	0.1112	0.1112	0.08963	0.08963	0.08963	0.08154	0.08154	0.08154	0.07543	0.07543	0.07543	0.07444	0.07444	0.07444
-Not Mapped	MAPPED	0.1112	0.1112	0.1112	0.08963	0.08963	0.08963	0.08154	0.08154	0.08154	0.07543	0.07543	0.07543	0.07444	0.07444	0.07444
TOTAL	Genetic Information Processing	3.81	3.922	3.959	3.565	3.668	3.705	3.29	3.378	3.422	3.141	3.219	3.259	2.892	2.965	2.994
MAPPED	Genetic Information Processing	3.429	3.529	3.563	3.272	3.366	3.4	3.042	3.123	3.164	2.921	2.994	3.03	2.692	2.759	2.786
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1565	0.1662	0.1681	0.1554	0.1648	0.1674	0.1525	0.1604	0.1642	0.1451	0.1521	0.1559	0.138	0.1448	0.1478
-Translation	Genetic Information Processing	0.5317	0.5456	0.5474	0.5542	0.5678	0.5716	0.5814	0.5944	0.5989	0.6055	0.6184	0.6225	0.6281	0.6415	0.6451
-Folding, Sorting and Degradation	Genetic Information Processing	0.2216	0.2335	0.2386	0.2023	0.2136	0.2188	0.1851	0.1972	0.2018	0.1761	0.1875	0.1917	0.1662	0.1772	0.1805
-DNA Maintenance	Genetic Information Processing	0.05562	0.05675	0.05957	0.05201	0.05368	0.05669	0.04472	0.04755	0.04944	0.03885	0.0418	0.04315	0.03458	0.03775	0.0389
-RNA Family	Genetic Information Processing	4.118e-06	5.987e-06	7.386e-06	3.252e-06	4.731e-06	5.84e-06	2.287e-06	3.328e-06	4.113e-06	1.929e-06	2.804e-06	3.468e-06	1.612e-06	2.341e-06	2.898e-06
Environmental Information Processing	Genetic Information Processing	0.02966	0.03549	0.03815	0.02251	0.0244	0.03025	0.01684	0.01833	0.02273	0.01453	0.01599	0.01888	0.01213	0.01342	0.01571
-Signal Transduction	Genetic Information Processing	0.02937	0.03519	0.03785	0.02251	0.0244	0.03025	0.01684	0.01833	0.02273	0.01453	0.01599	0.01888	0.01213	0.01342	0.01571
-Signaling Molecules and Interaction	Genetic Information Processing	0.0002916	0.0003001	0.0003029	1.052e-06	1.082e-06	1.093e-06	7.414e-07	7.611e-07	7.711e-07	6.266e-07	6.422e-07	6.499e-07	5.242e-07	5.373e-07	5.426e-07
Cellular Processes	Genetic Information Processing	0.06556	0.06703	0.07028	0.0375	0.03901	0.04096	0.03413	0.03625	0.0383	0.0323	0.03385	0.03592	0.02897	0.031	0.03328
-Cell Structure	Genetic Information Processing	0.005361	0.005518	0.00557	0.01115	0.01147	0.01159	0.01087	0.01116	0.01131	0.01022	0.01047	0.0106	0.007706	0.0079	0.007977
-Crystallins	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	Genetic Information Processing	8.845e-05	0.001543	0.001582	6.29e-05	0.001162	0.001191	6.024e-05	0.001461	0.001495	5.083e-05	0.001046	0.001068	4.242e-05	0.001425	0.001456
-Cytoskeleton	Genetic Information Processing	0.01356	0.01403	0.01481	0.01271	0.01316	0.01396	0.01084	0.01121	0.01203	0.01003	0.01035	0.01097	0.009431	0.00972	0.01036
-Cell Motility	Genetic Information Processing	0.03136	0.03454	0.03569	1.7e-05	1.823e-05	1.892e-05	1.199e-05	1.285e-05	1.331e-05	1.013e-05	1.086e-05	1.122e-05	8.468e-06	9.086e-06	9.369e-06
-Cell Growth and Death	Genetic Information Processing	0.01184	0.01268	0.01359	0.01247	0.01336	0.01453	0.01142	0.01229	0.01388	0.01121	0.01188	0.01365	0.01115	0.01187	0.01377
-Cellular Community	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	Genetic Information Processing	2.317	2.419	2.45	2.196	2.293	2.331	1.978	2.061	2.096	1.863	1.938	1.966	1.64	1.708	1.73
-Membrane Transport	Genetic Information Processing	0.3709	0.3987	0.4122	0.3303	0.3465	0.359	0.2783	0.2958	0.3065	0.2339	0.2504	0.2587	0.1789	0.1982	0.2027
-Central Carbon Metabolism	Genetic Information Processing	0.8506	0.9448	0.9759	0.8217	0.8417	0.9018	0.6897	0.7103	0.7638	0.5908	0.6069	0.6538	0.4957	0.5032	0.535
-Energy Metabolism	Genetic Information Processing	0.078	0.0805	0.08686	0.08589	0.08885	0.09465	0.08603	0.08765	0.09541	0.07776	0.07971	0.08756	0.06689	0.06812	0.07421
-Biosynthesis	Genetic Information Processing	0.5807	0.6078	0.6363	0.6324	0.6597	0.7063	0.6359	0.6588	0.7035	0.7022	0.7231	0.765	0.6737	0.6932	0.7219
-Other Enzymes	Genetic Information Processing	0.3325	0.381	0.4029	0.2849	0.3122	0.3484	0.2477	0.2701	0.301	0.2253	0.2424	0.2736	0.1997	0.2214	0.2399
Organismal Systems	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	Genetic Information Processing	0.0007139	0.004745	0.02432	0.0007196	0.004641	0.02474	0.0006333	0.003462	0.02647	0.0005811	0.002954	0.0237	0.0004417	0.002586	0.02305
-Cancers	Genetic Information Processing	0	0	0.0004909	0	0	0.0003294	0	0	0.0002639	0	0	0.0002224	0	0	0.0002122
-Immune Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Substance Dependence	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine and Metabolic Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	1.794e-06	0.001058	0.005063	1.417e-06	0.0009141	0.004989	9.99e-07	0.000966	0.003777	8.438e-07	0.0007845	0.00323	7.056e-07	0.0007913	0.002831
-Drug resistance	Genetic Information Processing	0.000134	0.002276	0.02306	0.0001381	0.002143	0.0238	0.000138	0.001959	0.02549	0.0001337	0.001684	0.0229	0.0001518	0.001382	0.02226
Not Mapped	Genetic Information Processing	0.3813	0.3924	0.3961	0.2933	0.3017	0.3048	0.2481	0.2547	0.258	0.2203	0.2258	0.2285	0.2004	0.2054	0.2074
-Not Mapped	Genetic Information Processing	0.3813	0.3924	0.3961	0.2933	0.3017	0.3048	0.2481	0.2547	0.258	0.2203	0.2258	0.2285	0.2004	0.2054	0.2074
TOTAL	-Transcription	22.67	23.55	24.5	21.33	22.11	23.06	20.26	20.85	21.62	20.36	20.92	21.69	19.67	20.28	21.01
MAPPED	-Transcription	20.4	21.19	22.05	19.58	20.29	21.16	18.73	19.28	19.99	18.93	19.45	20.17	18.31	18.88	19.55
Genetic Information Processing	-Transcription	5.937	6.005	6.248	5.955	6.044	6.288	6.073	6.175	6.4	6.385	6.5	6.725	6.709	6.831	7.073
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	3.163	3.276	3.404	3.316	3.431	3.57	3.58	3.673	3.804	3.923	4.021	4.166	4.273	4.397	4.544
-Folding, Sorting and Degradation	-Transcription	1.319	1.408	1.478	1.21	1.294	1.367	1.13	1.223	1.285	1.133	1.227	1.286	1.128	1.214	1.273
-DNA Maintenance	-Transcription	0.3317	0.3408	0.3749	0.3107	0.3265	0.3595	0.2716	0.2928	0.318	0.2481	0.2709	0.2918	0.232	0.2568	0.2776
-RNA Family	-Transcription	2.632e-05	3.57e-05	4.385e-05	2.093e-05	2.826e-05	3.478e-05	1.5e-05	2.021e-05	2.506e-05	1.329e-05	1.79e-05	2.225e-05	1.168e-05	1.571e-05	1.961e-05
Environmental Information Processing	-Transcription	0.1784	0.2108	0.2306	0.1366	0.1557	0.1875	0.105	0.1191	0.1443	0.09515	0.1079	0.1256	0.08364	0.09509	0.1092
-Signal Transduction	-Transcription	0.1767	0.209	0.2288	0.1366	0.1557	0.1875	0.105	0.1191	0.1443	0.09515	0.1079	0.1256	0.08364	0.09509	0.1092
-Signaling Molecules and Interaction	-Transcription	0.001735	0.001802	0.001875	6.292e-06	6.521e-06	6.802e-06	4.566e-06	4.698e-06	4.871e-06	4.06e-06	4.172e-06	4.326e-06	3.565e-06	3.676e-06	3.807e-06
Cellular Processes	-Transcription	0.39	0.4087	0.4322	0.224	0.2335	0.257	0.2073	0.2249	0.2446	0.2063	0.2232	0.2412	0.1944	0.2167	0.2354
-Cell Structure	-Transcription	0.0319	0.03314	0.03447	0.06674	0.06917	0.07215	0.06697	0.06891	0.07144	0.0662	0.06802	0.07053	0.05242	0.05405	0.05597
-Crystallins	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-       Stress response	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular transport	-Transcription	0.0005357	0.009284	0.00983	0.0003825	0.007051	0.007439	0.0003719	0.009113	0.0095	0.0003294	0.006876	0.007147	0.000289	0.009838	0.01025
-Cytoskeleton	-Transcription	0.08066	0.08536	0.09167	0.07606	0.08046	0.08689	0.06677	0.06964	0.07596	0.065	0.06753	0.07291	0.06415	0.06645	0.07264
-Cell Motility	-Transcription	0.1906	0.2083	0.2195	0.0001024	0.0001107	0.000117	7.375e-05	7.961e-05	8.438e-05	6.549e-05	7.074e-05	7.499e-05	5.771e-05	6.214e-05	6.599e-05
-Cell Growth and Death	-Transcription	0.07108	0.07781	0.08609	0.07539	0.08279	0.09275	0.07023	0.07804	0.08999	0.07235	0.07952	0.09224	0.07554	0.08357	0.09784
-Cellular Community	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	-Transcription	13.79	14.61	15.13	13.14	13.93	14.42	12.18	12.73	13.25	12.07	12.56	13.12	11.16	11.66	12.18
-Membrane Transport	-Transcription	2.207	2.428	2.587	1.968	2.117	2.278	1.695	1.851	1.99	1.501	1.645	1.768	1.211	1.36	1.437
-Central Carbon Metabolism	-Transcription	5.061	5.67	6.024	4.985	5.125	5.728	4.301	4.377	4.962	3.886	3.926	4.471	3.382	3.445	3.832
-Energy Metabolism	-Transcription	0.4631	0.4836	0.5552	0.5132	0.54	0.6091	0.5241	0.5501	0.6191	0.4989	0.5252	0.586	0.4489	0.4709	0.5062
-Biosynthesis	-Transcription	3.455	3.728	3.879	3.784	4.088	4.231	3.916	4.183	4.305	4.55	4.839	4.962	4.595	4.875	4.951
-Other Enzymes	-Transcription	1.997	2.295	2.561	1.722	1.902	2.102	1.544	1.657	1.834	1.478	1.595	1.755	1.358	1.555	1.664
Organismal Systems	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Immune System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	-Transcription	0.004391	0.02944	0.1444	0.00446	0.02892	0.1473	0.004021	0.02196	0.1613	0.003889	0.01972	0.1521	0.003111	0.01821	0.1559
-Cancers	-Transcription	0	0	0.002914	0	0	0.001966	0	0	0.001608	0	0	0.001428	0	0	0.001438
-Immune Diseases	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Substance Dependence	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
