Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
-Vesicular transport	MAPPED	2.52e-05	1.875e-05	1.935e-05	1.703e-05	1.546e-05
-Cytoskeleton	MAPPED	0.003954	0.003885	0.003564	0.003434	0.003504
-Cell Motility	MAPPED	0.008885	5.035e-06	3.818e-06	3.361e-06	3.051e-06
-Cell Growth and Death	MAPPED	0.003371	0.003723	0.003669	0.003756	0.004059
-Cellular Community	MAPPED	0	0	0	0	0
Metabolism	MAPPED	0.6758	0.6713	0.6495	0.6372	0.6082
-Membrane Transport	MAPPED	0.1078	0.09702	0.08795	0.07715	0.06416
-Central Carbon Metabolism	MAPPED	0.2481	0.2471	0.224	0.1996	0.1791
-Energy Metabolism	MAPPED	0.02189	0.0253	0.02718	0.02565	0.02397
-Biosynthesis	MAPPED	0.1685	0.1933	0.2072	0.2363	0.2452
-Other Enzymes	MAPPED	0.0947	0.08501	0.07919	0.07516	0.0742
Organismal Systems	MAPPED	0	0	0	0	0
-Immune System	MAPPED	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0
Human Diseases	MAPPED	0.0002012	0.0002124	0.0002013	0.0001928	0.0001591
-Cancers	MAPPED	0	0	0	0	0
-Immune Diseases	MAPPED	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0
-Substance Dependence	MAPPED	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0
-Endocrine and Metabolic Diseases	MAPPED	0	0	0	0	0
-Infectious Diseases	MAPPED	5.183e-07	4.285e-07	3.249e-07	2.86e-07	2.597e-07
-Drug resistance	MAPPED	3.795e-05	4.102e-05	4.418e-05	4.465e-05	5.499e-05
Not Mapped	MAPPED	0.1112	0.08963	0.08154	0.07543	0.07444
-Not Mapped	MAPPED	0.1112	0.08963	0.08154	0.07543	0.07444
TOTAL	Genetic Information Processing	3.81	3.565	3.29	3.141	2.892
MAPPED	Genetic Information Processing	3.429	3.272	3.042	2.921	2.692
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1565	0.1554	0.1525	0.1451	0.138
-Translation	Genetic Information Processing	0.5317	0.5542	0.5814	0.6055	0.6281
-Folding, Sorting and Degradation	Genetic Information Processing	0.2216	0.2023	0.1851	0.1761	0.1662
-DNA Maintenance	Genetic Information Processing	0.05562	0.05201	0.04472	0.03885	0.03458
-RNA Family	Genetic Information Processing	4.118e-06	3.252e-06	2.287e-06	1.929e-06	1.612e-06
Environmental Information Processing	Genetic Information Processing	0.02966	0.02251	0.01684	0.01453	0.01213
-Signal Transduction	Genetic Information Processing	0.02937	0.02251	0.01684	0.01453	0.01213
-Signaling Molecules and Interaction	Genetic Information Processing	0.0002916	1.052e-06	7.414e-07	6.266e-07	5.242e-07
Cellular Processes	Genetic Information Processing	0.06556	0.0375	0.03413	0.0323	0.02897
-Cell Structure	Genetic Information Processing	0.005361	0.01115	0.01087	0.01022	0.007706
-Crystallins	Genetic Information Processing	0	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0	0
-       Stress response	Genetic Information Processing	0	0	0	0	0
-Vesicular transport	Genetic Information Processing	8.845e-05	6.29e-05	6.024e-05	5.083e-05	4.242e-05
-Cytoskeleton	Genetic Information Processing	0.01356	0.01271	0.01084	0.01003	0.009431
-Cell Motility	Genetic Information Processing	0.03136	1.7e-05	1.199e-05	1.013e-05	8.468e-06
-Cell Growth and Death	Genetic Information Processing	0.01184	0.01247	0.01142	0.01121	0.01115
-Cellular Community	Genetic Information Processing	0	0	0	0	0
Metabolism	Genetic Information Processing	2.317	2.196	1.978	1.863	1.64
-Membrane Transport	Genetic Information Processing	0.3709	0.3303	0.2783	0.2339	0.1789
-Central Carbon Metabolism	Genetic Information Processing	0.8506	0.8217	0.6897	0.5908	0.4957
-Energy Metabolism	Genetic Information Processing	0.078	0.08589	0.08603	0.07776	0.06689
-Biosynthesis	Genetic Information Processing	0.5807	0.6324	0.6359	0.7022	0.6737
-Other Enzymes	Genetic Information Processing	0.3325	0.2849	0.2477	0.2253	0.1997
Organismal Systems	Genetic Information Processing	0	0	0	0	0
-Immune System	Genetic Information Processing	0	0	0	0	0
-Endocrine System	Genetic Information Processing	0	0	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	0	0	0
-Excretory System	Genetic Information Processing	0	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0
Human Diseases	Genetic Information Processing	0.0007139	0.0007196	0.0006333	0.0005811	0.0004417
-Cancers	Genetic Information Processing	0	0	0	0	0
-Immune Diseases	Genetic Information Processing	0	0	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0	0
-Substance Dependence	Genetic Information Processing	0	0	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0
-Endocrine and Metabolic Diseases	Genetic Information Processing	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	1.794e-06	1.417e-06	9.99e-07	8.438e-07	7.056e-07
-Drug resistance	Genetic Information Processing	0.000134	0.0001381	0.000138	0.0001337	0.0001518
Not Mapped	Genetic Information Processing	0.3813	0.2933	0.2481	0.2203	0.2004
-Not Mapped	Genetic Information Processing	0.3813	0.2933	0.2481	0.2203	0.2004
TOTAL	-Transcription	22.67	21.33	20.26	20.36	19.67
MAPPED	-Transcription	20.4	19.58	18.73	18.93	18.31
Genetic Information Processing	-Transcription	5.937	5.955	6.073	6.385	6.709
-Transcription	-Transcription	1	1	1	1	1
-Translation	-Transcription	3.163	3.316	3.58	3.923	4.273
-Folding, Sorting and Degradation	-Transcription	1.319	1.21	1.13	1.133	1.128
-DNA Maintenance	-Transcription	0.3317	0.3107	0.2716	0.2481	0.232
-RNA Family	-Transcription	2.632e-05	2.093e-05	1.5e-05	1.329e-05	1.168e-05
Environmental Information Processing	-Transcription	0.1784	0.1366	0.105	0.09515	0.08364
-Signal Transduction	-Transcription	0.1767	0.1366	0.105	0.09515	0.08364
-Signaling Molecules and Interaction	-Transcription	0.001735	6.292e-06	4.566e-06	4.06e-06	3.565e-06
Cellular Processes	-Transcription	0.39	0.224	0.2073	0.2063	0.1944
-Cell Structure	-Transcription	0.0319	0.06674	0.06697	0.0662	0.05242
-Crystallins	-Transcription	0	0	0	0	0
-Stress Response	-Transcription	0	0	0	0	0
-       Stress response	-Transcription	0	0	0	0	0
-Vesicular transport	-Transcription	0.0005357	0.0003825	0.0003719	0.0003294	0.000289
-Cytoskeleton	-Transcription	0.08066	0.07606	0.06677	0.065	0.06415
-Cell Motility	-Transcription	0.1906	0.0001024	7.375e-05	6.549e-05	5.771e-05
-Cell Growth and Death	-Transcription	0.07108	0.07539	0.07023	0.07235	0.07554
-Cellular Community	-Transcription	0	0	0	0	0
Metabolism	-Transcription	13.79	13.14	12.18	12.07	11.16
-Membrane Transport	-Transcription	2.207	1.968	1.695	1.501	1.211
-Central Carbon Metabolism	-Transcription	5.061	4.985	4.301	3.886	3.382
-Energy Metabolism	-Transcription	0.4631	0.5132	0.5241	0.4989	0.4489
-Biosynthesis	-Transcription	3.455	3.784	3.916	4.55	4.595
-Other Enzymes	-Transcription	1.997	1.722	1.544	1.478	1.358
Organismal Systems	-Transcription	0	0	0	0	0
-Immune System	-Transcription	0	0	0	0	0
-Endocrine System	-Transcription	0	0	0	0	0
-Circulatory System	-Transcription	0	0	0	0	0
-Digestive System	-Transcription	0	0	0	0	0
-Excretory System	-Transcription	0	0	0	0	0
-Nervous System	-Transcription	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	0	0	0
Human Diseases	-Transcription	0.004391	0.00446	0.004021	0.003889	0.003111
-Cancers	-Transcription	0	0	0	0	0
-Immune Diseases	-Transcription	0	0	0	0	0
-Neurodegenerative Diseases	-Transcription	0	0	0	0	0
-Substance Dependence	-Transcription	0	0	0	0	0
-Cardiovascular Diseases	-Transcription	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Transcription	0	0	0	0	0
-Infectious Diseases	-Transcription	1.079e-05	8.596e-06	6.23e-06	5.549e-06	4.871e-06
-Drug resistance	-Transcription	0.0008044	0.0008323	0.0008456	0.0008599	0.001023
Not Mapped	-Transcription	2.269	1.755	1.528	1.428	1.363
-Not Mapped	-Transcription	2.269	1.755	1.528	1.428	1.363
TOTAL	-Translation	7.093	6.375	5.618	5.15	4.575
MAPPED	-Translation	6.383	5.851	5.195	4.789	4.258
Genetic Information Processing	-Translation	1.816	1.743	1.662	1.599	1.544
-Transcription	-Translation	0.2864	0.2726	0.2553	0.2338	0.2145
-Translation	-Translation	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.4023	0.3527	0.3078	0.2817	0.2567
-DNA Maintenance	-Translation	0.1024	0.09173	0.07536	0.06296	0.05411
-RNA Family	-Translation	7.539e-06	5.705e-06	3.83e-06	3.108e-06	2.506e-06
Environmental Information Processing	-Translation	0.05449	0.03983	0.02846	0.02349	0.01891
-Signal Transduction	-Translation	0.05394	0.03983	0.02846	0.02349	0.01891
-Signaling Molecules and Interaction	-Translation	0.0005427	1.88e-06	1.266e-06	1.027e-06	8.293e-07
Cellular Processes	-Translation	0.1222	0.06615	0.05752	0.05235	0.04533
-Cell Structure	-Translation	0.009979	0.01995	0.01857	0.01675	0.01219
-Crystallins	-Translation	0	0	0	0	0
-Stress Response	-Translation	0	0	0	0	0
-       Stress response	-Translation	0	0	0	0	0
-Vesicular transport	-Translation	0.0001618	0.0001103	0.0001009	8.192e-05	6.613e-05
-Cytoskeleton	-Translation	0.02524	0.02273	0.01851	0.01645	0.01492
-Cell Motility	-Translation	0.05755	2.984e-05	2.008e-05	1.629e-05	1.313e-05
-Cell Growth and Death	-Translation	0.0217	0.02197	0.01921	0.01813	0.0174
-Cellular Community	-Translation	0	0	0	0	0
Metabolism	-Translation	4.32	3.932	3.374	3.051	2.59
-Membrane Transport	-Translation	0.6891	0.5792	0.4652	0.3761	0.2777
-Central Carbon Metabolism	-Translation	1.6	1.454	1.165	0.9591	0.7707
-Energy Metabolism	-Translation	0.1427	0.151	0.1438	0.1251	0.1037
-Biosynthesis	-Translation	1.084	1.141	1.085	1.141	1.051
-Other Enzymes	-Translation	0.6094	0.5017	0.4148	0.363	0.3179
Organismal Systems	-Translation	0	0	0	0	0
-Immune System	-Translation	0	0	0	0	0
-Endocrine System	-Translation	0	0	0	0	0
-Circulatory System	-Translation	0	0	0	0	0
-Digestive System	-Translation	0	0	0	0	0
-Excretory System	-Translation	0	0	0	0	0
-Nervous System	-Translation	0	0	0	0	0
-Sensory System	-Translation	0	0	0	0	0
-Development	-Translation	0	0	0	0	0
-Environmental Adaptation	-Translation	0	0	0	0	0
Human Diseases	-Translation	0.001304	0.001259	0.001057	0.0009334	0.0006848
-Cancers	-Translation	0	0	0	0	0
-Immune Diseases	-Translation	0	0	0	0	0
-Neurodegenerative Diseases	-Translation	0	0	0	0	0
-Substance Dependence	-Translation	0	0	0	0	0
-Cardiovascular Diseases	-Translation	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Translation	0	0	0	0	0
-Infectious Diseases	-Translation	3.308e-06	2.507e-06	1.688e-06	1.37e-06	1.106e-06
-Drug resistance	-Translation	0.0002458	0.0002432	0.0002322	0.0002161	0.0002364
Not Mapped	-Translation	0.7097	0.5244	0.4236	0.3612	0.317
-Not Mapped	-Translation	0.7097	0.5244	0.4236	0.3612	0.317
TOTAL	-Folding, Sorting and Degradation	15.61	15.84	15.76	15.83	15.46
MAPPED	-Folding, Sorting and Degradation	14.05	14.53	14.58	14.72	14.39
Genetic Information Processing	-Folding, Sorting and Degradation	4.098	4.442	4.791	5.04	5.345
-Transcription	-Folding, Sorting and Degradation	0.6558	0.7103	0.7555	0.757	0.7642
-Translation	-Folding, Sorting and Degradation	2.178	2.462	2.785	3.052	3.357
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.2303	0.238	0.2268	0.2073	0.1951
-RNA Family	-Folding, Sorting and Degradation	1.726e-05	1.486e-05	1.133e-05	1.006e-05	8.928e-06
Environmental Information Processing	-Folding, Sorting and Degradation	0.1262	0.1041	0.08417	0.07653	0.06792
-Signal Transduction	-Folding, Sorting and Degradation	0.125	0.1041	0.08417	0.07653	0.06791
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.001195	4.671e-06	3.552e-06	3.158e-06	2.802e-06
Cellular Processes	-Folding, Sorting and Degradation	0.2686	0.1733	0.1731	0.1723	0.1635
-Cell Structure	-Folding, Sorting and Degradation	0.02197	0.04955	0.0521	0.05149	0.04119
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0	0	0	0	0
-       Stress response	-Folding, Sorting and Degradation	0	0	0	0	0
-Vesicular transport	-Folding, Sorting and Degradation	0.0003779	0.0002936	0.0003046	0.0002711	0.0002389
-Cytoskeleton	-Folding, Sorting and Degradation	0.05555	0.05647	0.05195	0.05056	0.0504
-Cell Motility	-Folding, Sorting and Degradation	0.1312	7.862e-05	5.991e-05	5.331e-05	4.726e-05
-Cell Growth and Death	-Folding, Sorting and Degradation	0.05105	0.05853	0.05817	0.06015	0.06352
-Cellular Community	-Folding, Sorting and Degradation	0	0	0	0	0
Metabolism	-Folding, Sorting and Degradation	9.496	9.756	9.476	9.391	8.765
-Membrane Transport	-Folding, Sorting and Degradation	1.52	1.467	1.348	1.203	0.9985
-Central Carbon Metabolism	-Folding, Sorting and Degradation	3.485	3.714	3.403	3.059	2.689
-Energy Metabolism	-Folding, Sorting and Degradation	0.3347	0.3971	0.4321	0.4114	0.3736
-Biosynthesis	-Folding, Sorting and Degradation	2.379	2.809	3.047	3.539	3.611
-Other Enzymes	-Folding, Sorting and Degradation	1.434	1.333	1.22	1.15	1.067
Organismal Systems	-Folding, Sorting and Degradation	0	0	0	0	0
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0	0	0
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0	0	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0	0	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0.003118	0.003447	0.003288	0.003169	0.002562
-Cancers	-Folding, Sorting and Degradation	0	0	0	0	0
-Immune Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Substance Dependence	-Folding, Sorting and Degradation	0	0	0	0	0
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	7.635e-06	6.551e-06	4.993e-06	4.443e-06	3.939e-06
-Drug resistance	-Folding, Sorting and Degradation	0.0005664	0.0006353	0.0006876	0.0007028	0.0008544
Not Mapped	-Folding, Sorting and Degradation	1.562	1.303	1.189	1.11	1.071
-Not Mapped	-Folding, Sorting and Degradation	1.562	1.303	1.189	1.11	1.071
TOTAL	-DNA Maintenance	64.54	63.31	66.7	72.51	73.53
MAPPED	-DNA Maintenance	58.09	58.1	61.67	67.42	68.44
Genetic Information Processing	-DNA Maintenance	16.37	17.15	19.6	22.37	24.66
-Transcription	-DNA Maintenance	2.662	2.767	3.087	3.343	3.501
-Translation	-DNA Maintenance	8.962	9.802	11.74	13.93	15.91
-Folding, Sorting and Degradation	-DNA Maintenance	3.72	3.569	3.745	4.081	4.251
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1
-RNA Family	-DNA Maintenance	7.021e-05	5.822e-05	4.718e-05	4.555e-05	4.208e-05
Environmental Information Processing	-DNA Maintenance	0.5195	0.4098	0.3493	0.3428	0.3167
-Signal Transduction	-DNA Maintenance	0.5144	0.4098	0.3493	0.3428	0.3167
-Signaling Molecules and Interaction	-DNA Maintenance	0.004939	1.867e-05	1.503e-05	1.446e-05	1.333e-05
Cellular Processes	-DNA Maintenance	1.138	0.6737	0.7107	0.7573	0.7644
-Cell Structure	-DNA Maintenance	0.09081	0.1981	0.2204	0.2358	0.1959
-Crystallins	-DNA Maintenance	0	0	0	0	0
-Stress Response	-DNA Maintenance	0	0	0	0	0
-       Stress response	-DNA Maintenance	0	0	0	0	0
-Vesicular transport	-DNA Maintenance	0.001558	0.001181	0.001309	0.001261	0.001168
-Cytoskeleton	-DNA Maintenance	0.2297	0.2258	0.2198	0.2315	0.2398
-Cell Motility	-DNA Maintenance	0.5358	0.000302	0.0002443	0.000236	0.0002185
-Cell Growth and Death	-DNA Maintenance	0.2076	0.2291	0.2409	0.2658	0.2926
-Cellular Community	-DNA Maintenance	0	0	0	0	0
Metabolism	-DNA Maintenance	39.94	39.75	40.9	43.86	42.62
-Membrane Transport	-DNA Maintenance	6.527	5.918	5.789	5.601	4.727
-Central Carbon Metabolism	-DNA Maintenance	15.13	15.12	14.47	14.08	12.83
-Energy Metabolism	-DNA Maintenance	1.349	1.533	1.771	1.799	1.701
-Biosynthesis	-DNA Maintenance	9.924	11.31	12.92	16.18	17.09
-Other Enzymes	-DNA Maintenance	5.93	5.138	5.104	5.32	5.29
Organismal Systems	-DNA Maintenance	0	0	0	0	0
-Immune System	-DNA Maintenance	0	0	0	0	0
-Endocrine System	-DNA Maintenance	0	0	0	0	0
-Circulatory System	-DNA Maintenance	0	0	0	0	0
-Digestive System	-DNA Maintenance	0	0	0	0	0
-Excretory System	-DNA Maintenance	0	0	0	0	0
-Nervous System	-DNA Maintenance	0	0	0	0	0
-Sensory System	-DNA Maintenance	0	0	0	0	0
-Development	-DNA Maintenance	0	0	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0	0	0
Human Diseases	-DNA Maintenance	0.01169	0.01234	0.01241	0.013	0.01089
-Cancers	-DNA Maintenance	0	0	0	0	0
-Immune Diseases	-DNA Maintenance	0	0	0	0	0
-Neurodegenerative Diseases	-DNA Maintenance	0	0	0	0	0
-Substance Dependence	-DNA Maintenance	0	0	0	0	0
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0	0
-Endocrine and Metabolic Diseases	-DNA Maintenance	0	0	0	0	0
-Infectious Diseases	-DNA Maintenance	3.181e-05	2.633e-05	2.096e-05	2.011e-05	1.864e-05
-Drug resistance	-DNA Maintenance	0.002289	0.002472	0.002833	0.00313	0.003918
Not Mapped	-DNA Maintenance	6.459	5.208	5.029	5.085	5.095
-Not Mapped	-DNA Maintenance	6.459	5.208	5.029	5.085	5.095
TOTAL	-RNA Family	504400	598300	783200	884700	973600
MAPPED	-RNA Family	454000	549100	724100	822700	906100
Genetic Information Processing	-RNA Family	128600	163100	231900	274800	328200
-Transcription	-RNA Family	20590	25940	36230	40860	46410
-Translation	-RNA Family	70090	92620	137800	170000	210800
-Folding, Sorting and Degradation	-RNA Family	30420	35450	46530	52260	58320
-DNA Maintenance	-RNA Family	7527	9112	11230	11600	12350
-RNA Family	-RNA Family	1	1	1	1	1
Environmental Information Processing	-RNA Family	4365	4236	4480	4553	4541
-Signal Transduction	-RNA Family	4321	4236	4480	4553	4541
-Signaling Molecules and Interaction	-RNA Family	38.6	0.1765	0.1765	0.1765	0.1765
Cellular Processes	-RNA Family	8564	6570	8516	9524	10260
-Cell Structure	-RNA Family	709.7	1872	2588	2877	2594
-Crystallins	-RNA Family	0	0	0	0	0
-Stress Response	-RNA Family	0	0	0	0	0
-       Stress response	-RNA Family	0	0	0	0	0
-Vesicular transport	-RNA Family	12.22	11	14.95	14.95	14.95
-Cytoskeleton	-RNA Family	1887	2254	2752	2979	3371
-Cell Motility	-RNA Family	4033	2.824	2.824	2.824	2.824
-Cell Growth and Death	-RNA Family	1626	2172	2823	3283	3908
-Cellular Community	-RNA Family	0	0	0	0	0
Metabolism	-RNA Family	311400	374100	477900	532500	561300
-Membrane Transport	-RNA Family	51710	56520	67660	67440	61770
-Central Carbon Metabolism	-RNA Family	125500	138500	164100	166400	167300
-Energy Metabolism	-RNA Family	10240	14260	20110	21500	22070
-Biosynthesis	-RNA Family	78770	108000	153700	200000	229500
-Other Enzymes	-RNA Family	45170	56830	68710	72810	76200
Organismal Systems	-RNA Family	0	0	0	0	0
-Immune System	-RNA Family	0	0	0	0	0
-Endocrine System	-RNA Family	0	0	0	0	0
-Circulatory System	-RNA Family	0	0	0	0	0
-Digestive System	-RNA Family	0	0	0	0	0
-Excretory System	-RNA Family	0	0	0	0	0
-Nervous System	-RNA Family	0	0	0	0	0
-Sensory System	-RNA Family	0	0	0	0	0
-Development	-RNA Family	0	0	0	0	0
-Environmental Adaptation	-RNA Family	0	0	0	0	0
Human Diseases	-RNA Family	155.3	198.2	247.8	269.7	245.2
-Cancers	-RNA Family	0	0	0	0	0
-Immune Diseases	-RNA Family	0	0	0	0	0
-Neurodegenerative Diseases	-RNA Family	0	0	0	0	0
-Substance Dependence	-RNA Family	0	0	0	0	0
-Cardiovascular Diseases	-RNA Family	0	0	0	0	0
-Endocrine and Metabolic Diseases	-RNA Family	0	0	0	0	0
-Infectious Diseases	-RNA Family	0.2667	0.2667	0.2667	0.2667	0.2667
-Drug resistance	-RNA Family	17.23	22.52	32	36.73	49.83
Not Mapped	-RNA Family	50480	49220	59050	62050	67460
-Not Mapped	-RNA Family	50480	49220	59050	62050	67460
TOTAL	Environmental Information Processing	88.7	106.5	131.6	151.8	165.6
MAPPED	Environmental Information Processing	79.82	97.71	121.7	141.2	154.1
Genetic Information Processing	Environmental Information Processing	23.28	29.87	39.99	48.33	57.26
-Transcription	Environmental Information Processing	3.913	4.991	6.494	7.458	8.418
-Translation	Environmental Information Processing	12.38	16.55	23.25	29.26	35.97
-Folding, Sorting and Degradation	Environmental Information Processing	5.681	6.723	8.347	9.589	10.71
-DNA Maintenance	Environmental Information Processing	1.309	1.6	1.901	2.02	2.162
-RNA Family	Environmental Information Processing	0.000116	0.00012	0.0001124	0.0001148	0.0001162
Environmental Information Processing	Environmental Information Processing	1	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.99	1	1	1	1
-Signaling Molecules and Interaction	Environmental Information Processing	0.006787	3.141e-05	2.965e-05	3.028e-05	3.002e-05
