Category	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
--Protein export	0.0028571317	0.0031521827	0.0031974978	0.0030529053	0.0030198849
--Protein processing in endoplasmic reticulum	0	0	0	0	0
--SNARE interactions in vesicular transport	0	0	0	0	0
--Ubiquitin mediated proteolysis	0	0	0	0	0
--Ubiquitin labeling	0	0	0	0	0
--Sulfur relay system	0.00030304487	0.00034493533	0.00038628	0.00038120939	0.00039164262
--Proteasome	0	0	0	0	0
--Peptidases	0.01295165	0.013484148	0.014012907	0.013404999	0.013910406
--RNA degradation	0.0043523001	0.0038583883	0.0036244184	0.0037227248	0.003888627
-DNA Maintenance	0.015119087	0.015429202	0.014863711	0.013665383	0.013348702
--DNA replication	0.00032550758	0.00032608368	0.00031385335	0.00029349968	0.00029408021
--DNA replication complex	0.00060390324	0.00062840103	0.00053876425	0.00048955766	0.0004585242
--DNA replication control	0.0043832351	0.0043347512	0.0041686302	0.0038143822	0.0040105717
--Chromosome-related	0.0081237736	0.00834494	0.0081525614	0.0075508282	0.0070432451
--Base excision repair	0.00021706984	0.00023027825	0.00023631193	0.00020847621	0.00022856645
--Nucleotide excision repair	0.00043606704	0.00039935043	0.00034916953	0.00032057359	0.00032901048
--Mismatch repair	5.9918363e-05	6.3498853e-05	5.0813825e-05	4.3308651e-05	4.3824373e-05
--Homologous recombination	0.00057877138	0.00069359319	0.00062596562	0.00055996793	0.00053848218
--Non-homologous end-joining	0	0	0	0	0
--Fanconi anemia pathway	0	0	0	0	0
--DNA repair and recombination proteins	0.00039084038	0.00040830582	0.00042764043	0.00038478859	0.00040239711
-RNA Family	1.1661365e-07	9.8320804e-08	7.510974e-08	6.6486628e-08	6.0418475e-08
--Non-coding RNAs	1.1661365e-07	9.8320804e-08	7.510974e-08	6.6486628e-08	6.0418475e-08
Environmental Information Processing	0.011784555	0.0085812472	0.0069347655	0.0059990644	0.005320727
-Signal Transduction	0.011708037	0.0085809523	0.0069345401	0.005998865	0.0053205457
--Other signaling pathways	0	0	0	0	0
--Two-component system	0.011708037	0.0085809523	0.0069345401	0.005998865	0.0053205457
--Ras signaling pathway	0	0	0	0	0
--Rap1 signaling pathway	0	0	0	0	0
--MAPK signaling pathway	0	0	0	0	0
--ErbB signaling pathway	0	0	0	0	0
--Wnt signaling pathway	0	0	0	0	0
--Notch signaling pathway	0	0	0	0	0
--Hedgehog signaling pathway	0	0	0	0	0
--TGF-beta signaling pathway	0	0	0	0	0
--Hippo signaling pathway	0	0	0	0	0
--Jak-STAT signaling pathway	0	0	0	0	0
--NF-kappa B signaling pathway	0	0	0	0	0
--TNF signaling pathway	0	0	0	0	0
--HIF-1 signaling pathway	0	0	0	0	0
--FoxO signaling pathway	0	0	0	0	0
--Calcium signaling pathway	0	0	0	0	0
--cAMP signaling pathway	0	0	0	0	0
--PI3K-Akt signaling pathway	0	0	0	0	0
--mTOR signaling pathway	0	0	0	0	0
--Plant hormone signal transduction	0	0	0	0	0
-Signaling Molecules and Interaction	7.6517992e-05	2.9496241e-07	2.2532922e-07	1.9945988e-07	1.8125542e-07
--Signaling molecules	0	0	0	0	0
--Steroid hormone biosynthesis	0	0	0	0	0
--GTP-binding signaling proteins	0	0	0	0	0
--Neuroactive ligand-receptor interaction	0	0	0	0	0
--Cytokine-cytokine receptor interaction	0	0	0	0	0
--Cytokines	0	0	0	0	0
--ECM-receptor interaction	0	0	0	0	0
--Cell adhesion molecules (CAMs)	1.1661365e-07	9.8320804e-08	7.510974e-08	6.6486628e-08	6.0418475e-08
--CD Molecules	0	0	0	0	0
--Bacterial toxins	7.6401379e-05	1.9664161e-07	1.5021948e-07	1.3297326e-07	1.2083695e-07
Cellular Processes	0.015912059	0.010133032	0.010014661	0.0099573274	0.0097207645
-Cell Structure	0.0014069761	0.0031286499	0.0033050372	0.0032520272	0.0026647484
--Cell envelope	0.0014069761	0.0031286499	0.0033050372	0.0032520272	0.0026647484
-Crystallins	0	0	0	0	0
--Crystallins	0	0	0	0	0
-Vesicular transport	2.2791491e-05	1.7304462e-05	1.7965833e-05	1.5903232e-05	1.4451764e-05
--Motor proteins	0	0	0	0	0
--Endocytosis	0	0	0	0	0
--Exosome	2.2791491e-05	1.7304462e-05	1.7965833e-05	1.5903232e-05	1.4451764e-05
--Phagosome	0	0	0	0	0
--Lysosome	0	0	0	0	0
--Peroxisome	0	0	0	0	0
--Regulation of autophagy	0	0	0	0	0
-Cytoskeleton	0.0035581709	0.0035658061	0.0032951248	0.0031933583	0.0032611552
--Regulation of actin cytoskeleton	0	0	0	0	0
--Cytoskeleton proteins	0.0035581709	0.0035658061	0.0032951248	0.0031933583	0.0032611552
-Cell Motility	0.007890096	4.9160402e-06	3.755487e-06	3.3243314e-06	3.0209237e-06
--Bacterial chemotaxis	0.00023351398	4.9160402e-07	3.755487e-07	3.3243314e-07	3.0209237e-07
--Bacterial motility proteins	0.007656582	4.4244362e-06	3.3799383e-06	2.9918983e-06	2.7188314e-06
-Cell Growth and Death	0.0030340249	0.0034163557	0.0033927779	0.0034927143	0.0037773882
--Nuclear membrane	0	0	0	0	0
--Cell cycle	0.0030340249	0.0034163557	0.0033927779	0.0034927143	0.0037773882
--Cytokinesis	0	0	0	0	0
--Oocyte meiosis	0	0	0	0	0
--Apoptosis	0	0	0	0	0
--p53 signaling pathway	0	0	0	0	0
--Cell wall	0	0	0	0	0
-Cellular Community	0	0	0	0	0
--Focal adhesion	0	0	0	0	0
--Adherens junction	0	0	0	0	0
--Tight junction	0	0	0	0	0
--Gap junction	0	0	0	0	0
Metabolism	0.60118843	0.60956101	0.59486832	0.58718466	0.56117961
-Membrane Transport	0.10656352	0.10186224	0.095895312	0.084408436	0.06900234
--Transport	0.10368889	0.098762953	0.092041894	0.08039689	0.065687442
--Phosphotransferase system (PTS)	0.0022635358	0.003096047	0.003850939	0.0040093514	0.0033129044
--Bacterial secretion system	1.2827502e-06	1.0815288e-06	8.2620714e-07	7.3135291e-07	6.6460322e-07
--Secretion system	0.00060981491	2.1630577e-06	1.6524143e-06	1.4627058e-06	1.3292064e-06
-Central Carbon Metabolism	0.2610562	0.24614374	0.22432449	0.20236883	0.18242805
--Glycolysis	0.12210078	0.11184662	0.10321369	0.098068588	0.094103235
--TCA cycle and anaplerotic enzymes	0.075478777	0.096436846	0.082684169	0.066686308	0.048070802
--Pentose phosphate metabolism	0.015889773	0.016658488	0.017124835	0.017880986	0.020165837
--Carbohydrate metabolism	0.036932313	0.0095486324	0.0089582166	0.0080501252	0.0078264851
--Pyruvate metabolism	0.0052993682	0.006971367	0.0073926553	0.0068248865	0.0074821803
--Butanoate metabolism	4.6645461e-07	3.9328322e-07	3.0043896e-07	2.6594651e-07	2.416739e-07
--Other central metabolism enzymes	0.005354716	0.0046813962	0.0049506154	0.0048576746	0.0047792692
-Energy Metabolism	0.021779581	0.025556681	0.027843518	0.026616179	0.025121925
--Oxidative phosphorylation	0.021598105	0.02539742	0.027686764	0.026492567	0.025003296
--Photosynthesis	0	0	0	0	0
--Photosynthesis proteins	1.1661365e-07	9.8320804e-08	7.510974e-08	6.6486628e-08	6.0418475e-08
--Carbon fixation in photosynthetic organisms	5.6636984e-05	9.8320804e-08	7.510974e-08	6.6486628e-08	6.0418475e-08
--Methane metabolism	0.00012472154	0.00015906394	0.00015660381	0.0001234786	0.00011850748
-Biosynthesis	0.1651808	0.19082176	0.20619314	0.23606905	0.24593
--Lipid and steroid metabolism	0.032469598	0.026736606	0.026134971	0.02479267	0.023385833
--Purine metabolism	0.021571135	0.026274988	0.028333338	0.030694394	0.034802175
--Pyrimidine metabolism	0.012770034	0.017956089	0.017373611	0.021868632	0.020947055
--Amino acid metabolism	0.080249739	0.09992362	0.11338584	0.13810571	0.14447909
--Glycan metabolism	0.0031812318	0.0033386236	0.0029248932	0.0028928332	0.0029032504
--Cofactor biosynthesis	0.014807482	0.016418184	0.017823716	0.017406304	0.019114994
--Biosynthesis of other secondary metabolites	0.00013157907	0.00017365093	0.00021677297	0.00030850626	0.00029760127
-Other Enzymes	0.046608331	0.045176588	0.040611862	0.037722164	0.03869729
--Other enzymes	0.046608331	0.045176588	0.040611862	0.037722164	0.03869729
--Protein kinases	0	0	0	0	0
--Cytochrome P450	0	0	0	0	0
Organismal Systems	0	0	0	0	0
-Immune System	0	0	0	0	0
--Immunoglobulins	0	0	0	0	0
--Response to viral infection	0	0	0	0	0
--Hematopoietic cell lineage	0	0	0	0	0
--Complement and coagulation cascades	0	0	0	0	0
--Toll-like receptor signaling pathway	0	0	0	0	0
--NOD-like receptor signaling pathway	0	0	0	0	0
--RIG-I-like receptor signaling pathway	0	0	0	0	0
--Cytosolic DNA-sensing pathway	0	0	0	0	0
--Natural killer cell mediated cytotoxicity	0	0	0	0	0
--Antigen processing and presentation	0	0	0	0	0
--T cell receptor signaling pathway	0	0	0	0	0
--B cell receptor signaling pathway	0	0	0	0	0
--Fc gamma R-mediated phagocytosis	0	0	0	0	0
--Leukocyte transendothelial migration	0	0	0	0	0
--Intestinal immune network for IgA production	0	0	0	0	0
--Chemokine signaling pathway	0	0	0	0	0
-Endocrine System	0	0	0	0	0
--Insulin secretion	0	0	0	0	0
--Insulin signaling pathway	0	0	0	0	0
--PPAR signaling pathway	0	0	0	0	0
--Ovarian Steroidogenesis	0	0	0	0	0
--Estrogen signaling pathway	0	0	0	0	0
--Thyroid hormone synthesis	0	0	0	0	0
--Renin-angiotensin system	0	0	0	0	0
-Circulatory System	0	0	0	0	0
--Blood proteins	0	0	0	0	0
--Hemoglobin	0	0	0	0	0
--Cardiac muscle contraction	0	0	0	0	0
--Adrenergic signaling in cardiomyocytes	0	0	0	0	0
--Vascular smooth muscle contraction	0	0	0	0	0
-Digestive System	0	0	0	0	0
--Salivary secretion	0	0	0	0	0
--Gastric acid secretion	0	0	0	0	0
--Pancreatic secretion	0	0	0	0	0
--Bile secretion	0	0	0	0	0
--Carbohydrate digestion and absorption	0	0	0	0	0
--Protein digestion and absorption	0	0	0	0	0
--Fat digestion and absorption	0	0	0	0	0
--Vitamin digestion and absorption	0	0	0	0	0
--Mineral absorption	0	0	0	0	0
-Excretory System	0	0	0	0	0
--Vasopressin-regulated water reabsorption	0	0	0	0	0
--Aldosterone-regulated sodium reabsorption	0	0	0	0	0
--Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0
--Proximal tubule bicarbonate reclamation	0	0	0	0	0
--Collecting duct acid secretion	0	0	0	0	0
-Nervous System	0	0	0	0	0
--Myelin	0	0	0	0	0
--Glutamatergic synapse	0	0	0	0	0
--GABAergic synapse	0	0	0	0	0
--Dopaminergic synapse	0	0	0	0	0
--Serotonergic synapse	0	0	0	0	0
--Long-term depression	0	0	0	0	0
--Retrograde endocannabinoid signaling	0	0	0	0	0
--Synaptic vesicle cycle	0	0	0	0	0
--Neurotrophin signaling pathway	0	0	0	0	0
-Sensory System	0	0	0	0	0
--Phototransduction	0	0	0	0	0
--Olfactory transduction	0	0	0	0	0
-Development	0	0	0	0	0
--Dorso-ventral axis formation	0	0	0	0	0
--Axon guidance	0	0	0	0	0
--Osteoclast differentiation	0	0	0	0	0
-Environmental Adaptation	0	0	0	0	0
--Circadian rhythm	0	0	0	0	0
--Plant-pathogen interaction	0	0	0	0	0
Human Diseases	2.3322731e-07	1.9664161e-07	1.5021948e-07	1.3297326e-07	1.2083695e-07
-Cancers	0	0	0	0	0
--Transcriptional misregulation in cancer	0	0	0	0	0
--Pathways in cancer	0	0	0	0	0
--MicroRNAs in cancer	0	0	0	0	0
--Proteoglycans in cancer	0	0	0	0	0
--Chemical carcinogenesis	0	0	0	0	0
--Viral carcinogenesis	0	0	0	0	0
--Non-small cell lung cancer	0	0	0	0	0
-Immune Diseases	0	0	0	0	0
--Systemic lupus erythematosus	0	0	0	0	0
-Neurodegenerative Diseases	0	0	0	0	0
--Alzheimer's disease	0	0	0	0	0
--Parkinson's disease	0	0	0	0	0
--Amyotrophic lateral sclerosis (ALS)	0	0	0	0	0
--Huntington's disease	0	0	0	0	0
-Substance Dependence	0	0	0	0	0
--Cocaine addiction	0	0	0	0	0
--Amphetamine addiction	0	0	0	0	0
--Alcoholism	0	0	0	0	0
-Cardiovascular Diseases	0	0	0	0	0
--Hypertrophic cardiomyopathy (HCM)	0	0	0	0	0
--Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0	0	0
--Viral myocarditis	0	0	0	0	0
-Endocrine and Metabolic Diseases	0	0	0	0	0
--Type I diabetes mellitus	0	0	0	0	0
--Maturity onset diabetes of the young	0	0	0	0	0
--Non-alcoholic fatty liver disease (NAFLD)	0	0	0	0	0
-Infectious Diseases	0	0	0	0	0
--Salmonella infection	0	0	0	0	0
--Pertussis	0	0	0	0	0
--Legionellosis	0	0	0	0	0
--Staphylococcus aureus infection	0	0	0	0	0
--Tuberculosis	0	0	0	0	0
--Bacterial invasion of epithelial cells	0	0	0	0	0
--HTLV-I infection	0	0	0	0	0
--Measles	0	0	0	0	0
--Influenza A	0	0	0	0	0
--Hepatitis B	0	0	0	0	0
--Hepatitis C	0	0	0	0	0
--Herpes simplex infection	0	0	0	0	0
--Epstein-Barr virus infection	0	0	0	0	0
--Amoebiasis	0	0	0	0	0
-Drug resistance	2.3322731e-07	1.9664161e-07	1.5021948e-07	1.3297326e-07	1.2083695e-07
--beta-Lactam resistance	2.3322731e-07	1.9664161e-07	1.5021948e-07	1.3297326e-07	1.2083695e-07
Not Mapped	0.10006736	0.082261119	0.075395198	0.070137231	0.069284443
-Not Mapped	0.10006736	0.082261119	0.075395198	0.070137231	0.069284443
--Not mapped	0.10006736	0.082261119	0.075395198	0.070137231	0.069284443
