Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
-RNA Family	Genetic Information Processing	4.317e-06	3.387e-06	2.347e-06	1.913e-06	1.575e-06
Environmental Information Processing	Genetic Information Processing	0.03067	0.02398	0.01836	0.01565	0.01302
-Signal Transduction	Genetic Information Processing	0.03047	0.02398	0.01836	0.01565	0.01302
-Signaling Molecules and Interaction	Genetic Information Processing	0.0002113	6.312e-07	4.375e-07	3.566e-07	2.939e-07
Cellular Processes	Genetic Information Processing	0.03819	0.02645	0.02434	0.02189	0.02011
-Cell Structure	Genetic Information Processing	0.003333	0.006887	0.0066	0.005981	0.004444
-Crystallins	Genetic Information Processing	0	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0	0
-       Stress response	Genetic Information Processing	0	0	0	0	0
-Vesicular transport	Genetic Information Processing	0.001703	0.001275	0.001586	0.001091	0.001479
-Cytoskeleton	Genetic Information Processing	0.01071	0.009787	0.008272	0.007334	0.006732
-Cell Motility	Genetic Information Processing	0.01522	1.093e-05	7.581e-06	6.178e-06	5.092e-06
-Cell Growth and Death	Genetic Information Processing	0.008056	0.008519	0.00795	0.007549	0.007492
-Cellular Community	Genetic Information Processing	0	0	0	0	0
Metabolism	Genetic Information Processing	1.405	1.309	1.156	1.053	0.9079
-Membrane Transport	Genetic Information Processing	0.2725	0.2338	0.1982	0.1628	0.1227
-Central Carbon Metabolism	Genetic Information Processing	0.4818	0.4374	0.3669	0.3089	0.2454
-Energy Metabolism	Genetic Information Processing	0.05444	0.05902	0.05745	0.05113	0.04211
-Biosynthesis	Genetic Information Processing	0.3779	0.409	0.3913	0.4036	0.3689
-Other Enzymes	Genetic Information Processing	0.263	0.2409	0.2047	0.1779	0.1576
Organismal Systems	Genetic Information Processing	0	0	0	0	0
-Immune System	Genetic Information Processing	0	0	0	0	0
-Endocrine System	Genetic Information Processing	0	0	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	0	0	0
-Excretory System	Genetic Information Processing	0	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0
Human Diseases	Genetic Information Processing	0.009635	0.00966	0.01017	0.008789	0.008423
-Cancers	Genetic Information Processing	0.0002331	0.0001553	0.0001225	9.98e-05	9.392e-05
-Immune Diseases	Genetic Information Processing	0	0	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0	0
-Substance Dependence	Genetic Information Processing	0	0	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0
-Endocrine and Metabolic Diseases	Genetic Information Processing	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0.004795	0.004666	0.003436	0.002831	0.002428
-Drug resistance	Genetic Information Processing	0.009051	0.009279	0.00976	0.008505	0.008106
Not Mapped	Genetic Information Processing	0.2374	0.1824	0.152	0.1303	0.1169
-Not Mapped	Genetic Information Processing	0.2374	0.1824	0.152	0.1303	0.1169
TOTAL	-Transcription	22.88	22.03	22.5	24.08	24.19
MAPPED	-Transcription	20.88	20.45	21.04	22.67	22.81
Genetic Information Processing	-Transcription	8.514	8.744	9.598	10.86	11.77
-Transcription	-Transcription	1	1	1	1	1
-Translation	-Transcription	5.401	5.707	6.645	7.864	8.777
-Folding, Sorting and Degradation	-Transcription	1.51	1.472	1.479	1.553	1.574
-DNA Maintenance	-Transcription	0.6097	0.575	0.5334	0.5068	0.4843
-RNA Family	-Transcription	3.452e-05	2.772e-05	2.122e-05	1.953e-05	1.749e-05
Environmental Information Processing	-Transcription	0.2505	0.2071	0.1754	0.1703	0.1538
-Signal Transduction	-Transcription	0.2486	0.2071	0.1754	0.1703	0.1538
-Signaling Molecules and Interaction	-Transcription	0.001783	5.471e-06	4.193e-06	3.872e-06	3.457e-06
Cellular Processes	-Transcription	0.3288	0.2295	0.2319	0.2354	0.2346
-Cell Structure	-Transcription	0.02812	0.05969	0.06326	0.06493	0.05228
-Crystallins	-Transcription	0	0	0	0	0
-Stress Response	-Transcription	0	0	0	0	0
-       Stress response	-Transcription	0	0	0	0	0
-Vesicular transport	-Transcription	0.01438	0.01104	0.01521	0.01185	0.0174
-Cytoskeleton	-Transcription	0.09058	0.08487	0.07856	0.07861	0.07839
-Cell Motility	-Transcription	0.1295	9.448e-05	7.216e-05	6.632e-05	5.903e-05
-Cell Growth and Death	-Transcription	0.07067	0.07699	0.07903	0.08389	0.08991
-Cellular Community	-Transcription	0	0	0	0	0
Metabolism	-Transcription	11.84	11.31	11.07	11.42	10.69
-Membrane Transport	-Transcription	2.345	1.978	1.846	1.731	1.435
-Central Carbon Metabolism	-Transcription	3.991	3.874	3.602	3.429	2.935
-Energy Metabolism	-Transcription	0.4775	0.5334	0.5645	0.5634	0.4907
-Biosynthesis	-Transcription	3.067	3.412	3.569	4.193	4.201
-Other Enzymes	-Transcription	2.307	1.99	1.883	1.855	1.766
Organismal Systems	-Transcription	0	0	0	0	0
-Immune System	-Transcription	0	0	0	0	0
-Endocrine System	-Transcription	0	0	0	0	0
-Circulatory System	-Transcription	0	0	0	0	0
-Digestive System	-Transcription	0	0	0	0	0
-Excretory System	-Transcription	0	0	0	0	0
-Nervous System	-Transcription	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	0	0	0
Human Diseases	-Transcription	0.07705	0.07907	0.09196	0.08975	0.09353
-Cancers	-Transcription	0.001877	0.001282	0.001114	0.001025	0.001049
-Immune Diseases	-Transcription	0	0	0	0	0
-Neurodegenerative Diseases	-Transcription	0	0	0	0	0
-Substance Dependence	-Transcription	0	0	0	0	0
-Cardiovascular Diseases	-Transcription	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Transcription	0	0	0	0	0
-Infectious Diseases	-Transcription	0.04083	0.0408	0.03298	0.03062	0.02832
-Drug resistance	-Transcription	0.07249	0.07665	0.08976	0.08869	0.09114
Not Mapped	-Transcription	2.003	1.581	1.457	1.415	1.376
-Not Mapped	-Transcription	2.003	1.581	1.457	1.415	1.376
TOTAL	-Translation	4.277	3.904	3.416	3.088	2.774
MAPPED	-Translation	3.902	3.624	3.195	2.907	2.616
Genetic Information Processing	-Translation	1.582	1.539	1.458	1.395	1.354
-Transcription	-Translation	0.1985	0.1882	0.1616	0.1368	0.1227
-Translation	-Translation	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.2826	0.262	0.2271	0.2032	0.1838
-DNA Maintenance	-Translation	0.1138	0.1009	0.07961	0.06377	0.05432
-RNA Family	-Translation	6.802e-06	5.187e-06	3.405e-06	2.655e-06	2.12e-06
Environmental Information Processing	-Translation	0.04948	0.03765	0.02684	0.02172	0.01752
-Signal Transduction	-Translation	0.04915	0.03765	0.02684	0.02172	0.01752
-Signaling Molecules and Interaction	-Translation	0.0003333	9.695e-07	6.367e-07	4.966e-07	3.965e-07
Cellular Processes	-Translation	0.06015	0.04047	0.03534	0.03044	0.0271
-Cell Structure	-Translation	0.005256	0.01058	0.009605	0.008328	0.005996
-Crystallins	-Translation	0	0	0	0	0
-Stress Response	-Translation	0	0	0	0	0
-       Stress response	-Translation	0	0	0	0	0
-Vesicular transport	-Translation	0.00268	0.001951	0.002299	0.001514	0.001988
-Cytoskeleton	-Translation	0.01687	0.01499	0.01198	0.01017	0.009059
-Cell Motility	-Translation	0.02398	1.678e-05	1.103e-05	8.599e-06	6.871e-06
-Cell Growth and Death	-Translation	0.01269	0.01305	0.01152	0.01047	0.01008
-Cellular Community	-Translation	0	0	0	0	0
Metabolism	-Translation	2.219	2.01	1.68	1.463	1.222
-Membrane Transport	-Translation	0.4309	0.359	0.2885	0.2267	0.1662
-Central Carbon Metabolism	-Translation	0.7618	0.6713	0.5328	0.4294	0.3309
-Energy Metabolism	-Translation	0.08573	0.092	0.08537	0.07257	0.05788
-Biosynthesis	-Translation	0.5944	0.6258	0.5669	0.5597	0.4965
-Other Enzymes	-Translation	0.4142	0.3708	0.2985	0.2481	0.2121
Organismal Systems	-Translation	0	0	0	0	0
-Immune System	-Translation	0	0	0	0	0
-Endocrine System	-Translation	0	0	0	0	0
-Circulatory System	-Translation	0	0	0	0	0
-Digestive System	-Translation	0	0	0	0	0
-Excretory System	-Translation	0	0	0	0	0
-Nervous System	-Translation	0	0	0	0	0
-Sensory System	-Translation	0	0	0	0	0
-Development	-Translation	0	0	0	0	0
-Environmental Adaptation	-Translation	0	0	0	0	0
Human Diseases	-Translation	0.01518	0.0148	0.01476	0.0122	0.01134
-Cancers	-Translation	0.0003665	0.0002376	0.0001774	0.0001384	0.0001264
-Immune Diseases	-Translation	0	0	0	0	0
-Neurodegenerative Diseases	-Translation	0	0	0	0	0
-Substance Dependence	-Translation	0	0	0	0	0
-Cardiovascular Diseases	-Translation	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Translation	0	0	0	0	0
-Infectious Diseases	-Translation	0.007559	0.007149	0.004994	0.003938	0.003283
-Drug resistance	-Translation	0.01432	0.01428	0.01423	0.01186	0.01097
Not Mapped	-Translation	0.3745	0.2802	0.2213	0.1815	0.1578
-Not Mapped	-Translation	0.3745	0.2802	0.2213	0.1815	0.1578
TOTAL	-Folding, Sorting and Degradation	16.04	15.82	16.16	16.3	16.13
MAPPED	-Folding, Sorting and Degradation	14.63	14.69	15.11	15.34	15.21
Genetic Information Processing	-Folding, Sorting and Degradation	5.929	6.242	6.884	7.354	7.854
-Transcription	-Folding, Sorting and Degradation	0.735	0.755	0.7559	0.7147	0.7017
-Translation	-Folding, Sorting and Degradation	3.77	4.084	4.749	5.303	5.836
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.428	0.4135	0.3781	0.3383	0.3179
-RNA Family	-Folding, Sorting and Degradation	2.568e-05	2.129e-05	1.617e-05	1.409e-05	1.244e-05
Environmental Information Processing	-Folding, Sorting and Degradation	0.178	0.1507	0.1265	0.1152	0.1029
-Signal Transduction	-Folding, Sorting and Degradation	0.1768	0.1507	0.1265	0.1152	0.1029
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.00125	3.929e-06	3.011e-06	2.621e-06	2.305e-06
Cellular Processes	-Folding, Sorting and Degradation	0.2239	0.159	0.1594	0.1539	0.1532
-Cell Structure	-Folding, Sorting and Degradation	0.01971	0.04287	0.04543	0.04396	0.03485
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0	0	0	0	0
-       Stress response	-Folding, Sorting and Degradation	0	0	0	0	0
-Vesicular transport	-Folding, Sorting and Degradation	0.01003	0.007924	0.01079	0.007939	0.01155
-Cytoskeleton	-Folding, Sorting and Degradation	0.0635	0.06106	0.05694	0.05393	0.05287
-Cell Motility	-Folding, Sorting and Degradation	0.08579	6.794e-05	5.159e-05	4.495e-05	3.976e-05
-Cell Growth and Death	-Folding, Sorting and Degradation	0.04714	0.05245	0.05351	0.05403	0.05712
-Cellular Community	-Folding, Sorting and Degradation	0	0	0	0	0
Metabolism	-Folding, Sorting and Degradation	8.332	8.164	7.959	7.742	7.119
-Membrane Transport	-Folding, Sorting and Degradation	1.601	1.413	1.314	1.159	0.9574
-Central Carbon Metabolism	-Folding, Sorting and Degradation	2.766	2.642	2.42	2.173	1.833
-Energy Metabolism	-Folding, Sorting and Degradation	0.3093	0.3575	0.3848	0.3643	0.3216
-Biosynthesis	-Folding, Sorting and Degradation	2.241	2.553	2.694	2.968	2.897
-Other Enzymes	-Folding, Sorting and Degradation	1.528	1.49	1.375	1.285	1.2
Organismal Systems	-Folding, Sorting and Degradation	0	0	0	0	0
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0	0	0
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0	0	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0	0	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0.05732	0.06072	0.0701	0.06473	0.06654
-Cancers	-Folding, Sorting and Degradation	0.001382	0.0009693	0.0008432	0.000734	0.0007376
-Immune Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Substance Dependence	-Folding, Sorting and Degradation	0	0	0	0	0
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0.02704	0.02771	0.0223	0.01972	0.01821
-Drug resistance	-Folding, Sorting and Degradation	0.05318	0.05754	0.06648	0.0617	0.06337
Not Mapped	-Folding, Sorting and Degradation	1.404	1.135	1.047	0.9579	0.9172
-Not Mapped	-Folding, Sorting and Degradation	1.404	1.135	1.047	0.9579	0.9172
TOTAL	-DNA Maintenance	40.37	41.46	45.42	51.07	54.32
MAPPED	-DNA Maintenance	36.84	38.48	42.48	48.06	51.23
Genetic Information Processing	-DNA Maintenance	15.13	16.58	19.63	23.33	26.77
-Transcription	-DNA Maintenance	1.891	2.014	2.166	2.283	2.424
-Translation	-DNA Maintenance	9.527	10.7	13.4	16.69	19.76
-Folding, Sorting and Degradation	-DNA Maintenance	2.68	2.799	3.033	3.366	3.616
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1
-RNA Family	-DNA Maintenance	5.997e-05	5.147e-05	4.277e-05	4.164e-05	3.914e-05
Environmental Information Processing	-DNA Maintenance	0.4684	0.4016	0.3578	0.3406	0.3235
-Signal Transduction	-DNA Maintenance	0.4653	0.4016	0.3577	0.3406	0.3235
-Signaling Molecules and Interaction	-DNA Maintenance	0.003147	1.029e-05	8.465e-06	8.211e-06	7.764e-06
Cellular Processes	-DNA Maintenance	0.5462	0.4175	0.4513	0.4815	0.5029
-Cell Structure	-DNA Maintenance	0.04962	0.1123	0.1277	0.1377	0.1174
-Crystallins	-DNA Maintenance	0	0	0	0	0
-Stress Response	-DNA Maintenance	0	0	0	0	0
-       Stress response	-DNA Maintenance	0	0	0	0	0
-Vesicular transport	-DNA Maintenance	0.02539	0.02081	0.0307	0.02514	0.03908
-Cytoskeleton	-DNA Maintenance	0.1545	0.1539	0.153	0.1628	0.1707
-Cell Motility	-DNA Maintenance	0.2149	0.0001763	0.0001451	0.0001409	0.0001332
-Cell Growth and Death	-DNA Maintenance	0.1181	0.1367	0.1531	0.1718	0.1942
-Cellular Community	-DNA Maintenance	0	0	0	0	0
Metabolism	-DNA Maintenance	20.67	21.04	21.95	23.8	23.5
-Membrane Transport	-DNA Maintenance	3.826	3.801	3.867	3.785	3.212
-Central Carbon Metabolism	-DNA Maintenance	6.913	6.728	6.753	6.765	6.11
-Energy Metabolism	-DNA Maintenance	0.8102	0.9812	1.138	1.204	1.136
-Biosynthesis	-DNA Maintenance	5.293	6.275	7.154	8.823	9.33
-Other Enzymes	-DNA Maintenance	3.756	3.847	3.998	4.128	3.952
Organismal Systems	-DNA Maintenance	0	0	0	0	0
-Immune System	-DNA Maintenance	0	0	0	0	0
-Endocrine System	-DNA Maintenance	0	0	0	0	0
-Circulatory System	-DNA Maintenance	0	0	0	0	0
-Digestive System	-DNA Maintenance	0	0	0	0	0
-Excretory System	-DNA Maintenance	0	0	0	0	0
-Nervous System	-DNA Maintenance	0	0	0	0	0
-Sensory System	-DNA Maintenance	0	0	0	0	0
-Development	-DNA Maintenance	0	0	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0	0	0
Human Diseases	-DNA Maintenance	0.137	0.1538	0.1916	0.1984	0.217
-Cancers	-DNA Maintenance	0.00325	0.002377	0.002242	0.002182	0.002336
-Immune Diseases	-DNA Maintenance	0	0	0	0	0
-Neurodegenerative Diseases	-DNA Maintenance	0	0	0	0	0
-Substance Dependence	-DNA Maintenance	0	0	0	0	0
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0	0
-Endocrine and Metabolic Diseases	-DNA Maintenance	0	0	0	0	0
-Infectious Diseases	-DNA Maintenance	0.07043	0.07518	0.0655	0.0643	0.06332
-Drug resistance	-DNA Maintenance	0.137	0.1538	0.1915	0.1984	0.217
Not Mapped	-DNA Maintenance	3.535	2.975	2.942	3	3.09
-Not Mapped	-DNA Maintenance	3.535	2.975	2.942	3	3.09
TOTAL	-RNA Family	1010000	1208000	1610000	1866000	2099000
MAPPED	-RNA Family	921300	1121000	1505000	1756000	1979000
Genetic Information Processing	-RNA Family	372800	475800	685900	841700	1021000
-Transcription	-RNA Family	44430	55040	71540	77480	86770
-Translation	-RNA Family	238000	312600	475400	609300	761600
-Folding, Sorting and Degradation	-RNA Family	63290	76540	100800	115700	130800
-DNA Maintenance	-RNA Family	27090	31650	38160	39270	42020
-RNA Family	-RNA Family	1	1	1	1	1
Environmental Information Processing	-RNA Family	11010	11490	12740	13100	13180
-Signal Transduction	-RNA Family	10940	11490	12740	13100	13180
-Signaling Molecules and Interaction	-RNA Family	78.7	0.3	0.3	0.3	0.3
Cellular Processes	-RNA Family	14610	12170	16000	17590	19430
-Cell Structure	-RNA Family	1241	3273	4526	5031	4537
-Crystallins	-RNA Family	0	0	0	0	0
-Stress Response	-RNA Family	0	0	0	0	0
-       Stress response	-RNA Family	0	0	0	0	0
-Vesicular transport	-RNA Family	635	606.5	1088	918.5	1510
-Cytoskeleton	-RNA Family	3864	4486	5423	5949	6596
-Cell Motility	-RNA Family	5970	5.2	5.2	5.2	5.2
-Cell Growth and Death	-RNA Family	2851	3798	4953	5690	6786
-Cellular Community	-RNA Family	0	0	0	0	0
Metabolism	-RNA Family	523800	622600	791600	885200	927200
-Membrane Transport	-RNA Family	99010	102700	125700	128800	123200
-Central Carbon Metabolism	-RNA Family	177500	213200	257700	265700	254600
-Energy Metabolism	-RNA Family	22570	31240	43270	46900	45830
-Biosynthesis	-RNA Family	132200	181700	249400	318400	359600
-Other Enzymes	-RNA Family	96370	99390	122800	134000	150000
Organismal Systems	-RNA Family	0	0	0	0	0
-Immune System	-RNA Family	0	0	0	0	0
-Endocrine System	-RNA Family	0	0	0	0	0
-Circulatory System	-RNA Family	0	0	0	0	0
-Digestive System	-RNA Family	0	0	0	0	0
-Excretory System	-RNA Family	0	0	0	0	0
-Nervous System	-RNA Family	0	0	0	0	0
-Sensory System	-RNA Family	0	0	0	0	0
-Development	-RNA Family	0	0	0	0	0
-Environmental Adaptation	-RNA Family	0	0	0	0	0
Human Diseases	-RNA Family	2653	3224	4526	4834	5590
-Cancers	-RNA Family	54.37	46.25	52.5	52.5	60
-Immune Diseases	-RNA Family	0	0	0	0	0
-Neurodegenerative Diseases	-RNA Family	0	0	0	0	0
-Substance Dependence	-RNA Family	0	0	0	0	0
-Cardiovascular Diseases	-RNA Family	0	0	0	0	0
-Endocrine and Metabolic Diseases	-RNA Family	0	0	0	0	0
-Infectious Diseases	-RNA Family	1587	1977	2094	2116	2204
-Drug resistance	-RNA Family	2284	2989	4526	4833	5589
Not Mapped	-RNA Family	88420	86690	104300	109600	119400
-Not Mapped	-RNA Family	88420	86690	104300	109600	119400
TOTAL	Environmental Information Processing	113.2	140.4	171.4	198.2	223.2
MAPPED	Environmental Information Processing	103.3	130.3	160.3	186.6	210.5
Genetic Information Processing	Environmental Information Processing	41.85	55.46	73.63	90.1	109.6
-Transcription	Environmental Information Processing	5.188	6.668	8.017	8.689	9.712
-Translation	Environmental Information Processing	26.61	36.2	50.65	64.77	81.04
-Folding, Sorting and Degradation	Environmental Information Processing	7.305	9.339	11.34	12.93	14.79
-DNA Maintenance	Environmental Information Processing	2.989	3.591	3.963	4.068	4.35
-RNA Family	Environmental Information Processing	0.0001657	0.0001751	0.0001606	0.0001597	0.0001595
Environmental Information Processing	Environmental Information Processing	1	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.9933	1	1	1	1
-Signaling Molecules and Interaction	Environmental Information Processing	0.008823	3.485e-05	3.195e-05	3.187e-05	3.19e-05
