Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
-RNA Family	Genetic Information Processing	2.411e-06	1.889e-06	1.308e-06	1.066e-06	8.781e-07
Environmental Information Processing	Genetic Information Processing	0.02246	0.01773	0.01343	0.01102	0.009093
-Signal Transduction	Genetic Information Processing	0.02225	0.01773	0.01343	0.01102	0.009092
-Signaling Molecules and Interaction	Genetic Information Processing	0.0002056	6.132e-07	4.262e-07	3.48e-07	2.872e-07
Cellular Processes	Genetic Information Processing	0.03482	0.02394	0.02137	0.01953	0.01724
-Cell Structure	Genetic Information Processing	0.003242	0.00669	0.006429	0.005837	0.004343
-Crystallins	Genetic Information Processing	0	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0	0
-       Stress response	Genetic Information Processing	0	0	0	0	0
-Vesicular transport	Genetic Information Processing	5.323e-05	3.754e-05	3.542e-05	2.889e-05	2.378e-05
-Cytoskeleton	Genetic Information Processing	0.01009	0.009169	0.007704	0.006901	0.006315
-Cell Motility	Genetic Information Processing	0.01161	9.863e-06	6.854e-06	5.584e-06	4.598e-06
-Cell Growth and Death	Genetic Information Processing	0.007276	0.007602	0.006845	0.00648	0.006344
-Cellular Community	Genetic Information Processing	0	0	0	0	0
Metabolism	Genetic Information Processing	1.339	1.241	1.096	1.001	0.8627
-Membrane Transport	Genetic Information Processing	0.2269	0.2027	0.171	0.1427	0.1114
-Central Carbon Metabolism	Genetic Information Processing	0.415	0.3828	0.3177	0.2686	0.2219
-Energy Metabolism	Genetic Information Processing	0.04808	0.05206	0.05125	0.04478	0.03809
-Biosynthesis	Genetic Information Processing	0.3432	0.3692	0.3536	0.3697	0.346
-Other Enzymes	Genetic Information Processing	0.2295	0.1972	0.1664	0.1458	0.1343
Organismal Systems	Genetic Information Processing	0	0	0	0	0
-Immune System	Genetic Information Processing	0	0	0	0	0
-Endocrine System	Genetic Information Processing	0	0	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	0	0	0
-Excretory System	Genetic Information Processing	0	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0
Human Diseases	Genetic Information Processing	0.0003734	0.0003808	0.0003327	0.0002979	0.0002195
-Cancers	Genetic Information Processing	0	0	0	0	0
-Immune Diseases	Genetic Information Processing	0	0	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0	0
-Substance Dependence	Genetic Information Processing	0	0	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0
-Endocrine and Metabolic Diseases	Genetic Information Processing	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	1.057e-06	8.28e-07	5.751e-07	4.692e-07	3.867e-07
-Drug resistance	Genetic Information Processing	8.27e-05	8.461e-05	8.334e-05	7.799e-05	8.724e-05
Not Mapped	Genetic Information Processing	0.231	0.1772	0.1481	0.1272	0.1143
-Not Mapped	Genetic Information Processing	0.231	0.1772	0.1481	0.1272	0.1143
TOTAL	-Transcription	20.67	19.87	20.43	21.83	21.87
MAPPED	-Transcription	18.86	18.45	19.1	20.55	20.63
Genetic Information Processing	-Transcription	7.835	8.047	8.933	10.09	10.89
-Transcription	-Transcription	1	1	1	1	1
-Translation	-Transcription	4.856	5.123	6.012	7.107	7.921
-Folding, Sorting and Degradation	-Transcription	1.344	1.302	1.312	1.387	1.406
-DNA Maintenance	-Transcription	0.513	0.4803	0.451	0.4284	0.4037
-RNA Family	-Transcription	2.115e-05	1.707e-05	1.305e-05	1.201e-05	1.071e-05
Environmental Information Processing	-Transcription	0.1912	0.1465	0.1235	0.1149	0.1022
-Signal Transduction	-Transcription	0.1895	0.1465	0.1235	0.1149	0.1022
-Signaling Molecules and Interaction	-Transcription	0.001611	4.935e-06	3.807e-06	3.511e-06	3.127e-06
Cellular Processes	-Transcription	0.2802	0.2005	0.1957	0.2015	0.1925
-Cell Structure	-Transcription	0.0254	0.05384	0.05743	0.05887	0.04728
-Crystallins	-Transcription	0	0	0	0	0
-Stress Response	-Transcription	0	0	0	0	0
-       Stress response	-Transcription	0	0	0	0	0
-Vesicular transport	-Transcription	0.0004337	0.0003136	0.0003262	0.0003003	0.0002681
-Cytoskeleton	-Transcription	0.0791	0.07379	0.06881	0.06961	0.06874
-Cell Motility	-Transcription	0.09828	8.154e-05	6.241e-05	5.746e-05	5.146e-05
-Cell Growth and Death	-Transcription	0.05797	0.06217	0.06176	0.06614	0.07004
-Cellular Community	-Transcription	0	0	0	0	0
Metabolism	-Transcription	10.49	9.99	9.786	10.09	9.392
-Membrane Transport	-Transcription	1.778	1.631	1.527	1.44	1.212
-Central Carbon Metabolism	-Transcription	3.252	3.162	2.895	2.77	2.485
-Energy Metabolism	-Transcription	0.3851	0.43	0.4637	0.4622	0.4229
-Biosynthesis	-Transcription	2.689	2.971	3.159	3.729	3.767
-Other Enzymes	-Transcription	1.879	1.652	1.527	1.513	1.462
Organismal Systems	-Transcription	0	0	0	0	0
-Immune System	-Transcription	0	0	0	0	0
-Endocrine System	-Transcription	0	0	0	0	0
-Circulatory System	-Transcription	0	0	0	0	0
-Digestive System	-Transcription	0	0	0	0	0
-Excretory System	-Transcription	0	0	0	0	0
-Nervous System	-Transcription	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	0	0	0
Human Diseases	-Transcription	0.003133	0.003292	0.00319	0.003236	0.002584
-Cancers	-Transcription	0	0	0	0	0
-Immune Diseases	-Transcription	0	0	0	0	0
-Neurodegenerative Diseases	-Transcription	0	0	0	0	0
-Substance Dependence	-Transcription	0	0	0	0	0
-Cardiovascular Diseases	-Transcription	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Transcription	0	0	0	0	0
-Infectious Diseases	-Transcription	8.464e-06	6.839e-06	5.289e-06	4.894e-06	4.348e-06
-Drug resistance	-Transcription	0.0006777	0.0007102	0.0007652	0.000806	0.0009743
Not Mapped	-Transcription	1.81	1.426	1.323	1.283	1.244
-Not Mapped	-Transcription	1.81	1.426	1.323	1.283	1.244
TOTAL	-Translation	4.221	3.849	3.375	3.053	2.747
MAPPED	-Translation	3.851	3.573	3.156	2.873	2.591
Genetic Information Processing	-Translation	1.566	1.522	1.443	1.382	1.341
-Transcription	-Translation	0.1795	0.1695	0.1456	0.1234	0.1106
-Translation	-Translation	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.2649	0.2437	0.2104	0.1885	0.1704
-DNA Maintenance	-Translation	0.1045	0.09284	0.0743	0.05978	0.05058
-RNA Family	-Translation	3.798e-06	2.894e-06	1.899e-06	1.482e-06	1.184e-06
Environmental Information Processing	-Translation	0.03541	0.02729	0.01959	0.01537	0.01231
-Signal Transduction	-Translation	0.03508	0.02729	0.01959	0.01537	0.01231
-Signaling Molecules and Interaction	-Translation	0.000329	9.557e-07	6.29e-07	4.909e-07	3.927e-07
Cellular Processes	-Translation	0.05505	0.0368	0.03115	0.02724	0.02334
-Cell Structure	-Translation	0.005187	0.01043	0.009489	0.008232	0.005938
-Crystallins	-Translation	0	0	0	0	0
-Stress Response	-Translation	0	0	0	0	0
-       Stress response	-Translation	0	0	0	0	0
-Vesicular transport	-Translation	8.39e-05	5.752e-05	5.149e-05	4.019e-05	3.215e-05
-Cytoskeleton	-Translation	0.01615	0.01429	0.01137	0.009733	0.008633
-Cell Motility	-Translation	0.01827	1.509e-05	9.928e-06	7.744e-06	6.187e-06
-Cell Growth and Death	-Translation	0.01151	0.01169	0.009978	0.009039	0.008589
-Cellular Community	-Translation	0	0	0	0	0
Metabolism	-Translation	2.16	1.95	1.628	1.42	1.186
-Membrane Transport	-Translation	0.3661	0.3184	0.254	0.2026	0.152
-Central Carbon Metabolism	-Translation	0.6695	0.5891	0.4627	0.3736	0.3004
-Energy Metabolism	-Translation	0.07607	0.08012	0.07443	0.06246	0.05125
-Biosynthesis	-Translation	0.5536	0.58	0.5245	0.5211	0.4694
-Other Enzymes	-Translation	0.3628	0.3033	0.2415	0.2026	0.1828
Organismal Systems	-Translation	0	0	0	0	0
-Immune System	-Translation	0	0	0	0	0
-Endocrine System	-Translation	0	0	0	0	0
-Circulatory System	-Translation	0	0	0	0	0
-Digestive System	-Translation	0	0	0	0	0
-Excretory System	-Translation	0	0	0	0	0
-Nervous System	-Translation	0	0	0	0	0
-Sensory System	-Translation	0	0	0	0	0
-Development	-Translation	0	0	0	0	0
-Environmental Adaptation	-Translation	0	0	0	0	0
Human Diseases	-Translation	0.0005849	0.0005797	0.00048	0.0004115	0.0002944
-Cancers	-Translation	0	0	0	0	0
-Immune Diseases	-Translation	0	0	0	0	0
-Neurodegenerative Diseases	-Translation	0	0	0	0	0
-Substance Dependence	-Translation	0	0	0	0	0
-Cardiovascular Diseases	-Translation	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Translation	0	0	0	0	0
-Infectious Diseases	-Translation	1.672e-06	1.274e-06	8.386e-07	6.545e-07	5.236e-07
-Drug resistance	-Translation	0.0001301	0.0001296	0.0001211	0.0001084	0.0001175
Not Mapped	-Translation	0.3696	0.2762	0.2186	0.1794	0.1563
-Not Mapped	-Translation	0.3696	0.2762	0.2186	0.1794	0.1563
TOTAL	-Folding, Sorting and Degradation	14.1	13.76	13.9	14.07	14.01
MAPPED	-Folding, Sorting and Degradation	12.87	12.77	13	13.25	13.22
Genetic Information Processing	-Folding, Sorting and Degradation	5.346	5.572	6.077	6.501	6.974
-Transcription	-Folding, Sorting and Degradation	0.6354	0.647	0.641	0.6072	0.6018
-Translation	-Folding, Sorting and Degradation	3.313	3.547	4.09	4.581	5.074
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.35	0.3326	0.3068	0.2762	0.2586
-RNA Family	-Folding, Sorting and Degradation	1.344e-05	1.105e-05	8.363e-06	7.296e-06	6.443e-06
Environmental Information Processing	-Folding, Sorting and Degradation	0.1267	0.105	0.0869	0.07639	0.06731
-Signal Transduction	-Folding, Sorting and Degradation	0.1255	0.105	0.0869	0.07639	0.06731
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.001099	3.417e-06	2.59e-06	2.263e-06	2.003e-06
Cellular Processes	-Folding, Sorting and Degradation	0.1912	0.1415	0.1417	0.1377	0.1304
-Cell Structure	-Folding, Sorting and Degradation	0.01733	0.03727	0.03907	0.03795	0.03029
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0	0	0	0	0
-       Stress response	-Folding, Sorting and Degradation	0	0	0	0	0
-Vesicular transport	-Folding, Sorting and Degradation	0.0003001	0.000223	0.0002299	0.0002013	0.0001762
-Cytoskeleton	-Folding, Sorting and Degradation	0.05396	0.05109	0.04681	0.04487	0.04404
-Cell Motility	-Folding, Sorting and Degradation	0.06632	5.885e-05	4.46e-05	3.891e-05	3.436e-05
-Cell Growth and Death	-Folding, Sorting and Degradation	0.04177	0.046	0.04538	0.046	0.04798
-Cellular Community	-Folding, Sorting and Degradation	0	0	0	0	0
Metabolism	-Folding, Sorting and Degradation	7.157	6.917	6.657	6.505	6.016
-Membrane Transport	-Folding, Sorting and Degradation	1.213	1.129	1.039	0.928	0.7767
-Central Carbon Metabolism	-Folding, Sorting and Degradation	2.218	2.232	2.046	1.837	1.597
-Energy Metabolism	-Folding, Sorting and Degradation	0.2716	0.3083	0.3316	0.3104	0.2821
-Biosynthesis	-Folding, Sorting and Degradation	1.835	2.057	2.149	2.403	2.413
-Other Enzymes	-Folding, Sorting and Degradation	1.317	1.158	1.064	0.9974	0.9363
Organismal Systems	-Folding, Sorting and Degradation	0	0	0	0	0
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0	0	0
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0	0	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0	0	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0.002199	0.002367	0.002264	0.002167	0.001714
-Cancers	-Folding, Sorting and Degradation	0	0	0	0	0
-Immune Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Substance Dependence	-Folding, Sorting and Degradation	0	0	0	0	0
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	5.969e-06	4.904e-06	3.721e-06	3.252e-06	2.863e-06
-Drug resistance	-Folding, Sorting and Degradation	0.0004724	0.0005065	0.0005463	0.0005487	0.0006599
Not Mapped	-Folding, Sorting and Degradation	1.235	0.9873	0.9	0.8268	0.7971
-Not Mapped	-Folding, Sorting and Degradation	1.235	0.9873	0.9	0.8268	0.7971
TOTAL	-DNA Maintenance	37.28	38.18	42.19	47.51	49.94
MAPPED	-DNA Maintenance	34.01	35.44	39.45	44.72	47.1
Genetic Information Processing	-DNA Maintenance	13.76	15.03	17.98	21.43	24.3
-Transcription	-DNA Maintenance	1.592	1.689	1.837	1.94	2.036
-Translation	-DNA Maintenance	8.786	9.877	12.46	15.51	18.12
-Folding, Sorting and Degradation	-DNA Maintenance	2.327	2.415	2.642	2.946	3.112
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1
-RNA Family	-DNA Maintenance	3.368e-05	2.884e-05	2.396e-05	2.331e-05	2.18e-05
Environmental Information Processing	-DNA Maintenance	0.3173	0.2777	0.2508	0.2445	0.2288
-Signal Transduction	-DNA Maintenance	0.3144	0.2776	0.2507	0.2445	0.2288
-Signaling Molecules and Interaction	-DNA Maintenance	0.002905	9.48e-06	7.862e-06	7.64e-06	7.139e-06
Cellular Processes	-DNA Maintenance	0.4888	0.3689	0.3953	0.432	0.4345
-Cell Structure	-DNA Maintenance	0.04581	0.1034	0.1186	0.1281	0.108
-Crystallins	-DNA Maintenance	0	0	0	0	0
-Stress Response	-DNA Maintenance	0	0	0	0	0
-       Stress response	-DNA Maintenance	0	0	0	0	0
-Vesicular transport	-DNA Maintenance	0.0007509	0.0005812	0.0006576	0.0006398	0.0005989
-Cytoskeleton	-DNA Maintenance	0.1426	0.1418	0.1421	0.1515	0.1569
-Cell Motility	-DNA Maintenance	0.1628	0.000151	0.0001255	0.0001221	0.0001144
-Cell Growth and Death	-DNA Maintenance	0.1015	0.1163	0.1257	0.1422	0.159
-Cellular Community	-DNA Maintenance	0	0	0	0	0
Metabolism	-DNA Maintenance	19.34	19.67	20.75	22.54	22.06
-Membrane Transport	-DNA Maintenance	3.465	3.245	3.278	3.254	2.853
-Central Carbon Metabolism	-DNA Maintenance	6.033	5.98	5.913	5.949	5.608
-Energy Metabolism	-DNA Maintenance	0.6814	0.8081	0.9349	0.9734	0.9462
-Biosynthesis	-DNA Maintenance	4.881	5.742	6.535	8.109	8.557
-Other Enzymes	-DNA Maintenance	3.222	3.023	3.047	3.187	3.403
Organismal Systems	-DNA Maintenance	0	0	0	0	0
-Immune System	-DNA Maintenance	0	0	0	0	0
-Endocrine System	-DNA Maintenance	0	0	0	0	0
-Circulatory System	-DNA Maintenance	0	0	0	0	0
-Digestive System	-DNA Maintenance	0	0	0	0	0
-Excretory System	-DNA Maintenance	0	0	0	0	0
-Nervous System	-DNA Maintenance	0	0	0	0	0
-Sensory System	-DNA Maintenance	0	0	0	0	0
-Development	-DNA Maintenance	0	0	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0	0	0
Human Diseases	-DNA Maintenance	0.005139	0.005726	0.005981	0.006384	0.005335
-Cancers	-DNA Maintenance	0	0	0	0	0
-Immune Diseases	-DNA Maintenance	0	0	0	0	0
-Neurodegenerative Diseases	-DNA Maintenance	0	0	0	0	0
-Substance Dependence	-DNA Maintenance	0	0	0	0	0
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0	0
-Endocrine and Metabolic Diseases	-DNA Maintenance	0	0	0	0	0
-Infectious Diseases	-DNA Maintenance	1.599e-05	1.373e-05	1.129e-05	1.095e-05	1.035e-05
-Drug resistance	-DNA Maintenance	0.00116	0.001298	0.001532	0.001709	0.00217
Not Mapped	-DNA Maintenance	3.264	2.739	2.732	2.792	2.841
-Not Mapped	-DNA Maintenance	3.264	2.739	2.732	2.792	2.841
TOTAL	-RNA Family	594000	710700	946900	1098000	1235000
MAPPED	-RNA Family	542000	659700	885600	1033000	1164000
Genetic Information Processing	-RNA Family	219800	280900	405200	497000	602300
-Transcription	-RNA Family	25970	32310	42480	46190	51630
-Translation	-RNA Family	139700	183300	278800	357500	447400
-Folding, Sorting and Degradation	-RNA Family	38480	46920	61810	70640	79070
-DNA Maintenance	-RNA Family	15670	18310	22050	22680	24240
-RNA Family	-RNA Family	1	1	1	1	1
Environmental Information Processing	-RNA Family	5627	5592	6052	6069	6159
-Signal Transduction	-RNA Family	5574	5592	6052	6069	6159
-Signaling Molecules and Interaction	-RNA Family	46.29	0.1765	0.1765	0.1765	0.1765
Cellular Processes	-RNA Family	7776	7238	9333	10440	11220
-Cell Structure	-RNA Family	730	1925	2662	2959	2669
-Crystallins	-RNA Family	0	0	0	0	0
-Stress Response	-RNA Family	0	0	0	0	0
-       Stress response	-RNA Family	0	0	0	0	0
-Vesicular transport	-RNA Family	12.56	11.31	15.37	15.37	15.37
-Cytoskeleton	-RNA Family	2352	2742	3337	3631	4048
-Cell Motility	-RNA Family	2552	2.824	2.824	2.824	2.824
-Cell Growth and Death	-RNA Family	1698	2264	2940	3416	4063
-Cellular Community	-RNA Family	0	0	0	0	0
Metabolism	-RNA Family	307300	364600	463200	517700	542300
-Membrane Transport	-RNA Family	57900	60650	74070	75800	72500
-Central Carbon Metabolism	-RNA Family	103600	110000	131000	135800	136900
-Energy Metabolism	-RNA Family	11100	15350	21080	22740	23130
-Biosynthesis	-RNA Family	79240	108100	148900	189700	214900
-Other Enzymes	-RNA Family	54660	67850	82970	88760	93490
Organismal Systems	-RNA Family	0	0	0	0	0
-Immune System	-RNA Family	0	0	0	0	0
-Endocrine System	-RNA Family	0	0	0	0	0
-Circulatory System	-RNA Family	0	0	0	0	0
-Digestive System	-RNA Family	0	0	0	0	0
-Excretory System	-RNA Family	0	0	0	0	0
-Nervous System	-RNA Family	0	0	0	0	0
-Sensory System	-RNA Family	0	0	0	0	0
-Development	-RNA Family	0	0	0	0	0
-Environmental Adaptation	-RNA Family	0	0	0	0	0
Human Diseases	-RNA Family	139.2	181.2	228.2	250.7	224.2
-Cancers	-RNA Family	0	0	0	0	0
-Immune Diseases	-RNA Family	0	0	0	0	0
-Neurodegenerative Diseases	-RNA Family	0	0	0	0	0
-Substance Dependence	-RNA Family	0	0	0	0	0
-Cardiovascular Diseases	-RNA Family	0	0	0	0	0
-Endocrine and Metabolic Diseases	-RNA Family	0	0	0	0	0
-Infectious Diseases	-RNA Family	0.2667	0.2667	0.2667	0.2667	0.2667
-Drug resistance	-RNA Family	18.18	23.76	33.76	38.76	52.59
Not Mapped	-RNA Family	52010	50990	61330	64480	70220
-Not Mapped	-RNA Family	52010	50990	61330	64480	70220
TOTAL	Environmental Information Processing	83.38	95.56	114.8	129.5	144.8
MAPPED	Environmental Information Processing	76.08	88.7	107.4	121.9	136.6
Genetic Information Processing	Environmental Information Processing	30.75	37.59	48.94	58.37	70.44
-Transcription	Environmental Information Processing	3.869	4.607	5.433	5.734	6.403
-Translation	Environmental Information Processing	19.5	24.47	33.62	41.92	52.2
-Folding, Sorting and Degradation	Environmental Information Processing	5.336	6.22	7.381	8.205	9.186
-DNA Maintenance	Environmental Information Processing	2.046	2.288	2.508	2.512	2.642
-RNA Family	Environmental Information Processing	8.445e-05	8.244e-05	7.439e-05	7.053e-05	6.961e-05
Environmental Information Processing	Environmental Information Processing	1	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.9907	1	1	1	1
