K07541	PigX:Q8TBF5
K02872	Rpl13a:P40429
K04257	Or52r1:Q8NGF1
K06819	Nrp2:Q7Z3T9
K08408	Gpr68:A1A5B2
K04679	ZfyVe16:Q7Z3T8
K04257	Or56a1:Q8NGH5
K04482	Rad51:Q06609
K06712	Btn2a1:E9PGR4
K07825	Gnb3:P16520
K00565	RnmT:O43148
K07964	HpsE:E9PGR1
K03362	BtrC:Q9Y297
K10753	Asf1a:Q9Y294
K09228	Znf177:B4DY57
K03137	Gtf2e2:P29084
K08231	Slc16a2:B1ALU8
K06087	CldN6:P56747
K00669	AanAt:F1T0I5
K07370	Btk:Q5JY90
K04446	NfaT5:E9PHR7
K10436	MapRe2:E9PHR3
K10152	CcnD3:P30281
K09209	Klf11:B7ZAX4
K09228	Znf79:Q15937
K11724	BrdT:B7ZAX7
K01046	LipF:F5H1P4
K09579	Pin4:F5H1P5
K12172	RanBp2:P49792
K10356	Myo1g:B0I1T2
K04661	Fst:P19883
K10360	Myo9b:B0I1T6
K10758	QsoX1:O00391
K05643	AbcA3:Q6P5P9
K08098	PigZ:Q86VD9
K15485	BCL2L13:Q587I9
K14552	WDR75, NET16, UTP17:B7Z8U8
K09575	FkbP10:Q658U4
K05004	KcnJ11:B4DWI4
K06712	Btn3a3:B4DWI7
K08407	Gpr52:Q9Y2T5
K04354	Ppp2r2c:Q9Y2T4
K09277	Ybx2:Q9Y2T7
K04456	Akt2:B4DG79
K04385	AxiN2:Q9Y2T1
K01487	Gda:Q9Y2T3
K03879	Nd2:P03891
K06779	MadCam1:B2RPL9
K09397	FoxD2:O60548
K04446	NfaTc2:B5B2P3
K12613	Dcp2:Q8IU60
K04149	Hrh1:P35367
K02146	Atp6v0d2:Q8N8Y2
K04864	CacNb3:F8VSG3
K09191	Gtf3a:Q92664
K08541	Nr1I3:Q6GZ68
K06096	VapA:Q9P0L0
K09229	Znf167:Q9P0L1
K08798	MarK1:Q9P0L2
K10428	DctN6:O00399
K07294	PpaRa:F1D8S4
K04990	Pkd2l1:Q9P0L9
K08528	RarB:F1D8S6
K04504	PpaRd:F1D8S7
K08561	Nr6A1:F1D8S0
K07292	Hnf4a:F1D8S2
K03728	Nr1D1:F1D8S3
K10754	Rfc1:P35251
K10755	Rfc2:P35250
K12893	SrsF4:Q08170
K10304	FbxO24:O75426
K07531	Rnd1:Q92730
K08551	Esr2:Q92731
K13105	PrcC:Q92733
K09292	Tfg:Q92734
K16186	RRAGC:Q5TB80
K04962	Ryr2:Q92736
K04664	Gdf5:P43026
K01490	AmpD1:P23109
K04559	Hip1:E7ES17
K10159	Tlr2:O60603
K10168	Tlr5:O60602
K03850	Alg10:Q5BKT4
K04288	S1pR1:P21453
K08839	Stk25:O00506
K11840	Usp9y:O00507
K04011	Cr1:P17927
K06087	CldN5:O00501
K01752	Sds:P20132
K14568	EMG1:Q7Z7F0-1
K03252	Eif3c:Q99613
K03984	SerPina1:P01009
K03911	SerPinc1:P01008
K01939	AdsSl1:B3KTV4
K01641	HmgCs1:Q01581
K09215	Osr2:Q8N2R0
K14404	CPSF4, CPSF30, NAR, NEB1:P02763
K04257	Or10g7:Q8NGN6
K07919	Rab33a:Q14088
K05203	GriK3:Q13003
K05202	GriK2:Q13002
K04257	Or10s1:Q8NGN2
K00784	ElaC2:B4DPL9
K06752	Hla-drb1:D7RIH8
K04257	Or6T1:Q8NGN1
K05731	TiaM1:Q13009
K10467	KlhL31:Q9H511
K08517	Sec22b:O75396
K04895	KcnE1l:Q5JWV7
K00639	GcaT:E2QC23
K08523	HbeGf:Q99075
K08632	AdaMts18:Q8TE60
K08541	Nr1I3:E9PC13
K01277	Dpp3:Q5JPB8
K04257	Or4F4:Q96R69
K06619	Abl1:Q59FK4
K04257	Or4C12:Q96R67
K06712	BtnL9:Q8N324
K11599	PomP:D6MXU3
K00725	B4gAlnt1:Q59FK0
K13982	Ddx4:D6RDK4
K01763	SclY:Q59FK2
K12198	ChmP5:B4DIR6
K16059	STIM1:Q6NV95
K06928	NTPCR:P46013
K05859	PlcG2:P16885
K10360	Myo9b:Q8WVD2
K10668	Rnf138:Q8WVD3
K07190	PhkA2:P46019
K01316	TmpRss15:P98073
K02329	Fzd3:Q9NPG1
K14005	Sec31a:O94979
K04685	CdkN2b:P42772
K06279	Shc2:P98077
K06621	CdkN2a:P42771
K10608	TriM37:O94972
K11824	Ap2A2:O94973
K06620	E2f1:Q9BSD8
K09236	TshZ2:B7Z7W1
K15979	SND1:Q9H6U6-2
K05459	Igf1:Q5U743
K07604	Krt23:Q8TC04
K09430	Elk3:P41970
K07434	Cyp19a1:Q05CU4
K09250	CnbP:P62633
K11352	NduFa12:Q9UI09
K09228	Znf333:Q96JL9
K04257	Or52l1:Q8NGH7
K11799	DcaF4:Q8WV16
K10298	FbxO15:B3KST3
K09621	Klk12:Q9UKR2
K07416	Cyp2f1:P24903
K06827	CtgF:Q5M8T4
K05006	KcnJ13:Q53SA1
K00710	GalNt9:Q9HCQ5
K02955	RPS14, EMTB, S14:A2RUS2
K06088	OCLN:Q96DV4
K04871	CacNg6:A6NFR2
K00629	GpaT2:Q6NUI2
K09448	TeaD1:A4FUP2
K12348	AsaH1:E9PDS0
K09193	Sp3:B7ZLN9
K10843	ErcC3:P19447
K00850	PfkM:P08237
K06268	Ppp3r2:Q96LZ3
K03126	Taf12:Q16514
K04828	AccN1:Q16515
K11140	AnpEp:Q59E93
K06071	Pkn1:Q16512
K06071	Pkn2:Q16513
K08897	EphA10:Q4G0R4
K04889	KcnC3:Q14003
K08819	Cdk13:Q14004
K01931	NeuRl:B4DS86
K12585	DIS3L, DIS3L1:B2RCC7
K03259	Eif4e2:O60573
K01922	PpcS:Q5VVM0
K00699	Ugt1a6:P19224
K01102	Pdp1:B4DYX8
K01195	GusB:P08236
K00485	Fmo5:Q9HA79
K13675	B3gAltl:Q6Y288
K00710	GalNt11:Q8NCW6
K01883	CarS2:Q9HA77
K08058	TapBp:E9PGM2
K06685	MOB1A, C2orf6, MATS1, MOB1, MOBK1B, MOBKL1B, Mob4B:Q6IB90
K03066	PsmC5:A8K3Z3
K12456	AnaPc13:A8K3Z6
K06103	CasK:O14936
K07936	Ran:A8K3Z8
K11990	Dhh:O43323
K04553	Ube2l6:O14933
K04358	Fgf16:O43320
K08960	CsnK1e:Q5U045
K04607	Grm4:A1L4F9
K14397	NUDT21:C9JY04
K01481	PadI6:Q6TGC4
K05447	Il28a:Q8IZJ0
K07521	Unc5b:Q8IZJ1
K02739	PsmB7:E9KL30
K09409	FoxP4:Q7Z7F8
K04659	ThbS2:Q6MZL6
K04830	AccN3:Q9UHC3
K04168	NmbR:E9KL38
K07604	Krt13:A1A4E9
K13373	Hsd17b7:P56937
K04729	Myd88:B4DQ60
K04257	Or5J2:Q8NH18
K08518	StxBp5l:Q9Y2K9
K08389	Gpr87:Q9BY21
K11848	Usp20:Q9Y2K6
K08534	RorC:F1D8P6
K04824	ScnN1a:P37088
K10488	ZbtB1:Q9Y2K1
K10352	Myh15:Q9Y2K3
K08875	NrbP1:Q9UHY1
K04511	PriCkle1:Q96MT3
K09880	EnoPh1:Q9UHY7
K07209	IkbKb:B4E0U4
K10134	Ei24:O14681
K10279	FbxL13:Q8N1P0
K08181	Slc16a4:B4DPX7
K05309	PtgEs:O14684
K09187	Mll2:O14686
K14966	HCFC2:Q96MT8
K14213	PepD:E9PCE8
K04257	Or10ag1:Q8NH19
K09313	Cux1:B3KWH8
K04130	ChrM2:P08172
K09561	StuB1:Q9UNE7
K05162	EdaR:Q9UNE0
K04849	CacNa1b:Q00975
K02185	SfrP4:Q6FHJ7
K00725	B4gAlnt1:Q00973
K06696	PsmE1:Q86SZ9
K15516	FXR2, FMR1L2, FXR2P:Q86SZ6
K06697	PsmE2:Q86SZ7
K04693	Irf9:Q00978
K10630	RbcK1:Q9BYM8
K02150	Atp6v1e1:A8MUE4
K04248	LhcGr:P22888
K05202	GriK2:A8K0H7
K08622	AdaMts7:Q9UFZ4
K01952	PfaS:A8K9T9
K05455	Nrg1:Q7RTW3
K06578	BcaM:P50895
K01074	Ppt1:P50897
K11367	Chd1:B3KT33
K01562	Dio1:P49895
K05849	Slc8a3:Q5K3P6
K05849	Slc8a3:Q5K3P7
K01432	AfmId:Q63HM1
K05762	Rdx:P35241
K07922	Rab36:O95755
K06521	SemA4f:O95754
K09485	HspA4l:O95757
K04358	Fgf19:O95750
K13764	RcvRn:P35243
K04229	OxtR:P30559
K14573	RBM28:B3KPR6
K04163	Htr7:P34969
K05067	Il5Ra:Q8NHV7
K00816	CcbL2:Q6YP21
K05035	Slc6a2:P23975
K11409	HdaC9:B7Z4I4
K10454	KlhL17:Q6TDP4
K03966	NduFb10:A8K761
K02514	Hs6St1:O60243
K03730	BhlHe41:Q9C0J9
K09058	Tef:Q10587
K09056	Dbp:Q10586
K09433	Etv3:B4E3M7
K01242	Bst1:Q10588
K07971	B3gNt4:Q9C0J1
K05459	Igf1:P05019
K06752	Hla-dqb1:P01920
K00253	Ivd:B3KVI7
K03129	Taf4:O00268
K04825	ScnN1b:B2R812
K10949	KdeLr2:P33947
K09598	SppL3:Q9UG23
K10799	TnkS2:Q9H2K2
K02520	MtiF3:Q9H2K0
K02156	PiwIl4:Q7Z3Z4
K04685	CdkN2b:O15125
K07604	Krt25:Q7Z3Z0
K02156	PiwIl3:Q7Z3Z3
K04429	TaoK3:Q9H2K8
K09228	Znf155:Q9H9E2
K04463	Map2k5:B4DE43
K12362	RasGrp3:D6W583
K00232	AcoX1:B4DK61
K01071	OlaH:Q9NV23
K03950	NduFa6:P56556
hsa_A1E282	A1E282:A1E282
hsa_I3L1U9	I3L1U9:I3L1U9
K05661	AbcB6:Q9NP58
K00752	Has2:Q92819
K04257	Or7D2:Q96RA2
K14649	TAF8, 43, II, TAF, TAFII-43, TAFII43, TBN:B4E365
K11157	PnpLa4:B4E362
K09628	PrsS27:Q9BQR3
K04724	CflAr:B4E361
K05664	AbcB11:O95342
K13811	PapSs2:O95340
K06674	Smc2:O95347
K13055	StaG3:Q9UJ98
K06812	Cdh22:Q9UJ99
K04901	KcnG2:Q9UJ96
K09228	Znf773:Q6PK81
K12396	Ap3D1:Q6PK82
K10626	Ubr2:Q8IWV8
K12348	AsaH1:Q96AS2
K04895	KcnE1l:Q9UJ90
K06250	Spp1:P10451
K06529	SemA7a:B4DDP7
K13217	PrpF39:Q86UA1
K01374	CtsO:P43234
K01371	CtsK:P43235
K16186	RRAGC:Q96HY6-1
K11727	SmaRca1:Q86UA8
K07935	RabL5:Q49AG1
K01262	XpnPep3:Q9NQH7
K05425	Il12b:P29460
K08497	BniP1:Q12981
K13710	ArhGef7:Q14155
K10450	KlhL12:Q53G59
K12236	Nfx1:Q12986
K08530	PpaRg:D2KUA6
K06173	Pus1:Q9Y606
K01594	CsaD:Q9Y600
K03211	Etv7:Q9Y603
K07190	PhkB:Q93100
hsa_Q562M3	Q562M3:Q562M3
K04371	MapK1:P28482
K09606	C9oRf3:Q8N6M6
K01477	AllC:Q8N6M5
K09085	OliG3:Q7RTU3
K05231	AgrP:C6SUN5
K04157	Htr2c:P28335
K13952	Adh6:P28332
K00255	AcaDl:P28330
K11845	Usp17l5:A8MUK1
K06511	Cd84:Q9UIB8
K02894	Rpl23:P62829
K06107	Epb41:Q1WWM3
K07874	Rab1a:P62820
K12967	Il33:B4E1Q9
K05422	Ctf1:Q5U5Y7
K12169	Rnf123:Q5XPI4
K04617	Gpr156:B7ZL66
K07936	Ran:P62826
K07379	CntNap1:P78357
K03084	InpP5d:Q92835
K00251	Akr1d1:P51857
K00615	TktL1:P51854
K07199	PrkAb1:Q9Y478
K02607	Orc5:O43913
K06777	PtpRd:F5GWT7
K05449	FigF:O43915
K01022	ChsT1:O43916
K08867	Wnk1:F5GWT4
K10603	AirE:O43918
K01855	Pus3:Q9BZE2
K14386	SLC5A6:O60524-1
K09233	GliS2:Q9BZE0
K00752	Has1:Q92839
K06587	ItgA11:Q9UKX5
K11252	HisT1h2bl:Q99880
K08522	Cga:P01215
K06751	Hla-c:Q6R739
K10352	Myh13:Q9UKX3
K08808	PskH2:Q96QS6
K09452	Arx:Q96QS3
K03462	NamPt:P43490
K12463	PrdM4:B3KPI0
K06928	NTPCR:B3KPI2
K05292	PigT:B7Z3N1
K00016	LdhA:F8W819
K07411	Cyp2a7:F8W816
K06469	Cd24:B6EC88
K07984	Sh3Bp2:P78314
K01104	PtpN3:B7Z9V1
K05748	WasF2:B4DZN0
K00742	GcnT2:Q8NFS9
K00910	AdrBk2:P35626
K08136	SpoCk3:B4DJY3
K04510	VanGl2:A8K4L6
K13201	TiaL1:A8K4L9
K11108	RCL1:Q68D91-1
K11414	SirT4:Q9Y6E7
K04523	UbqLn2:Q9UHD9
K05410	Tbk1:Q9UHD2
K05444	Il19:Q9UHD0
K07980	Kir3dl2:Q8NHI6
K06237	COL4A3:B7Z8H7
K02603	Orc1:B7Z8H0
K05411	Irf3:Q7Z5G6
K05632	ItcH:Q5QP37
hsa_Q562X2	Q562X2:Q562X2
K14572	MDN1:P22061
K00710	WbsCr17:Q6IS24
K04958	ItpR1:E7EPX7
K00281	GldC:P23378
K09821	Agt:P01019
K12965	Zbp1:A2A2F7
K11846	Usp18:Q53Y90
K09294	HoxB9:P17482
K09304	HoxB4:P17483
K09273	UbtF:P17480
K09308	HoxB8:P17481
K01104	PtpN12:E9PBR5
K10054	Pml:E9PBR7
K08149	Slc2a12:Q8TD20
K01539	Atp1a2:P50993
K05744	LimK2:Q7L3H5
K12803	MefV:D2DTW2
K10447	KlhL13:Q96HC9
K04257	Or2D3:Q8NGH3
K06840	SemA3b:Q13214
K10570	ErcC8:Q13216
K12663	Ech1:Q13011
K08006	Mmp28:Q9H239
K00181	PorCn:Q9H237
K04534	GnaO1:Q8N6I9
K01537	Atp2c2:O75185
K07762	PapPa:Q13219
K13709	ArhGap5:Q13017
K01054	MglL:Q99685
K09223	Gfi1:Q99684
K05426	Il23a:Q9NPF7
K04129	ChrM1:P11229
K04426	Map3k5:Q99683
K05086	InsRr:P14616
K06753	RobO1:B2RXI1
K09219	ScrT1:Q9BWW7
K11825	Ap2B1:P63010
K10471	KbtBd3:A8K1K0
K04492	Lef1:Q659G9
K11067	NagS:Q8N159
K08108	Gpc2:Q8N158
K02739	PsmB7:Q99436
K08048	AdcY8:P40145
K13304	Sgk3:Q96BR1
K09228	Znf669:Q96BR6
K10051	CebPe:Q15744
K00907	MylK:Q15746
K10495	ZbtB8a:Q96BR9
K08408	Gpr68:Q15743
K01506	Nit1:Q86X76
K03113	Eif1:Q6IAV3
K09182	GatA2:P23769
K03121	Gtf2ird1:Q6DSU6
K06087	CldN14:O95500
K11453	Cbx6:O95503
K09381	Pax3:P23760
K05673	AbcC4:O15439
K08510	VamP1:P23763
K00901	DgkH:A8K0I1
K00773	QtrTd1:Q9H974
K04402	GadD45a:A5JUZ3
K05404	Tlr7:Q9NYK1
K11878	PsmG4:C9J2F8
K00540	Vat1:Q99536
K05726	BcaR1:E9PCL5
K07374	TubA1c:Q9BQE3
K14025	SelS:Q9BQE4
K08018	RapGef2:Q9Y4G8
K00553	PnmT:P11086
K08200	Slc22a3:Q5SYN6
K14292	Tgs1:Q96RS0
K03123	Gtf2a2:P52657
K00139	AldH5a1:Q8N3W6
hsa_Q59FV6	Q59FV6:Q59FV6
K06230	Gli2:Q59FV5
K07410	Cyp1b1:Q53TK1
K14462	APOB, FLDB, LDLCQ4:Q9NZI8
K10273	FbxL7:Q9UJT9
K11405	HdaC8:B4DV22
K10390	TubD1:Q9UJT1
K10391	TubE1:Q9UJT0
K04257	Or4N5:Q8IXE1
K11546	Pmf1:Q5TCK1
K13411	DuoX1:Q9NRD9
K05155	TnfRsf19:Q9NS68
K06105	TjaP1:Q5JTD0
K12384	ScaRb2:B4DKD8
K11351	NduFb11:Q9NX14
K08544	Nr2C2:F2YGU2
K04301	Gpr27:Q9NS67
K04300	Gpr173:Q9NS66
K00622	Nat2:A4Z6T7
K10128	RprM:Q9NS64
hsa_Q5T8M8	Q5T8M8:Q5T8M8
K01689	Eno2:P09104
K04257	Or9Q1:Q8NGQ5
K10849	ErcC1:Q7Z7F5
K04257	Or10q1:Q8NGQ4
K04585	Pth1r:Q03431
K02993	Rps7:Q57Z92
K11643	Chd4:Q14839
K02911	MRPL32, L32mt, MRP-L32, bMRP-59b:Q8N465
K13762	Pde5a:O76074
K04608	Grm7:Q14831
K04607	Grm4:Q14833
K04605	Grm3:Q14832
K02516	PrmT5:O14744
K14609	SLC19A1, CHMD, FOLT, IFC1, REFC, RFC1:Q03060-9
K11126	TerT:O14746
K01873	VarS2:B4DET4
K06448	Cd1A:P06126
K09106	Usf1:P22415
K00709	Abo:P16442
K01273	DpeP1:P16444
K01513	EnpP1:P22413
K01834	PgaM2:P15259
K04162	Htr6:P50406
K06259	Cd36:P16671
K05204	GriK4:Q16099
K12569	Emd:P50402
K00562	InmT:B8ZZ69
K04257	Or12d2:P58182
K01046	LipF:Q658L8
K04257	Or4D2:P58180
K10485	GmcL1:Q96IK5
K10408	DnaH1:Q9P2D7
K06644	Sfn:P31947
K01124	GdpD2:B4DVC9
K15730	PTGES3:Q5SNT2
K08105	ChsT14:Q8NCH0
hsa_Q53FS0	Q53FS0:Q53FS0
K08829	Mak:Q547D0
K08136	SpoCk3:B4DHB4
K11433	SetMar:B4DY74
K15304	RANBP3:B4DHB3
K01477	AllC:B4DY77
K05606	MceE:Q96PE7
K11318	AtxN7:E9PHP9
K05462	EfnA5:P52803
K15542	WDR33, NET14, WDC146:A1Z0L3
K15042	KPNA1, IPOA5, NPI-1, RCH2, SRP1:Q6UN15-3
K09318	Vax2:F1T0K5
K08829	Mak:F1T0K6
hsa_Q562L6	Q562L6:Q562L6
K01122	EnpP2:E9PHP7
K06809	Cdh15:P55291
K06808	Cdh13:P55290
