K01369	DelTa-vpe
K00695	Sus1 Sus3 Sus2 SUS5 Sus4 Sus6
K09113	-
hsa_P63313	-
K04196	-
K08502	-
K08503	Syp52 Syp51
K08501	-
K08506	Syp71 Syp72 Syp73
K08507	-
K08504	AtbEt12 Bs14a
K08505	AT1G29060 AT4G14600
K08508	-
K08509	SnaP33 SnaP30 SnaP29
K00525	-
K00526	Rnr2a
K00521	-
K00522	AtfEr4 FER2 AtfEr1 AtfEr3
K00528	-
K03984	-
K14217	-
K14216	-
K14213	-
K14210	-
K00795	-
K00026	Mdh PmdH2 mMDH2 mMDH1 PmdH1
K00793	AT2G20690
K01346	-
K01345	-
K01343	-
K00022	-
K01349	-
K01348	-
K02694	PsaF
K02695	PsaH-1 PsaH2
K02690	PsaB
K02691	PsaC
K02692	PsaD-1 PsaD-2
K02693	PsaE-1 PsaE-2
K02698	PsaK
K02699	PsaL
hsa_B4DHK9	-
K00832	-
K00833	Bio1
K00830	Agt
K00831	PsaT AT2G17630
K00838	-
K12135	Co
K04443	-
K01122	-
K04441	-
K04336	-
K01127	-
K01126	AT1G74210 AT5G08030
K04445	-
K04338	-
K05310	AT2G22530
K02471	-
K02472	-
K05313	-
K05314	-
K05316	-
K02477	-
K05318	-
K13073	-
K13071	Acd1
K03873	-
K03872	AT5G59140
K03871	-
K03870	-
K03877	-
K03875	Skp2b
K13298	-
K13299	-
K02852	-
sce_YGL093W	-
K03258	-
K03257	AT1G72730 EIF4A1 Eif4a-2
K03254	Eif3a
K03253	TIF3B1 EIF3B-2
K03252	Eif3c Tif3c2
K03251	AT5G44320 AT4G20980
K03250	Eif3e
sce_YDR055W	-
K06751	-
K06753	-
K06752	-
K06754	-
K06757	-
K06756	-
K06759	-
K11568	-
K11290	Nrp1 Nrp2
K16240	SPA1
K16241	HY5
K11294	AtnUc-l1
K00759	Apt3 Apt2 Apt1 Apt5 Apt4
K00758	-
K00757	-
K00756	-
K00754	-
sce_YLR301w	-
K07151	Stt3b Stt3a
K07409	-
K07407	AT3G56310 AGAL1 AGAL2
K07404	-
K07400	-
K01808	-
K01809	Mee31 Din9
K01800	GSTZ1 GSTZ2
K01802	Roc7 FkbP12 Roc1 Roc2
K01803	Tim Tpi
K01804	-
K01805	AT5G57655
K01807	AT5G44520 AT3G04790 Rsw10 RPI2
K05127	-
K05122	-
K09321	-
K09320	-
K05128	-
K08339	Apg5
K08331	-
K08333	AT4G29380
K08332	-
K08334	ATG6
K08337	Apg7
K08336	Atg12a Apg12b
K01664	-
K01667	-
K01661	EchId
K01662	DxpS1 DxpS3 Cla1
K01663	At-Hf
K01669	Phr1
K02863	-
K02861	-
K02867	AT5G51610 PrpL11
K02866	Sac52 SAG24 RPL10B
K02865	PGY1 AT5G22440 AT1G08360
K02864	AT5G13510 AT3G12370
K02868	AT5G45775 RPL16A AT3G58700 RPL16B
K14008	-
K14009	AT3G20450 AT1G11905 AT5G42570
K14002	-
K14003	AT5G50650 AT5G50550 Stl2p PHF1
K14000	-
K14001	AT3G51980
K14006	AT2G21630 AT4G14160 AT1G05520 AT5G43670 AT3G23660
K14007	CEF ERMO2 AT4G32640
K14004	AT3G01340 AT2G30050
K14005	AT1G18830 AT3G63460
K03402	-
K03403	Gun5
K03407	-
K03404	ChlD
K03405	ChlI1 ChlI2
K03408	-
K12818	AT1G27900 AT4G01020 AT3G26560 AT5G10370
K02314	-
K02310	-
K02313	-
K02318	-
K12156	CYP83A1
K12405	-
K12154	CYP79F1
K12407	-
K12403	-
K12408	-
K12409	-
K12158	-
K12159	-
K07366	-
K07365	-
K07364	-
K07361	-
K07360	-
K07369	-
hsa_B7Z6I1	-
K07091	-
sce_YNL126W	-
K07899	-
K11173	-
K07891	-
K07897	RAB7B RABG3c
K00322	-
K00323	-
K00326	AT5G20080 AtcBr
K00327	Atr1 Atr2
K00324	-
K00325	-
K05940	-
K00329	-
K06941	-
K10808	Tso2
K06943	AT1G10300 PDE318 AT1G50920
K10374	-
K10375	-
K10804	-
K10805	-
K10802	HmgB1
K06949	-
K10800	-
K10801	AT3G07930
K05804	-
K08527	-
K04564	Msd1 AT3G56350
K01045	-
K01047	PLA2-ALPHA
K14270	Acs10 Acs12
sce_YOR257W	-
K01049	-
K01321	-
K01325	-
K01324	-
K02678	-
K02677	-
K00812	-
K00813	Asp4 Asp5 Asp1 Asp2 Asp3
K00814	Ggt1 AlaAt1 AoaT2 ALAAT2
K00815	AT4G28420 AT5G36160 CORI3 AT4G23590 AT4G28410 Tat3
K00816	-
K00817	HISN6B Hpa1
K00818	Win1
K00819	DelTa-oat
hsa_Q6YL44	-
K00129	-
K01493	-
K01491	-
K01490	Fac1
K01497	AtgCh
K01495	-
K14494	RGL1 RGL3 RGL2
K14497	HAI2 HAB2 HAB1
K14496	PYL12 PYR1 PYL1 PYL2 RCAR3 PYL4
K14491	RR13 RR12 ARR11 RR10 RR14 APRR4 RR19 RR18 RR20 RR21 APRR6 RR2 RR1
K14490	AHP5 AHP3 AHP2 AHP1 AT4G04402
K14492	RR5 ARR3 ARR9
K02410	-
K02411	-
K14499	BKI1
K02417	-
K00122	Fdh
sce_YCR089W	-
K13728	Rev7
K13721	-
sce_YPL130W	-
K06228	Fu
K03239	AT1G53880 AT1G53900 AT1G72340
K03238	Eif2 beta AT5G01940
K03231	AT1G07940 AT1G35550 AT5G60390 AT1G07920 AT1G07930
K03233	-
K03232	-
K03235	-
K03234	Los1
K03237	EIF2_ALPHA AT2G40290
K03236	AT2G04520
K09493	-
K09490	BIP3 Bip2 Bip1
K09497	-
K09496	-
K09495	-
K09494	-
K09499	-
K09498	-
K12898	-
K12897	AT4G35785
K12896	RSZP21 AT2G24590 RSZ32 SRZ-22 RSZ33
K12230	-
K12893	ATRSP41 AT2G46610 RSP35 RSP31
K12892	-
K12235	AtsR
K12890	SRp34a AT4G02430 Sr1 ATSRP30
K11768	-
K11760	-
K11761	-
K11762	-
K11763	-
K11765	-
K11766	-
K13941	AT4G30000
K13946	LAX1 LAX3 AUX1
ath_AT1G74090	SOT18
K06770	-
K06775	-
spo_SPBC530.07c	-
K04958	-
K14341	-
hsa_Q6RFH5	-
K05669	-
K11816	Yuc6 Yuc5 Yuc4 Yuc2 Yuc1
K11817	Aao1
K11540	-
K11813	Cyp79b3
K07420	-
K07424	-
K11818	CYP83B1
K11819	Sur1
K10143	Spa3 Cop1
K10636	RIN3 RIN2
K10631	-
K10144	AT5G18650 AT3G62970
K01866	AT2G33840 emb2768 AT1G28350
K01867	Ova4 AT3G04600
K01868	AT5G26830 EMB2761 AT1G17960
K01869	EMB2369 AT1G09620
K15519	-
K15044	-
K15047	-
K15046	-
K15041	-
K15040	-
K15043	-
K15042	-
K06149	-
K06147	-
K06142	-
K04764	-
K04761	-
hsa_P21333-2	-
sce_YAR050W	-
K08314	-
K14649	AT1G31240 AT5G15570
K14398	AT1G13190 AT5G55670
K14399	CLPS5 CLPS3
K14396	AT5G10350 PABN1
K14397	AT4G25550
K14394	-
K14395	-
K01689	Los2 ENO1 ENOC
K01686	-
K01687	AT3G23940
K01682	-
K01681	ACO1 ACO3 ACO2
K14026	-
K14027	-
K02889	AT1G57660 AT1G09590 AT1G09690 AT1G57860
K02888	AT1G35680
K14022	-
K02885	AT4G02230 emb2386 AT3G16780
K02884	-
K02887	Rpl20
K02886	Rpl2
K02881	AT1G48350
K02880	AT1G67430 AT1G27400
K02883	AT5G27850 Rpl18 AT2G47570
K02882	RPL18AA AT1G29965 AT2G34480 AT3G14600
K02085	-
K02084	-
K02087	Cdc2
K02089	-
K04446	-
K03428	ChlM
K03429	-
K03938	AT2G47690 AT3G62790
K03939	AT3G03070
K03936	Nad9
K03937	Fro1
K03934	EMB1467
K03427	-
K12394	-
K12396	-
K12397	-
K12391	-
K12392	-
K12393	-
K12398	-
K12399	-
K02338	-
K02335	POLGAMMA1 POLGAMMA2
K02333	-
K02332	-
K02331	-
K02330	-
K03688	-
K03680	AT5G38640 AT2G44070
K03681	AT2G25355
K03684	-
K03685	-
K03686	-
K03687	Ar192
K12172	-
K12175	Fus6
K12176	Fus12
K12177	Cop13
K12178	Cop8
K12179	Csn6a
K05649	-
K02966	AT5G15520 AT3G02080 AT5G61170
K07305	-
K07304	-
K07307	-
K07308	-
K03111	AT3G18580
K02962	AT5G04800 AT3G10610 AT2G05220 AT2G04390
K02611	-
K02960	AT3G04230 AT2G09990 AT5G18380
K02961	Rps17 emb1129 AT3G18880
hsa_Q562M3	-
K03118	Apg2
bsu_BSU09800	-
sce_YMR116C	-
K09687	-
K09680	PANK2
K11158	-
K11155	Tag1
K11153	-
K11152	-
K11151	-
K00308	-
K00658	AT4G26910 AT5G55070
sce_YKL164C	-
K00656	-
K00657	-
K00654	Spt1 AtlCb1 Lcb2 AT3G48790
K00655	Ats2
K00651	-
K10823	-
K17706	-
hsa_P31949	-
hsa_Q7Z7J6	-
K00671	Nmt1
K06546	-
K04157	-
K06547	-
K01307	AtgGh3 AtgGh2 AtgGh1
K04153	-
K02658	-
K02659	-
hsa_P61158	-
K05689	-
K02650	-
K02652	-
K05681	-
K05687	-
K02657	-
K00878	AT3G24030
K00872	Hsk
K00873	PKP-BETA1 AT3G52990 AT3G04050 AT3G55810 AT2G36580 Pkp-alpha Pkp3 AT3G55650 AT3G25960 AT5G63680 AT5G56350 AT5G08570 AT4G26390
K00871	-
K00876	UKL4 UKL5 UK/UPRT1 UKL2 UKL3
K00877	-
K00874	-
K04487	Nfs1
K04486	-
K04482	AtrAd51
K14164	Edd1
K08790	-
K04489	-
K04371	MPK14 Mpk12 AtmPk3 AtmPk6 AtmPk5 AtmPk4 AtmPk13 AtmPk2 AtmPk1 AtmPk10 AtmPk11
K04373	-
K04372	-
K04377	-
K05391	AtcNgc15 AtcNgc14 AtcNgc17 AtcNgc16 AtcNgc13 AtcNgc12 CNGC3 CNGC9 CnbT1 CNGC7 Dnd1 CngC18 CngC19 CNGC8 CngC1 AtcNgc6
K13708	-
K13709	-
K05393	-
K13700	-
K01824	Hyd1
spo_SPCC645.05c	-
K09516	-
K09517	AteRdj3b
K09512	-
K09510	-
K09518	AT3G57340
K02434	GatB
K05355	-
K05356	Sps1 Sps2
K02437	GDCH AT2G35120 AT1G32470
K05350	BglU46 BglU44
K05351	-
K05352	-
K02433	AT3G25660
K02438	Isa3 Isa1
K05359	PD1 ADT6 ADT5 ADT4 ADT2 ADT1
K03213	-
K03211	-
K03210	-
K03217	Oxa1l Alb3 Alb4 Oxa1
K04428	-
K03214	-
K16822	-
K09479	-
K09478	-
K09475	-
K09476	-
K13960	Ubc37
K13963	-
hsa_Q9GZN1	-
K11703	-
K03028	Rpn1b Rpn1a
K12615	-
K12614	AT3G61240 AT2G45810 RH8
K12617	AT3G22270 AT4G14990 AT1G79090
K12616	VCR Vcs
K12611	DCP1
K12610	-
K12613	Dcp2
K05588	-
K12619	XRN4 XRN2 Xrn3
K12618	-
K07442	-
K07441	AT4G18230
K03029	Rpn10
K11830	-
K11831	-
K11835	Ubp11 Ubp9 Ubp5 Ubp10 Ubp8
K11836	Ubp14
K11838	Ubp13 Ubp12
hsa_Q562Z4	-
hsa_Q562Z7	-
hsa_Q562Z6	-
K10615	-
K10613	-
K10612	-
K10610	Ddb1a DDB1B
K01845	Gsa1 Gsa2
K01847	-
K01840	Pmm
K15397	KCS9 KCS8 KCS2 KCS1 KCS7 KCS6 KCS4 KCS20 KCS18 KCS16 KCS11 KCS10
K15399	CYP77A6
K15398	CYP86A7
K08483	-
K08486	Syp125 Syp111 Syp112 Syp121 Syp123 Syp131 Syp124 Syp122 SYP132
K08484	-
K08489	Syp41 Syp43 Syp42
K08488	AtsYp24 Syp23 Syp21 Vam3
K00461	-
K00460	-
K00463	-
K00469	MioX1 MioX2 MioX4 MioX5
K04741	-
K01518	-
K01519	AT4G13720
K01516	AtaPy1 AtaPy2
K01514	-
K01515	-
K01512	AT5G03370
K01513	-
K01510	AT1G14240 AT1G14250
K01511	-
K14622	-
K03911	-
K03912	-
K03917	-
K12377	-
K12372	-
K12373	HexO3 HexO2 HexO1
K12371	-
K02359	-
K02358	RABE1b AT4G02930
K02350	AtrEv3
K02353	-
K02355	Sco1
K02357	-
K02356	-
K13579	-
K13577	-
K13576	-
K13575	-
K13574	-
P68032	-
K12118	Cry1
K12119	Cry2
K12116	Fkf1
K12114	-
K07320	-
sce_YNL322C	-
K05643	-
K03006	NrpB1
K03007	NrpB10
K03004	-
K03005	AT3G13940
K03002	NrpA2
K03000	AT3G25940
K03008	NrpB11
K03009	NrpB12
K05641	-
K04455	-
K04456	-
K06180	-
K06183	-
K06638	-
K06639	-
K06636	Ttn8
K01130	-
K06634	CycH
K06632	Wee1
K06630	-
K06631	-
K07589	-
K11139	-
K02733	-
K11131	Nap57
K11130	Nop10
K11132	-
K11134	-
K10842	-
K00679	AT3G44830 PDAT
K10840	-
K10841	Chr8
K10846	Uvh3
K10847	-
K10844	Uvh6
K10845	AT1G12400
K00670	AtmAk3
K14688	-
K10848	Uvh1
K10849	ErcC1
K00674	-
K00677	-
K06458	-
K06452	-
K06454	-
K13830	-
K02444	-
K05327	-
K00586	-
K00587	AtsTe14b
K00588	CCoAOMT1 CCOAMT
K00589	-
K00019	-
K05322	-
K03032	AT2G32730 AT1G04810
K10264	-
K10263	-
K10260	-
K10738	Mcm9
K01988	AT2G38150 AT3G09020
K00854	XK-2
K00855	Prk
K00856	Adk2 Adk1
K00659	-
K00850	Pfk7 Pfk6 Pfk5 Pfk4 Pfk3 Pfk2 Pfk1
K00851	AT2G16790
K00852	AT1G17160
K00853	-
K00858	NadK1
K00859	AtcOae
K04353	-
K04352	-
K01183	AT2G43590 CHIA AT4G19810 AteP3 HCHIB
K04357	-
K01184	AT5G17200 AT5G14650 AT3G15720
K01187	AT3G45940 AT5G11720
K04354	Atb alpha Atb beta
K01189	-
K01188	AT3G47050 BGLU36 BglU40 BGLU41 BGLU33 ATA27 BGLU42 BGLU25 BGLU19 DIN2 PYK10 BGLU14 BglU15 BGLU21 BglU17 BGLU16 BGLU24 BGLU22 BglU13 BglU12
K04358	-
K15728	AT3G09560 PAH2
spo_SPBC21B10.08c	-
K13762	-
K13763	-
K13764	-
K13769	-
K12128	AprR9
K02984	AT4G34670 AT3G04840
K02985	AT5G35530 AT2G31610 AT3G53870
K08294	-
K02987	AT2G17360 AT5G58420 AT5G07090
K02636	PetC
K08293	AtmPk7
K02634	PetA
K08291	-
K02638	PetE1 Drt112
K02639	AtfD1 Fed_a AtfD3 AT1G32550 AtfD4 AT4G14890
K02988	AT2G33800
K02989	RPS5B RPS5A
K03580	-
K03585	-
K01725	Cyn
K01724	-
K01720	-
K01723	Aos
K01728	AT3G09540 AT5G63180 AT1G67750 AT4G24780 PMR6 AT3G55140 AT4G13210 AT2G02720 AT1G11920 AT3G01270 AT3G24670 AT4G13710 AT4G22090 AT5G55720 AT1G04680 AT3G27400 AT3G24230 AT3G07010 RHS14 AT5G48900 AT5G15110 AT3G53190
K09530	-
K09532	-
K09533	-
K05401	-
K05402	-
K05405	-
K05407	-
K02184	-
K02187	-
K02180	-
sce_YIL011W	-
K02183	Cam3 Cam2 Cam1 Cam7 CAM5 Cam4 AT5G57580
K13187	-
K13184	-
K03769	-
K03768	Roc4
K03767	-
K03764	-
K03763	-
K03761	-
K09457	-
K09458	AT2G04540 Fab1
K00602	AT2G35040
K13988	-
K13989	DER2.1 Der2.2 Der1
K13987	-
K13984	-
K13985	-
K13980	-
K12585	EMB2763
K12584	-
K12587	AT4G27490
K12586	AT1G60080
K12581	AT5G10960 AT2G32070 AT1G80780
K12580	AT5G18230
hsa_Q9H568	-
K12589	AT3G07750
K11728	-
K11725	-
K11726	-
K11720	-
K06845	-
K06841	-
K10455	-
K10457	-
K10456	-
K10982	-
K10981	-
K10980	-
K12637	Rot3
K07466	AT1G03810 AT1G23750 Rpa1a RPA70C AT4G28440 AT1G10590 AT2G33845
hsa_P60709	-
K07462	-
hsa_Q562X7	-
hsa_Q562X6	-
K11858	Ubp26
hsa_Q562X4	-
hsa_Q562X2	-
hsa_Q562X1	-
hsa_Q562X0	-
K11582	-
K11583	FasS AT5G28850 AT5G28900 AT1G54450 AT5G44090 AT1G03960
K11584	ATB'_DELTA AT1G13460 AT3G21650 AT5G25510 ATB'_ALPHA AT3G26020 Atb' beta ATB'_GAMMA AT3G54930
K11857	-
hsa_Q562X9	-
K11855	Ubp23
K10679	-
K10678	-
K15009	-
K08726	-
K08722	-
K08729	-
K08467	Gcr1
K00115	-
K00117	-
K00444	-
K00111	Sdp6
K00441	AT1G04620
K01538	-
K01539	-
K04728	Atm
K04729	-
K01530	Ala3 Aca.l
K04723	-
K01533	Hma5 Ran1
K01534	Hma4 Hma2
K04727	-
K01537	Aca11 Aca10 Aca4 Aca2 Eca3 Eca2 Eca1 Aca9
hsa_Q53G76	-
hsa_C9JZR7	-
K14609	-
K14605	-
K14606	-
K15919	AT1G79870
K15918	AT1G80380
K15917	-
K06642	-
K16931	-
K16938	-
K16939	-
K13379	Rgp4 Rgp1 Rgp3 Rgp2
K13378	-
K05771	-
K13373	-
K02373	-
K02372	AT2G22230 AT5G10160
K02370	-
K02377	Ger2 Ger1
K02375	-
K12350	-
K12351	-
K12352	-
K12353	-
K12354	-
K12355	AldH2c4
K12356	Ugt72e3 Ugt72e2 UGT72E1
K16857	-
K16855	-
K13519	AT1G63050 AT1G12640
K13511	-
K13510	AT1G80950
K13513	LpaT4 LpaT5
K13515	-
K13514	-
K13516	-
K03392	-
K03020	RPC14
K03021	NrpC2
K03022	AT1G06790
K03023	AT3G49000
K03024	AT4G01590
K03025	-
K03026	AT4G25180
K03027	RPAC43 ATRPAC42
K08915	LHCB4.1 LHCB4.2 LHCB4.3
K08914	LhcB3
K08917	LhcB6
K08916	LhcB5
K08911	LhcA5
K08910	LhcA4
K08913	LhcB2.2 LhcB2.3 LhcB2.1
K08912	Cab2 Cab3 Cab1 Lhb1b2 Lhb1b1
K06619	-
K17457	-
K12130	AprR5
K12131	AprR3
K12132	Wnk1
K12133	Lhy
K06611	Sip1 STS
K06617	DIN10 SIP1 SIP2
K11447	-
K11446	-
K11118	-
K16329	AT1G50510
K16328	-
K00613	-
K00610	-
K00611	Otc
K00616	AT5G13420 AT1G12230
K00615	AT2G45290 AT3G60750
K00618	-
K00619	-
K06474	-
K06476	-
K06477	-
K06471	-
K10865	Mre11
K10866	Rad50
K10867	NBS1
K06478	-
K06479	-
K10862	-
K04573	-
K01052	-
K01051	AT5G04970 AT5G49180 AT4G03930 AtpMe2 VgdH1 AT2G45220 AT3G43270 PPME1 PME44 AT1G11590 Pme31
K07875	-
K07874	AtrAb1c
K07870	-
K01057	PGL5 PGL4 PGL2 PGL1 EMB2024
K07879	-
K01054	-
K10246	-
K10247	-
K04124	Ga3Ox1 Ga3Ox2
K01953	Asn2 Asn3 Asn1
K04122	Ga3
K15746	BETA-OHASE_2
K15747	CYP97A3
K15744	Z-ISO
K00428	-
K15748	BGLU18
K13748	-
K13747	-
K02618	-
K02968	AT3G15190
K02969	AT5G62300 AT3G45030 AT3G47370
K02614	-
K02967	Rps2
K02964	AT1G34030 Pfl RPS18C
K02965	Rps19
K02610	-
K02963	Rps18
K02612	-
K02613	-
K03569	-
K03568	-
K03564	AtpRx q
K03563	-
K03562	-
K01709	-
K01705	-
K01704	IPMI2 IPMI1 AT2G43090
K01703	Iil1
K01702	-
K09558	-
K09553	-
K09550	Aip3
K09556	-
K09554	-
K09555	-
K14165	-
K05399	-
K14163	-
K05463	-
K08141	-
K14169	AT4G35910
K14168	-
K05396	-
K05465	-
K13142	-
K03701	-
K06098	-
K03702	-
K03704	-
K13417	SerK4
K09435	-
K09436	-
K12839	AT2G02570
K12838	-
K12835	AT2G47330
K12834	AT1G07170 AT2G30000
K12837	ATU2AF65A AT1G60830 AT2G33440 AT1G60900
K12836	ATU2AF35A AT3G44785 U2aF35b
K12831	emb2444 AT4G10110
K12830	AT3G55220 AT3G55200 AT3G11960
K12833	AT5G12190 AT2G14870
K12832	AT3G23325 AT4G14342
sce_YDR534C	-
hsa_P63267	-
K04936	-
K15759	-
K06866	-
hsa_B4DVQ0	-
K06861	-
K12659	-
K12651	-
K12657	P5cS1 P5cS2
K12656	-
K11870	-
K11871	-
K11872	-
K08701	-
K08705	-
hsa_Q6PJ43	-
hsa_B3KUP6	-
K17390	-
K11306	-
K11307	-
K11304	-
K11303	Hag2
K11308	Ham2 Ham1
K11309	-
K00137	-
K00135	AldH5f1
K00134	GAPCP-1 GapC1 GapC2 GapCp-2
K00133	AT1G14810
K00131	AldH11a3
K00130	AldH10a9 AldH10a8
K00139	-
K00138	-
K10652	-
K00420	-
K00423	AT5G21100 Sks12
K00425	-
K00426	-
K15680	-
sce_YER011W	-
spo_SPCC4B3.15	-
K14379	-
K14376	PAPS2 PAPS1
K15979	-
K15978	-
K14085	ALDH7B4
K04704	-
K04705	-
K04706	AT5G41580
K04707	-
K04700	-
K01557	AT4G15940
K04250	-
K01555	AT1G12050
K04708	AT3G06060
K04709	-
K13356	FAR5 FAR4 FAR7 FAR1 MS2
K13355	-
K13354	AT2G39970
K13353	-
K03959	-
K13350	-
K03954	-
K03955	MTACP-1 MtaCp2
K03956	-
K03957	-
K03950	AT3G12260
K03951	-
K03952	AT3G06310 AT5G18800
K03953	AT2G20360
K13681	Ft1 Fut10 Fut7 Fut6 Fut5 Fut4 Fut3 Fut2 Fut9 Fut8
K13680	AtcSla09 AtcSla02
K02399	-
K02398	-
K02397	-
K02396	-
K02393	-
sce_YOR010C	-
K15528	-
K13536	-
K13535	-
K04255	-
K02979	AT3G10090 AT5G03850 Rps28
K05658	AT3G28415 Pgp9 AT3G28345 PGP3 PGP2 ABCB4 PGP7 PGP6 PGP5 ABCB1 PGP21 PGP20 PGP18 PGP17 ABCB19 PGP14 PGP13 PGP12 PGP11 PGP10
K04703	-
K05655	-
K02977	Ubq6 Ubq5 AT1G23410
K02976	AT2G40590 AT3G56340 AT2G40510
K02607	Orc5
K02970	-
K12330	-
K12331	-
K02973	AT3G09680 AT5G02960
K12334	-
K12338	AT4G14090
K02972	-
K11682	-
K11681	Pie1
K11680	-
K11685	-
K11684	-
K08810	-
K03048	-
K13821	-
K13823	-
K13822	-
K03043	RpoB
K03040	RpoA
K03046	RpoC1 RpoC2
K06672	-
K06673	-
K06670	Syn4
K06671	Scc3
K06676	-
K06677	-
K06674	Smc2 AtsMc2
K06675	AtsMc3
K03103	-
K06678	-
K06679	-
K13691	Ugt74f1
K03102	-
K10351	-
K12488	-
K12489	AGD4 SFC Agd2 AGD1
K12484	-
K12485	-
K12486	Agd5 ZAC
K12487	-
K12480	-
K12481	-
K12482	-
K12483	EHD2 EHD1
K11468	-
K11463	-
K11462	Fie
K11461	-
K00639	-
K00341	-
K00637	-
K00630	Ats1
K00631	-
K00632	Pkt3 Pkt2
K10359	-
K00344	-
K06493	-
K06490	-
K06491	-
K00042	-
hsa_F6UVQ4	-
K07810	-
K07817	-
K07816	-
K07819	-
K00090	-
K09549	-
K00094	-
K00097	-
K00099	Dxr
K00040	-
K03958	-
sce_YJR004C	-
K10226	-
K10224	-
K13352	-
K01948	-
K01945	AT1G09830
K01940	AT4G24830
K01942	-
K07722	-
K00898	-
K00899	MTK
K05824	-
K00891	SK1 SK2
K00893	-
K00894	emb1187
K00895	Mee51 AT1G20950 AT1G76550 AT1G12000
K04397	-
K04396	-
K04393	-
K04392	-
K13358	-
K04398	-
K14408	CSTF77
K14409	SMG7
K14158	-
sce_YOL155C	-
K08150	Int4 Int1 Int3 Int2
sce_YBR078W	-
K08155	-
K02948	Rps11
K02949	EMB1080 RPS11-BETA AT4G30800
K02940	AT1G33120 Pgy2 AT4G10450
K02941	AT2G40010 AT3G11250 AT3G09200
K02942	AT4G00810 AT5G24510 AT1G01100 AT5G47700 AT4G25890 AT5G57290
K05663	Atm1 Atm2 Sta1
K05664	-
K02945	AT1G71720 Rps1
K02946	AT3G13120
K05667	-
K04660	-
K01769	-
