Category	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
--Protein processing in endoplasmic reticulum	0	0	0.0041185872	0.0032668541	0.012493976	0.013537652	0.013684334	0.027603269	7.298545e-05
--SNARE interactions in vesicular transport	0	0	1.2343873e-05	0	0.00063353282	0.0014565833	0.0013025098	0.001215317	0
--SNAREs	0	0	0	0	0	0	8.1036302e-06	4.088732e-05	0
--Ubiquitin mediated proteolysis	0	0	0.0017141132	0.0024709686	0.0042319205	0.0056273721	0.0016466919	0.0058259591	0
--Ubiquitin labeling	0	0	0.0003315407	0.0010384073	0.0023821743	0.0026776151	0.0032712696	0.0041378132	0
--Sulfur relay system	0.00031081202	0.0023248667	0.0062202489	0.0066735016	0.00048664802	0.00058154792	8.9718089e-05	0.00018425469	0.00079009814
--Proteasome	0	0	0.0016606807	0.00071452895	0.010339202	0.012457989	0.0079305681	0.01650349	0
--Peptidases	0.0075804631	0.011765491	0.00093632925	0.008922403	0.0048085298	0.0056232589	0.0021347751	0.0042382187	0.0097409653
--RNA degradation	0.012654311	0.013879932	0.0035378241	0.002560265	0.0073136834	0.0071100681	0.0041324254	0.010993488	0.023886781
-DNA Maintenance	0.0079778603	0.016350706	0.011237294	0.0081768009	0.019180296	0.02281943	0.017986125	0.030497577	0.0045656212
--DNA replication	0	0.0010199142	0.0022562891	0.0013201587	0.0017538905	0.0016714719	0.0012467234	0.0042693052	0.00022691711
--DNA replication complex	0.00056251906	0.00033416967	0.00089687556	0.00047623229	0.00042393647	0.00051311358	0.00016568871	0.00078593689	0.00062922122
--DNA replication control	0.0024500929	0.0044190118	0.0017726246	0.00044711671	0.00040357736	0.00019058286	0.00019286573	0.0027909849	0.0019981362
--Chromosome-related	0.0040021229	0.0081533255	0.0046397149	0.0044893536	0.013261877	0.017214855	0.014835618	0.018632214	0.00035219305
--Base excision repair	0	0.00021673376	1.8571259e-05	0.00017269446	1.5037703e-05	4.7558443e-05	0.00021823958	0.0007278499	0
--Nucleotide excision repair	0.00013849745	0.00043586274	5.8146351e-05	0.00012165844	0.00046195161	0.00057221849	0.0010251211	0.0011627755	0.00033494998
--Mismatch repair	0	5.9531259e-05	6.3227757e-05	0	0.00014114872	2.6174118e-05	1.1047475e-05	0.00024870575	0
--Homologous recombination	0.00044310019	0.00057916188	0.00010050172	0.00014399783	9.4920342e-06	0.00022725185	9.6838292e-05	0.00013304545	0.0009648673
--Non-homologous end-joining	0	0	0.00080165276	0.00015894879	0	2.7158617e-05	3.8288451e-05	0.00011248649	0
--DNA repair and recombination proteins	0.0003815278	0.0011329951	0.00062968956	0.00084664012	0.002709385	0.0023290448	0.0001556943	0.0016342729	5.9336353e-05
Environmental Information Processing	0.0013133512	0.010628999	0.0054084728	0.0029446831	0.0088051964	0.011860629	0.011167279	0.035142813	0.023611508
-Signal Transduction	0.0013133512	0.010552462	0.0035055798	0.0021054339	0.0021662182	0.0039573896	0.0030901843	0.02478567	0.023611508
--Hippo signaling pathway	0	0	0	0	1.7058917e-05	1.5395762e-05	0	0.003147637	0
--FoxO signaling pathway	0	0	0	0	0	0	0	3.1575306e-05	0
--Two-component system	0.0013133512	0.010552462	0	0	0	0	3.8460233e-06	0	0.023611508
--MAPK signaling pathway	0	0	0.0023482043	0.001217766	0.0012601211	0.0022612216	0.00018666738	0.0090545074	0
--ErbB signaling pathway	0	0	0.0011312734	0.00087123682	0.0002479671	0.00024966529	3.0240271e-05	0.00069002081	0
--Wnt signaling pathway	0	0	0	0	0	0	0	0.0022746945	0
--Notch signaling pathway	0	0	0	0	0	0	0	0.00010852555	0
--Hedgehog signaling pathway	0	0	0	0	0	0	1.6967915e-05	0.0001491409	0
--TGF-beta signaling pathway	0	0	0	0	0	0	0	0.00011973114	0
--VEGF signaling pathway	0	0	0	0	0	0	0	0	0
--Jak-STAT signaling pathway	0	0	0	1.6431035e-05	4.2451464e-05	0.00010153073	0	0.00041107067	0
--Calcium signaling pathway	0	0	0	0	0	0	0	0.00082160293	0
--Phosphatidylinositol signaling system	0	0	2.610203e-05	0	0.00038747705	0.00083661945	0.0021509709	0.0075817212	0
--mTOR signaling pathway	0	0	0	0	0.00021114255	0.00049295677	1.2604004e-05	0.00039544306	0
--Plant hormone signal transduction	0	0	0	0	0	0	0.00068888783	0	0
-Signaling Molecules and Interaction	0	7.6536708e-05	0.001902893	0.00083924922	0.0066389782	0.0079032395	0.0080770949	0.010357142	0
--G protein-coupled receptors	0	0	0.00058765471	0	0	0	0.00017736426	0.0003373341	0
--Enzyme-linked receptors	0	0	0	0	0	0	0	0.0011101873	0
--Cytokine receptors	0	0	0	0	0	0	0	0	0
--Ion channels	0	0	2.6744231e-05	0	0	0	0.0057083854	0.00017492725	0
--Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0.0011544377	0
--Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0
--Cytokines	0	0	0	0	0	0	0	1.977533e-06	0
--ECM-receptor interaction	0	0	0	0	0	0	0	0.0015271772	0
--Cell adhesion molecules (CAMs)	0	0	0	0	0	0	0	5.2350532e-05	0
--CAM ligands	0	0	0	0	0	0	0	3.0032038e-05	0
--Cellular antigens	0	0	0	0	4.2946858e-05	0.00024601713	0.00014819443	0.0018474483	0
--GTP-binding signaling proteins	0	0	0.0012884941	0.00083924922	0.0065960314	0.0076572224	0.0020431508	0.0041212705	0
--Glycan binding proteins	0	0	0	0	0	0	0	0	0
--Bacterial toxins	0	7.6536708e-05	0	0	0	0	0	0	0
Cellular Processes	0.0090822342	0.019322124	0.022193836	0.01641167	0.02021177	0.031026578	0.012396748	0.076615635	0.0076566842
-Hemoglobin	0	0	0	0	0	0	0	0	0
--Hemoglobin	0	0	0	0	0	0	0	0	0
-Vesicular Transport	0	0	0.0013916646	0.00079330262	0.0049117283	0.01002462	0.0051174238	0.019494209	0
--Endocytosis	0	0	0.001169732	0.00051423893	0.0039938415	0.0069191942	0.003179608	0.0097483039	0
--Phagosome	0	0	0	0.00010055152	0.0003485394	0.0013357999	0.0011072274	0.0013522035	0
--Lysosome	0	0	0	0	0	0	2.8877136e-07	0.0055856283	0
--Peroxisome	0	0	0.00013963084	0.00012077013	0.00031178969	0.00076500023	0.00078459196	0.0026252309	0
--Regulation of autophagy	0	0	8.2301756e-05	5.7742041e-05	0.00025755771	0.0010046261	4.5707611e-05	0.00018284185	0
-Cytoskeleton	0.0020838579	0.0035687312	0.012511643	0.012019554	0.012764207	0.016744655	0.007236794	0.051116809	0.0019868895
--Regulation of actin cytoskeleton	0	0	0.0020792766	0.0016392905	0.0027939436	0.0040672494	1.3148577e-05	0.0037910211	0
--Cytoskeleton proteins	0.0020838579	0.0035687312	0.010432367	0.010380264	0.0099702632	0.012677406	0.0072236455	0.047325788	0.0019868895
-Cell Motility	0.0015540845	0.014394095	0	0	0	0	0	0	0.0056697947
--Bacterial chemotaxis	0.0014738632	0.0067187887	0	0	0	0	0	0	0
--Bacterial motility proteins	8.0221374e-05	0.0076753058	0	0	0	0	0	0	0.0056697947
-Cell Growth and Death	0.0054442917	0.0013592984	0.0082905276	0.003598813	0.0025358347	0.0042573029	4.2530061e-05	0.0057501382	0
--Cell cycle	0.0054442917	0.0013592984	0.0076095397	0.0031685993	0.0010117011	0.0012355254	0	0.0031545779	0
--Cytokinesis	0	0	0	0	0.001392929	0.002825505	4.2530061e-05	0.0014377311	0
--Meiosis	0	0	7.8732839e-05	5.7165533e-05	0.00013120461	0.00019627251	0	0	0
--Oocyte meiosis	0	0	0	0	0	0	0	0.00020761928	0
--Apoptosis	0	0	0	0	0	0	0	0.00095020992	0
--p53 signaling pathway	0	0	0	0	0	0	0	0	0
--Cell wall	0	0	0.00060225512	0.00037304818	0	0	0	0	0
-Cell Communication	0	0	0	0	0	0	0	0.00025447939	0
--Focal adhesion	0	0	0	0	0	0	0	5.385289e-05	0
--Adherens junction	0	0	0	0	0	0	0	5.6795084e-05	0
--Tight junction	0	0	0	0	0	0	0	8.3559898e-05	0
--Gap junction	0	0	0	0	0	0	0	6.027152e-05	0
Metabolism	0.57124563	0.58790915	0.57066713	0.6470629	0.44405457	0.39262573	0.25872506	0.19882564	0.45322271
-Membrane Transport	0.024497126	0.10283567	0.0040369421	0.0035150105	0.0072049366	0.0089987306	0.0021978144	0.00071177413	0.016913204
--Transport	0.024497126	0.099459506	0.0040369421	0.0035150105	0.0071341718	0.0089595082	0.0021692008	0.00071177413	0.016913204
--Bacterial secretion system	0	0.00012145937	0	0	0	0	0	0	0
--Secretion system	0	0.0032547081	0	0	7.0764844e-05	3.9222422e-05	2.8613547e-05	0	0
-Central Carbon Metabolism	0.18737789	0.25237923	0.4481406	0.40279346	0.16857273	0.15261394	0.088664155	0.080705929	0.077632995
--Glycolysis	0.090428223	0.12194435	0.42925219	0.36324776	0.12278838	0.10058693	0.048947245	0.040521533	0.037869512
--TCA cycle and anaplerotic enzymes	0.067659366	0.0728411	0.0026589154	0.015373332	0.011877598	0.020314123	0.016313539	0.02146859	0.0085913089
--Pentose phosphate metabolism	0.01571984	0.015002924	0.0096885067	0.013001143	0.013695763	0.010731681	0.0043932266	0.0029699764	0.019454579
--Carbohydrate metabolism	0.0061380123	0.035838393	0.0059880631	0.0078295019	0.012765108	0.015307085	0.014245877	0.012972139	0.0093574086
--Pyruvate metabolism	0	0	0.00052497892	0.0013909455	0.00161692	0.00099448685	3.3177498e-05	0	0
--Butanoate metabolism	0	0	0	1.4339791e-05	0.0020999997	0.0016379408	4.5666023e-05	0.00097199061	0.00021304389
--Other central metabolism enzymes	0.0074324445	0.0067524697	2.7947102e-05	0.0019364372	0.003728961	0.0030416882	0.004685423	0.0018016994	0.002147143
-Energy Metabolism	0.0071410046	0.021894611	0.0072355209	0.015200956	0.016731948	0.035949437	0.072408846	0.040358432	0.25746972
--Oxidative phosphorylation	0.0071410046	0.021894611	0.0072355209	0.015070372	0.015868614	0.034780633	0.024487622	0.040182427	0.05168403
--Photosynthesis	0	0	0	0	0	0	0.031354517	0	0.068740398
--Photosynthesis - antenna proteins	0	0	0	0	0	0	0.0056238191	0	0.10771344
--Carbon fixation in photosynthetic organisms	0	0	0	0	0	0	0.010939188	0	0.029181338
--Methane metabolism	0	0	0	0.00013058411	0.00086333449	0.0011688041	3.7011346e-06	0.00017600535	0.0001505151
-Biosynthesis	0.32619085	0.16292276	0.075878278	0.19725311	0.22357986	0.16649433	0.085319253	0.060096317	0.095526775
--Lipid and steroid metabolism	0.057143598	0.033836521	0.011947913	0.014029163	0.031651419	0.026934621	0.0073283331	0.012611278	0.0041842718
--Purine metabolism	0.025112805	0.018330821	0.012437377	0.023243777	0.02798319	0.020190974	0.0050392519	0.0044273235	0.013083055
--Pyrimidine metabolism	0.007668091	0.01182035	0.0026640231	0.0071793035	0.01644313	0.015419403	0.0013795432	0.0038263624	0.0065149895
--Amino acid metabolism	0.22282207	0.080784185	0.041895285	0.14864261	0.12528734	0.080806573	0.05336839	0.025102008	0.052180892
--Glycan metabolism	0.0023260686	0.0037694394	0.0017788835	0.00058822676	0.0038020057	0.0037859389	0.0016528293	0.0024177483	0.0021637273
--Cofactor biosynthesis	0.010967875	0.014249544	0.0051547962	0.0034516623	0.018412774	0.019356817	0.014779602	0.010892611	0.017270461
--Biosynthesis of other secondary metabolites	0.00015034176	0.00013189664	0	0.00011836646	0	0	0.0017713026	0.00081898574	0.00012937908
-Other Enzymes	0.02603877	0.047876878	0.035375785	0.028300371	0.027965093	0.028569296	0.010134988	0.016953184	0.0056800205
--Other enzymes	0.02603877	0.047876878	0.035375785	0.028300371	0.024612282	0.026377685	0.010080917	0.016650925	0.0056800205
--Protein kinases	0	0	0	0	0.00015902142	0.00021347537	5.4070696e-05	0.00029068688	0
--Cytochrome P450	0	0	0	0	0.0031937892	0.0019781349	0	1.157141e-05	0
Organismal Systems	0	0	0	0	0	0	0.0050030247	0.0030823765	0
-Immune System	0	0	0	0	0	0	0.00019357321	0.00020022769	0
--Complement and coagulation cascades	0	0	0	0	0	0	0	0	0
--Toll-like receptor signaling pathway	0	0	0	0	0	0	0	0	0
--NOD-like receptor signaling pathway	0	0	0	0	0	0	0.00014851742	0	0
--RIG-I-like receptor signaling pathway	0	0	0	0	0	0	0	0	0
--Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0
--Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	4.5055789e-05	0.00020022769	0
--Antigen processing and presentation	0	0	0	0	0	0	0	0	0
--T cell receptor signaling pathway	0	0	0	0	0	0	0	0	0
--B cell receptor signaling pathway	0	0	0	0	0	0	0	0	0
--Fc gamma R-mediated phagocytosis	0	0	0	0	0	0	0	0	0
--Leukocyte transendothelial migration	0	0	0	0	0	0	0	0	0
--Intestinal immune network for IgA production	0	0	0	0	0	0	0	0	0
--Chemokine signaling pathway	0	0	0	0	0	0	0	0	0
-Endocrine System	0	0	0	0	0	0	0	0	0
--Insulin signaling pathway	0	0	0	0	0	0	0	0	0
--Adipocytokine signaling pathway	0	0	0	0	0	0	0	0	0
--PPAR signaling pathway	0	0	0	0	0	0	0	0	0
--Renin-angiotensin system	0	0	0	0	0	0	0	0	0
-Circulatory System	0	0	0	0	0	0	0	0	0
--Cardiac muscle contraction	0	0	0	0	0	0	0	0	0
--Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0
-Digestive System	0	0	0	0	0	0	0	0	0
--Salivary secretion	0	0	0	0	0	0	0	0	0
--Pancreatic secretion	0	0	0	0	0	0	0	0	0
--Bile secretion	0	0	0	0	0	0	0	0	0
--Protein digestion and absorption	0	0	0	0	0	0	0	0	0
--Fat digestion and absorption	0	0	0	0	0	0	0	0	0
--Vitamin digestion and absorption	0	0	0	0	0	0	0	0	0
--Mineral absorption	0	0	0	0	0	0	0	0	0
-Excretory System	0	0	0	0	0	0	0	0	0
--Vasopressin-regulated water reabsorption	0	0	0	0	0	0	0	0	0
--Aldosterone-regulated sodium reabsorption	0	0	0	0	0	0	0	0	0
--Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0	0	0	0	0
--Proximal tubule bicarbonate reclamation	0	0	0	0	0	0	0	0	0
--Collecting duct acid secretion	0	0	0	0	0	0	0	0	0
-Nervous System	0	0	0	0	0	0	0	0	0
--Glutamatergic synapse	0	0	0	0	0	0	0	0	0
--Long-term potentiation	0	0	0	0	0	0	0	0	0
--Neurotrophin signaling pathway	0	0	0	0	0	0	0	0	0
-Sensory System	0	0	0	0	0	0	0	0.00055091235	0
--Phototransduction	0	0	0	0	0	0	0	2.0148828e-05	0
--Phototransduction - fly	0	0	0	0	0	0	0	0.00053076352	0
--Olfactory transduction	0	0	0	0	0	0	0	0	0
-Development	0	0	0	0	0	0	0	0.0023312365	0
--Dorso-ventral axis formation	0	0	0	0	0	0	0	0.0023312365	0
--Axon guidance	0	0	0	0	0	0	0	0	0
--Osteoclast differentiation	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	0	0	0	0	0	0	0.0048094514	0	0
--Circadian rhythm	0	0	0	0	0	0	1.6213179e-05	0	0
--Circadian rhythm - plant	0	0	0	0	0	0	5.8689059e-05	0	0
--Plant-pathogen interaction	0	0	0	0	0	0	0.0047345492	0	0
Human Diseases	0	0	0	0	0	0	0	0	0
-Cancers	0	0	0	0	0	0	0	0	0
--Pathways in cancer	0	0	0	0	0	0	0	0	0
-Immune System Diseases	0	0	0	0	0	0	0	0	0
--Systemic lupus erythematosus	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	0	0	0	0	0	0	0	0	0
--Alzheimer's disease	0	0	0	0	0	0	0	0	0
--Parkinson's disease	0	0	0	0	0	0	0	0	0
--Amyotrophic lateral sclerosis (ALS)	0	0	0	0	0	0	0	0	0
--Huntington's disease	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	0	0	0	0	0	0	0	0	0
--Hypertrophic cardiomyopathy (HCM)	0	0	0	0	0	0	0	0	0
--Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0	0	0	0	0	0	0
-Infectious Diseases	0	0	0	0	0	0	0	0	0
--Vibrio cholerae infection	0	0	0	0	0	0	0	0	0
--Tuberculosis	0	0	0	0	0	0	0	0	0
--Bacterial invasion of epithelial cells	0	0	0	0	0	0	0	0	0
--Measles	0	0	0	0	0	0	0	0	0
--Influenza A	0	0	0	0	0	0	0	0	0
--Hepatitis C	0	0	0	0	0	0	0	0	0
--Amoebiasis	0	0	0	0	0	0	0	0	0
--Malaria	0	0	0	0	0	0	0	0	0
Not Mapped	0.018823206	0.1191991	0.041490131	0.038384848	0.20323115	0.33088026	0.47776386	0.35298646	0.33479409
-Not Mapped	0.018823206	0.1191991	0.041490131	0.038384848	0.20323115	0.33088026	0.47776386	0.35298646	0.33479409
--Not mapped	0.018823206	0.1191991	0.041490131	0.038384848	0.20323115	0.33088026	0.47776386	0.35298646	0.33479409
