Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
-Infectious Diseases	TOTAL	0	0	0	0	0	0	0	0	0
Not Mapped	TOTAL	0.01554	0.1041	0.04113	0.03917	0.2138	0.3419	0.4845	0.3586	0.2675
-Not Mapped	TOTAL	0.01554	0.1041	0.04113	0.03917	0.2138	0.3419	0.4845	0.3586	0.2675
TOTAL	MAPPED	1.016	1.116	1.043	1.041	1.272	1.519	1.94	1.559	1.365
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.557	0.4218	0.4797	0.4262	0.4631	0.3975	0.4459	0.5775	0.2883
-Transcription	MAPPED	0.03531	0.04352	0.003197	0.00107	0.01252	0.0206	0.02318	0.02275	0.004309
-Translation	MAPPED	0.4096	0.2628	0.4042	0.3598	0.3396	0.2328	0.2966	0.3774	0.2111
-Folding, Sorting and Degradation	MAPPED	0.1003	0.08664	0.06727	0.05803	0.09023	0.1097	0.1014	0.1473	0.06938
-DNA Maintenance	MAPPED	0.01177	0.02881	0.004989	0.007275	0.02077	0.03432	0.02474	0.0301	0.003525
Environmental Information Processing	MAPPED	0.001298	0.0142	0.004308	0.002438	0.01396	0.02402	0.02754	0.03956	0.03829
-Signal Transduction	MAPPED	0.001298	0.01411	0.001541	0.0008224	0.003176	0.007487	0.008652	0.02403	0.03829
-Signaling Molecules and Interaction	MAPPED	0	8.7e-05	0.002767	0.001615	0.01078	0.01653	0.01889	0.01553	0
Cellular Processes	MAPPED	0.008883	0.01811	0.02344	0.01811	0.02387	0.04437	0.02381	0.09593	0.005534
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0	0	0.0005927	0.0005381	0.003789	0.009749	0.011	0.026	0
-Cytoskeleton	MAPPED	0.002689	0.004281	0.01486	0.01387	0.0166	0.02655	0.01263	0.05791	0.001927
-Cell Motility	MAPPED	0.001628	0.01251	0	0	0	0	0	0	0.003607
-Cell Growth and Death	MAPPED	0.004566	0.001324	0.007983	0.003698	0.003484	0.008072	0.0001743	0.0118	0
-Cell Communication	MAPPED	0	0	0	0	0	0	0	0.0002146	0
Metabolism	MAPPED	0.4328	0.5459	0.4926	0.5533	0.499	0.5341	0.494	0.282	0.6679
-Membrane Transport	MAPPED	0.02799	0.1155	0.002679	0.001658	0.004223	0.005938	0.001891	0.0008074	0.01711
-Central Carbon Metabolism	MAPPED	0.1307	0.1956	0.394	0.3622	0.2006	0.2131	0.1696	0.09889	0.07881
-Energy Metabolism	MAPPED	0.007356	0.02171	0.00435	0.01211	0.02456	0.06414	0.1548	0.06741	0.4721
-Biosynthesis	MAPPED	0.2323	0.1558	0.06356	0.1462	0.229	0.2048	0.1452	0.09153	0.09258
-Other Enzymes	MAPPED	0.03441	0.05726	0.028	0.03109	0.04061	0.04618	0.02246	0.02339	0.007314
Organismal Systems	MAPPED	0	0	0	0	0	0	0.008775	0.004945	0
-Immune System	MAPPED	0	0	0	0	0	0	0.0003761	0.0005824	0
-Endocrine System	MAPPED	0	0	0	0	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	0.0007194	0
-Development	MAPPED	0	0	0	0	0	0	0	0.003643	0
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0.008399	0	0
Human Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Cancers	MAPPED	0	0	0	0	0	0	0	0	0
-Immune System Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Infectious Diseases	MAPPED	0	0	0	0	0	0	0	0	0
Not Mapped	MAPPED	0.01579	0.1161	0.0429	0.04077	0.2719	0.5194	0.94	0.559	0.3652
-Not Mapped	MAPPED	0.01579	0.1161	0.0429	0.04077	0.2719	0.5194	0.94	0.559	0.3652
TOTAL	Genetic Information Processing	1.824	2.646	2.174	2.442	2.746	3.822	4.351	2.699	4.735
MAPPED	Genetic Information Processing	1.795	2.371	2.085	2.347	2.159	2.516	2.243	1.731	3.469
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.06339	0.1032	0.006665	0.00251	0.02703	0.05182	0.05198	0.0394	0.01495
-Translation	Genetic Information Processing	0.7354	0.6231	0.8427	0.8443	0.7333	0.5858	0.6652	0.6534	0.7322
-Folding, Sorting and Degradation	Genetic Information Processing	0.1801	0.2054	0.1402	0.1362	0.1948	0.2761	0.2274	0.255	0.2407
-DNA Maintenance	Genetic Information Processing	0.02113	0.0683	0.0104	0.01707	0.04484	0.08634	0.05549	0.05213	0.01223
Environmental Information Processing	Genetic Information Processing	0.00233	0.03367	0.008981	0.005721	0.03014	0.06042	0.06177	0.0685	0.1328
-Signal Transduction	Genetic Information Processing	0.00233	0.03346	0.003213	0.00193	0.006858	0.01883	0.0194	0.04162	0.1328
-Signaling Molecules and Interaction	Genetic Information Processing	0	0.0002063	0.005769	0.003791	0.02328	0.04158	0.04236	0.02689	0
Cellular Processes	Genetic Information Processing	0.01595	0.04294	0.04886	0.0425	0.05154	0.1116	0.0534	0.1661	0.01919
-Hemoglobin	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0	0	0.001236	0.001263	0.008181	0.02452	0.02468	0.04503	0
-Cytoskeleton	Genetic Information Processing	0.004828	0.01015	0.03098	0.03256	0.03584	0.06679	0.02833	0.1003	0.006683
-Cell Motility	Genetic Information Processing	0.002923	0.02965	0	0	0	0	0	0	0.01251
-Cell Growth and Death	Genetic Information Processing	0.008198	0.00314	0.01664	0.008679	0.007523	0.02031	0.000391	0.02043	0
-Cell Communication	Genetic Information Processing	0	0	0	0	0	0	0	0.0003715	0
Metabolism	Genetic Information Processing	0.7771	1.294	1.027	1.298	1.078	1.344	1.108	0.4883	2.317
-Membrane Transport	Genetic Information Processing	0.05025	0.2739	0.005584	0.003891	0.009118	0.01494	0.004241	0.001398	0.05933
-Central Carbon Metabolism	Genetic Information Processing	0.2347	0.4637	0.8214	0.85	0.4332	0.536	0.3804	0.1712	0.2733
-Energy Metabolism	Genetic Information Processing	0.01321	0.05147	0.009069	0.02843	0.05304	0.1613	0.3473	0.1167	1.637
-Biosynthesis	Genetic Information Processing	0.4172	0.3692	0.1325	0.3431	0.4945	0.5151	0.3256	0.1585	0.3211
-Other Enzymes	Genetic Information Processing	0.06178	0.1357	0.05837	0.07296	0.08769	0.1162	0.05037	0.04049	0.02537
Organismal Systems	Genetic Information Processing	0	0	0	0	0	0	0.01968	0.008562	0
-Immune System	Genetic Information Processing	0	0	0	0	0	0	0.0008434	0.001008	0
-Endocrine System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Excretory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0.001246	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0	0.006308	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0	0	0.01884	0	0
Human Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Cancers	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Immune System Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
Not Mapped	Genetic Information Processing	0.02835	0.2753	0.08943	0.09567	0.5872	1.307	2.108	0.9679	1.267
-Not Mapped	Genetic Information Processing	0.02835	0.2753	0.08943	0.09567	0.5872	1.307	2.108	0.9679	1.267
TOTAL	-Transcription	28.77	25.65	326.2	972.9	101.6	73.75	83.7	68.52	316.8
MAPPED	-Transcription	28.32	22.98	312.8	934.8	79.89	48.54	43.14	43.95	232.1
Genetic Information Processing	-Transcription	15.77	9.693	150	398.4	37	19.3	19.24	25.38	66.91
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	11.6	6.04	126.4	336.3	27.13	11.3	12.8	16.59	48.99
-Folding, Sorting and Degradation	-Transcription	2.841	1.991	21.04	54.24	7.209	5.327	4.374	6.473	16.1
-DNA Maintenance	-Transcription	0.3333	0.662	1.56	6.8	1.659	1.666	1.067	1.323	0.818
Environmental Information Processing	-Transcription	0.03676	0.3263	1.347	2.279	1.115	1.166	1.188	1.739	8.886
-Signal Transduction	-Transcription	0.03676	0.3243	0.482	0.7687	0.2538	0.3634	0.3733	1.056	8.886
-Signaling Molecules and Interaction	-Transcription	0	0.001999	0.8655	1.51	0.8613	0.8024	0.815	0.6825	0
Cellular Processes	-Transcription	0.2516	0.4162	7.331	16.93	1.907	2.154	1.027	4.216	1.284
-Hemoglobin	-Transcription	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Transcription	0	0	0.1854	0.503	0.3027	0.4732	0.4747	1.143	0
-Cytoskeleton	-Transcription	0.07615	0.09838	4.648	12.97	1.326	1.289	0.5451	2.545	0.4472
-Cell Motility	-Transcription	0.04611	0.2874	0	0	0	0	0	0	0.8372
-Cell Growth and Death	-Transcription	0.1293	0.03043	2.497	3.457	0.2784	0.3918	0.007521	0.5186	0
-Cell Communication	-Transcription	0	0	0	0	0	0	0	0.00943	0
Metabolism	-Transcription	12.26	12.54	154.1	517.2	39.87	25.92	21.31	12.39	155
-Membrane Transport	-Transcription	0.7926	2.655	0.8378	1.55	0.3374	0.2882	0.08159	0.03548	3.97
-Central Carbon Metabolism	-Transcription	3.703	4.495	123.2	338.6	16.03	10.34	7.317	4.346	18.29
-Energy Metabolism	-Transcription	0.2083	0.4988	1.361	11.32	1.962	3.113	6.68	2.963	109.6
-Biosynthesis	-Transcription	6.58	3.579	19.88	136.7	18.3	9.939	6.263	4.023	21.49
-Other Enzymes	-Transcription	0.9746	1.316	8.758	29.06	3.245	2.242	0.969	1.028	1.697
Organismal Systems	-Transcription	0	0	0	0	0	0	0.3786	0.2173	0
-Immune System	-Transcription	0	0	0	0	0	0	0.01622	0.0256	0
-Endocrine System	-Transcription	0	0	0	0	0	0	0	0	0
-Circulatory System	-Transcription	0	0	0	0	0	0	0	0	0
-Digestive System	-Transcription	0	0	0	0	0	0	0	0	0
-Excretory System	-Transcription	0	0	0	0	0	0	0	0	0
-Nervous System	-Transcription	0	0	0	0	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0	0	0	0.03162	0
-Development	-Transcription	0	0	0	0	0	0	0	0.1601	0
-Environmental Adaptation	-Transcription	0	0	0	0	0	0	0.3624	0	0
Human Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Cancers	-Transcription	0	0	0	0	0	0	0	0	0
-Immune System Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Transcription	0	0	0	0	0	0	0	0	0
Not Mapped	-Transcription	0.4471	2.669	13.42	38.11	21.73	25.21	40.55	24.57	84.75
-Not Mapped	-Transcription	0.4471	2.669	13.42	38.11	21.73	25.21	40.55	24.57	84.75
TOTAL	-Translation	2.48	4.246	2.58	2.893	3.745	6.525	6.541	4.131	6.467
MAPPED	-Translation	2.441	3.804	2.474	2.779	2.945	4.295	3.372	2.65	4.737
Genetic Information Processing	-Translation	1.36	1.605	1.187	1.184	1.364	1.707	1.503	1.53	1.366
-Transcription	-Translation	0.08621	0.1656	0.007909	0.002973	0.03686	0.08847	0.07815	0.06029	0.02041
-Translation	-Translation	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.2449	0.3296	0.1664	0.1613	0.2657	0.4713	0.3418	0.3903	0.3287
-DNA Maintenance	-Translation	0.02873	0.1096	0.01234	0.02022	0.06115	0.1474	0.08342	0.07977	0.0167
Environmental Information Processing	-Translation	0.003169	0.05403	0.01066	0.006776	0.0411	0.1031	0.09286	0.1048	0.1814
-Signal Transduction	-Translation	0.003169	0.05369	0.003812	0.002286	0.009353	0.03215	0.02917	0.06369	0.1814
-Signaling Molecules and Interaction	-Translation	0	0.000331	0.006845	0.00449	0.03175	0.07099	0.06369	0.04115	0
Cellular Processes	-Translation	0.02169	0.06891	0.05798	0.05034	0.07029	0.1906	0.08028	0.2542	0.02622
-Hemoglobin	-Translation	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Translation	0	0	0.001466	0.001496	0.01116	0.04187	0.0371	0.06891	0
-Cytoskeleton	-Translation	0.006565	0.01629	0.03677	0.03856	0.04887	0.114	0.0426	0.1535	0.009127
-Cell Motility	-Translation	0.003975	0.04758	0	0	0	0	0	0	0.01709
-Cell Growth and Death	-Translation	0.01115	0.005039	0.01975	0.01028	0.01026	0.03467	0.0005878	0.03127	0
-Cell Communication	-Translation	0	0	0	0	0	0	0	0.0005685	0
Metabolism	-Translation	1.057	2.077	1.219	1.538	1.469	2.294	1.665	0.7473	3.164
-Membrane Transport	-Translation	0.06833	0.4396	0.006626	0.004609	0.01243	0.0255	0.006377	0.002139	0.08104
-Central Carbon Metabolism	-Translation	0.3192	0.7442	0.9747	1.007	0.5907	0.9151	0.5718	0.262	0.3733
-Energy Metabolism	-Translation	0.01796	0.08259	0.01076	0.03367	0.07233	0.2754	0.5221	0.1786	2.236
-Biosynthesis	-Translation	0.5673	0.5926	0.1572	0.4064	0.6744	0.8793	0.4894	0.2425	0.4386
-Other Enzymes	-Translation	0.08401	0.2178	0.06927	0.08642	0.1196	0.1983	0.07573	0.06197	0.03465
Organismal Systems	-Translation	0	0	0	0	0	0	0.02959	0.0131	0
-Immune System	-Translation	0	0	0	0	0	0	0.001268	0.001543	0
-Endocrine System	-Translation	0	0	0	0	0	0	0	0	0
-Circulatory System	-Translation	0	0	0	0	0	0	0	0	0
-Digestive System	-Translation	0	0	0	0	0	0	0	0	0
-Excretory System	-Translation	0	0	0	0	0	0	0	0	0
-Nervous System	-Translation	0	0	0	0	0	0	0	0	0
-Sensory System	-Translation	0	0	0	0	0	0	0	0.001906	0
-Development	-Translation	0	0	0	0	0	0	0	0.009654	0
-Environmental Adaptation	-Translation	0	0	0	0	0	0	0.02832	0	0
Human Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Cancers	-Translation	0	0	0	0	0	0	0	0	0
-Immune System Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Translation	0	0	0	0	0	0	0	0	0
Not Mapped	-Translation	0.03854	0.4419	0.1061	0.1133	0.8008	2.231	3.169	1.481	1.73
-Not Mapped	-Translation	0.03854	0.4419	0.1061	0.1133	0.8008	2.231	3.169	1.481	1.73
TOTAL	-Folding, Sorting and Degradation	10.13	12.88	15.5	17.94	14.1	13.84	19.14	10.58	19.68
MAPPED	-Folding, Sorting and Degradation	9.97	11.54	14.87	17.23	11.08	9.112	9.864	6.789	14.41
Genetic Information Processing	-Folding, Sorting and Degradation	5.553	4.869	7.131	7.344	5.133	3.622	4.398	3.921	4.155
-Transcription	-Folding, Sorting and Degradation	0.352	0.5023	0.04753	0.01844	0.1387	0.1877	0.2286	0.1545	0.0621
-Translation	-Folding, Sorting and Degradation	4.083	3.034	6.009	6.201	3.764	2.122	2.926	2.562	3.042
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.1173	0.3325	0.07417	0.1254	0.2301	0.3127	0.244	0.2044	0.0508
Environmental Information Processing	-Folding, Sorting and Degradation	0.01294	0.1639	0.06404	0.04201	0.1547	0.2188	0.2717	0.2686	0.5518
-Signal Transduction	-Folding, Sorting and Degradation	0.01294	0.1629	0.02291	0.01417	0.0352	0.06822	0.08534	0.1632	0.5518
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0	0.001004	0.04114	0.02784	0.1195	0.1506	0.1863	0.1054	0
Cellular Processes	-Folding, Sorting and Degradation	0.08856	0.2091	0.3484	0.3121	0.2645	0.4043	0.2349	0.6513	0.07976
-Hemoglobin	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0	0	0.008812	0.009274	0.04199	0.08883	0.1085	0.1766	0
-Cytoskeleton	-Folding, Sorting and Degradation	0.02681	0.04942	0.2209	0.2391	0.1839	0.2419	0.1246	0.3932	0.02777
-Cell Motility	-Folding, Sorting and Degradation	0.01623	0.1444	0	0	0	0	0	0	0.05199
-Cell Growth and Death	-Folding, Sorting and Degradation	0.04552	0.01529	0.1187	0.06374	0.03861	0.07355	0.00172	0.08011	0
-Cell Communication	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.001457	0
Metabolism	-Folding, Sorting and Degradation	4.315	6.301	7.323	9.535	5.531	4.866	4.872	1.915	9.626
-Membrane Transport	-Folding, Sorting and Degradation	0.279	1.334	0.03982	0.02858	0.0468	0.05411	0.01866	0.005481	0.2465
-Central Carbon Metabolism	-Folding, Sorting and Degradation	1.303	2.258	5.857	6.242	2.223	1.942	1.673	0.6714	1.136
-Energy Metabolism	-Folding, Sorting and Degradation	0.07333	0.2506	0.06467	0.2088	0.2722	0.5844	1.527	0.4576	6.804
-Biosynthesis	-Folding, Sorting and Degradation	2.316	1.798	0.9448	2.52	2.538	1.866	1.432	0.6214	1.334
-Other Enzymes	-Folding, Sorting and Degradation	0.3431	0.6609	0.4163	0.5358	0.4501	0.4208	0.2215	0.1588	0.1054
Organismal Systems	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.08656	0.03357	0
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.003709	0.003954	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.004884	0
-Development	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.02473	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.08285	0	0
Human Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Cancers	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Immune System Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
Not Mapped	-Folding, Sorting and Degradation	0.1574	1.341	0.6377	0.7026	3.014	4.733	9.272	3.795	5.263
-Not Mapped	-Folding, Sorting and Degradation	0.1574	1.341	0.6377	0.7026	3.014	4.733	9.272	3.795	5.263
TOTAL	-DNA Maintenance	86.31	38.74	209	143.1	61.25	44.27	78.41	51.79	387.3
MAPPED	-DNA Maintenance	84.96	34.71	200.4	137.5	48.15	29.14	40.42	33.22	283.7
Genetic Information Processing	-DNA Maintenance	47.32	14.64	96.15	58.58	22.3	11.58	18.02	19.18	81.8
-Transcription	-DNA Maintenance	3	1.511	0.6408	0.1471	0.6027	0.6002	0.9368	0.7558	1.222
-Translation	-DNA Maintenance	34.8	9.124	81.02	49.46	16.35	6.784	11.99	12.54	59.89
-Folding, Sorting and Degradation	-DNA Maintenance	8.522	3.007	13.48	7.976	4.345	3.198	4.098	4.893	19.68
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1	1	1	1	1
Environmental Information Processing	-DNA Maintenance	0.1103	0.4929	0.8635	0.3351	0.6721	0.6997	1.113	1.314	10.86
-Signal Transduction	-DNA Maintenance	0.1103	0.4899	0.3089	0.113	0.153	0.2181	0.3497	0.7984	10.86
-Signaling Molecules and Interaction	-DNA Maintenance	0	0.00302	0.5546	0.2221	0.5192	0.4816	0.7635	0.5158	0
Cellular Processes	-DNA Maintenance	0.7547	0.6288	4.698	2.49	1.149	1.293	0.9624	3.187	1.57
-Hemoglobin	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0	0	0.1188	0.07397	0.1825	0.284	0.4448	0.8638	0
-Cytoskeleton	-DNA Maintenance	0.2285	0.1486	2.979	1.907	0.7992	0.7736	0.5106	1.924	0.5466
-Cell Motility	-DNA Maintenance	0.1383	0.4342	0	0	0	0	0	0	1.023
-Cell Growth and Death	-DNA Maintenance	0.388	0.04597	1.6	0.5084	0.1678	0.2352	0.007046	0.392	0
-Cell Communication	-DNA Maintenance	0	0	0	0	0	0	0	0.007127	0
Metabolism	-DNA Maintenance	36.78	18.95	98.73	76.06	24.03	15.56	19.97	9.368	189.5
-Membrane Transport	-DNA Maintenance	2.378	4.011	0.5369	0.228	0.2033	0.173	0.07644	0.02682	4.853
-Central Carbon Metabolism	-DNA Maintenance	11.11	6.79	78.97	49.79	9.66	6.208	6.855	3.285	22.36
-Energy Metabolism	-DNA Maintenance	0.625	0.7536	0.8719	1.665	1.183	1.869	6.258	2.239	133.9
-Biosynthesis	-DNA Maintenance	19.74	5.406	12.74	20.1	11.03	5.966	5.867	3.04	26.27
-Other Enzymes	-DNA Maintenance	2.924	1.988	5.612	4.274	1.956	1.346	0.9078	0.7769	2.075
Organismal Systems	-DNA Maintenance	0	0	0	0	0	0	0.3547	0.1643	0
-Immune System	-DNA Maintenance	0	0	0	0	0	0	0.0152	0.01935	0
-Endocrine System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Circulatory System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Digestive System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Excretory System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Nervous System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Sensory System	-DNA Maintenance	0	0	0	0	0	0	0	0.0239	0
-Development	-DNA Maintenance	0	0	0	0	0	0	0	0.121	0
-Environmental Adaptation	-DNA Maintenance	0	0	0	0	0	0	0.3395	0	0
Human Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Cancers	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Immune System Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
Not Mapped	-DNA Maintenance	1.341	4.032	8.599	5.604	13.1	15.13	37.99	18.57	103.6
-Not Mapped	-DNA Maintenance	1.341	4.032	8.599	5.604	13.1	15.13	37.99	18.57	103.6
TOTAL	Environmental Information Processing	782.6	78.6	242.1	426.9	91.13	63.27	70.44	39.41	35.66
MAPPED	Environmental Information Processing	770.4	70.42	232.1	410.2	71.65	41.64	36.31	25.28	26.12
