SACOL2702	hisD	K00013	histidinol dehydrogenase 
SACOL0581	secE	K03073	preprotein translocase subunit SecE
SACOL0586	rplL	K02935	50S ribosomal protein L7/L12
SACOL0428	metE	K00549	5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase 
SACOL0584	rplA	K02863	50S ribosomal protein L1
SACOL0585	rplJ	K02864	50S ribosomal protein L10
SACOL1241	recG	K03655	ATP-dependent DNA helicase RecG 
SACOL2128	pdp	K00756	pyrimidine-nucleoside phosphorylase 
SACOL2350	tcaB	K07552	tcaB protein
SACOL2129	deoC2	K01619	deoxyribose-phosphate aldolase 
SACOL2459	pnbA	K03929	para-nitrobenzyl esterase 
SACOL1005	pepF	K08602	oligoendopeptidase F 
SACOL0927	lipA	K03644	lipoyl synthase
SACOL0634	eutD	K00625	phosphotransacetylase 
SACOL0636	mvk	K00869	mevalonate kinase 
SACOL0637	mvaD	K01597	mevalonate diphosphate decarboxylase 
SACOL1733	nrdR	K07738	transcriptional regulator NrdR
SACOL1731	dnaI	K11144	primosomal protein DnaI
SACOL1329	femC	K01915	glutamine synthetase 
SACOL1737	polA	K02335	DNA polymerase I 
SACOL1734	gapA2	K00134	glyceraldehyde 3-phosphate dehydrogenase 2 
SACOL1735	coaE	K00859	dephospho-CoA kinase 
SACOL1325	gpxA1	K00432	glutathione peroxidase 
SACOL2126	luxS	K07173	S-ribosylhomocysteinase
SACOL1321	glpD	K00111	aerobic glycerol-3-phosphate dehydrogenase 
SACOL1049	menA	K02548	1,4-dihydroxy-2-naphthoate octaprenyltransferase 
SACOL1323	miaA	K00791	tRNA delta(2)-isopentenylpyrophosphate transferase 
SACOL0620	proP	K03762	osmoprotectant proline transporter
SACOL2675	secY	K03076	preprotein translocase subunit SecY
SACOL0818	prfB	K02836	peptide chain release factor 2
SACOL0547	mfd	K03723	transcription-repair coupling factor
SACOL1725	rplT	K02887	50S ribosomal protein L20
SACOL0816	secA	K03070	preprotein translocase subunit SecA
SACOL0951	mnhE	K05569	monovalent cation/H+ antiporter subunit E
SACOL0950	mnhF	K05570	monovalent cation/H+ antiporter subunit F
SACOL0953	mnhC	K05567	monovalent cation/H+ antiporter subunit C
SACOL0952	mnhD	K05568	monovalent cation/H+ antiporter subunit D 
SACOL0955	mnhA	K05565	monovalent cation/H+ antiporter subunit A
SACOL0954	mnhB	K05566	monovalent cation/H+ antiporter subunit B
SACOL1492	nth	K10773	endonuclease III 
SACOL1726	rpmI	K02916	50S ribosomal protein L35
SACOL1134	coaD	K00954	phosphopantetheine adenylyltransferase 
SACOL1137	rpmF	K02911	50S ribosomal protein L32
SACOL2292	nhaC	K03315	Na+/H+ antiporter NhaC
SACOL1786	ccpA	K02529	catabolite control protein A
SACOL1784	acuA	K04766	acetoin utilization protein AcuA 
SACOL1783	acs	K01895	acetyl-CoA synthetase 
SACOL1782	fhs	K01938	formate--tetrahydrofolate ligase 
SACOL1428	lysC	K00928	aspartate kinase 
SACOL1429	asd	K00133	aspartate semialdehyde dehydrogenase 
SACOL0253	rbsK	K00852	ribokinase 
SACOL0251	bglA	K01223	6-phospho-beta-glucosidase 
SACOL2079	cls2	K06131	cardiolipin synthetase 
SACOL2074	ddl	K01921	D-alanyl-alanine synthetase A 
SACOL2075	ftsW	K05837	cell cycle protein FtsW
SACOL2070	kdpD	K07646	sensor histidine kinase KdpD
SACOL2071	kdpE	K07667	DNA-binding response regulator KdpE 
SACOL2073	murF	K01929	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase 
SACOL_Sa5SD	rrfD	K01985	5S ribosomal RNA
SACOL_Sa5SE	rrfE	K01985	5S ribosomal RNA
SACOL_Sa5SF	rrfF	K01985	5S ribosomal RNA
SACOL_Sa5SG	rrfG	K01985	5S ribosomal RNA
SACOL_Sa5SA	rrfA	K01985	5S ribosomal RNA
SACOL_Sa5SB	rrfB	K01985	5S ribosomal RNA
SACOL_Sa5SC	rrfC	K01985	5S ribosomal RNA
SACOL_Sa23SA	rrlA	K01980	23S ribosomal RNA
SACOL2270	modC	K02017	molybdenum ABC transporter ATP-binding protein ModC
SACOL_Sa23SB	rrlB	K01980	23S ribosomal RNA
SACOL_Sa23SE	rrlE	K01980	23S ribosomal RNA
SACOL_Sa23SD	rrlD	K01980	23S ribosomal RNA
SACOL_Sa23SF	rrlF	K01980	23S ribosomal RNA
SACOL2271	modB	K02018	molybdenum ABC transporter permease ModB
SACOL2188	lacR	K02530	lactose phosphotransferase system repressor
SACOL1254	rpsP	K02959	30S ribosomal protein S16
SACOL1257	rplS	K02884	50S ribosomal protein L19
SACOL1256	trmD	K00554	tRNA (guanine-N(1)-)-methyltransferase 
SACOL1253	ffh	K03106	signal recognition particle protein
SACOL2180	lacG	K01220	6-phospho-beta-galactosidase 
SACOL2181	lacE	K02787	PTS system, lactose-specific IIBC components
SACOL2182	lacF	K02786	PTS system, lactose-specific IIA component
SACOL1551	malA	K01187	alpha-D-1,4-glucosidase 
SACOL2184	lacC	K00917	tagatose-6-phosphate kinase 
SACOL2185	lacB	K01819	galactose-6-phosphate isomerase subunit LacB 
SACOL1554	gnd	K00033	6-phosphogluconate dehydrogenase 
SACOL1302	pgsA	K00995	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 
SACOL0177	murQ	K07106	N-acetylmuramic acid-6-phosphate etherase
SACOL0173	ipdC	K04103	indole-3-pyruvate decarboxylase 
SACOL0078	plc	K01771	1-phosphatidylinositol phosphodiesterase 
SACOL0170	rocD1	K00819	ornithine aminotransferase 
SACOL_Sa16SA	rrsA	K01977	16S ribosomal RNA
SACOL_Sa16SC	rrsC	K01977	16S ribosomal RNA
SACOL1955	dinP	K02346	DNA polymerase IV
SACOL_Sa16SE	rrsE	K01977	16S ribosomal RNA
SACOL_Sa16SD	rrsD	K01977	16S ribosomal RNA
SACOL1819	ribE	K00793	riboflavin synthase subunit alpha 
SACOL1818	ribBA	K14652	riboflavin biosynthesis protein
SACOL1817	ribH	K00794	6,7-dimethyl-8-ribityllumazine synthase 
SACOL1816	putA	K00318	proline dehydrogenase 
SACOL2003	hlb	K01114	phospholipase C 
SACOL2002	map	K14204	map protein, programmed frameshift
SACOL0494	nuoF	K05577	NADH dehydrogenase subunit 5 
SACOL0765	saeS	K10681	sensor histidine kinase SaeS
SACOL0559	folB	K01633	dihydroneopterin aldolase 
SACOL0558	folP	K00796	dihydropteroate synthase 
SACOL0554	hpt	K00760	hypoxanthine phosphoribosyltransferase 
SACOL0557	cysK	K01738	cysteine synthase 
SACOL0556	hslO	K04083	Hsp33-like chaperonin
SACOL0761	nagA	K01443	N-acetylglucosamine-6-phosphate deacetylase 
SACOL1778	tyrS	K01866	tyrosyl-tRNA synthetase 
SACOL0476	hsdM1	K03427	type I restriction-modification system, M subunit 
SACOL1773	serA	K00058	D-3-phosphoglycerate dehydrogenase 
SACOL1676	mnmA	K00566	tRNA-specific 2-thiouridylase MnmA 
SACOL1315	hexA	K03555	DNA mismatch repair protein MutS
SACOL1673	alaS	K01872	alanyl-tRNA synthetase 
SACOL0949	mnhG	K05571	monovalent cation/H+ antiporter subunit G
SACOL0780	recQ1	K03654	ATP-dependent DNA helicase RecQ 
SACOL0783	opuBB	K05845	osmoprotectant ABC transporter permease
SACOL0784	hisC	K00817	histidinol-phosphate aminotransferase 
SACOL2216	rpmJ	K02919	50S ribosomal protein L36
SACOL0004	recF	K03629	recombination protein F
SACOL0609	sdrD	K14194	sdrD protein
SACOL0608	sdrC	K14194	sdrC protein
SACOL0856	clfA	K14201	clumping factor A
SACOL2514	gntP	K03299	gluconate transporter, permease
SACOL2212	rplQ	K02879	50S ribosomal protein L17
SACOL0600	ilvE	K00826	branched-chain amino acid aminotransferase 
SACOL1587	efp	K02356	elongation factor P
SACOL2198	budA1	K01575	alpha-acetolactate decarboxylase 
SACOL2183	lacD	K01635	tagatose 1,6-diphosphate aldolase 
SACOL1079	purF	K00764	amidophosphoribosyltransferase 
SACOL1078	purL	K01952	phosphoribosylformylglycinamidine synthase II 
SACOL1632	rpsU	K02970	30S ribosomal protein S21
SACOL1075	purC	K01923	phosphoribosylaminoimidazole-succinocarboxamide synthase 
SACOL1074	purK	K01589	phosphoribosylaminoimidazole carboxylase ATPase subunit 
SACOL1077	purQ	K01952	phosphoribosylformylglycinamidine synthase I 
SACOL1076	purS	K01952	phosphoribosylformylglycinamidine synthase, PurS protein 
SACOL1070	qoxB	K02826	quinol oxidase subunit II 
SACOL1073	purE	K01588	phosphoribosylaminoimidazole carboxylase, catalytic subunit 
SACOL1072	folD	K01491	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase
SACOL1370	rpsN	K02954	30S ribosomal protein S14
SACOL1371	guaC	K00364	guanosine 5'-monophosphate oxidoreductase 
SACOL1377	tkt	K00615	transketolase 
SACOL1374	lexA	K01356	LexA repressor 
SACOL2419	hlgA	K11038	gamma-hemolysin, component A
SACOL2415	gpmA	K01834	phosphoglyceromutase 
SACOL0357	dut	K01520	prophage L54a, deoxyuridine 5'-triphosphate nucleotidohydrolase 
SACOL1198	ftsA	K03590	cell division protein FtsA
SACOL1199	ftsZ	K03531	cell division protein FtsZ
SACOL2714	pcp	K01304	pyrrolidone-carboxylate peptidase 
SACOL1192	mraW	K03438	S-adenosyl-methyltransferase MraW
SACOL2606	pyrD	K00226	dihydroorotate dehydrogenase 2 
SACOL1196	murD	K01925	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase 
SACOL1197	divIB	K03589	cell division protein
SACOL1194	pbp1	K12552	penicillin-binding protein 1
SACOL1195	mraY	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase 
SACOL2236	rplB	K02886	50S ribosomal protein L2
SACOL2237	rplW	K02892	50S ribosomal protein L23
SACOL2234	rplV	K02890	50S ribosomal protein L22
SACOL2235	rpsS	K02965	30S ribosomal protein S19
SACOL2232	rplP	K02878	50S ribosomal protein L16
SACOL2233	rpsC	K02982	30S ribosomal protein S3
SACOL2230	rpsQ	K02961	30S ribosomal protein S17
SACOL2231	rpmC	K02904	50S ribosomal protein L29
SACOL2238	rplD	K02926	50S ribosomal protein L4
SACOL2239	rplC	K02906	50S ribosomal protein L3
SACOL1291	ribF	K11753	riboflavin biosynthesis protein RibF
SACOL1290	truB	K03177	tRNA pseudouridine synthase B 
SACOL1293	pnp	K00962	polynucleotide phosphorylase/polyadenylase 
SACOL1292	rpsO	K02956	30S ribosomal protein S15
SACOL0825	hprK	K06023	HPr kinase/phosphorylase 
SACOL0824	uvrA	K03701	excinuclease ABC subunit A
SACOL0826	lgt	K13292	prolipoprotein diacylglyceryl transferase 
SACOL0829	trxB	K00384	thioredoxin-disulfide reductase 
SACOL1516	rpsA	K02945	30S ribosomal protein S1
SACOL0987	fabH	K00648	3-oxoacyl-ACP synthase 
SACOL1514	gpsA	K00057	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase 
SACOL2738	trmE	K03650	tRNA modification GTPase TrmE
SACOL1105	pdhD	K00382	dihydrolipoamide dehydrogenase 
SACOL1104	pdhC	K00627	branched-chain alpha-keto acid dehydrogenase E2 
SACOL1511	ubiE	K03183	ubiquinone/menaquinone biosynthesis methyltransferase
SACOL0439	rpsR	K02963	30S ribosomal protein S18
SACOL1453	murG	K02563	UDPdiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase 
SACOL2736	gidB	K03501	16S rRNA methyltransferase GidB
SACOL0988	fabF	K09458	3-oxoacyl-ACP synthase 
SACOL1519	ansA	K01424	L-asparaginase 
SACOL0806	pepT	K01258	peptidase T 
SACOL2045	ilvC	K00053	ketol-acid reductoisomerase 
SACOL2047	leuB	K00052	3-isopropylmalate dehydrogenase 
SACOL2046	leuA	K01649	2-isopropylmalate synthase 
SACOL1102	pdhA	K00161	pyruvate dehydrogenase complex E1 component subunit alpha 
SACOL2043	ilvB	K01652	acetolactate synthase large subunit 
SACOL2042	ilvD	K01687	dihydroxy-acid dehydratase 
SACOL2120	rpoE	K03048	DNA-directed RNA polymerase subunit delta
SACOL2049	leuD	K01704	isopropylmalate isomerase small subunit 
SACOL2048	leuC	K01703	isopropylmalate isomerase large subunit 
SACOL_Sa23SC	rrlC	K01980	23S ribosomal RNA
SACOL0188	ggt	K00681	gamma-glutamyltranspeptidase 
SACOL1208	lspA	K03101	lipoprotein signal peptidase 
SACOL_Sa16SB	rrsB	K01977	16S ribosomal RNA
SACOL1202	ylmF	K09772	hypothetical protein
SACOL1203	ylmG	K02221	hypothetical protein
SACOL1206	ileS	K01870	isoleucyl-tRNA synthetase 
SACOL0009	serS	K01875	seryl-tRNA synthetase 
SACOL0008	hutH	K01745	histidine ammonia-lyase 
SACOL0006	gyrA	K02469	DNA gyrase, A subunit 
SACOL0005	gyrB	K02470	DNA gyrase, B subunit 
SACOL_Sa16SF	rrsF	K01977	16S ribosomal RNA
SACOL0002	dnaN	K02338	DNA polymerase III subunit beta 
SACOL0001	dnaA	K02313	chromosomal replication initiation protein
SACOL0437	rpsF	K02990	30S ribosomal protein S6
SACOL1637	dnaK	K04043	molecular chaperone DnaK
SACOL1636	dnaJ	K03686	chaperone protein DnaJ
SACOL1635	prmA	K02687	50S ribosomal protein L11 methyltransferase 
SACOL1926	mutY	K03575	A/G-specific adenine glycosylase 
SACOL1639	hrcA	K03705	heat-inducible transcription repressor HrcA
SACOL1638	grpE	K03687	heat shock protein GrpE
SACOL1922	hemL2	K01845	glutamate-1-semialdehyde aminotransferase 
SACOL1921	bcp	K03564	bacterioferritin comigratory protein
SACOL0514	gltB	K00265	glutamate synthase 
SACOL2272	modA	K02020	molybdenum ABC transporter molybdenum-binding protein ModA
SACOL2329	rpiA	K01807	ribose-5-phosphate isomerase A 
SACOL1211	uraA	K02824	uracil permease
SACOL2281	ureB	K01429	urease subunit beta 
SACOL1124	ctaA	K02259	cytochrome oxidase assembly protein
SACOL1123	pyc	K01958	pyruvate carboxylase 
SACOL1704	mreC	K03570	rod shape-determining protein MreC
SACOL1158	sdhC	K00241	succinate dehydrogenase, cytochrome b558 subunit
SACOL1700	rpmA	K02899	50S ribosomal protein L27
SACOL0970	rexB	K16899	exonuclease RexB
SACOL1709	folC	K11754	folylpolyglutamate synthase/dihydrofolate synthase 
SACOL2511	fnbA	K13732	fibronectin-binding protein A
SACOL2516	gntR	K11476	gluconate operon transcriptional repressor
SACOL2515	gntK	K00851	gluconokinase 
SACOL1157	uvrC	K03703	excinuclease ABC subunit C
SACOL1155	trxA	K03671	thioredoxin
SACOL0097	sirC	K02015	iron compound ABC transporter permease SirC
SACOL1095	cydB	K00426	cytochrome d ubiquinol oxidase subunit II 
SACOL1094	cydA	K00425	cytochrome d ubiquinol oxidase subunit I 
SACOL1092	ptsI	K08483	phosphoenolpyruvate-protein phosphotransferase 
SACOL1091	ptsH	K11189	phosphocarrier protein HPr
SACOL0979	clpB	K03695	ATP-dependent Clp protease, ATP-binding subunit ClpB
SACOL0860	nuc	K01174	thermonuclease precursor 
SACOL2098	atpH	K02113	F0F1 ATP synthase subunit delta 
SACOL1149	pheT	K01890	phenylalanyl-tRNA synthetase subunit beta 
SACOL1148	pheS	K01889	phenylalanyl-tRNA synthetase subunit alpha 
SACOL1145	srtB	K08600	sortase
SACOL1410	femA	K11694	femA protein
SACOL1140	isdA	K14193	LPXTG cell wall surface anchor protein
SACOL1022	ypfP	K03429	diacylglycerol glucosyltransferase
SACOL1023	murE	K05362	UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase 
SACOL1389	parE	K02622	DNA topoisomerase IV subunit B 
SACOL1795	pepA1	K01261	glutamyl aminopeptidase 
SACOL1025	prfC	K02837	peptide chain release factor 3
SACOL1798	trmB	K03439	tRNA (guanine-N(7)-)-methyltransferase 
SACOL1382	sbcC	K03546	exonuclease SbcC
SACOL1381	sbcD	K03547	exonuclease SbcD
SACOL1385	acnA	K01681	aconitate hydratase 
SACOL2341	fni	K01823	isopentenyl pyrophosphate isomerase 
SACOL2083	thiE	K00788	thiamine-phosphate pyrophosphorylase 
SACOL2085	thiD2	K00941	phosphomethylpyrimidine kinase 
SACOL2084	thiM	K00878	hydroxyethylthiazole kinase 
SACOL1898	cbf1	K03698	3'-5' exoribonuclease YhaM
SACOL2243	topB	K03169	DNA topoisomerase III 
SACOL2240	rpsJ	K02946	30S ribosomal protein S10
SACOL0312	nanA	K01639	N-acetylneuraminate lyase 
SACOL1245	fabG1	K00059	3-oxoacyl-ACP reductase 
SACOL1243	plsX	K03621	glycerol-3-phosphate acyltransferase PlsX
SACOL1569	nusB	K03625	transcription antitermination protein NusB
SACOL1568	xseA	K03601	exodeoxyribonuclease VII large subunit 
SACOL1567	xseB	K03602	exodeoxyribonuclease VII small subunit 
SACOL1566	ispA	K13789	geranyltranstransferase 
SACOL2641	gpxA2	K00432	glutathione peroxidase 
SACOL1564	recN	K03631	DNA repair protein RecN
SACOL1563	lpdA	K00382	dihydrolipoamide dehydrogenase 
SACOL1248	rnc	K03685	ribonuclease III 
SACOL1969	purB	K01756	adenylosuccinate lyase 
SACOL0167	argB	K00930	acetylglutamate kinase 
SACOL0168	argJ	K00620	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase 
SACOL0169	argC	K00145	N-acetyl-gamma-glutamyl-phosphate reductase 
SACOL1961	gatA	K02433	aspartyl/glutamyl-tRNA amidotransferase subunit A 
SACOL1960	gatB	K02434	aspartyl/glutamyl-tRNA amidotransferase subunit B 
SACOL1966	pcrA	K03657	ATP-dependent DNA helicase PcrA 
SACOL1965	ligA	K01972	DNA ligase, NAD-dependent 
SACOL1800	dat	K00824	D-alanine aminotransferase 
SACOL1808	leuS	K01869	leucyl-tRNA synthetase 
SACOL2016	groEL	K04077	chaperonin GroEL
SACOL2017	groES	K04078	co-chaperonin GroES
SACOL2151	glmM	K03431	phosphoglucosamine mutase
SACOL0956	kapB	K06347	hypothetical protein
SACOL2422	hlgB	K11038	gamma hemolysin, component B
SACOL2421	hlgC	K11038	gamma hemolysin, component C
SACOL0546	pth	K01056	peptidyl-tRNA hydrolase 
SACOL1691	recJ	K07462	single-stranded-DNA-specific exonuclease RecJ 
SACOL0544	prsA	K00948	ribose-phosphate pyrophosphokinase 
SACOL0545	rplY	K02897	50S ribosomal protein L25/general stress protein Ctc
SACOL0543	glmU	K04042	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase 
SACOL1690	apt	K00759	adenine phosphoribosyltransferase 
SACOL2332	galM	K01785	aldose 1-epimerase 
SACOL2099	atpF	K02109	F0F1 ATP synthase subunit B 
SACOL0766	saeR	K10682	DNA-binding response regulator SaeR
SACOL1742	gltA	K01647	citrate synthase 
SACOL1741	icd	K00031	isocitrate dehydrogenase 
SACOL1740	phoP	K07658	alkaline phosphatase synthesis transcriptional regulatory protein
SACOL1747	accA	K01962	acetyl-CoA carboxylase carboxyltransferase subunit alpha 
SACOL1746	pfkA	K00850	6-phosphofructokinase 
SACOL1745	pyk	K00873	pyruvate kinase 
SACOL0204	pflB	K00656	formate acetyltransferase 
SACOL1748	accD	K01963	acetyl-CoA carboxylase subunit beta 
SACOL1665	greA	K03624	transcription elongation factor GreA
SACOL1666	udk	K00876	uridine kinase 
SACOL1702	rplU	K02888	50S ribosomal protein L21
SACOL0438	ssb2	K03111	single-stranded DNA-binding protein
SACOL1699	obgE	K03979	GTPase ObgE
SACOL0200	uhpT	K07784	sugar phosphate antiporter
SACOL0773	pabA	K01664	para-aminobenzoate synthase, glutamine amidotransferase, component II 
SACOL2613	panD	K01579	aspartate alpha-decarboxylase 
SACOL1599	comGC	K02245	comG operon protein 3 precursor
SACOL1596	aroK	K00891	shikimate kinase 
SACOL0907	seb	K11040	enterotoxin B
SACOL0610	sdrE	K14194	sdrE protein
SACOL1595	gcvT	K00605	glycine cleavage system aminomethyltransferase T 
SACOL0616	nagB	K02564	glucosamine-6-phosphate isomerase 
SACOL1068	qoxC	K02828	quinol oxidase subunit III 
SACOL1069	qoxA	K02827	quinol oxidase subunit I 
SACOL1067	qoxD	K02829	quinol oxidase subunit IV 
SACOL1489	recU	K03700	Holliday junction-specific endonuclease
SACOL1062	atl	K13714	bifunctional autolysin 
SACOL1222	rpoZ	K03060	DNA-directed RNA polymerase subunit omega 
SACOL1695	queA	K07568	S-adenosylmethionine:tRNA ribosyltransferase-isomerase 
SACOL1694	tgt	K00773	queuine tRNA-ribosyltransferase 
SACOL1697	ruvA	K03550	Holliday junction DNA helicase RuvA
SACOL1696	ruvB	K03551	Holliday junction DNA helicase RuvB 
SACOL2427	bioA	K00833	adenosylmethionine-8-amino-7-oxononanoate aminotransferase 
SACOL2426	bioB	K01012	biotin synthase 
SACOL1693	yajC	K03210	preprotein translocase, YajC subunit
SACOL2424	bioW	K01906	6-carboxyhexanoate--CoA ligase 
SACOL0339	ssb1	K03111	prophage L54a, single-stranded DNA binding protein
SACOL2428	bioD	K01935	dethiobiotin synthase 
SACOL2544	sdaAA	K01752	L-serine dehydratase, iron-sulfur-dependent subunit alpha 
SACOL2545	sdaAB	K01752	L-serine dehydratase, iron-sulfur-dependent subunit beta 
SACOL2208	truA	K06173	tRNA pseudouridine synthase A 
SACOL2614	panC	K01918	pantoate--beta-alanine ligase 
SACOL2615	panB	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase 
SACOL2617	budA2	K01575	alpha-acetolactate decarboxylase 
SACOL2618	ldh2	K00016	L-lactate dehydrogenase 
SACOL1227	def2	K01462	peptide deformylase 
SACOL2207	rplM	K02871	50S ribosomal protein L13
SACOL2206	rpsI	K02996	30S ribosomal protein S9
SACOL1750	dnaE	K02337	DNA polymerase III subunit alpha 
SACOL1540	xerD	K04763	tyrosine recombinase XerD
SACOL1282	proS	K01881	prolyl-tRNA synthetase 
SACOL1283	polC	K03763	DNA polymerase III PolC 
